	PATCH_TALENT	EXTRA	ENUM
30	RealityBenevolence	increaseRealityPercent=0.2s[%];buffDuration=6;increaseCooldown=10	REALITY_BENEVOLENCE
31	PowerBenevolence	increaseBdSpPercent=0.2s[%];buffDuration=6;increaseCooldown=10	POWER_BENEVOLENCE
32	SpeedBenevolence	increaseSpeedPercent=0.2s[%];buffDuration=6;increaseCooldown=10	SPEED_BENEVOLENCE
33	PrecisionBenevolence	preciseDuration=2s;increaseCooldown=0.5	PRECISION_BENEVOLENCE
34	SilencingAttacks	silenceDuration=1s	SILENCING_ATTACKS
35	BlindingAttacks	blindDuration=5+1s	BLINDING_ATTACKS
36	CloakingAttacks	attackAmt=3;invisDuration=5+1s	CLOAKING_ATTACKS
37	FrenziedVengeance	healthPercent=0.15[%];berserkDuration=6;healPercent=0.2s[%];berserkCooldown=18	FRENZIED_VENGEANCE
38	InvincibleRetribution	healthPercent=0.5[%];invincibleDuration=7;increaseBdSpPercent=0.06s[%]	INVINCIBLE_RETRIBUTION
39	ReflectiveRefuge	healthPercent=0.5[%];reflectDuration=2s;healPercent=0.7[%];reflectCooldown=18	REFLECTIVE_REFUGE
40	ReflectionWeaken	weakAmt=1s;weakDuration=5;weakCooldown=2	REFLECTION_WEAKEN
41	ExtremeAccuracy	tenacityReducePercent=0.2s[%];debuffDuration=10	EXTREME_ACCURACY
42	Haunt	sapCurseDuration=5;sapCurseCooldown=6;increasedDamagePercent=0.1s[%];healthPercent=0.5[%]	HAUNT
43	InvincibleMomentum	trueDamagePercent=0.02s[%];stunDuration=6;stunCooldown=7	INVINCIBLE_MOMENTUM
44	EnablingShield	shieldPercent=0.2s[%];shieldDuration=10;shieldCooldown=2	ENABLING_SHIELD
45	DevastatingBlows	shatterPierceDuration=1s;shatterPierceCooldown=2	DEVASTATING_BLOWS
46	ShrewdStrikes	ignorePercent=0.2s[%]	SHREWD_STRIKES
47	CorruptedDose	healRecencyTime=5;curseDuration=10;trueDamagePercent=0.01s[%];damageCooldown=1	CORRUPTED_DOSE
48	BountifulGrowth	goalDuration=3;growthPercent=0.2s[%];healPercent=0.05[%]	BOUNTIFUL_GROWTH
49	FreezeFracture	shatterDuration=6;goalDuration=2;fantasticDamagePercent=0.04s[%];damageCooldown=2	FREEZE_FRACTURE
50	AugmentedStun	tenacityReducePercent=1.0[%];weakAmt=1s;weakDuration=6	AUGMENTED_STUN
51	DeviousPlot	initInvisDuration=10;increaseBdSpPercent=0.05s[%];koInvisDuration=6	DEVIOUS_PLOT
52	AttentiveHoning	trueDamagePercent=0.02s[%]	ATTENTIVE_HONING
53	ExhaustingAttacks	removeBuffAmt=3;fatigueAmt=3;reduceDmgDealtPercent=0.1s[%]	EXHAUSTING_ATTACKS
54	FortifyingCleanse	hardyAmt=5;hardyCooldown=5;reduceDmgTakenPercent=0.1s[%]	FORTIFYING_CLEANSE
55	InvincibleRejuvenation	invincibleDuration=5;healPercent=0.04s[%];invincibleCooldown=18	INVINCIBLE_REJUVENATION
56	FruitfulRevenge	healPercent=0.2s[%];weaknessStackAmt=5;weaknessHexDuration=10	FRUITFUL_REVENGE
57	Tireless	removeBuffAmt=2s;removeCooldown=1	TIRELESS
58	Tenderize	removeHardyAmt=1s	TENDERIZE
59	Lacerate	bonusDmgPercent=0.25[%];debuffDuration=6;dotAmplifyPercent=0.1s[%];reduceSpeedPercent=0.3[%]	LACERATE
60	AlluringLoyalty	charmDuration=6;charmCooldown=8;increaseSpeedPercent=0.2s[%]	ALLURING_LOYALTY
