	THRESHOLD	LEAGUE	QUANTITY	DROP	EXTRA
>	30	SILVER	MAX(14500, 0*S)	MOD_POWER	
>	25	SILVER	MAX(14500, 0*S)	MOD_POWER	
>	20	SILVER	MAX(16000, 0*S)	MOD_POWER	
>	15	SILVER	MAX(16000, 0*S)	MOD_POWER	
>	10	SILVER	MAX(17500, 0*S)	MOD_POWER	
>	9	SILVER	MAX(17500, 0*S)	MOD_POWER	
>	8	SILVER	MAX(17500, 0*S)	MOD_POWER	
>	7	SILVER	MAX(17500, 0*S)	MOD_POWER	
>	6	SILVER	MAX(17500, 0*S)	MOD_POWER	
>	5	SILVER	MAX(19000, 0*S)	MOD_POWER	
>	4	SILVER	MAX(20500, 0*S)	MOD_POWER	
>	3	SILVER	MAX(22000, 0*S)	MOD_POWER	
>	2	SILVER	MAX(23500, 0*S)	MOD_POWER	
>	1	SILVER	MAX(25000, 0*S)	MOD_POWER	
>	99999999	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	150	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	140	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	130	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	120	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	110	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	100	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	90	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	80	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	70	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	60	GOLD	MAX(25000, 0.09*S)	MOD_POWER	
>	50	GOLD	MAX(27000, 0.0975*S)	MOD_POWER	
>	45	GOLD	MAX(27000, 0.105*S)	MOD_POWER	
>	40	GOLD	MAX(29000, 0.1125*S)	MOD_POWER	
>	35	GOLD	MAX(29000, 0.12*S)	MOD_POWER	
>	30	GOLD	MAX(31000, 0.1275*S)	MOD_POWER	
>	25	GOLD	MAX(31000, 0.135*S)	MOD_POWER	
>	20	GOLD	MAX(33000, 0.1425*S)	MOD_POWER	
>	15	GOLD	MAX(33000, 0.15*S)	MOD_POWER	
>	10	GOLD	MAX(35000, 0.1575*S)	MOD_POWER	
>	9	GOLD	MAX(35000, 0.165*S)	MOD_POWER	
>	8	GOLD	MAX(35000, 0.1725*S)	MOD_POWER	
>	7	GOLD	MAX(35000, 0.18*S)	MOD_POWER	
>	6	GOLD	MAX(35000, 0.1875*S)	MOD_POWER	
>	5	GOLD	MAX(37000, 0.195*S)	MOD_POWER	
>	4	GOLD	MAX(39000, 0.2025*S)	MOD_POWER	
>	3	GOLD	MAX(41000, 0.21*S)	MOD_POWER	
>	2	GOLD	MAX(43000, 0.2175*S)	MOD_POWER	
>	1	GOLD	MAX(45000, 0.225*S)	MOD_POWER	
>	99999999	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	150	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	140	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	130	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	120	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	110	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	100	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	90	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	80	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	70	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	60	PLATINUM	MAX(45000, 0.22875*S)	MOD_POWER	
>	50	PLATINUM	MAX(47500, 0.23025*S)	MOD_POWER	
>	45	PLATINUM	MAX(47500, 0.2325*S)	MOD_POWER	
>	40	PLATINUM	MAX(50000, 0.24*S)	MOD_POWER	
>	35	PLATINUM	MAX(50000, 0.2475*S)	MOD_POWER	
>	30	PLATINUM	MAX(52500, 0.255*S)	MOD_POWER	
>	25	PLATINUM	MAX(52500, 0.2625*S)	MOD_POWER	
>	20	PLATINUM	MAX(55000, 0.27*S)	MOD_POWER	
>	15	PLATINUM	MAX(55000, 0.285*S)	MOD_POWER	
>	10	PLATINUM	MAX(57500, 0.3*S)	MOD_POWER	
>	9	PLATINUM	MAX(57500, 0.30375*S)	MOD_POWER	
>	8	PLATINUM	MAX(57500, 0.3075*S)	MOD_POWER	
>	7	PLATINUM	MAX(57500, 0.315*S)	MOD_POWER	
>	6	PLATINUM	MAX(57500, 0.3225*S)	MOD_POWER	
>	5	PLATINUM	MAX(60000, 0.33*S)	MOD_POWER	
>	4	PLATINUM	MAX(62500, 0.3375*S)	MOD_POWER	
>	3	PLATINUM	MAX(65000, 0.345*S)	MOD_POWER	
>	2	PLATINUM	MAX(67500, 0.36*S)	MOD_POWER	
>	1	PLATINUM	MAX(70000, 0.375*S)	MOD_POWER	
>	99999999	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	150	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	140	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	130	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	120	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	110	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	100	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	90	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	80	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	70	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	60	CHALLENGER	MAX(70000, 0.3825*S)	MOD_POWER	
>	50	CHALLENGER	MAX(73000, 0.39*S)	MOD_POWER	
>	45	CHALLENGER	MAX(73000, 0.3975*S)	MOD_POWER	
>	40	CHALLENGER	MAX(76000, 0.405*S)	MOD_POWER	
>	35	CHALLENGER	MAX(76000, 0.4125*S)	MOD_POWER	
>	30	CHALLENGER	MAX(79000, 0.42*S)	MOD_POWER	
>	25	CHALLENGER	MAX(79000, 0.4275*S)	MOD_POWER	
>	20	CHALLENGER	MAX(82000, 0.435*S)	MOD_POWER	
>	15	CHALLENGER	MAX(82000, 0.4425*S)	MOD_POWER	
>	10	CHALLENGER	MAX(85000, 0.45*S)	MOD_POWER	
>	9	CHALLENGER	MAX(85000, 0.465*S)	MOD_POWER	
>	8	CHALLENGER	MAX(85000, 0.4725*S)	MOD_POWER	
>	7	CHALLENGER	MAX(85000, 0.48*S)	MOD_POWER	
>	6	CHALLENGER	MAX(85000, 0.4875*S)	MOD_POWER	
>	5	CHALLENGER	MAX(88000, 0.525*S)	MOD_POWER	
>	4	CHALLENGER	MAX(91000, 0.5625*S)	MOD_POWER	
>	3	CHALLENGER	MAX(94000, 0.6*S)	MOD_POWER	
>	2	CHALLENGER	MAX(97000, 0.675*S)	MOD_POWER	
>	1	CHALLENGER	MAX(100000, 0.75*S)	MOD_POWER	
