	CRAFTING_GOLD	PART1_QUANTITY	PART1_TYPE	PART2_QUANTITY	PART2_TYPE	PART3_QUANTITY	PART3_TYPE	PART4_QUANTITY	PART4_TYPE
SCREAM_CANISTER	65,000	1	REEL_SCREAM_CANISTER	1	ESCAPE_PLAN	1	JAR_OF_MARS		
EXCLUSIVE_CLUB_BADGE	30,000	1	A_VERY_PINE_HAT	1	CUTEING_STAR				
UKULELE	70,000	1	REEL_UKULELE	1	FREDS_RECYCLED_BOXERS	1	YOU_CAN_FLY		
WINNIFREDS_SPELLBOOK	70,000	1	REEL_WINNIFREDS_SPELLBOOK	1	FA_FAMILY_SHEARS	1	WILDERNESS_EXPLORER		
JAR_OF_HUNNY	70,000	1	REEL_JAR_OF_HUNNY	1	AQUARIUM_TAG	1	DISCARDED_TIARA		
MYSTERIOUS_JOURNAL	70,000	1	REEL_MYSTERIOUS_JOURNAL	1	TRITONS_TRIDENT	1	MISPLACED_TAIL		
GUMMIBEARY_JUICE	70,000	1	REEL_GUMMIBEARY_JUICE	1	UNBIRTHDAY_HAT	1	PIGASUS		
CLOSE_SHAVE	70,000	1	REEL_CLOSE_SHAVE	1	RASPBEARY_CAKE	1	BASKETBALL_JERSEY		
TRON_BIT	45,000	1	SHRINK_RAY	1	WICKED_BEATS	1	BADGE_OF_MOTIVATION		
BADGE_OF_TRUE_LOVE	45,000	1	LUCKY_EARS	1	YOU_CAN_FLY	1	SPILT_MILK		
PIXIE_DUST	45,000	1	THINKING_CAP	1	BASKETBALL_JERSEY	1	YOU_CAN_FLY		
LOOT_OF_A_THOUSAND_WORLDS	45,000	1	DEUS_EX_CALIBUR	1	BASKETBALL_JERSEY	1	WIG_A_LA_MODE		
DUCKY_MOMO	45,000	1	LIGHTSPEED	1	FAMILY_HEIRLOOM	1	JAFARS_CUFFLINKS		
HANDSOME_PRINCE	30,000	1	LOVE_BIRDS	1	CROWN_OF_THE_WILD_FRONTIER				
DOGS_BREAKFAST	70,000	1	REEL_DOGS_BREAKFAST	1	STABLE_WALKING_CANE	1	LIGHTSPEED		
LIQUID_BREAKFAST	70,000	1	REEL_LIQUID_BREAKFAST	1	KIMMUNICATOR	1	MIST_MAKER		
SWEET_TOOTH	70,000	1	REEL_SWEET_TOOTH	1	POTENTIAL_CARRIAGE	1	STYLIN_PENGUIN		
EMBLEM_OF_BRAVERY	55,000	1	SCREAM_CANISTER	1	PIGASUS	1	CLEANING_SERVICE		
THE_MAGIC_BRUSH	55,000	1	DARK_DISGUISE	1	WILDERNESS_EXPLORER	1	TIME_SINK		
SNARFFBLATT	55,000	1	BREAKFAST_OF_CHAMPIONS	1	BOOS_ROOM_KEY	1	FLUBBER		
PIED_SANDPIPER	55,000	1	ROCKET_PACK_PATCH_KIT	1	GLOW_BUG	1	BADGE_OF_MOTIVATION		
BOAT_SNACK	55,000	1	BLACK_MAGIC_CAULDRON	1	CHERRY_BOMB	1	LIGHTSPEED		
CROQUET_BALL	40,000	1	CROWN_OF_THE_WILD_FRONTIER	1	CUTEING_STAR				
CRYSTAL_BELLE	40,000	1	CROWN_OF_THE_WILD_FRONTIER	1	A_VERY_PINE_HAT				
REALLY_GOOD_BALL	40,000	1	LOVE_BIRDS	1	CUTEING_STAR				
TOKEN_OF_RADITUDE	40,000	1	LOVE_BIRDS	1	A_VERY_PINE_HAT				
KING_OF_BALD_MOUNTAIN	80,000	1	REEL_KING_OF_BALD_MOUNTAIN	1	MERLINS_BAG	1	JAR_OF_SAND		
WHALE_OF_A_TALE	80,000	1	REEL_WHALE_OF_A_TALE	1	MERLINS_BAG	1	LEANING_TOWER_OF_CHEEZ_A		
DIABLO_PIEDRA	80,000	1	REEL_DIABLO_PIEDRA	1	MERLINS_BAG	1	SANDY_CLAWS_LANTERN		
TRICK_OR_TREAT	80,000	1	REEL_TRICK_OR_TREAT	1	MERLINS_BAG	1	SAFETY_HELMET		
MATHEMATICALLY_DELICIOUS	80,000	1	REEL_MATHEMATICALLY_DELICIOUS	1	MERLINS_BAG	1	MASK_OF_THE_CAKE_EATER		
DRUM_LINE	80,000	1	REEL_DRUM_LINE	1	MERLINS_BAG	1	CARROT_PEN		
CIRCLE_OF_LIFE	60,000	1	BREAKFAST_OF_CHAMPIONS	1	SPELL_DIARY	1	DE_VILS_LIPSTICK		
BADGE_OF_LEVITATION	60,000	1	BLACK_MAGIC_CAULDRON	1	IMPRACTICAL_OVEN_MITTS	1	BAYMAX_PATCH_KIT		
ITS_ROBOT_TIME	60,000	1	SHRINK_RAY	1	GRAPPLING_HOOK	1	BELLWEATHERS_MUG		
TOUGH_PETAL	60,000	1	LUCKY_EARS	1	BEACH_BOMB	1	FOX_MACE		
BADGE_OF_TOMORROW	60,000	1	DEUS_EX_CALIBUR	1	UNBIRTHDAY_HAT	1	CALAMARI		
CUSTOMER_OF_THE_YEAR	60,000	1	FLIGHT_OF_FANCY	1	TRUST_IN_ME				
LUCKY_EGG	120,000	1	REEL_LUCKY_EGG	1	I_FIGHT_FOR_THE_USERS	1	DUCKY_MOMO		
PAY_THROUGH_THE_TEETH	120,000	1	REEL_PAY_THROUGH_THE_TEETH	1	CROWN_OF_NY	1	TRON_BIT		
GONNA_GET_A_LITTLE_WEIRD	120,000	1	REEL_GONNA_GET_A_LITTLE_WEIRD	1	PIRATE_HIDEOUT	1	LOOT_OF_A_THOUSAND_WORLDS		
LOVE_POTION	120,000	1	REEL_LOVE_POTION	1	PEPPER_SHAKER	1	BADGE_OF_TRUE_LOVE		
MAGICA_SHADOW	90,000	1	JAR_OF_HUNNY	1	BOAT_SNACK				
THUMBSUCKERS_CROWN	90,000	1	MYSTERIOUS_JOURNAL	1	PIED_SANDPIPER				
COLOR_WHEEL	90,000	1	CLOSE_SHAVE	1	SNARFFBLATT				
PENTHOUSE_CASTLE	90,000	1	WINNIFREDS_SPELLBOOK	1	SNARFFBLATT				
TIN_TOY	90,000	1	GUMMIBEARY_JUICE	1	EMBLEM_OF_BRAVERY				
SKELETON_DANCE	90,000	1	UKULELE	1	THE_MAGIC_BRUSH				
HAPPY_THOUGHTS	80,000	1	BADGE_OF_SWEETNESS	1	BADGE_OF_ACCOMPLISHMENT				
SHEPHERDS_JOURNAL	130,000	1	REEL_SHEPHERDS_JOURNAL	1	BLANK_CHECK	1	EMBLEM_OF_BRAVERY		
ON_A_ROLL	130,000	1	REEL_ON_A_ROLL	1	DINGLEHOPPER	1	THE_MAGIC_BRUSH		
WEIRD_WEBSITE	130,000	1	REEL_WEIRD_WEBSITE	1	NACO	1	SNARFFBLATT		
HEROES_NIGHT_OUT	130,000	1	REEL_HEROES_NIGHT_OUT	1	MERLINS_BAG	1	PIED_SANDPIPER		
KAWAII_EXE	100,000	1	DOGS_BREAKFAST	1	CIRCLE_OF_LIFE				
POOH_STICKS	100,000	1	WINNIFREDS_SPELLBOOK	1	THE_MAGIC_BRUSH				
STAR_CASE	100,000	1	LIQUID_BREAKFAST	1	ITS_ROBOT_TIME				
WILD_RIDE	100,000	1	SWEET_TOOTH	1	TOUGH_PETAL				
TRUE_LAVA	100,000	1	GUMMIBEARY_JUICE	1	BADGE_OF_TOMORROW				
POWER_UP	100,000	1	CLOSE_SHAVE	1	BOAT_SNACK	1	SAFETY_HELMET		
GOLDEN_SUN	100,000	1	BECAUSE_WE_CARE	1	BREAKFAST_PORRIDGE				
MARVELOUS_TOY	110,000	1	KING_OF_BALD_MOUNTAIN	1	MAGICA_SHADOW				
MORNING_FUEL	110,000	1	WHALE_OF_A_TALE	1	THUMBSUCKERS_CROWN				
PAPEL_PICADO	110,000	1	DIABLO_PIEDRA	1	COLOR_WHEEL				
PERKIS_POWER	110,000	1	TRICK_OR_TREAT	1	PENTHOUSE_CASTLE				
SUIT_UP	110,000	1	MATHEMATICALLY_DELICIOUS	1	TIN_TOY				
TIMELESS_CLASSIC	110,000	1	DRUM_LINE	1	SKELETON_DANCE				
TINY_TERRARIUM	140,000	1	AUTO	1	BLUE_UMBRELLA	1	CIRCLE_OF_LIFE		
SAN_FRANSOKYO_SEWER	140,000	1	MAGIC_MIRROR	1	DRIVING_WITH_STYLE	1	BADGE_OF_LEVITATION		
NEST_EGG	140,000	1	BLUE_UMBRELLA	1	MAGIC_MIRROR	1	ITS_ROBOT_TIME		
RETURN_TO_THE_FOLD	140,000	1	AUTO	1	MAGIC_MIRROR	1	TOUGH_PETAL		
SIDS_TOY	140,000	1	BLUE_UMBRELLA	1	DRIVING_WITH_STYLE	1	BADGE_OF_TOMORROW		
SUPER_FAN	140,000	1	AUTO	1	DRIVING_WITH_STYLE	1	TOKEN_OF_RADITUDE		
LEAGUE_CHEW_TOY	120,000	1	UNLEADOSAURUS	1	NOPE				
IRRESISTIBLY_SHINY	120,000	1	AUTO	1	MAGIC_MIRROR	1	FANTASOUND	1	FLIGHT_OF_FANCY
SPRINGTIME_FLOWERS	120,000	1	AUTO	1	DRIVING_WITH_STYLE	1	ILL_WISHING_WELL	1	TRUST_IN_ME
IN_THE_DOGHOUSE	120,000	1	BLUE_UMBRELLA	1	MAGIC_MIRROR	1	MOUSERCIZE	1	FLIGHT_OF_FANCY
SPINACH_PUFFS	120,000	1	BLUE_UMBRELLA	1	DRIVING_WITH_STYLE	1	BLANK_CHECK	1	BADGE_OF_SWEETNESS
CHEESE_WHEEL	120,000	1	AUTO	1	BLUE_UMBRELLA	1	DINGLEHOPPER	1	BADGE_OF_ACCOMPLISHMENT
COMMANDERS_CREST	120,000	1	MAGIC_MIRROR	1	DRIVING_WITH_STYLE	1	NACO	1	BADGE_OF_SWEETNESS
ANGRY_EYES	120,000	1	BLUE_UMBRELLA	1	MAGIC_MIRROR	1	MERLINS_BAG	1	TRUST_IN_ME
GOLDEN_HARP	150,000	1	GEORGETTES_BOWL	1	SAFARI_HAT	1	POTENTIAL_CARRIAGE	1	ROCK_PUNCH
LOCKED_DOOR	150,000	1	GEORGETTES_BOWL	1	DINOSAUR_EGG	1	THINKING_CAP	1	LEANING_TOWER_OF_CHEEZ_A
RED_UMBRELLA	150,000	1	GEORGETTES_BOWL	1	MAGICAL_BREAKFAST	1	BLACK_MAGIC_CAULDRON	1	SANDY_CLAWS_LANTERN
TEDDY_BEAR	150,000	1	SAFARI_HAT	1	DINOSAUR_EGG	1	LUCKY_EARS	1	FREDS_RECYCLED_BOXERS
FOUR_POSTER_BED	150,000	1	SAFARI_HAT	1	MAGICAL_BREAKFAST	1	DARK_DISGUISE	1	MASK_OF_THE_CAKE_EATER
WIND_UP_MOUSE	150,000	1	DINOSAUR_EGG	1	MAGICAL_BREAKFAST	1	BREAKFAST_OF_CHAMPIONS	1	PILOTS_CAP
SKY_PIRATES	145,000	1	PIT_STOP	1	VICTORIOUS_URN				
SWEETER_TOOTH	140,000	1	GEORGETTES_BOWL	1	SAFARI_HAT	1	BLANK_CHECK	1	BECAUSE_WE_CARE
BADGE_OF_TRAVELING	140,000	1	GEORGETTES_BOWL	1	DINOSAUR_EGG	1	FANTASOUND	1	BREAKFAST_PORRIDGE
BIRDS_OF_A_FEATHER	140,000	1	GEORGETTES_BOWL	1	MAGICAL_BREAKFAST	1	NACO	1	BADGE_OF_SWEETNESS
GARDEN_SONG	140,000	1	SAFARI_HAT	1	DINOSAUR_EGG	1	BLANK_CHECK	1	BADGE_OF_ACCOMPLISHMENT
BREAD_AND_BUTTERFLIES	140,000	1	SAFARI_HAT	1	MAGICAL_BREAKFAST	1	ILL_WISHING_WELL	1	BECAUSE_WE_CARE
TICK_TOCK	140,000	1	DINOSAUR_EGG	1	MAGICAL_BREAKFAST	1	MOUSERCIZE	1	BREAKFAST_PORRIDGE
CAKE_OF_GOOD_INTENTIONS	140,000	1	MAGICAL_BREAKFAST	1	GEORGETTES_BOWL	1	DINGLEHOPPER	1	BADGE_OF_SWEETNESS
GOOSE_CROSSING	170,000	1	HAPPY_MILKSHAKE	1	LUCKY_CRICKET	1	CLOSE_SHAVE	1	SHRINK_RAY
RED_BALLOON	170,000	1	BOB	1	HAPPY_MILKSHAKE	1	WINNIFREDS_SPELLBOOK	1	LUCKY_EARS
TRIPLEDENT_GUN	170,000	1	HAPPY_MILKSHAKE	1	UNICORN_DREAMS	1	JAR_OF_HUNNY	1	DEUS_EX_CALIBUR
BABY_BRIBE	170,000	1	UNICORN_DREAMS	1	BOB	1	MYSTERIOUS_JOURNAL	1	THINKING_CAP
TEMPTING_SWITCH	170,000	1	LUCKY_CRICKET	1	UNICORN_DREAMS	1	GUMMIBEARY_JUICE	1	OO_DE_LALLY_ARROWS
HAPPY_PANCAKE	170,000	1	BOB	1	LUCKY_CRICKET	1	BADGE_OF_TRUE_LOVE	1	SCREAM_CANISTER
ROCKET_POP	160,000	1	CONFUZZLE_BALLOON	1	ROYAL_DIARY				
MR_CARROT	160,000	1	HAPPY_MILKSHAKE	1	UNICORN_DREAMS	1	KING_OF_BALD_MOUNTAIN		
DRAGON_SWING	160,000	1	BOB	1	LUCKY_CRICKET	1	WHALE_OF_A_TALE		
DARING_DISGUISE	160,000	1	UNICORN_DREAMS	1	BOB	1	CIRCLE_OF_LIFE		
FRIENDLY_SURVIVOR	160,000	1	HAPPY_MILKSHAKE	1	BOB	1	BADGE_OF_LEVITATION		
HYPNOTIC_MELODY	160,000	1	BOB	1	LUCKY_CRICKET	1	ITS_ROBOT_TIME		
ANIMAL_AURORA	160,000	1	LUCKY_CRICKET	1	HAPPY_MILKSHAKE	1	BADGE_OF_TOMORROW		
BADGE_OF_SORROW	160,000	1	UNICORN_DREAMS	1	LUCKY_CRICKET	1	TOUGH_PETAL		
LOST_PETS	190,000	1	ENTHUSIASTIC_DISHWARE	1	BAYOU_BOOGIE	1	SNARFFBLATT	1	UKULELE
ANDYS_GAME	190,000	1	SEADUCK	1	ENTHUSIASTIC_DISHWARE	1	LIQUID_BREAKFAST	1	TRON_BIT
THE_GREY_STUFF	190,000	1	ENTHUSIASTIC_DISHWARE	1	BULLIES_ARE_GROSS	1	SWEET_TOOTH	1	PIXIE_DUST
HOUSE_OF_CARDS	190,000	1	BULLIES_ARE_GROSS	1	SEADUCK	1	EMBLEM_OF_BRAVERY	1	LOOT_OF_A_THOUSAND_WORLDS
EXPLORE	190,000	1	BAYOU_BOOGIE	1	BULLIES_ARE_GROSS	1	THE_MAGIC_BRUSH	1	DUCKY_MOMO
ACTION_FIGURE	190,000	1	SEADUCK	1	BAYOU_BOOGIE	1	DOGS_BREAKFAST	1	POTENTIAL_CARRIAGE
BADGE_OF_DELIGHT	185,000	1	DIMENSIONAL_SCISSORS	1	UNBEWEAVEABLE_RETURNS				
MICKEY_PRETZEL	180,000	1	ENTHUSIASTIC_DISHWARE	1	BAYOU_BOOGIE	1	LUCKY_EGG		
PRACTICE_SLED	180,000	1	SEADUCK	1	ENTHUSIASTIC_DISHWARE	1	PAY_THROUGH_THE_TEETH		
HOLD_THE_LINE	180,000	1	ENTHUSIASTIC_DISHWARE	1	BULLIES_ARE_GROSS	1	GONNA_GET_A_LITTLE_WEIRD		
TSUMDERE	180,000	1	BULLIES_ARE_GROSS	1	SEADUCK	1	LOVE_POTION		
SUPER_TEAM_ASSEMBLE	180,000	1	BAYOU_BOOGIE	1	BULLIES_ARE_GROSS	1	PENTHOUSE_CASTLE		
REFRESHING_FRUIT	180,000	1	SEADUCK	1	BAYOU_BOOGIE	1	TIN_TOY		
SUN_CROWN	180,000	1	BAYOU_BOOGIE	1	ENTHUSIASTIC_DISHWARE	1	SKELETON_DANCE		
CHOCOLATE_BAR	210,000	1	TIGHT_SQUEEZE	1	ROMANTIC_BOAT_RIDE	1	EMBLEM_OF_BRAVERY	1	CROQUET_BALL
BROKEN_NECKLACE	210,000	1	LOST_AND_FOUND	1	TIGHT_SQUEEZE	1	PIED_SANDPIPER	1	CRYSTAL_BELLE
