	PERK	LEVEL	UPGRADE_COST	CONTENT_GL	CONTENT_TL	VALUE
WAR_CAR_BONUS_2:46	WAR_CAR_BONUS_2	46	12,600,000	5	190	8.500
WAR_CAR_BONUS_2:47	WAR_CAR_BONUS_2	47	13,790,000	5	195	9.000
WAR_CAR_BONUS_2:48	WAR_CAR_BONUS_2	48	15,540,000	5	195	9.125
WAR_CAR_BONUS_2:49	WAR_CAR_BONUS_2	49	17,290,000	5	195	9.250
WAR_CAR_BONUS_2:50	WAR_CAR_BONUS_2	50	18,970,000	5	195	9.375
WAR_CAR_BONUS_2:51	WAR_CAR_BONUS_2	51	20,720,000	5	195	9.500
WAR_CAR_BONUS_2:52	WAR_CAR_BONUS_2	52	22,440,000	5	200	10.000
WAR_CAR_BONUS_2:53	WAR_CAR_BONUS_2	53	25,190,000	5	200	10.125
WAR_CAR_BONUS_2:54	WAR_CAR_BONUS_2	54	28,050,000	5	200	10.250
WAR_CAR_BONUS_2:55	WAR_CAR_BONUS_2	55	30,800,000	5	200	10.375
WAR_CAR_BONUS_2:56	WAR_CAR_BONUS_2	56	33,660,000	5	200	10.500
WAR_CAR_BONUS_2:57	WAR_CAR_BONUS_2	57	36,600,000	5	205	11.000
WAR_CAR_BONUS_2:58	WAR_CAR_BONUS_2	58	41,200,000	5	205	11.125
WAR_CAR_BONUS_2:59	WAR_CAR_BONUS_2	59	45,700,000	5	205	11.250
WAR_CAR_BONUS_2:60	WAR_CAR_BONUS_2	60	50,300,000	5	205	11.375
WAR_CAR_BONUS_2:61	WAR_CAR_BONUS_2	61	54,900,000	5	205	11.500
WAR_CAR_BONUS_2:62	WAR_CAR_BONUS_2	62	55,580,000	5	210	12.500
WAR_CAR_BONUS_2:63	WAR_CAR_BONUS_2	63	62,440,000	5	210	12.625
WAR_CAR_BONUS_2:64	WAR_CAR_BONUS_2	64	69,440,000	5	210	12.750
WAR_CAR_BONUS_2:65	WAR_CAR_BONUS_2	65	76,440,000	5	210	12.875
WAR_CAR_BONUS_2:66	WAR_CAR_BONUS_2	66	83,300,000	5	210	13.000
WAR_CAR_BONUS_2:67	WAR_CAR_BONUS_2	67	85,120,000	5	215	14.000
WAR_CAR_BONUS_2:68	WAR_CAR_BONUS_2	68	95,840,000	5	215	14.125
WAR_CAR_BONUS_2:69	WAR_CAR_BONUS_2	69	106,400,000	5	215	14.250
WAR_CAR_BONUS_2:70	WAR_CAR_BONUS_2	70	117,120,000	5	215	14.375
WAR_CAR_BONUS_2:71	WAR_CAR_BONUS_2	71	127,680,000	5	215	14.500
WAR_CAR_BONUS_2:72	WAR_CAR_BONUS_2	72	130,950,000	5	220	15.500
WAR_CAR_BONUS_2:73	WAR_CAR_BONUS_2	73	147,150,000	5	220	15.625
WAR_CAR_BONUS_2:74	WAR_CAR_BONUS_2	74	163,575,000	5	220	15.750
WAR_CAR_BONUS_2:75	WAR_CAR_BONUS_2	75	180,000,000	5	220	15.875
WAR_CAR_BONUS_2:76	WAR_CAR_BONUS_2	76	196,200,000	5	220	16.000
WAR_CAR_BONUS_2:77	WAR_CAR_BONUS_2	77	196,416,000	5	225	17.000
WAR_CAR_BONUS_2:78	WAR_CAR_BONUS_2	78	220,968,000	5	225	17.125
WAR_CAR_BONUS_2:79	WAR_CAR_BONUS_2	79	245,520,000	5	225	17.250
WAR_CAR_BONUS_2:80	WAR_CAR_BONUS_2	80	270,072,000	5	225	17.375
WAR_CAR_BONUS_2:81	WAR_CAR_BONUS_2	81	294,624,000	5	225	17.500
WAR_CAR_BONUS_2:82	WAR_CAR_BONUS_2	82	299,376,000	5	230	18.500
WAR_CAR_BONUS_2:83	WAR_CAR_BONUS_2	83	336,798,000	5	230	18.625
WAR_CAR_BONUS_2:84	WAR_CAR_BONUS_2	84	374,220,000	5	230	18.750
WAR_CAR_BONUS_2:85	WAR_CAR_BONUS_2	85	411,196,500	5	230	18.875
WAR_CAR_BONUS_2:86	WAR_CAR_BONUS_2	86	448,618,500	5	230	19.000
WAR_CAR_BONUS_2:87	WAR_CAR_BONUS_2	87	450,297,600	5	235	20.000
WAR_CAR_BONUS_2:88	WAR_CAR_BONUS_2	88	507,143,680	5	235	20.125
WAR_CAR_BONUS_2:89	WAR_CAR_BONUS_2	89	563,351,040	5	235	20.250
WAR_CAR_BONUS_2:90	WAR_CAR_BONUS_2	90	619,558,400	5	235	20.375
WAR_CAR_BONUS_2:91	WAR_CAR_BONUS_2	91	675,765,760	5	235	20.500
WAR_CAR_BONUS_2:92	WAR_CAR_BONUS_2	92	676,350,000	5	240	21.500
WAR_CAR_BONUS_2:93	WAR_CAR_BONUS_2	93	761,400,000	5	240	21.625
WAR_CAR_BONUS_2:94	WAR_CAR_BONUS_2	94	845,640,000	5	240	21.750
WAR_CAR_BONUS_2:95	WAR_CAR_BONUS_2	95	930,690,000	5	240	21.875
WAR_CAR_BONUS_2:96	WAR_CAR_BONUS_2	96	1,014,930,000	5	240	22.000
WAR_CAR_BONUS_2:97	WAR_CAR_BONUS_2	97	1,166,000,000	5	245	23.000
WAR_CAR_BONUS_2:98	WAR_CAR_BONUS_2	98	1,312,000,000	5	245	23.125
WAR_CAR_BONUS_2:99	WAR_CAR_BONUS_2	99	1,457,000,000	5	245	23.250
WAR_CAR_BONUS_2:100	WAR_CAR_BONUS_2	100	1,603,000,000	5	245	23.375
WAR_CAR_BONUS_2:101	WAR_CAR_BONUS_2	101	1,749,000,000	5	245	23.500
WAR_CAR_BONUS_2:102	WAR_CAR_BONUS_2	102	6,665,000,000	5	250	24.500
WAR_CAR_BONUS_2:103	WAR_CAR_BONUS_2	103	7,495,000,000	5	250	24.625
WAR_CAR_BONUS_2:104	WAR_CAR_BONUS_2	104	8,330,000,000	5	250	24.750
WAR_CAR_BONUS_2:105	WAR_CAR_BONUS_2	105	9,160,000,000	5	250	24.875
WAR_CAR_BONUS_2:106	WAR_CAR_BONUS_2	106	9,995,000,000	5	250	25.000
WAR_CAR_BONUS_3:0	WAR_CAR_BONUS_3	0	0	0	1	0.500
WAR_CAR_BONUS_3:1	WAR_CAR_BONUS_3	1	125,000	0	45	0.625
WAR_CAR_BONUS_3:2	WAR_CAR_BONUS_3	2	150,000	0	50	0.750
WAR_CAR_BONUS_3:3	WAR_CAR_BONUS_3	3	175,000	0	55	0.875
WAR_CAR_BONUS_3:4	WAR_CAR_BONUS_3	4	200,000	0	60	1.000
WAR_CAR_BONUS_3:5	WAR_CAR_BONUS_3	5	225,000	0	65	1.125
WAR_CAR_BONUS_3:6	WAR_CAR_BONUS_3	6	250,000	0	70	1.250
WAR_CAR_BONUS_3:7	WAR_CAR_BONUS_3	7	275,000	0	75	1.375
WAR_CAR_BONUS_3:8	WAR_CAR_BONUS_3	8	300,000	0	80	1.500
WAR_CAR_BONUS_3:9	WAR_CAR_BONUS_3	9	325,000	3	85	1.625
WAR_CAR_BONUS_3:10	WAR_CAR_BONUS_3	10	350,000	3	90	1.750
WAR_CAR_BONUS_3:11	WAR_CAR_BONUS_3	11	375,000	3	95	1.875
WAR_CAR_BONUS_3:12	WAR_CAR_BONUS_3	12	400,000	3	100	2.000
WAR_CAR_BONUS_3:13	WAR_CAR_BONUS_3	13	425,000	3	105	2.125
WAR_CAR_BONUS_3:14	WAR_CAR_BONUS_3	14	450,000	3	110	2.250
WAR_CAR_BONUS_3:15	WAR_CAR_BONUS_3	15	475,000	3	115	2.375
WAR_CAR_BONUS_3:16	WAR_CAR_BONUS_3	16	500,000	3	120	2.500
WAR_CAR_BONUS_3:17	WAR_CAR_BONUS_3	17	520,000	5	125	3.000
WAR_CAR_BONUS_3:18	WAR_CAR_BONUS_3	18	600,000	5	130	3.125
WAR_CAR_BONUS_3:19	WAR_CAR_BONUS_3	19	640,000	5	135	3.250
WAR_CAR_BONUS_3:20	WAR_CAR_BONUS_3	20	720,000	5	140	3.375
WAR_CAR_BONUS_3:21	WAR_CAR_BONUS_3	21	800,000	5	145	3.500
WAR_CAR_BONUS_3:22	WAR_CAR_BONUS_3	22	1,040,000	5	150	4.000
WAR_CAR_BONUS_3:23	WAR_CAR_BONUS_3	23	1,200,000	5	155	4.125
WAR_CAR_BONUS_3:24	WAR_CAR_BONUS_3	24	1,320,000	5	160	4.250
WAR_CAR_BONUS_3:25	WAR_CAR_BONUS_3	25	1,440,000	5	165	4.375
WAR_CAR_BONUS_3:26	WAR_CAR_BONUS_3	26	1,600,000	5	170	4.500
WAR_CAR_BONUS_3:27	WAR_CAR_BONUS_3	27	2,080,000	5	175	5.000
WAR_CAR_BONUS_3:28	WAR_CAR_BONUS_3	28	2,320,000	5	175	5.125
WAR_CAR_BONUS_3:29	WAR_CAR_BONUS_3	29	2,600,000	5	175	5.250
WAR_CAR_BONUS_3:30	WAR_CAR_BONUS_3	30	2,840,000	5	175	5.375
WAR_CAR_BONUS_3:31	WAR_CAR_BONUS_3	31	3,080,000	5	175	5.500
WAR_CAR_BONUS_3:32	WAR_CAR_BONUS_3	32	3,360,000	5	180	6.000
WAR_CAR_BONUS_3:33	WAR_CAR_BONUS_3	33	3,780,000	5	180	6.125
WAR_CAR_BONUS_3:34	WAR_CAR_BONUS_3	34	4,200,000	5	180	6.250
WAR_CAR_BONUS_3:35	WAR_CAR_BONUS_3	35	4,620,000	5	180	6.375
WAR_CAR_BONUS_3:36	WAR_CAR_BONUS_3	36	5,040,000	5	180	6.500
WAR_CAR_BONUS_3:37	WAR_CAR_BONUS_3	37	5,580,000	5	185	7.000
WAR_CAR_BONUS_3:38	WAR_CAR_BONUS_3	38	6,210,000	5	185	7.125
WAR_CAR_BONUS_3:39	WAR_CAR_BONUS_3	39	6,930,000	5	185	7.250
WAR_CAR_BONUS_3:40	WAR_CAR_BONUS_3	40	7,650,000	5	185	7.375
WAR_CAR_BONUS_3:41	WAR_CAR_BONUS_3	41	8,370,000	5	185	7.500
WAR_CAR_BONUS_3:42	WAR_CAR_BONUS_3	42	8,400,000	5	190	8.000
WAR_CAR_BONUS_3:43	WAR_CAR_BONUS_3	43	9,500,000	5	190	8.125
WAR_CAR_BONUS_3:44	WAR_CAR_BONUS_3	44	10,500,000	5	190	8.250
WAR_CAR_BONUS_3:45	WAR_CAR_BONUS_3	45	11,600,000	5	190	8.375
WAR_CAR_BONUS_3:46	WAR_CAR_BONUS_3	46	12,600,000	5	190	8.500
WAR_CAR_BONUS_3:47	WAR_CAR_BONUS_3	47	13,790,000	5	195	9.000
WAR_CAR_BONUS_3:48	WAR_CAR_BONUS_3	48	15,540,000	5	195	9.125
WAR_CAR_BONUS_3:49	WAR_CAR_BONUS_3	49	17,290,000	5	195	9.250
WAR_CAR_BONUS_3:50	WAR_CAR_BONUS_3	50	18,970,000	5	195	9.375
WAR_CAR_BONUS_3:51	WAR_CAR_BONUS_3	51	20,720,000	5	195	9.500
WAR_CAR_BONUS_3:52	WAR_CAR_BONUS_3	52	22,440,000	5	200	10.000
WAR_CAR_BONUS_3:53	WAR_CAR_BONUS_3	53	25,190,000	5	200	10.125
WAR_CAR_BONUS_3:54	WAR_CAR_BONUS_3	54	28,050,000	5	200	10.250
WAR_CAR_BONUS_3:55	WAR_CAR_BONUS_3	55	30,800,000	5	200	10.375
WAR_CAR_BONUS_3:56	WAR_CAR_BONUS_3	56	33,660,000	5	200	10.500
WAR_CAR_BONUS_3:57	WAR_CAR_BONUS_3	57	36,600,000	5	205	11.000
WAR_CAR_BONUS_3:58	WAR_CAR_BONUS_3	58	41,200,000	5	205	11.125
WAR_CAR_BONUS_3:59	WAR_CAR_BONUS_3	59	45,700,000	5	205	11.250
WAR_CAR_BONUS_3:60	WAR_CAR_BONUS_3	60	50,300,000	5	205	11.375
WAR_CAR_BONUS_3:61	WAR_CAR_BONUS_3	61	54,900,000	5	205	11.500
WAR_CAR_BONUS_3:62	WAR_CAR_BONUS_3	62	55,580,000	5	210	12.500
WAR_CAR_BONUS_3:63	WAR_CAR_BONUS_3	63	62,440,000	5	210	12.625
WAR_CAR_BONUS_3:64	WAR_CAR_BONUS_3	64	69,440,000	5	210	12.750
WAR_CAR_BONUS_3:65	WAR_CAR_BONUS_3	65	76,440,000	5	210	12.875
WAR_CAR_BONUS_3:66	WAR_CAR_BONUS_3	66	83,300,000	5	210	13.000
WAR_CAR_BONUS_3:67	WAR_CAR_BONUS_3	67	85,120,000	5	215	14.000
WAR_CAR_BONUS_3:68	WAR_CAR_BONUS_3	68	95,840,000	5	215	14.125
WAR_CAR_BONUS_3:69	WAR_CAR_BONUS_3	69	106,400,000	5	215	14.250
WAR_CAR_BONUS_3:70	WAR_CAR_BONUS_3	70	117,120,000	5	215	14.375
WAR_CAR_BONUS_3:71	WAR_CAR_BONUS_3	71	127,680,000	5	215	14.500
WAR_CAR_BONUS_3:72	WAR_CAR_BONUS_3	72	130,950,000	5	220	15.500
WAR_CAR_BONUS_3:73	WAR_CAR_BONUS_3	73	147,150,000	5	220	15.625
WAR_CAR_BONUS_3:74	WAR_CAR_BONUS_3	74	163,575,000	5	220	15.750
WAR_CAR_BONUS_3:75	WAR_CAR_BONUS_3	75	180,000,000	5	220	15.875
WAR_CAR_BONUS_3:76	WAR_CAR_BONUS_3	76	196,200,000	5	220	16.000
