	TRIGGER_TYPE	TRIGGER_VALUE	STAT_BUFF_1_TYPE	STAT_BUFF_2_TYPE	STAT_BUFF_2_SUBTYPE	EFFECT_BUFF_TYPE
ELSA	FROZEN_AMOUNT	3	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	SELF_SHIELD
SHANK	TIME	10	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	NORMAL_CRIT
OLAF	FROZEN_AMOUNT	3	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	SELF_HOT
DARKWING_DUCK	REFLECT_AMOUNT	2	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	HARDY
GASTON	CHARM_AMOUNT	1	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	INVINCIBILITY
MAD_HATTER	CHARM_AMOUNT	1	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	ATTACK_SPEED_1
QUEEN_OF_HEARTS	ALLY_KO_AMOUNT	2	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_ROLE	TANK	REFLECT
ALICE	SLOW_AMOUNT	4	MAX_HP_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	SUPPORT	TENACITY
HERCULES	INVINCIBLE_AMOUNT	1	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	TANK	HARDY
MEGARA	CHARM_AMOUNT	1	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	SELF_HOT
MERLIN	FATIGUE_AMOUNT	5	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	ATTACK_SPEED_1
ROBIN_HOOD	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	ARMOR_NEGATION
GOOFY	BLIND_AMOUNT	2	REALITY_BOOST	REALITY_BOOST_PER_ALLY_ROLE	TANK	TENACITY
DUKE_CABOOM	ALLY_KO_AMOUNT	1	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	BERSERK
DUCKY_AND_BUNNY	DOT_AMOUNT	2	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	INVINCIBILITY
BO_PEEP	KNOCK_BACK_AMOUNT	5	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	TANK	ATTACK_MOVE_SPEED_2
ANGER	DOT_AMOUNT	2	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_SPEED_2
JOY	SHIELD_AMOUNT	2	REALITY_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_SHIELD
PETER_PAN	ALLY_KO_AMOUNT	2	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	ARMOR_NEGATION
RAFIKI	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	ATTACK_SPEED_1
BEAST	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	NORMAL_CRIT
JAFAR	BLIND_AMOUNT	2	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	REALITY_NEGATION
JASMINE	ALLY_KO_AMOUNT	2	REALITY_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	ENERGY_GAIN
TIMON_AND_PUMBAA	TIME	15	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HOT
SIMBA_AND_NALA	CHARM_AMOUNT	1	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	EVASION
HUEY_DEWEY_LOUIE	STUN_AMOUNT	3	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	SELF_SHIELD
MISS_PIGGY	KNOCK_BACK_AMOUNT	3	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	ENERGIZED_2
ANIMAL	SLOW_AMOUNT	4	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	SUPPORT	ENERGIZED_1
GONZO	SHIELD_AMOUNT	2	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	TANK	SELF_SHIELD
YZMA	CURSE_AMOUNT	3	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	FANTASTIC_CRIT
MADAM_MIM	STUN_AMOUNT	2	MAX_HP_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	BERSERK
MEGAVOLT	DOT_AMOUNT	2	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	FANTASTIC_CRIT
RANDALL_BOGGS	SCARE_AMOUNT	5	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_MOVE_SPEED_1
SCROOGE_MCDUCK	KNOCK_BACK_AMOUNT	3	ARMOR_BOOST	REALITY_BOOST_PER_ALLY_ROLE	DPS	INVISIBILITY
CAPTAIN_HOOK	SAP_AMOUNT	5	BASIC_DAMAGE_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	HARDY
GIZMODUCK	STUDY_AMOUNT	1	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	RED	REFLECT
DONALD_DUCK	BASIC_ATTACK_AMOUNT	12	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	PRECISE
OOGIE_BOOGIE	SCARE_AMOUNT	2	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	YELLOW	SELF_HEAL
LAUNCHPAD_MCQUACK	INVINCIBLE_AMOUNT	1	ARMOR_BOOST	REALITY_BOOST_PER_ALLY_ROLE	SUPPORT	TENACITY
FLYNN_RIDER	SAP_AMOUNT	2	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_SPEED_2
MAGICA_DE_SPELL	CURSE_AMOUNT	3	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	EVASION
RAPUNZEL	HARDY_AMOUNT	11	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	SUPPORT	ENERGY_GAIN
KIDA	ALLY_KO_AMOUNT	2	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	FANTASTIC_CRIT
COLETTE	BLIND_AMOUNT	2	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	INVISIBILITY
LINGUINI_AND_REMY	HARDY_AMOUNT	6	REALITY_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HEAL
TRON	HARDY_AMOUNT	11	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	HARDY
DR_FACILIER	CURSE_AMOUNT	2	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	SELF_SHIELD
HANK_AND_DORY	BLIND_AMOUNT	4	REALITY_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	BERSERK
GERALD_MARLIN_NEMO	TIME	15	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_ROLE	TANK	TEAM_SHIELD
POWERLINE	BLIND_AMOUNT	4	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	ATTACK_MOVE_SPEED_2
GOLIATH	KNOCK_BACK_AMOUNT	3	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	BLUE	TENACITY
KRISTOFF_AND_SVEN	FROZEN_AMOUNT	5	REALITY_BOOST	REALITY_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HOT
TIGGER	KNOCK_BACK_AMOUNT	5	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	ATTACK_SPEED_1
WINNIE_THE_POOH	SLOW_AMOUNT	4	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_ROLE	TANK	HARDY
MUSHU	SILENCE_AMOUNT	3	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	FANTASTIC_CRIT
SHAN_YU	STUDY_AMOUNT	1	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	DPS	CRIT_DAMAGE
EEYORE	SAP_AMOUNT	5	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	REFLECT
MULAN	SHIELD_AMOUNT	2	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	YELLOW	SELF_SHIELD
BELLE	HARDY_AMOUNT	6	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	ATTACK_MOVE_SPEED_1
SYNDROME	STUN_AMOUNT	2	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	CONTROL	INVISIBILITY
KIM_POSSIBLE	STUDY_AMOUNT	1	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	EVASION
MINNIE_MOUSE	CHARM_AMOUNT	2	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	ENERGIZED_2
EVIL_QUEEN	STUN_AMOUNT	2	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	EVASION
LI_SHANG	SILENCE_AMOUNT	1	REALITY_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	YELLOW	TEAM_HOT
DAVY_JONES	CURSE_AMOUNT	2	ARMOR_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	YELLOW	ENERGIZED_1
BALOO	CHARM_AMOUNT	1	REALITY_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	TANK	BERSERK
BASIL	STUDY_AMOUNT	3	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	HARDY
CHESHIRE_CAT	SAP_AMOUNT	5	BASIC_DAMAGE_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	SELF_HEAL
KING_LOUIE	SLOW_AMOUNT	4	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	EVASION
MAXIMUS	STUDY_AMOUNT	3	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	TANK	PRECISE
JUMBA	ALLY_KO_AMOUNT	2	BASIC_DAMAGE_BOOST	REALITY_BOOST_PER_ALLY_ROLE	CONTROL	ENERGIZED_2
PLEAKLEY	STUDY_AMOUNT	3	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	NORMAL_CRIT
ANGEL	SILENCE_AMOUNT	3	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_ROLE	CONTROL	TEAM_SHIELD
SLINKY_DOG	SHIELD_AMOUNT	9	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	ENERGY_GAIN
CAPTAIN_AMELIA	SAP_AMOUNT	2	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ATTACK_SPEED_1
IAN_LIGHTFOOT	REFLECT_AMOUNT	3	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	CONTROL	PRECISE
LOCK_SHOCK_BARREL	SCARE_AMOUNT	5	REALITY_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	EVASION
SADNESS	SILENCE_AMOUNT	1	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_COLOR	YELLOW	SELF_HOT
BUNSEN_AND_BEAKER	BLIND_AMOUNT	2	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	ATTACK_SPEED_2
DISGUST	SILENCE_AMOUNT	3	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	CONTROL	FANTASTIC_CRIT
KRONK	INVINCIBLE_AMOUNT	4	ARMOR_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	YELLOW	REFLECT
MANTICORE	DOT_AMOUNT	5	BASIC_DAMAGE_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	ATTACK_MOVE_SPEED_2
FEAR	HARDY_AMOUNT	6	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	YELLOW	INVISIBILITY
HAMM	REFLECT_AMOUNT	2	MAX_HP_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	SELF_HOT
JIM_HAWKINS	SHIELD_AMOUNT	2	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	RED	TEAM_HEAL
JOHN_SILVER	STUDY_AMOUNT	3	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	TANK	ENERGIZED_1
SWEDISH_CHEF	FATIGUE_AMOUNT	11	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_ROLE	TANK	CRIT_DAMAGE
HONEY_LEMON	SLOW_AMOUNT	1	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	TEAM_HEAL
KERMIT	INVINCIBLE_AMOUNT	4	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	TEAM_SHIELD
CLAWHAUSER	SKILL1_AMOUNT	5	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	SELF_SHIELD
DR_DRAKKEN	SILENCE_AMOUNT	3	SKILL_POWER_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	ENERGIZED_2
WASABI	BASIC_ATTACK_AMOUNT	16	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ATTACK_MOVE_SPEED_1
ROCKETEER	KNOCK_BACK_AMOUNT	5	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	BERSERK
MR_BIG_AND_KOSLOV	FROZEN_AMOUNT	5	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	SELF_HOT
BARLEY_LIGHTFOOT	TIME	15	ARMOR_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	SELF_SHIELD
DEMONA	SCARE_AMOUNT	5	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	FANTASTIC_CRIT
FAIRY_GODMOTHER	HARDY_AMOUNT	6	REALITY_BOOST	ARMOR_BOOST_PER_ALLY_COLOR	BLUE	TEAM_SHIELD
POCAHONTAS	KNOCK_BACK_AMOUNT	5	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	CONTROL	ATTACK_MOVE_SPEED_1
CARL	FATIGUE_AMOUNT	11	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_COLOR	RED	SELF_HEAL
RUSSELL_AND_KEVIN	SKILL1_AMOUNT	5	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	TEAM_HOT
FOZZIE	SLOW_AMOUNT	4	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	ARMOR_NEGATION
SHERIFF_OF_NOTTINGHAM	SAP_AMOUNT	5	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	TANK	SELF_HEAL
ESMERALDA	DOT_AMOUNT	5	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HOT
SHEGO	BASIC_ATTACK_AMOUNT	12	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ATTACK_SPEED_1
RON_STOPPABLE	REFLECT_AMOUNT	3	BASIC_DAMAGE_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	ARMOR_NEGATION
QUACKERJACK	FATIGUE_AMOUNT	11	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	REALITY_NEGATION
VINNY_SANTORINI	BLIND_AMOUNT	4	BASIC_DAMAGE_BOOST	REALITY_BOOST_PER_ALLY_ROLE	DPS	ENERGIZED_2
GO_GO	SKILL1_AMOUNT	3	REALITY_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	INVISIBILITY
FRED_FREDERICKSON	DOT_AMOUNT	2	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_COLOR	YELLOW	BERSERK
CHIP_AND_DALE	HARDY_AMOUNT	6	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	TEAM_HOT
GADGET_HACKWRENCH	KNOCK_BACK_AMOUNT	5	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	YELLOW	ENERGIZED_1
HELGA	KNOCK_BACK_AMOUNT	3	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	DPS	ARMOR_NEGATION
LILO	SCARE_AMOUNT	5	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	SELF_HEAL
BOLT	KNOCK_BACK_AMOUNT	3	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	DPS	ATTACK_SPEED_1
ARIEL	KNOCK_BACK_AMOUNT	5	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	BLUE	TEAM_HOT
ZEUS	SAP_AMOUNT	5	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	DPS	INVINCIBILITY
PHIL	FATIGUE_AMOUNT	11	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	BLUE	ATTACK_SPEED_1
WINIFRED_SANDERSON	STUN_AMOUNT	2	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_ROLE	CONTROL	PRECISE
SARAH_SANDERSON	CURSE_AMOUNT	3	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	CONTROL	INVINCIBILITY
MARY_SANDERSON	CHARM_AMOUNT	2	SKILL_POWER_BOOST	REALITY_BOOST_PER_ALLY_ROLE	CONTROL	ATTACK_SPEED_2
RAYA	STUN_AMOUNT	3	ARMOR_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	NORMAL_CRIT
SISU	BASIC_ATTACK_AMOUNT	16	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	TEAM_SHIELD
KING_TRITON	SLOW_AMOUNT	4	SKILL_POWER_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	TEAM_HOT
ANNA	FROZEN_AMOUNT	3	MAX_HP_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	BLUE	TEAM_HEAL
FLIK	SCARE_AMOUNT	5	ARMOR_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	TEAM_SHIELD
HOPPER	STUN_AMOUNT	3	BASIC_DAMAGE_BOOST	SKILL_POWER_BOOST_PER_ALLY_COLOR	RED	CRIT_DAMAGE
PETE	SHIELD_AMOUNT	9	SKILL_POWER_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_COLOR	RED	BERSERK
NAMAARI	WEAKNESS_AMOUNT	5	BASIC_DAMAGE_BOOST	MAX_HP_BOOST_PER_ALLY_COLOR	RED	ARMOR_NEGATION
BAGHEERA	INVISIBLE_AMOUNT	5	MAX_HP_BOOST	BASIC_DAMAGE_BOOST_PER_ALLY_ROLE	SUPPORT	TEAM_HOT
KAA	ALLY_KO_AMOUNT	1	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_COLOR	BLUE	SELF_HOT
THE_UNDERMINER	KNOCK_BACK_AMOUNT	3	BASIC_DAMAGE_BOOST	REALITY_BOOST_PER_ALLY_ROLE	DPS	ATTACK_SPEED_1
THE_HORNED_KING	ALLY_KO_AMOUNT	1	SKILL_POWER_BOOST	MAX_HP_BOOST_PER_ALLY_ROLE	CONTROL	ENERGY_GAIN
VOYD	INVINCIBLE_AMOUNT	1	MAX_HP_BOOST	REALITY_BOOST_PER_ALLY_ROLE	CONTROL	TEAM_SHIELD
