	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	GOLD_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
3-11	9	1	GREEN	16		0	BLACK_MARKET_9	SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_F	YAX,SOULLESS_BRUTE,SOULLESS_MAGE_F	[boss]MR_INCREDIBLE,ELASTIGIRL,DASH,SOULLESS_CANNON,FROZONE	ACE_OF_SPADES,GRUB,MULTIPURPOSE_FRYING_PAN	SWORD_IN_A_STONE,DULL_SWORD	
3-12	9	1	GREEN	16		0	BLACK_MARKET_10	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SWORD_F,SOULLESS_SWORD_F	SOULLESS_BRUTE,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_BRUTE	RALPH,[boss]MR_INCREDIBLE,VANELLOPE,SOULLESS_MAGE_N	GLASS_SLIPPERS,WIZARD_HAT,NUMBER_ONE_DIME	MOON_ANCHOR,GRUB	
3-13	10	1	GREEN	16		1	BLACK_MARKET_11	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	RALPH,SOULLESS_MAGE_F,SOULLESS_CANNON,DASH,[boss]MR_INCREDIBLE	SNUGGLY_DUCKLING,PAPER_AIRPLANE,REEL_PRICKLY_PEAR	CLEVER_FOX,NUMBER_ONE_DIME	
3-14	10	1	GREEN	16		0	BLACK_MARKET_12	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_F	CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,RALPH,FROZONE,MAX_GOOF,SOULLESS_MAGE_F	SWORD_IN_A_STONE,REEL_CONSPICUOUS_APPLE,BELLA_NOTTE	ACE_OF_SPADES,WIZARD_HAT	
3-15	11	1	GREEN	16		0	BLACK_MARKET_13	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F	MAX_GOOF,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]RALPH,ELASTIGIRL,DASH,SOULLESS_MAGE_N,SOULLESS_MAGE_N	REEL_CRAB_CAKE,MOON_ANCHOR,BADGE_OF_STEALTH	WIZARD_HAT,NUMBER_ONE_DIME	
3-16	11	1	GREEN	16		1	BLACK_MARKET_15	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]RALPH,SOULLESS_CANNON,DASH,SOULLESS_CANNON,SOULLESS_MAGE_N	WIZARD_HAT,REEL_CONSPICUOUS_APPLE,REEL_TINY_CAR	DULL_SWORD,ACE_OF_SPADES	10 EXP_PHILTER
3-17	12	1	GREEN	16		0	BLACK_MARKET_15	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_F	[boss]SOULLESS_BRUTE,RALPH,SOULLESS_CANNON,VANELLOPE,SOULLESS_MAGE_F	COOKBOOK,CONTINENTAL_BREAKFAST,BADGE_OF_FRIENDSHIP	MEEKOS_BISCUITS,CLEVER_FOX	
3-18	13	1	GREEN	16		0	BLACK_MARKET_16	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_SWORD_F	VANELLOPE,SOULLESS_MAGE_N,SOULLESS_CANNON	[boss]SOULLESS_BRUTE,ELASTIGIRL,SOULLESS_MAGE_N,SOULLESS_MAGE_N,JUDY_HOPPS	REEL_GOLDEN_FLOWER,MULTIPURPOSE_FRYING_PAN,MEEKOS_BISCUITS	BADGE_OF_FRIENDSHIP,GLASS_SLIPPERS	
3-19	14	1	GREEN	16		1	SUBWAY_2	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_SWORD_F	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	RALPH,SOULLESS_MAGE_N,SOULLESS_CANNON,ELASTIGIRL,[boss]MR_INCREDIBLE	MOON_ANCHOR,CONTINENTAL_BREAKFAST,SHARD_GIGANTIC_PEACH	GRUB,BADGE_OF_FRIENDSHIP	1 GOLD_CHEST_ROLL_X1
4-1	15	1	GREEN	16		1	SUBWAY_4	SOULLESS_CANNON,SOULLESS_CANNON,SOULLESS_CANNON	VANELLOPE,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,CHIEF_BOGO,[boss]RALPH,SOULLESS_MAGE_F,FROZONE	SHARD_JAR_OF_MARS,SWORD_IN_A_STONE,SHARD_REEL_CHIEFS_STONE	SUGAR_RUSH,HEARTY_BREAKFAST	
4-2	15	1	GREEN	16		0	SUBWAY_5	SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N	[boss]MR_INCREDIBLE,SOULLESS_MAGE_N,SOULLESS_MAGE_N,ELASTIGIRL,FINNICK	SHARD_JAR_OF_MARS,CONTINENTAL_BREAKFAST,SHARD_YOU_CAN_FLY	SWORD_IN_A_STONE,HEARTY_BREAKFAST,SUGAR_RUSH	
4-3	16	1	GREEN	16		0	HACKER_ENCLAVE_1	SOULLESS_MAGE_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	JUDY_HOPPS,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F	[boss]SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_F,DASH,FROZONE	SWORD_IN_A_STONE,REEL_ANEMONEMONE,REEL_MRS_NESBITTS_CHAPEAU	SHARD_REEL_CHIEFS_STONE,SUNNY_SIDE,SHARD_JAR_OF_MARS	
4-4	11	1	GREEN_1	16		1	HACKER_ENCLAVE_2	SOULLESS_MAGE_F,SOULLESS_MAGE_F,SOULLESS_MAGE_N	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_F,SOULLESS_BRUTE	MR_INCREDIBLE,CHIEF_BOGO,SOULLESS_BRUTE,SOULLESS_CANNON,FINNICK,[boss]NICK_WILDE	SHARD_WICKED_BEATS,REEL_MRS_NESBITTS_CHAPEAU,SNUGGLY_DUCKLING	A_BIT_OF_PRESTIDIGITATION,SUNNY_SIDE,ACE_OF_SPADES	
4-5	12	1	GREEN_1	16		0	HACKER_ENCLAVE_3	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_MAGE_N,SOULLESS_MAGE_F,SOULLESS_MAGE_F	[boss]CHIEF_BOGO,SOULLESS_MAGE_N,VANELLOPE,YAX,MAX_GOOF,SOULLESS_MAGE_N	SHARD_REEL_CHIEFS_STONE,DULL_SWORD,REEL_TINY_CAR	SHARD_YOU_CAN_FLY,SHARD_JAR_OF_MARS,A_BIT_OF_PRESTIDIGITATION	
