	IS_INTERNAL	ASSET_ATLAS	ASSET_NAME	ROUND_ASSET_NAME
STAINED_GLASS_BORDER	FALSE	external_collections	avatar_stained_glass_border_square	avatar_stained_glass_border_round
CHEESE_BORDER	FALSE	external_collections	cheese_border_square	cheese_border_round
ART_DECO_BORDER	FALSE	external_collections	art_deco_border_square	art_deco_border_round
OCTOPUS_BORDER	FALSE	external_collections	avatar_octopus_border_square	avatar_octopus_border_round
DOILY_BORDER	FALSE	external_collections	doily_border_square	doily_border_round
FILM_STRIP_BORDER	FALSE	external_collections	film_strip_border_square	film_strip_border_round
FISH_BORDER	FALSE	external_collections	fish_border_square	fish_border_round
PEARL_BORDER	FALSE	external_collections	pearl_border_square	pearl_border_round
PIE_CRUST_BORDER	FALSE	external_collections	pie_crust_border_square	pie_crust_border_round
ST_PATRICKS_BORDER	FALSE	external_collections	st_patricks_day_border_square	st_patricks_day_border_round
FIGHT_PIT_CHAMPION_BORDER	FALSE	external_coliseum	champ_square1	champ_circle1
FIGHT_PIT_DIV_1_BORDER	FALSE	external_collections	arena_border_square	arena_border_circle
COLISEUM_CHAMPION_BORDER	FALSE	external_coliseum	coli_champ_square1	coli_champ_circle1
COLISEUM_DIV_1_BORDER	FALSE	external_collections	challenger_reward_border_square	challenger_reward_border_circle
ANNIVERSARY_3_BORDER	FALSE	external_collections	anniversary_3_border_square	anniversary_3_border_circle
AMPHIBIA_BORDER	FALSE	external_collections	amphibia_border_square	amphibia_border_round
THE_OWL_HOUSE_BORDER	FALSE	external_collections	the_owl_house_border_square	the_owl_house_border_round
NEW_YEARS_2026_BORDER	FALSE	external_collections	new_year_border_2026_square	new_year_border_2026_round
GOLD_OLYMPIC_AVATAR	FALSE	external_collections	Olympic_gold_border_square	Olympic_gold_border_circle
SILVER_OLYMPIC_AVATAR	FALSE	external_collections	Olympic_silver_border_square	Olympic_silver_border_circle
BRONZE_OLYMPIC_AVATAR	FALSE	external_collections	Olympic_bronze_border_square	Olympic_bronze_border_circle
EXP_FLASK	TRUE	items	item_exp_potion_small	
EXP_PHILTER	TRUE	items	item_exp_potion_medium	
EXP_VIAL	TRUE	items	item_exp_potion_large	
EXP_DECANTER	TRUE	items	item_exp_potion_x_large	
VOID_DUST	TRUE	items	items_void_dust	
SHIMMER_DUST	TRUE	items	items_shimmer_dust	
PRIMAL_ESSENCE	TRUE	items	items_primal_essence	
IRON_ORE	TRUE	items	item_loot_white	
COPPER_ORE	TRUE	items	item_loot_gold	
SILVER_ORE	TRUE	items	item_loot_silver	
VOLCANIC_ORE	TRUE	items	item_loot_black	
MITHRIL_ORE	TRUE	items	item_loot_platinum	
RAID_TICKET	TRUE	items	items_raid_ticket	
VIP5_CONSUMABLE	TRUE	items	vip_wristband_counsumable	
SOUL_CHEST_ROLL	TRUE	items	chests_soul	
SUGAR_RUSH	TRUE	items	items_sugar_rush	
NUMBER_ONE_DIME	TRUE	items	items_number_one_dime	
BELLA_NOTTE	TRUE	items	items_bella_notte	
CLEVER_FOX	TRUE	items	items_clever_fox	
HEARTY_BREAKFAST	TRUE	items	items_a_hearty_breakfast	
PROUD_UNICORN	TRUE	items	items_proud_unicorn	
A_BIT_OF_PRESTIDIGITATION	TRUE	items	items_a_bit_of_prestidigitation	
BLUEBIRD_OF_HAPPINESS	TRUE	items	items_bluebird_of_happiness	
SUPER_DUPER_GLUE	TRUE	items	items_super_duper_glue	
BADGE_OF_FRIENDSHIP	TRUE	items	items_badge_of_friendship	
BADGE_OF_STEALTH	TRUE	items	items_badge_of_stealth	
BADGE_OF_GIRTH	TRUE	items	items_badge_of_girth	
BADGE_OF_MOTIVATION	TRUE	items	items_badge_of_motivation	
WICKED_BEATS	TRUE	items	items_wicked_beats	
PARTY_REX	TRUE	items	items_Party_Rex	
TOUGH_COOKIE	TRUE	items	items_tough_cookie	
ACE_OF_SPADES	TRUE	items	items_ace_of_spades	
REALLY_BAD_EGG	TRUE	items	items_really_bad_egg	
SNUGGLY_DUCKLING	TRUE	items	items_snuggly_duckling	
ROUSING_MUSICAL_NUMBER	TRUE	items	items_rousing_musical_number	
PIRATES_COMPASS	TRUE	items	items_pirates_compass	
ANVIL_OF_MORALITY	TRUE	items	items_anvil_of_morality	
SWORD_IN_A_STONE	TRUE	items	items_sword_in_a_stone	
SAVE_TOKEN	TRUE	items	items_save_token	
WILDERNESS_EXPLORER	TRUE	items	items_wilderness_explorer	
YOU_CAN_FLY	TRUE	items	items_you_can_fly	
LOVELY_BUNCH_OF_COCONUTS	TRUE	items	items_lovely_bunch_of_coconuts	
CONTINENTAL_BREAKFAST	TRUE	items	items_continental_breakfast	
JAR_OF_MARS	TRUE	items	items_jar_of_mars	
CRAB_CAKE	TRUE	items	items_crab_cake	
MOON_ANCHOR	TRUE	items	items_moon_anchor	
POCKET_TREE	TRUE	items	items_pocket_tree	
REINDEER_FUEL	TRUE	items	items_reindeer_fuel	
GOLDEN_TEAPOT	TRUE	items	items_golden_teapot	
EMBRITTLEMENT_PERFUME	TRUE	items	items_embrittlement_perfume	
WIZARD_HAT	TRUE	items	items_wizard_hat	
INCONSPICUOUS_APPLE	TRUE	items	items_inconspicuous_apple	
DULL_SWORD	TRUE	items	items_dull___sword	
GLASS_SLIPPERS	TRUE	items	items_glass_slippers	
TREASURE_MAP	TRUE	items	items_treasure_map	
STRANGE_MUSHROOM	TRUE	items	items_strange_mushroom	
MULTIPURPOSE_FRYING_PAN	TRUE	items	items_multipurpose_frying_pan	
GRUB	TRUE	items	Items_grub	
GIGANTIC_PEACH	TRUE	items	items_gigantic_peach	
FISHING_POLE	TRUE	items	items_fishing_pole	
MYSTERIOUS_SEEDLING	TRUE	items	items_mysterious_seedling	
PAPER_AIRPLANE	TRUE	items	items_paper_plane	
SPILT_MILK	TRUE	items	items_spilt_milk	
TIME_SINK	TRUE	items	items_time_sink	
NOTRE_DINNER_BELL	TRUE	items	items_notre_dinner_bell	
PIRATE_HAT	TRUE	items	items_pirate_hat	
INCOGNITO_MODE	TRUE	items	items_Incognito_mode	
FLYAWAY_UMBRELLA	TRUE	items	items_flyaway_umbrella	
TINY_CAR	TRUE	items	items_tiny_car	
ANEMONEMONE	TRUE	items	items_anemonemone	
THINGAMABOB	TRUE	items	items_thingamabob	
SUNNY_SIDE	TRUE	items	items_sunnyside	
CONSPICUOUS_APPLE	TRUE	items	items_conspicuous_apple	
BUNDLE_OF_FIREWORKS	TRUE	items	items_bundle_of_fireworks	
MEEKOS_BISCUITS	TRUE	items	items_meekos_biscuits	
COOKBOOK	TRUE	items	items_cookbook	
SAN_FRANCISCO_PIZZA	TRUE	items	items_san_francisco_pizza	
POPPIN_CARPET_BAG	TRUE	items	items_poppin_carpet_bag	
PRICKLY_PEAR	TRUE	items	items_prickly_pear	
HOMEOPATHIC_CURE	TRUE	items	items_homeopathic_cure	
PIGGY_BANK	TRUE	items	items_piggy_bank	
IMAGINATION_SHIP	TRUE	items	items_imagination_ship	
SCREAM_CANISTER	TRUE	items	items_scream_canister	
PRINCESS_FINDER	TRUE	items	items_princess_finder	
GOLDEN_FLOWER	TRUE	items	items_magical_flower	
WIG_A_LA_MODE	TRUE	items	items_wig_a_la_mode	
EXTRACT_OF_LLAMA	TRUE	items	items_extract_of_llama	
MRS_NESBITTS_CHAPEAU	TRUE	items	items_mrs_nesbitts_chapeau	
BASKETBALL_JERSEY	TRUE	items	items_basketball_jersey	
CLEANING_SERVICE	TRUE	items	items_cleaning_service	
YZMAS_ANTI_AGING_CREAM	TRUE	items	items_yzmas_anti_aging_cream	
DREAM_JAR	TRUE	items	items_dream_jar	
CHIEFS_STONE	TRUE	items	items_chiefs_stone	
CHERRY_BOMB	TRUE	items	items_cherry_bomb	
BOOS_ROOM_KEY	TRUE	items	items_boos_room_key	
SHOEBILL	TRUE	items	items_shoebill	
DISCARDED_TIARA	TRUE	items	items_discarded_tiara	
BONE_XYLOPHONE	TRUE	items	items_bone_xylophone	
SEA_WITCHS_CONTRACT	TRUE	items	items_sea_witchs_contract	
DOCTORS_TOP_HAT	TRUE	items	items_doctors_top_hat	
MISPLACED_TAIL	TRUE	items	items_misplaced_tail	
GLOW_BUG	TRUE	items	items_glow_bug	
PIGASUS	TRUE	items	items_pigasus	
STYLIN_PENGUIN	TRUE	items	items_stylin_penguin	
LOVE_BUG	TRUE	items	items_love_bug	
AIR_HERCS	TRUE	items	items_air_hercs	
FAIRY_LANTERN	TRUE	items	items_fairy_lantern	
ESCAPE_PLAN	TRUE	items	items_escape_plan	
FLUBBER	TRUE	items	items_flubber	
LAWNMOWER_REMOTE	TRUE	items	items_lawnmower_remote	
BEAUTIFUL_LAMP	TRUE	items	items_beautiful_lamp	
ARAIGNEE_NOIRE	TRUE	items	items_araignee_noire	
MIST_MAKER	TRUE	items	items_mist_maker	
LIGHTSPEED	TRUE	items	items_lightspeed	
FAMILY_HEIRLOOM	TRUE	items	items_family_heirloom	
ANEMONEMONE	TRUE	items	items_anemonemone	
INCONSPICUOUS_APPLE	TRUE	items	items_inconspicuous_apple	
BLUEBIRD_OF_HAPPINESS	TRUE	items	items_bluebird_of_happiness	
CRAB_CAKE	TRUE	items	items_crab_cake	
LOVELY_BUNCH_OF_COCONUTS	TRUE	items	items_lovely_bunch_of_coconuts	
SAN_FRANCISCO_PIZZA	TRUE	items	items_san_francisco_pizza	
PRICKLY_PEAR	TRUE	items	items_prickly_pear	
BADGE_OF_GIRTH	TRUE	items	items_badge_of_girth	
TINY_CAR	TRUE	items	items_tiny_car	
BADGE_OF_MOTIVATION	TRUE	items	items_badge_of_motivation	
MRS_NESBITTS_CHAPEAU	TRUE	items	items_mrs_nesbitts_chapeau	
PARTY_REX	TRUE	items	items_Party_Rex	
REALLY_BAD_EGG	TRUE	items	items_really_bad_egg	
ROUSING_MUSICAL_NUMBER	TRUE	items	items_rousing_musical_number	
CONSPICUOUS_APPLE	TRUE	items	items_conspicuous_apple	
ANVIL_OF_MORALITY	TRUE	items	items_anvil_of_morality	
TIME_SINK	TRUE	items	items_time_sink	
INCOGNITO_MODE	TRUE	items	items_Incognito_mode	
SAVE_TOKEN	TRUE	items	items_save_token	
BASKETBALL_JERSEY	TRUE	items	items_basketball_jersey	
CHIEFS_STONE	TRUE	items	items_chiefs_stone	
WILDERNESS_EXPLORER	TRUE	items	items_wilderness_explorer	
DISCARDED_TIARA	TRUE	items	items_discarded_tiara	
BONE_XYLOPHONE	TRUE	items	items_bone_xylophone	
SEA_WITCHS_CONTRACT	TRUE	items	items_sea_witchs_contract	
DOCTORS_TOP_HAT	TRUE	items	items_doctors_top_hat	
MISPLACED_TAIL	TRUE	items	items_misplaced_tail	
GLOW_BUG	TRUE	items	items_glow_bug	
PIGASUS	TRUE	items	items_pigasus	
FLUBBER	TRUE	items	items_flubber	
LAWNMOWER_REMOTE	TRUE	items	items_lawnmower_remote	
GOLDEN_FLOWER	TRUE	items	items_magical_flower	
ARAIGNEE_NOIRE	TRUE	items	items_araignee_noire	
MIST_MAKER	TRUE	items	items_mist_maker	
LIGHTSPEED	TRUE	items	items_lightspeed	
FAMILY_HEIRLOOM	TRUE	items	items_family_heirloom	
SCREAM_CANISTER	TRUE	items	items_scream_canister	
JAR_OF_MARS	TRUE	items	items_jar_of_mars	
GIGANTIC_PEACH	TRUE	items	items_gigantic_peach	
IMAGINATION_SHIP	TRUE	items	items_imagination_ship	
PRINCESS_FINDER	TRUE	items	items_princess_finder	
WIG_A_LA_MODE	TRUE	items	items_wig_a_la_mode	
EXTRACT_OF_LLAMA	TRUE	items	items_extract_of_llama	
SPILT_MILK	TRUE	items	items_spilt_milk	
WICKED_BEATS	TRUE	items	items_wicked_beats	
YOU_CAN_FLY	TRUE	items	items_you_can_fly	
LOVE_BUG	TRUE	items	items_love_bug	
AIR_HERCS	TRUE	items	items_air_hercs	
FAIRY_LANTERN	TRUE	items	items_fairy_lantern	
ESCAPE_PLAN	TRUE	items	items_escape_plan	
REALLY_BAD_EGG	TRUE	items	items_really_bad_egg	
INCOGNITO_MODE	TRUE	items	items_Incognito_mode	
ROUSING_MUSICAL_NUMBER	TRUE	items	items_rousing_musical_number	
SAVE_TOKEN	TRUE	items	items_save_token	
BASKETBALL_JERSEY	TRUE	items	items_basketball_jersey	
BADGE_OF_MOTIVATION	TRUE	items	items_badge_of_motivation	
CHIEFS_STONE	TRUE	items	items_chiefs_stone	
WILDERNESS_EXPLORER	TRUE	items	items_wilderness_explorer	
DISCARDED_TIARA	TRUE	items	items_discarded_tiara	
BONE_XYLOPHONE	TRUE	items	items_bone_xylophone	
SEA_WITCHS_CONTRACT	TRUE	items	items_sea_witchs_contract	
DOCTORS_TOP_HAT	TRUE	items	items_doctors_top_hat	
MISPLACED_TAIL	TRUE	items	items_misplaced_tail	
GLOW_BUG	TRUE	items	items_glow_bug	
PIGASUS	TRUE	items	items_pigasus	
FLUBBER	TRUE	items	items_flubber	
LAWNMOWER_REMOTE	TRUE	items	items_lawnmower_remote	
ARAIGNEE_NOIRE	TRUE	items	items_araignee_noire	
MIST_MAKER	TRUE	items	items_mist_maker	
LIGHTSPEED	TRUE	items	items_lightspeed	
FAMILY_HEIRLOOM	TRUE	items	items_family_heirloom	
SCREAM_CANISTER	TRUE	items	items_scream_canister	
AVATAR_BETA_KEY	TRUE	items	avatar_beta_key	
AVATAR_INCREDIBLES	TRUE	items	item_incredible_avatar	
MISSION_SPEEDUP	TRUE	items	mission_speed_up	
EXPEDITION_RAID_1	TRUE	items	normal_city_watch_raid_tickets	
EXPEDITION_RAID_2	TRUE	items	Hard_city_watch_raid_tickets	
CRYPT_RAID_TICKET	TRUE	items	creep_surge_raid_tickets	
EXPEDITION_RAID_3	TRUE	items	super_hard_city_watch_raid_tickets	
EXP_NITRO	TRUE	items	item_exp_potion_nitro	
FREE_NAME_CHANGE	TRUE	items	name_change	
EXPEDITION_EPIC_RAID_TICKET	TRUE	items	epic_city_watch_tickets	
EXP_ULTRA	TRUE	items	item_exp_potion_ultra	
FREE_DAILY_DIAMONDS_30	TRUE	items	diamond_bundles_daily_deal	
RAID_TICKET	TRUE	items	items_raid_ticket	
EXP_FLASK	TRUE	items	item_exp_potion_small	
JAR_OF_MARS	TRUE	items	items_jar_of_mars	
RAID_TICKET	TRUE	items	items_raid_ticket	
EXP_FLASK	TRUE	items	item_exp_potion_small	
JAR_OF_MARS	TRUE	items	items_jar_of_mars	
ALCHEMY_COST_RESET	FALSE	external_items	alchemy_cost_reset	
STAMINA_COST_RESET	FALSE	external_items	stamina_cost_reset	
ELITE_CHANCES_COST_RESET	FALSE	external_items	elite_chances_cost_reset	
STAMINA_CONSUMABLE	FALSE	external_items	icon_consumable_stamina	
DOUBLE_NORMAL_CAMPAIGN_DROPS	FALSE	external_items	double_normal_campaign_drop	
DOUBLE_ELITE_CAMPAIGN_DROPS	FALSE	external_items	double_elite_campaign_drop	
SHOP_REFRESH	FALSE	external_items	shop_refresh	
SILVER_CHEST_ROLL_X1	FALSE	external_items	items_chest_gold	
GOLD_CHEST_ROLL_X1	FALSE	external_items	items_chest_silver	
IMPRACTICAL_CUFFLINKS	FALSE	external_items	items_impractical_cufflinks	
FOX_MACE	FALSE	external_items	items_fox_mace	
BAYMAX_PATCH_KIT	FALSE	external_items	items_baymax_patch_kit	
SPELL_DIARY	FALSE	external_items	items_spell_diary	
CARROT_PEN	FALSE	external_items	items_carrot_pen	
ROCK_PUNCH	FALSE	external_items	items_rock_punch	
SANDY_CLAWS_LANTERN	FALSE	external_items	items_sandy_claws_lantern	
BRUCES_BADGES	FALSE	external_items	items_bruces_badges	
TRITONS_TRIDENT	FALSE	external_items	items_tritons_trident	
CALAMARI	FALSE	external_items	items_calamari	
UNBIRTHDAY_HAT	FALSE	external_items	items_unbirthday_hat	
DE_VILS_LIPSTICK	FALSE	external_items	items_de_vils_lipstick	
GRAPPLING_HOOK	FALSE	external_items	items_grappling_hook	
OOZMA_KAPPA_CHEER_KIT	FALSE	external_items	items_oozma_kappa_cheer_kit	
LAST_RESORT	FALSE	external_items	items_last_resort	
FA_FAMILY_SHEARS	FALSE	external_items	items_fa_family_hair_shears	
CURSED_COIN	FALSE	external_items	items_cursed_coin	
GUILD_TROPHY_SMALL	FALSE	external_items	guild_trophies_small	
GUILD_TROPHY_MEDIUM	FALSE	external_items	guild_trophies_medium	
GUILD_TROPHY_LARGE	FALSE	external_items	guild_trophies_large	
GUILD_TROPHY_XL	FALSE	external_items	guild_trophies_extra_large	
JAR_OF_SAND	FALSE	external_items	Items_Jar_of_Sand	
IMPRACTICAL_OVEN_MITTS	FALSE	external_items	items_impractical_oven_mitts	
SPEAR_MINT	FALSE	external_items	items_spear_mint	
BEACH_BOMB	FALSE	external_items	items_beach_bomb	
BELLWEATHERS_MUG	FALSE	external_items	items_bellweathers_mug	
LEANING_TOWER_OF_CHEEZ_A	FALSE	external_items	items_leaning_tower_of_cheeza	
RASPBEARY_CAKE	FALSE	external_items	items_raspbeary_cake	
PASSIVE_AGGRESSIVE_ELLIPSIS	FALSE	external_items	items_passive_aggressive_ellipsis	
FREDS_RECYCLED_BOXERS	FALSE	external_items	items_freds_recycled_boxers	
PINEAPPLE_CRATE	FALSE	external_items	items_pineapple_crate	
LOST_NECKLACE	FALSE	external_items	items_lost_necklace	
JAFARS_CUFFLINKS	FALSE	external_items	items_jafars_cufflinks	
STABLE_WALKING_CANE	FALSE	external_items	items_stable_walking_cane	
AQUARIUM_TAG	FALSE	external_items	items_aquarium_tag	
SAFETY_HELMET	FALSE	external_items	items_safety_helmet	
POTENTIAL_CARRIAGE	FALSE	external_items	items_potential_carriage	
STONE_GUARDIAN	FALSE	external_items	items_stone_guardian	
KIMMUNICATOR	FALSE	external_items	items_kimmunicator	
DARK_DISGUISE	FALSE	external_items	items_dark_disguis	
PILOTS_CAP	FALSE	external_items	items_pilots_cap	
BREAKFAST_OF_CHAMPIONS	FALSE	external_items	items_breakfast_of_champions	
THINKING_CAP	FALSE	external_items	items_thinking_cap	
OO_DE_LALLY_ARROWS	FALSE	external_items	items_oo_de_lally_arrows	
ROCKET_PACK_PATCH_KIT	FALSE	external_items	items_rocket_pack_patch	
BLACK_MAGIC_CAULDRON	FALSE	external_items	items_black_magic_cauldron	
MASK_OF_THE_CAKE_EATER	FALSE	external_items	items_mask_of_the_cake_eater	
DEUS_EX_CALIBUR	FALSE	external_items	items_deus_ex_calibur	
SHRINK_RAY	FALSE	external_items	items_shrink_ray	
LUCKY_EARS	FALSE	external_items	items_lucky_ears	
HOT_DOG	FALSE	external_items	items_hot_dog	
HANKS_HOT_SAUCE	FALSE	external_items	items_hanks_hot_sauce	
FOX_MACE	FALSE	external_items	items_fox_mace	
SPEAR_MINT	FALSE	external_items	items_spear_mint	
PASSIVE_AGGRESSIVE_ELLIPSIS	FALSE	external_items	items_passive_aggressive_ellipsis	
FREDS_RECYCLED_BOXERS	FALSE	external_items	items_freds_recycled_boxers	
PINEAPPLE_CRATE	FALSE	external_items	items_pineapple_crate	
JAFARS_CUFFLINKS	FALSE	external_items	items_jafars_cufflinks	
STABLE_WALKING_CANE	FALSE	external_items	items_stable_walking_cane	
STONE_GUARDIAN	FALSE	external_items	items_stone_guardian	
HOT_DOG	FALSE	external_items	items_hot_dog	
LAST_RESORT	FALSE	external_items	items_last_resort	
PILOTS_CAP	FALSE	external_items	items_pilots_cap	
TRITONS_TRIDENT	FALSE	external_items	items_tritons_trident	
FA_FAMILY_SHEARS	FALSE	external_items	items_fa_family_hair_shears	
OO_DE_LALLY_ARROWS	FALSE	external_items	items_oo_de_lally_arrows	
CURSED_COIN	FALSE	external_items	items_cursed_coin	
KIMMUNICATOR	FALSE	external_items	items_kimmunicator	
POTENTIAL_CARRIAGE	FALSE	external_items	items_potential_carriage	
AQUARIUM_TAG	FALSE	external_items	items_aquarium_tag	
RASPBEARY_CAKE	FALSE	external_items	items_raspbeary_cake	
UNBIRTHDAY_HAT	FALSE	external_items	items_unbirthday_hat	
LOST_NECKLACE	FALSE	external_items	items_lost_necklace	
SHRINK_RAY	FALSE	external_items	items_shrink_ray	
LUCKY_EARS	FALSE	external_items	items_lucky_ears	
DEUS_EX_CALIBUR	FALSE	external_items	items_deus_ex_calibur	
THINKING_CAP	FALSE	external_items	items_thinking_cap	
SPEAR_MINT	FALSE	external_items	items_spear_mint	
PASSIVE_AGGRESSIVE_ELLIPSIS	FALSE	external_items	items_passive_aggressive_ellipsis	
FREDS_RECYCLED_BOXERS	FALSE	external_items	items_freds_recycled_boxers	
PINEAPPLE_CRATE	FALSE	external_items	items_pineapple_crate	
JAFARS_CUFFLINKS	FALSE	external_items	items_jafars_cufflinks	
PILOTS_CAP	FALSE	external_items	items_pilots_cap	
HOT_DOG	FALSE	external_items	items_hot_dog	
OO_DE_LALLY_ARROWS	FALSE	external_items	items_oo_de_lally_arrows	
LAST_RESORT	FALSE	external_items	items_last_resort	
FOX_MACE	FALSE	external_items	items_fox_mace	
TRITONS_TRIDENT	FALSE	external_items	items_tritons_trident	
FA_FAMILY_SHEARS	FALSE	external_items	items_fa_family_hair_shears	
CURSED_COIN	FALSE	external_items	items_cursed_coin	
KIMMUNICATOR	FALSE	external_items	items_kimmunicator	
POTENTIAL_CARRIAGE	FALSE	external_items	items_potential_carriage	
CROQUET_BALL	FALSE	external_items	items_croquet_ball	
CRYSTAL_BELLE	FALSE	external_items	items_crystal_belle	
REALLY_GOOD_BALL	FALSE	external_items	items_really_good_ball	
MERLINS_BAG	FALSE	external_items	items_merlins_bag	
I_FIGHT_FOR_THE_USERS	FALSE	external_items	items_i_fight_for_the_users	
CROWN_OF_NY	FALSE	external_items	items_crown_of_new_york	
PIRATE_HIDEOUT	FALSE	external_items	items_pirate_hideout	
PEPPER_SHAKER	FALSE	external_items	items_pepper_shaker	
SOCIAL_CHEST_ROLL_X1	FALSE	external_items	items_chest_social	
DOUBLE_CAMPAIGN_HERO_XP	FALSE	external_items	icon_consumable_bonus_hero	
DOUBLE_CAMPAIGN_GOLD	FALSE	external_items	double_campaign_gold	
FRIEND_STAMINA_CONSUMABLE	FALSE	external_items	icon_consumable_friendship_stamina	
STABLE_WALKING_CANE	FALSE	external_items	items_stable_walking_cane	
STONE_GUARDIAN	FALSE	external_items	items_stone_guardian	
MR_INCREDIBLE_EMOJI	FALSE	external_emojis	Emoji_Incredibles_MrIncredible_Default	
ELASTIGIRL_EMOJI	FALSE	external_emojis	Emoji_Incredibles_MrsIncredible_Default	
DASH_EMOJI	FALSE	external_emojis	Emoji_Incredibles_Dash_Default	
VIOLET_EMOJI	FALSE	external_emojis	Emoji_Incredibles_Violet_Default	
JACK_JACK_EMOJI	FALSE	external_emojis	Emoji_Incredibles_JackJack_Default	
FROZONE_EMOJI	FALSE	external_emojis	Emoji_Incredibles_Frozone_Default	
JUDY_HOPPS_EMOJI	FALSE	external_emojis	Emoji_Expressions_Zootopia_Judy_Default	
NICK_WILDE_EMOJI	FALSE	external_emojis	Emoji_Expressions_Zootopia_Nick_Default	
FINNICK_EMOJI	FALSE	external_emojis	Emoji_Expressions_Zootopia_Finnick_Default	
CHIEF_BOGO_EMOJI	FALSE	external_emojis	Emoji_Expressions_Zootopia_Bogo_Default	
YAX_EMOJI	FALSE	external_emojis	Emoji_Expressions_Zootopia_Yax_Default	
BUZZ_EMOJI	FALSE	external_emojis	Emoji_Expressions_ToyStory_Buzz_Default	
WOODY_EMOJI	FALSE	external_emojis	Emoji_Expressions_ToyStory_Woody_Default	
REX_EMOJI	FALSE	external_emojis	Emoji_Expressions_ToyStory_Rex_Default	
EMPEROR_ZURG_EMOJI	FALSE	external_emojis	Emoji_Expressions_ToyStory_Zurg_Default	
JESSIE_EMOJI	FALSE	external_emojis	Emoji_Expressions_ToyStory_Jessie_Default	
SULLEY_EMOJI	FALSE	external_emojis	Emoji_Expressions_MonstersInc_Sulley_Default	
MIKE_EMOJI	FALSE	external_emojis	Emoji_Expressions_MonstersInc_Mike_Default	
EVE_EMOJI	FALSE	external_emojis	Emoji_Expressions_WallE_Eve_Default	
WALL_E_EMOJI	FALSE	external_emojis	Emoji_Expressions_WallE_WallE_Default	
JACK_SPARROW_EMOJI	FALSE	external_emojis	Emoji_Expressions_Pirates_JackSparrow_Default	
MERIDA_EMOJI	FALSE	external_emojis	Emoji_Expressions_Brave_Merida_Default	
STITCH_EMOJI	FALSE	external_emojis	Emoji_Expressions_LiloAndStitch_Stitch_Default	
MOANA_EMOJI	FALSE	external_emojis	Emoji_Expressions_Moana_Moana_Default	
