	EXP
281	3,660,000
282	3,681,000
283	3,702,000
284	3,723,000
285	3,744,000
286	3,765,000
287	3,786,000
288	3,807,000
289	3,828,000
290	3,849,000
291	3,870,000
292	3,891,000
293	3,912,000
294	3,933,000
295	3,954,000
296	3,975,000
297	3,996,000
298	4,017,000
299	4,038,000
300	4,059,000
301	4,080,000
302	4,101,000
303	4,122,000
304	4,143,000
305	4,164,000
306	4,185,000
307	4,206,000
308	4,227,000
309	4,248,000
310	4,269,000
311	4,290,000
312	4,311,000
313	4,332,000
314	4,353,000
315	4,374,000
316	4,395,000
317	4,416,000
318	4,437,000
319	4,458,000
320	4,479,000
321	4,500,000
322	4,521,000
323	4,542,000
324	4,563,000
325	4,584,000
326	4,605,000
327	4,626,000
328	4,647,000
329	4,668,000
330	4,689,000
331	4,710,000
332	4,731,000
333	4,752,000
334	4,773,000
335	4,794,000
336	4,815,000
337	4,836,000
338	4,857,000
339	4,878,000
340	4,899,000
341	4,920,000
342	4,941,000
343	4,962,000
344	4,983,000
345	5,004,000
346	5,025,000
347	5,046,000
348	5,067,000
349	5,088,000
350	5,109,000
351	5,130,000
352	5,151,000
353	5,172,000
354	5,193,000
355	5,214,000
356	5,235,000
357	5,256,000
358	5,277,000
359	5,298,000
360	5,319,000
361	5,340,000
362	5,361,000
363	5,382,000
364	5,403,000
365	5,424,000
366	5,445,000
367	5,466,000
368	5,487,000
369	5,508,000
370	5,529,000
371	5,550,000
372	5,571,000
373	5,592,000
374	5,613,000
375	5,634,000
376	5,655,000
377	5,676,000
378	5,697,000
379	5,718,000
380	5,739,000
381	5,760,000
382	5,781,000
383	5,802,000
384	5,823,000
385	6,172,000
386	6,542,000
387	6,935,000
388	7,351,000
389	7,792,000
390	8,260,000
391	8,756,000
392	9,281,000
393	9,838,000
394	10,428,000
395	11,054,000
396	11,717,000
397	12,420,000
398	13,165,000
399	13,955,000
400	14,792,000
401	15,680,000
402	16,621,000
403	17,618,000
404	18,675,000
405	19,796,000
406	20,984,000
407	22,243,000
408	23,578,000
409	24,993,000
410	26,493,000
411	28,083,000
412	29,768,000
413	31,554,000
414	33,447,000
415	35,454,000
416	37,581,000
417	39,836,000
418	42,226,000
419	44,760,000
420	47,446,000
421	50,293,000
422	53,311,000
423	56,510,000
424	59,901,000
425	63,495,000
426	67,305,000
427	71,343,000
428	75,624,000
429	80,161,000
430	84,971,000
431	90,069,000
432	95,473,000
433	101,201,000
434	107,273,000
435	113,709,000
436	120,532,000
437	127,764,000
438	135,430,000
439	143,556,000
440	152,169,000
441	161,299,000
442	170,977,000
443	181,236,000
444	192,110,000
445	203,637,000
446	215,855,000
447	228,806,000
448	242,534,000
449	257,086,000
450	272,511,000
451	288,862,000
452	306,194,000
453	324,566,000
454	344,040,000
455	346,104,000
456	348,181,000
457	350,270,000
458	352,372,000
459	354,486,000
460	356,613,000
461	358,753,000
462	360,906,000
463	363,071,000
464	365,249,000
465	367,440,000
466	369,645,000
467	371,863,000
468	374,094,000
469	376,339,000
470	378,597,000
471	380,869,000
472	383,154,000
473	385,453,000
474	387,766,000
475	390,093,000
476	392,434,000
477	394,789,000
478	397,158,000
479	399,541,000
480	401,938,000
481	404,350,000
482	406,776,000
483	409,217,000
484	411,672,000
485	414,142,000
486	416,627,000
487	419,127,000
488	421,642,000
489	424,172,000
490	426,717,000
491	429,277,000
492	431,853,000
493	434,444,000
494	437,051,000
495	439,673,000
496	442,311,000
497	444,965,000
498	447,635,000
499	450,321,000
500	453,023,000
501	455,741,000
502	458,475,000
503	461,226,000
504	463,993,000
505	466,777,000
506	469,578,000
507	472,395,000
508	475,229,000
509	478,080,000
510	480,948,000
511	483,834,000
512	486,737,000
513	489,657,000
514	492,595,000
515	495,551,000
516	498,524,000
517	501,515,000
518	504,524,000
519	507,551,000
520	510,596,000
521	513,660,000
522	516,742,000
523	519,842,000
524	522,961,000
525	526,099,000
526	529,256,000
527	532,432,000
528	535,627,000
529	538,841,000
530	542,074,000
531	545,326,000
532	548,598,000
533	551,890,000
534	555,201,000
535	558,532,000
536	561,883,000
537	565,254,000
538	568,646,000
539	572,058,000
540	575,490,000
541	578,943,000
542	582,417,000
543	585,912,000
544	589,427,000
545	592,964,000
546	596,522,000
547	600,101,000
548	603,702,000
549	607,324,000
550	610,968,000
551	614,634,000
552	618,322,000
553	622,032,000
554	625,764,000
555	629,519,000
556	633,296,000
557	637,096,000
558	640,919,000
559	644,765,000
560	648,634,000
561	652,526,000
562	656,441,000
563	660,380,000
564	664,342,000
565	668,328,000
566	672,338,000
567	676,372,000
568	680,430,000
569	684,513,000
570	688,620,000
571	692,752,000
572	696,909,000
573	701,090,000
574	705,297,000
575	709,529,000
576	713,786,000
577	718,069,000
578	722,377,000
579	726,711,000
580	731,071,000
581	735,457,000
582	739,870,000
583	744,309,000
584	748,775,000
585	753,268,000
586	757,788,000
587	762,335,000
588	766,909,000
589	771,510,000
590	776,139,000
591	780,796,000
592	785,481,000
593	790,194,000
594	794,935,000
595	799,705,000
596	804,503,000
597	809,330,000
598	814,186,000
599	819,071,000
600	823,985,000
601	828,929,000
602	833,903,000
603	838,906,000
604	843,939,000
605	849,003,000
606	854,097,000
607	859,222,000
608	864,377,000
609	869,563,000
610	874,780,000
611	880,029,000
612	885,309,000
613	890,621,000
614	895,965,000
615	901,341,000
616	906,749,000
617	912,189,000
618	917,662,000
619	923,168,000
620	928,707,000
621	934,279,000
622	939,885,000
623	945,524,000
624	951,197,000
625	956,904,000
626	962,645,000
627	968,421,000
628	974,232,000
629	980,077,000
630	985,957,000
631	991,873,000
632	997,824,000
633	1,003,811,000
634	1,009,834,000
635	1,015,893,000
636	1,021,988,000
637	1,028,120,000
638	1,034,289,000
639	1,040,495,000
640	1,046,738,000
641	1,053,018,000
642	1,059,336,000
643	1,065,692,000
644	1,072,086,000
645	1,078,519,000
646	1,084,990,000
647	1,091,500,000
648	1,098,049,000
649	1,104,637,000
650	1,111,265,000
651	1,117,933,000
652	1,124,641,000
653	1,131,389,000
654	1,138,177,000
655	1,145,006,000
656	1,151,876,000
657	1,158,787,000
658	1,165,740,000
659	1,172,734,000
660	1,179,770,000
661	1,186,849,000
662	1,193,970,000
663	1,201,134,000
664	1,208,341,000
665	1,215,591,000
666	1,222,885,000
667	1,230,222,000
668	1,237,603,000
669	1,245,029,000
670	1,252,499,000
671	1,260,014,000
672	1,267,574,000
673	1,275,179,000
674	1,282,830,000
675	1,290,527,000
676	1,298,270,000
677	1,306,060,000
678	1,313,896,000
679	1,321,779,000
680	1,329,710,000
681	1,337,688,000
682	1,345,714,000
683	1,353,788,000
684	1,361,911,000
685	1,370,082,000
686	1,378,302,000
687	1,386,572,000
688	1,394,891,000
689	1,403,260,000
690	1,411,680,000
691	1,420,150,000
692	1,428,671,000
693	1,437,243,000
694	1,445,866,000
695	1,454,541,000
696	1,463,268,000
697	1,472,048,000
698	1,480,880,000
699	1,489,765,000
700	1,498,704,000
