	SERVERS	START_CONTENT	END_CONTENT	NEEDED_SCORE	QUANTITY	DROP	EXTRA
>	1-9000	R7	R8	17100	5500	MOD_POWER	
>	1-9000	R7	R8	17100	20	CODE_1_$COLOR$	
>	1-9000	R7	R8	20850	6000	MOD_POWER	
>	1-9000	R7	R8	20850	750	GEAR_TOKENS	
>	1-9000	R7	R8	24850	6500	MOD_POWER	
>	1-9000	R7	R8	24850	2	STAMINA_CONSUMABLE	
>	1-9000	R7	R8	29100	7000	MOD_POWER	
>	1-9000	R7	R8	29100	4000	GEAR_JUICE	
>	1-9000	R7	R8	33600	7500	MOD_POWER	
>	1-9000	R7	R8	33600	400000	GOLD	
>	1-9000	R7	R8	38350	8000	MOD_POWER	
>	1-9000	R7	R8	38350	450	MEMORY_TOKENS	
>	1-9000	R7	R8	44350	8500	MOD_POWER	
>	1-9000	R7	R8	44350	20	EXP_VIAL	
>	1-9000	R7	R8	50850	9000	MOD_POWER	
>	1-9000	R7	R8	50850	1000	GEAR_TOKENS	
>	1-9000	R7	R8	57850	9500	MOD_POWER	
>	1-9000	R7	R8	57850	20	CODE_1_$COLOR$	
>	1-9000	R7	R8	65350	10000	MOD_POWER	
>	1-9000	R7	R8	65350	3	STAMINA_CONSUMABLE	
>	1-9000	R7	R8	73350	10500	MOD_POWER	
>	1-9000	R7	R8	73350	6000	GEAR_JUICE	
>	1-9000	R7	R8	81850	11000	MOD_POWER	
>	1-9000	R7	R8	81850	500000	GOLD	
>	1-9000	R7	R8	90850	11500	MOD_POWER	
>	1-9000	R7	R8	90850	500	MEMORY_TOKENS	
>	1-9000	R7	R8	100350	12000	MOD_POWER	
>	1-9000	R7	R8	100350	30	EXP_VIAL	
>	1-9000	R7	R8	110350	12500	MOD_POWER	
>	1-9000	R7	R8	110350	1250	GEAR_TOKENS	
>	1-9000	R7	R8	120850	13000	MOD_POWER	
>	1-9000	R7	R8	120850	4	STAMINA_CONSUMABLE	
>	1-9000	R7	R8	131850	13500	MOD_POWER	
>	1-9000	R7	R8	131850	20	CODE_2_$SHAPE$	
>	1-9000	R8	R10	100	500	MOD_POWER	
>	1-9000	R8	R10	100	200000	GOLD	
>	1-9000	R8	R10	350	1000	MOD_POWER	
>	1-9000	R8	R10	350	150	MEMORY_TOKENS	
>	1-9000	R8	R10	850	1500	MOD_POWER	
>	1-9000	R8	R10	850	10	EXP_VIAL	
>	1-9000	R8	R10	1600	2000	MOD_POWER	
>	1-9000	R8	R10	1600	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R8	R10	2600	2500	MOD_POWER	
>	1-9000	R8	R10	2600	500	GEAR_TOKENS	
>	1-9000	R8	R10	3850	3000	MOD_POWER	
>	1-9000	R8	R10	3850	1	STAMINA_CONSUMABLE	
>	1-9000	R8	R10	5350	3500	MOD_POWER	
>	1-9000	R8	R10	5350	2500	GEAR_JUICE	
>	1-9000	R8	R10	7350	4000	MOD_POWER	
>	1-9000	R8	R10	7350	300000	GOLD	
>	1-9000	R8	R10	10350	4500	MOD_POWER	
>	1-9000	R8	R10	10350	300	MEMORY_TOKENS	
>	1-9000	R8	R10	13600	5000	MOD_POWER	
>	1-9000	R8	R10	13600	20	CODE_1_$COLOR$	
>	1-9000	R8	R10	17100	5500	MOD_POWER	
>	1-9000	R8	R10	17100	15	EXP_VIAL	
>	1-9000	R8	R10	20850	6000	MOD_POWER	
>	1-9000	R8	R10	20850	750	GEAR_TOKENS	
>	1-9000	R8	R10	24850	6500	MOD_POWER	
>	1-9000	R8	R10	24850	2	STAMINA_CONSUMABLE	
>	1-9000	R8	R10	29100	7000	MOD_POWER	
>	1-9000	R8	R10	29100	20	CODE_1_$COLOR$	
>	1-9000	R8	R10	33600	7500	MOD_POWER	
>	1-9000	R8	R10	33600	4000	GEAR_JUICE	
>	1-9000	R8	R10	38350	8000	MOD_POWER	
>	1-9000	R8	R10	38350	400000	GOLD	
>	1-9000	R8	R10	44350	8500	MOD_POWER	
>	1-9000	R8	R10	44350	450	MEMORY_TOKENS	
>	1-9000	R8	R10	50850	9000	MOD_POWER	
>	1-9000	R8	R10	50850	20	CODE_1_$COLOR$	
>	1-9000	R8	R10	57850	9500	MOD_POWER	
>	1-9000	R8	R10	57850	20	EXP_VIAL	
>	1-9000	R8	R10	65350	10000	MOD_POWER	
>	1-9000	R8	R10	65350	1000	GEAR_TOKENS	
>	1-9000	R8	R10	73350	10500	MOD_POWER	
>	1-9000	R8	R10	73350	20	CODE_2_$SHAPE$	
>	1-9000	R8	R10	81850	11000	MOD_POWER	
>	1-9000	R8	R10	81850	3	STAMINA_CONSUMABLE	
>	1-9000	R8	R10	90850	11500	MOD_POWER	
>	1-9000	R8	R10	90850	6000	GEAR_JUICE	
>	1-9000	R8	R10	100350	12000	MOD_POWER	
>	1-9000	R8	R10	100350	20	CODE_2_$SHAPE$	
>	1-9000	R8	R10	110350	12500	MOD_POWER	
>	1-9000	R8	R10	110350	500000	GOLD	
>	1-9000	R8	R10	120850	13000	MOD_POWER	
>	1-9000	R8	R10	120850	500	MEMORY_TOKENS	
>	1-9000	R8	R10	131850	13500	MOD_POWER	
>	1-9000	R8	R10	131850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R8	R10	143850	14000	MOD_POWER	
>	1-9000	R8	R10	143850	30	EXP_VIAL	
>	1-9000	R8	R10	156850	14500	MOD_POWER	
>	1-9000	R8	R10	156850	1250	GEAR_TOKENS	
>	1-9000	R8	R10	170850	15000	MOD_POWER	
>	1-9000	R8	R10	170850	20	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R8	R10	186850	15500	MOD_POWER	
>	1-9000	R8	R10	186850	4	STAMINA_CONSUMABLE	
>	1-9000	R8	R10	204850	16000	MOD_POWER	
>	1-9000	R8	R10	204850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R10	R11	100	500	MOD_POWER	
>	1-9000	R10	R11	100	200000	GOLD	
>	1-9000	R10	R11	350	1000	MOD_POWER	
>	1-9000	R10	R11	350	150	MEMORY_TOKENS	
>	1-9000	R10	R11	850	1500	MOD_POWER	
>	1-9000	R10	R11	850	15	EXP_VIAL	
>	1-9000	R10	R11	1600	2000	MOD_POWER	
>	1-9000	R10	R11	1600	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R10	R11	2600	2500	MOD_POWER	
>	1-9000	R10	R11	2600	500	GEAR_TOKENS	
>	1-9000	R10	R11	3850	3000	MOD_POWER	
>	1-9000	R10	R11	3850	1	STAMINA_CONSUMABLE	
>	1-9000	R10	R11	5350	3500	MOD_POWER	
>	1-9000	R10	R11	5350	20	CODE_1_$COLOR$	
>	1-9000	R10	R11	7350	4000	MOD_POWER	
>	1-9000	R10	R11	7350	2500	GEAR_JUICE	
>	1-9000	R10	R11	10350	4500	MOD_POWER	
>	1-9000	R10	R11	10350	300000	GOLD	
>	1-9000	R10	R11	13600	5000	MOD_POWER	
>	1-9000	R10	R11	13600	20	CODE_1_$COLOR$	
>	1-9000	R10	R11	17100	5500	MOD_POWER	
>	1-9000	R10	R11	17100	300	MEMORY_TOKENS	
>	1-9000	R10	R11	20850	6000	MOD_POWER	
>	1-9000	R10	R11	20850	20	EXP_VIAL	
>	1-9000	R10	R11	24850	6500	MOD_POWER	
>	1-9000	R10	R11	24850	20	CODE_1_$COLOR$	
>	1-9000	R10	R11	29100	7000	MOD_POWER	
>	1-9000	R10	R11	29100	750	GEAR_TOKENS	
>	1-9000	R10	R11	33600	7500	MOD_POWER	
>	1-9000	R10	R11	33600	2	STAMINA_CONSUMABLE	
>	1-9000	R10	R11	38350	8000	MOD_POWER	
>	1-9000	R10	R11	38350	20	CODE_1_$COLOR$	
>	1-9000	R10	R11	44350	8500	MOD_POWER	
>	1-9000	R10	R11	44350	4000	GEAR_JUICE	
>	1-9000	R10	R11	50850	9000	MOD_POWER	
>	1-9000	R10	R11	50850	400000	GOLD	
>	1-9000	R10	R11	57850	9500	MOD_POWER	
>	1-9000	R10	R11	57850	20	CODE_2_$SHAPE$	
>	1-9000	R10	R11	65350	10000	MOD_POWER	
>	1-9000	R10	R11	65350	450	MEMORY_TOKENS	
>	1-9000	R10	R11	73350	10500	MOD_POWER	
>	1-9000	R10	R11	73350	30	EXP_VIAL	
>	1-9000	R10	R11	81850	11000	MOD_POWER	
>	1-9000	R10	R11	81850	20	CODE_2_$SHAPE$	
>	1-9000	R10	R11	90850	11500	MOD_POWER	
>	1-9000	R10	R11	90850	1000	GEAR_TOKENS	
>	1-9000	R10	R11	100350	12000	MOD_POWER	
>	1-9000	R10	R11	100350	3	STAMINA_CONSUMABLE	
>	1-9000	R10	R11	110350	12500	MOD_POWER	
>	1-9000	R10	R11	110350	20	CODE_2_$SHAPE$	
>	1-9000	R10	R11	120850	13000	MOD_POWER	
>	1-9000	R10	R11	120850	6000	GEAR_JUICE	
>	1-9000	R10	R11	131850	13500	MOD_POWER	
>	1-9000	R10	R11	131850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R10	R11	143850	14000	MOD_POWER	
>	1-9000	R10	R11	143850	500000	GOLD	
>	1-9000	R10	R11	156850	14500	MOD_POWER	
>	1-9000	R10	R11	156850	20	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R10	R11	170850	15000	MOD_POWER	
>	1-9000	R10	R11	170850	500	MEMORY_TOKENS	
>	1-9000	R10	R11	186850	15500	MOD_POWER	
>	1-9000	R10	R11	186850	20	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R10	R11	204850	16000	MOD_POWER	
>	1-9000	R10	R11	204850	50	EXP_VIAL	
>	1-9000	R10	R11	224850	16500	MOD_POWER	
>	1-9000	R10	R11	224850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R10	R11	246850	17000	MOD_POWER	
>	1-9000	R10	R11	246850	1250	GEAR_TOKENS	
>	1-9000	R10	R11	270850	17500	MOD_POWER	
>	1-9000	R10	R11	270850	20	CODE_4_$COLOR$	
>	1-9000	R10	R11	296850	18000	MOD_POWER	
>	1-9000	R10	R11	296850	4	STAMINA_CONSUMABLE	
>	1-9000	R11	R12	100	500	MOD_POWER	
>	1-9000	R11	R12	100	200000	GOLD	
>	1-9000	R11	R12	350	1000	MOD_POWER	
>	1-9000	R11	R12	350	150	MEMORY_TOKENS	
>	1-9000	R11	R12	850	1500	MOD_POWER	
>	1-9000	R11	R12	850	15	EXP_VIAL	
>	1-9000	R11	R12	1600	2000	MOD_POWER	
>	1-9000	R11	R12	1600	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R11	R12	2600	2500	MOD_POWER	
>	1-9000	R11	R12	2600	500	GEAR_TOKENS	
>	1-9000	R11	R12	3850	3000	MOD_POWER	
>	1-9000	R11	R12	3850	1	STAMINA_CONSUMABLE	
>	1-9000	R11	R12	5350	3500	MOD_POWER	
>	1-9000	R11	R12	5350	20	CODE_1_$COLOR$	
>	1-9000	R11	R12	7350	4000	MOD_POWER	
>	1-9000	R11	R12	7350	2500	GEAR_JUICE	
>	1-9000	R11	R12	10350	4500	MOD_POWER	
>	1-9000	R11	R12	10350	300000	GOLD	
>	1-9000	R11	R12	13600	5000	MOD_POWER	
>	1-9000	R11	R12	13600	20	CODE_1_$COLOR$	
>	1-9000	R11	R12	17100	5500	MOD_POWER	
>	1-9000	R11	R12	17100	300	MEMORY_TOKENS	
>	1-9000	R11	R12	20850	6000	MOD_POWER	
>	1-9000	R11	R12	20850	20	EXP_VIAL	
>	1-9000	R11	R12	24850	6500	MOD_POWER	
>	1-9000	R11	R12	24850	20	CODE_1_$COLOR$	
>	1-9000	R11	R12	29100	7000	MOD_POWER	
>	1-9000	R11	R12	29100	750	GEAR_TOKENS	
>	1-9000	R11	R12	33600	7500	MOD_POWER	
>	1-9000	R11	R12	33600	2	STAMINA_CONSUMABLE	
>	1-9000	R11	R12	38350	8000	MOD_POWER	
>	1-9000	R11	R12	38350	20	CODE_1_$COLOR$	
>	1-9000	R11	R12	44350	8500	MOD_POWER	
>	1-9000	R11	R12	44350	4000	GEAR_JUICE	
>	1-9000	R11	R12	50850	9000	MOD_POWER	
>	1-9000	R11	R12	50850	400000	GOLD	
>	1-9000	R11	R12	57850	9500	MOD_POWER	
>	1-9000	R11	R12	57850	20	CODE_2_$SHAPE$	
>	1-9000	R11	R12	65350	10000	MOD_POWER	
>	1-9000	R11	R12	65350	450	MEMORY_TOKENS	
>	1-9000	R11	R12	73350	10500	MOD_POWER	
>	1-9000	R11	R12	73350	30	EXP_VIAL	
>	1-9000	R11	R12	81850	11000	MOD_POWER	
>	1-9000	R11	R12	81850	20	CODE_2_$SHAPE$	
>	1-9000	R11	R12	90850	11500	MOD_POWER	
>	1-9000	R11	R12	90850	1000	GEAR_TOKENS	
>	1-9000	R11	R12	100350	12000	MOD_POWER	
>	1-9000	R11	R12	100350	3	STAMINA_CONSUMABLE	
>	1-9000	R11	R12	110350	12500	MOD_POWER	
>	1-9000	R11	R12	110350	20	CODE_2_$SHAPE$	
>	1-9000	R11	R12	120850	13000	MOD_POWER	
>	1-9000	R11	R12	120850	6000	GEAR_JUICE	
>	1-9000	R11	R12	131850	13500	MOD_POWER	
>	1-9000	R11	R12	131850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R11	R12	143850	14000	MOD_POWER	
>	1-9000	R11	R12	143850	500000	GOLD	
>	1-9000	R11	R12	156850	14500	MOD_POWER	
>	1-9000	R11	R12	156850	20	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R11	R12	170850	15000	MOD_POWER	
>	1-9000	R11	R12	170850	500	MEMORY_TOKENS	
>	1-9000	R11	R12	186850	15500	MOD_POWER	
>	1-9000	R11	R12	186850	20	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R11	R12	204850	16000	MOD_POWER	
>	1-9000	R11	R12	204850	50	EXP_VIAL	
>	1-9000	R11	R12	224850	16500	MOD_POWER	
>	1-9000	R11	R12	224850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R11	R12	246850	17000	MOD_POWER	
>	1-9000	R11	R12	246850	1250	GEAR_TOKENS	
>	1-9000	R11	R12	270850	17500	MOD_POWER	
>	1-9000	R11	R12	270850	20	CODE_4_$COLOR$	
>	1-9000	R11	R12	296850	18000	MOD_POWER	
>	1-9000	R11	R12	296850	4	STAMINA_CONSUMABLE	
>	1-9000	R11	R12	324850	18500	MOD_POWER	
>	1-9000	R11	R12	324850	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R12	R9000	100	1600	MOD_POWER	
>	1-9000	R12	R9000	100	140000+80000*L	GOLD	
>	1-9000	R12	R9000	350	2000	MOD_POWER	
>	1-9000	R12	R9000	350	500	MEMORY_TOKENS	
>	1-9000	R12	R9000	850	2400	MOD_POWER	
>	1-9000	R12	R9000	850	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R12	R9000	850	40	CODE_1_$COLOR$	
>	1-9000	R12	R9000	1600	2800	MOD_POWER	
>	1-9000	R12	R9000	1600	1	MOD	Tier=0, Level=1, Team=INVASION, Primary=INVASION, Empowerment=5
>	1-9000	R12	R9000	2600	11200	MOD_POWER	
>	1-9000	R12	R9000	2600	1000+75*L	GEAR_TOKENS	
>	1-9000	R12	R9000	2600	40	CODE_1_$COLOR$	
>	1-9000	R12	R9000	3850	3200	MOD_POWER	
>	1-9000	R12	R9000	3850	200000+100000*L	GOLD	
>	1-9000	R12	R9000	5350	3600	MOD_POWER	
>	1-9000	R12	R9000	5350	10+10.25*L	STAMINA_CONSUMABLE	
>	1-9000	R12	R9000	7350	4000	MOD_POWER	
>	1-9000	R12	R9000	7350	40	CODE_1_$COLOR$	
>	1-9000	R12	R9000	9450	4400	MOD_POWER	
>	1-9000	R12	R9000	9450	3000+140*L	GEAR_JUICE	
>	1-9000	R12	R9000	11700	17600	MOD_POWER	
>	1-9000	R12	R9000	11700	1250+90*L	GEAR_TOKENS	
>	1-9000	R12	R9000	11700	40	CODE_2_$SHAPE$	
>	1-9000	R12	R9000	14100	4800	MOD_POWER	
>	1-9000	R12	R9000	14100	365000+120000*L	GOLD	
>	1-9000	R12	R9000	16650	5200	MOD_POWER	
>	1-9000	R12	R9000	16650	40	CODE_1_$COLOR$	
>	1-9000	R12	R9000	19350	5600	MOD_POWER	
>	1-9000	R12	R9000	19350	1000	MEMORY_TOKENS	
>	1-9000	R12	R9000	19350	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R12	R9000	22200	6000	MOD_POWER	
>	1-9000	R12	R9000	22200	40	CODE_2_$SHAPE$	
>	1-9000	R12	R9000	25200	24000	MOD_POWER	
>	1-9000	R12	R9000	25200	15+10.3*L	STAMINA_CONSUMABLE	
>	1-9000	R12	R9000	25200	60	CODE_1_$COLOR$	
>	1-9000	R12	R9000	28350	6400	MOD_POWER	
>	1-9000	R12	R9000	28350	40	CODE_2_$SHAPE$	
>	1-9000	R12	R9000	31650	6800	MOD_POWER	
>	1-9000	R12	R9000	31650	395000+142500*L	GOLD	
>	1-9000	R12	R9000	35100	7200	MOD_POWER	
>	1-9000	R12	R9000	35100	40	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R12	R9000	38700	7600	MOD_POWER	
>	1-9000	R12	R9000	38700	6000+145*L	GEAR_JUICE	
>	1-9000	R12	R9000	42450	30400	MOD_POWER	
>	1-9000	R12	R9000	42450	1500+105*L	GEAR_TOKENS	
>	1-9000	R12	R9000	42450	40	CODE_2_$SHAPE$	
>	1-9000	R12	R9000	46500	8000	MOD_POWER	
>	1-9000	R12	R9000	46500	1500	MEMORY_TOKENS	
>	1-9000	R12	R9000	50850	8400	MOD_POWER	
>	1-9000	R12	R9000	50850	40	CODE_2_$SHAPE$	
>	1-9000	R12	R9000	55500	8800	MOD_POWER	
>	1-9000	R12	R9000	55500	40	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R12	R9000	60450	9200	MOD_POWER	
>	1-9000	R12	R9000	60450	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R12	R9000	60450	10	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R12	R9000	65700	36800	MOD_POWER	
>	1-9000	R12	R9000	65700	20+10.4*L	STAMINA_CONSUMABLE	
>	1-9000	R12	R9000	65700	60	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R12	R9000	71250	9600	MOD_POWER	
>	1-9000	R12	R9000	71250	425000+160000*L	GOLD	
>	1-9000	R12	R9000	77100	10000	MOD_POWER	
>	1-9000	R12	R9000	77100	30	CODE_4_$COLOR$	
>	1-9000	R12	R9000	83400	10400	MOD_POWER	
>	1-9000	R12	R9000	83400	9000+150*L	GEAR_JUICE	
>	1-9000	R12	R9000	90150	10800	MOD_POWER	
>	1-9000	R12	R9000	90150	1750+125*L	GEAR_TOKENS	
>	1-9000	R12	R9000	97350	43200	MOD_POWER	
>	1-9000	R12	R9000	97350	20	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R12	R9000	97350	30	CODE_4_$COLOR$	
>	1-9000	R12	R9000	105000	11200	MOD_POWER	
>	1-9000	R12	R9000	105000	30	CODE_5_$SHAPE$	
>	1-9000	R12	R9000	113250	11600	MOD_POWER	
>	1-9000	R12	R9000	113250	25+10.5*L	STAMINA_CONSUMABLE	
>	1-9000	R12	R9000	122100	12000	MOD_POWER	
>	1-9000	R12	R9000	122100	60	CODE_3_$SHAPE$_$COLOR$	
>	1-9000	R12	R9000	131550	12400	MOD_POWER	
>	1-9000	R12	R9000	131550	30	CODE_4_$COLOR$	
>	1-9000	R12	R9000	141750	49600	MOD_POWER	
>	1-9000	R12	R9000	141750	30	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R12	R9000	141750	30	CODE_5_$SHAPE$	
>	1-9000	R14	R9000	152700	12500	MOD_POWER	
>	1-9000	R14	R9000	152700	30	CODE_4_$COLOR$	
>	1-9000	R14	R9000	164400	12500	MOD_POWER	
>	1-9000	R14	R9000	164400	2000	MEMORY_TOKENS	
>	1-9000	R14	R9000	164400	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R14	R9000	177000	12500	MOD_POWER	
>	1-9000	R14	R9000	177000	30	CODE_4_$COLOR$	
>	1-9000	R14	R9000	190500	12500	MOD_POWER	
>	1-9000	R14	R9000	190500	30	CODE_5_$SHAPE$	
>	1-9000	R14	R9000	205050	50000	MOD_POWER	
>	1-9000	R14	R9000	205050	2000+135*L	GEAR_TOKENS	
>	1-9000	R14	R9000	205050	20	CODE_6_$SHAPE$_$COLOR$	
>	1-9000	R16	R9000	220650	12500	MOD_POWER	
>	1-9000	R16	R9000	220650	40	CODE_4_$COLOR$	
>	1-9000	R16	R9000	237450	12500	MOD_POWER	
>	1-9000	R16	R9000	237450	450000+182000*L	GOLD	
>	1-9000	R16	R9000	255450	12500	MOD_POWER	
>	1-9000	R16	R9000	255450	30	CODE_5_$SHAPE$	
>	1-9000	R16	R9000	274800	12500	MOD_POWER	
>	1-9000	R16	R9000	274800	30	CODE_6_$SHAPE$_$COLOR$	
>	1-9000	R16	R9000	295650	50000	MOD_POWER	
>	1-9000	R16	R9000	295650	40	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R16	R9000	295650	20	CODE_7_$COLOR$	
>	1-9000	R18	R9000	318150	12500	MOD_POWER	
>	1-9000	R18	R9000	318150	30	CODE_5_$SHAPE$	
>	1-9000	R18	R9000	342450	12500	MOD_POWER	
>	1-9000	R18	R9000	342450	12000+165*L	GEAR_JUICE	
>	1-9000	R18	R9000	368550	12500	MOD_POWER	
>	1-9000	R18	R9000	368550	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R18	R9000	368550	40	CODE_6_$SHAPE$_$COLOR$	
>	1-9000	R18	R9000	396600	12500	MOD_POWER	
>	1-9000	R18	R9000	396600	20	CODE_7_$COLOR$	
>	1-9000	R18	R9000	426750	50000	MOD_POWER	
>	1-9000	R18	R9000	426750	480000+206500*L	GOLD	
>	1-9000	R18	R9000	426750	20	CODE_8_$SHAPE$	
>	1-9000	R20	R9000	459300	16000	MOD_POWER	
>	1-9000	R20	R9000	459300	40	CODE_6_$SHAPE$_$COLOR$	
>	1-9000	R20	R9000	494400	16000	MOD_POWER	
>	1-9000	R20	R9000	494400	50	MOD_UPGRADE_$UPGRADE$	
>	1-9000	R20	R9000	532200	16000	MOD_POWER	
>	1-9000	R20	R9000	532200	30	CODE_7_$COLOR$	
>	1-9000	R20	R9000	573000	16000	MOD_POWER	
>	1-9000	R20	R9000	573000	5+33*L	CODEBASE_CHEST_1X	
>	1-9000	R20	R9000	573000	20	CODE_8_$SHAPE$	
>	1-9000	R20	R9000	616950	64000	MOD_POWER	
>	1-9000	R20	R9000	616950	30+12.65*L	STAMINA_CONSUMABLE	
>	1-9000	R20	R9000	616950	20	CODE_9_$SHAPE$_$COLOR$	
>	1-9000	R22	R9000	664350	16000	MOD_POWER	
>	1-9000	R22	R9000	664350	40	CODE_7_$COLOR$	
>	1-9000	R22	R9000	715500	16000	MOD_POWER	
>	1-9000	R22	R9000	715500	15000+185*L	GEAR_JUICE	
>	1-9000	R22	R9000	770700	16000	MOD_POWER	
>	1-9000	R22	R9000	770700	30	CODE_8_$SHAPE$	
>	1-9000	R22	R9000	830250	16000	MOD_POWER	
>	1-9000	R22	R9000	830250	20	CODE_9_$SHAPE$_$COLOR$	
>	1-9000	R22	R9000	894450	64000	MOD_POWER	
>	1-9000	R22	R9000	894450	60	MOD_UPGRADE_$UPGRADE$	
