	KEY	QUEST_TYPE	SORT_INDEX	ICON	BUTTON_ACTION	REWARDS	PREVIOUS_QUEST	UNLOCK_REQUIREMENTS	COMPLETE_REQUIREMENTS	EXTRA	GOOGLE_ID	APPLE_ID
1002	TEAM_LEVEL_15	ACHIEVEMENT	2	team_level		3 STONE_ELASTIGIRL	1001	Once,FollowUp,HasTeamLevel(15)	TeamLevel(15)			TEAM_LEVEL_15
1003	TEAM_LEVEL_20	ACHIEVEMENT	2	team_level		4 STONE_YAX	1002	Once,FollowUp,HasTeamLevel(20)	TeamLevel(20)			TEAM_LEVEL_20
1004	TEAM_LEVEL_25	ACHIEVEMENT	2	team_level		5 STONE_FROZONE	1003	Once,FollowUp,HasTeamLevel(25)	TeamLevel(25)			TEAM_LEVEL_25
1005	TEAM_LEVEL_30	ACHIEVEMENT	2	team_level		20 VOID_DUST	1004	Once,FollowUp,HasTeamLevel(30)	TeamLevel(30)			TEAM_LEVEL_30
1006	TEAM_LEVEL_35	ACHIEVEMENT	2	team_level		5 STONE_DASH	1005	Once,FollowUp,HasTeamLevel(35)	TeamLevel(35)			TEAM_LEVEL_35
1007	TEAM_LEVEL_40	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1006	Once,FollowUp,HasTeamLevel(40)	TeamLevel(40)			TEAM_LEVEL_40
1008	TEAM_LEVEL_45	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1007	Once,FollowUp,HasTeamLevel(45)	TeamLevel(45)			TEAM_LEVEL_45
1009	TEAM_LEVEL_50	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1008	Once,FollowUp,HasTeamLevel(50)	TeamLevel(50)			TEAM_LEVEL_50
1010	TEAM_LEVEL_55	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1009	Once,FollowUp,HasTeamLevel(55)	TeamLevel(55)			TEAM_LEVEL_55
1011	TEAM_LEVEL_60	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1010	Once,FollowUp,HasTeamLevel(60)	TeamLevel(60)			TEAM_LEVEL_60
1012	TEAM_LEVEL_65	ACHIEVEMENT	2	team_level		5 STONE_DASH	1011	Once,FollowUp,HasTeamLevel(65)	TeamLevel(65)			TEAM_LEVEL_65
1013	TEAM_LEVEL_70	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1012	Once,FollowUp,HasTeamLevel(70)	TeamLevel(70)			TEAM_LEVEL_70
1014	TEAM_LEVEL_75	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1013	Once,FollowUp,HasTeamLevel(75)	TeamLevel(75)			TEAM_LEVEL_75
1015	TEAM_LEVEL_80	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1014	Once,FollowUp,HasTeamLevel(80)	TeamLevel(80)			TEAM_LEVEL_80
1016	TEAM_LEVEL_85	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1015	Once,FollowUp,HasTeamLevel(85)	TeamLevel(85)			TEAM_LEVEL_85
1017	TEAM_LEVEL_90	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1016	Once,FollowUp,HasTeamLevel(90)	TeamLevel(90)			TEAM_LEVEL_90
1018	TEAM_LEVEL_95	ACHIEVEMENT	2	team_level		5 STONE_DASH	1017	Once,FollowUp,HasTeamLevel(95)	TeamLevel(95)			TEAM_LEVEL_95
1019	TEAM_LEVEL_100	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1018	Once,FollowUp,HasTeamLevel(100)	TeamLevel(100)			TEAM_LEVEL_100
1020	TEAM_LEVEL_105	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1019	Once,FollowUp,HasTeamLevel(105)	TeamLevel(105)			TEAM_LEVEL_105
1021	TEAM_LEVEL_110	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1020	Once,FollowUp,HasTeamLevel(110)	TeamLevel(110)			TEAM_LEVEL_110
1022	TEAM_LEVEL_115	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1021	Once,FollowUp,HasTeamLevel(115)	TeamLevel(115)			TEAM_LEVEL_115
1023	TEAM_LEVEL_120	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1022	Once,FollowUp,HasTeamLevel(120)	TeamLevel(120)			TEAM_LEVEL_120
1024	TEAM_LEVEL_125	ACHIEVEMENT	2	team_level		5 STONE_DASH	1023	Once,FollowUp,HasTeamLevel(125)	TeamLevel(125)			TEAM_LEVEL_125
1025	TEAM_LEVEL_130	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1024	Once,FollowUp,HasTeamLevel(130)	TeamLevel(130)			TEAM_LEVEL_130
1026	TEAM_LEVEL_135	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1025	Once,FollowUp,HasTeamLevel(135)	TeamLevel(135)			TEAM_LEVEL_135
1027	TEAM_LEVEL_140	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1026	Once,FollowUp,HasTeamLevel(140)	TeamLevel(140)			TEAM_LEVEL_140
1028	TEAM_LEVEL_145	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1027	Once,FollowUp,HasTeamLevel(145)	TeamLevel(145)			TEAM_LEVEL_145
1029	TEAM_LEVEL_150	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1028	Once,FollowUp,HasTeamLevel(150)	TeamLevel(150)			TEAM_LEVEL_150
1030	TEAM_LEVEL_155	ACHIEVEMENT	2	team_level		5 STONE_DASH	1029	Once,FollowUp,HasTeamLevel(155)	TeamLevel(155)			TEAM_LEVEL_155
1031	TEAM_LEVEL_160	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1030	Once,FollowUp,HasTeamLevel(160)	TeamLevel(160)			TEAM_LEVEL_160
1032	TEAM_LEVEL_165	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1031	Once,FollowUp,HasTeamLevel(165)	TeamLevel(165)			TEAM_LEVEL_165
1033	TEAM_LEVEL_170	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1032	Once,FollowUp,HasTeamLevel(170)	TeamLevel(170)			TEAM_LEVEL_170
1034	TEAM_LEVEL_175	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1033	Once,FollowUp,HasTeamLevel(175)	TeamLevel(175)			TEAM_LEVEL_175
1035	TEAM_LEVEL_180	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1034	Once,FollowUp,HasTeamLevel(180)	TeamLevel(180)			TEAM_LEVEL_180
1036	TEAM_LEVEL_185	ACHIEVEMENT	2	team_level		5 STONE_DASH	1035	Once,FollowUp,HasTeamLevel(185)	TeamLevel(185)			TEAM_LEVEL_185
1037	TEAM_LEVEL_190	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1036	Once,FollowUp,HasTeamLevel(190)	TeamLevel(190)			TEAM_LEVEL_190
1038	TEAM_LEVEL_195	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1037	Once,FollowUp,HasTeamLevel(195)	TeamLevel(195)			TEAM_LEVEL_195
1039	TEAM_LEVEL_200	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1038	Once,FollowUp,HasTeamLevel(200)	TeamLevel(200)			TEAM_LEVEL_200
1040	TEAM_LEVEL_205	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1039	Once,FollowUp,HasTeamLevel(205)	TeamLevel(205)			TEAM_LEVEL_205
1041	TEAM_LEVEL_210	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1040	Once,FollowUp,HasTeamLevel(210)	TeamLevel(210)			TEAM_LEVEL_210
1042	TEAM_LEVEL_215	ACHIEVEMENT	2	team_level		5 STONE_DASH	1041	Once,FollowUp,HasTeamLevel(215)	TeamLevel(215)			TEAM_LEVEL_215
1043	TEAM_LEVEL_220	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1042	Once,FollowUp,HasTeamLevel(220)	TeamLevel(220)			TEAM_LEVEL_220
1044	TEAM_LEVEL_225	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1043	Once,FollowUp,HasTeamLevel(225)	TeamLevel(225)			TEAM_LEVEL_225
1045	TEAM_LEVEL_230	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1044	Once,FollowUp,HasTeamLevel(230)	TeamLevel(230)			TEAM_LEVEL_230
1046	TEAM_LEVEL_235	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1045	Once,FollowUp,HasTeamLevel(235)	TeamLevel(235)			TEAM_LEVEL_235
1047	TEAM_LEVEL_240	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1046	Once,FollowUp,HasTeamLevel(240)	TeamLevel(240)			TEAM_LEVEL_240
1048	TEAM_LEVEL_245	ACHIEVEMENT	2	team_level		5 STONE_DASH	1047	Once,FollowUp,HasTeamLevel(245)	TeamLevel(245)			TEAM_LEVEL_245
1049	TEAM_LEVEL_250	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1048	Once,FollowUp,HasTeamLevel(250)	TeamLevel(250)			TEAM_LEVEL_250
1050	TEAM_LEVEL_255	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1049	Once,FollowUp,HasTeamLevel(255)	TeamLevel(255)			TEAM_LEVEL_255
1051	TEAM_LEVEL_260	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1050	Once,FollowUp,HasTeamLevel(260)	TeamLevel(260)			TEAM_LEVEL_260
1052	TEAM_LEVEL_265	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1051	Once,FollowUp,HasTeamLevel(265)	TeamLevel(265)			TEAM_LEVEL_265
1053	TEAM_LEVEL_270	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1052	Once,FollowUp,HasTeamLevel(270)	TeamLevel(270)			TEAM_LEVEL_270
1054	TEAM_LEVEL_275	ACHIEVEMENT	2	team_level		5 STONE_DASH	1053	Once,FollowUp,HasTeamLevel(275)	TeamLevel(275)			TEAM_LEVEL_275
1055	TEAM_LEVEL_280	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1054	Once,FollowUp,HasTeamLevel(280)	TeamLevel(280)			TEAM_LEVEL_280
1056	TEAM_LEVEL_285	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1055	Once,FollowUp,HasTeamLevel(285)	TeamLevel(285)			TEAM_LEVEL_285
1057	TEAM_LEVEL_290	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1056	Once,FollowUp,HasTeamLevel(290)	TeamLevel(290)			TEAM_LEVEL_290
1058	TEAM_LEVEL_295	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1057	Once,FollowUp,HasTeamLevel(295)	TeamLevel(295)			TEAM_LEVEL_295
1059	TEAM_LEVEL_300	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1058	Once,FollowUp,HasTeamLevel(300)	TeamLevel(300)			TEAM_LEVEL_300
1060	TEAM_LEVEL_305	ACHIEVEMENT	2	team_level		5 STONE_DASH	1059	Once,FollowUp,HasTeamLevel(305)	TeamLevel(305)			TEAM_LEVEL_305
1061	TEAM_LEVEL_310	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1060	Once,FollowUp,HasTeamLevel(310)	TeamLevel(310)			TEAM_LEVEL_310
1062	TEAM_LEVEL_315	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1061	Once,FollowUp,HasTeamLevel(315)	TeamLevel(315)			TEAM_LEVEL_315
1063	TEAM_LEVEL_320	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1062	Once,FollowUp,HasTeamLevel(320)	TeamLevel(320)			TEAM_LEVEL_320
1064	TEAM_LEVEL_325	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1063	Once,FollowUp,HasTeamLevel(325)	TeamLevel(325)			TEAM_LEVEL_325
1065	TEAM_LEVEL_330	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1064	Once,FollowUp,HasTeamLevel(330)	TeamLevel(330)			TEAM_LEVEL_330
1066	TEAM_LEVEL_335	ACHIEVEMENT	2	team_level		5 STONE_DASH	1065	Once,FollowUp,HasTeamLevel(335)	TeamLevel(335)			TEAM_LEVEL_335
1067	TEAM_LEVEL_340	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1066	Once,FollowUp,HasTeamLevel(340)	TeamLevel(340)			TEAM_LEVEL_340
1068	TEAM_LEVEL_345	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1067	Once,FollowUp,HasTeamLevel(345)	TeamLevel(345)			TEAM_LEVEL_345
1069	TEAM_LEVEL_350	ACHIEVEMENT	2	team_level		5 STONE_NICK_WILDE	1068	Once,FollowUp,HasTeamLevel(350)	TeamLevel(350)			TEAM_LEVEL_350
1070	TEAM_LEVEL_355	ACHIEVEMENT	2	team_level		5 STONE_FELIX	1069	Once,FollowUp,HasTeamLevel(355)	TeamLevel(355)			TEAM_LEVEL_355
1071	TEAM_LEVEL_360	ACHIEVEMENT	2	team_level		5 STONE_CHIEF_BOGO	1070	Once,FollowUp,HasTeamLevel(360)	TeamLevel(360)			TEAM_LEVEL_360
1072	TEAM_LEVEL_365	ACHIEVEMENT	2	team_level		5 STONE_DASH	1071	Once,FollowUp,HasTeamLevel(365)	TeamLevel(365)			TEAM_LEVEL_365
1073	TEAM_LEVEL_370	ACHIEVEMENT	2	team_level		5 STONE_FINNICK	1072	Once,FollowUp,HasTeamLevel(370)	TeamLevel(370)			TEAM_LEVEL_370
1074	TEAM_LEVEL_375	ACHIEVEMENT	2	team_level		5 STONE_MR_INCREDIBLE	1073	Once,FollowUp,HasTeamLevel(375)	TeamLevel(375)			TEAM_LEVEL_375
1075	TEAM_LEVEL_380	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1074	Once,FollowUp,HasTeamLevel(380)	TeamLevel(380)			TEAM_LEVEL_380
1076	TEAM_LEVEL_385	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1075	Once,FollowUp,HasTeamLevel(385)	TeamLevel(385)			TEAM_LEVEL_385
1077	TEAM_LEVEL_390	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1076	Once,FollowUp,HasTeamLevel(390)	TeamLevel(390)			TEAM_LEVEL_390
1078	TEAM_LEVEL_395	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1077	Once,FollowUp,HasTeamLevel(395)	TeamLevel(395)			TEAM_LEVEL_395
1079	TEAM_LEVEL_400	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1078	Once,FollowUp,HasTeamLevel(400)	TeamLevel(400)			TEAM_LEVEL_400
1080	TEAM_LEVEL_405	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1079	Once,FollowUp,HasTeamLevel(405)	TeamLevel(405)			TEAM_LEVEL_405
1081	TEAM_LEVEL_410	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1080	Once,FollowUp,HasTeamLevel(410)	TeamLevel(410)			TEAM_LEVEL_410
1082	TEAM_LEVEL_415	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1081	Once,FollowUp,HasTeamLevel(415)	TeamLevel(415)			TEAM_LEVEL_415
1083	TEAM_LEVEL_420	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1082	Once,FollowUp,HasTeamLevel(420)	TeamLevel(420)			TEAM_LEVEL_420
1084	TEAM_LEVEL_425	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1083	Once,FollowUp,HasTeamLevel(425)	TeamLevel(425)			TEAM_LEVEL_425
1085	TEAM_LEVEL_430	ACHIEVEMENT	2	team_level		5 GOLD_CHEST_ROLL_X10	1084	Once,FollowUp,HasTeamLevel(430)	TeamLevel(430)			TEAM_LEVEL_430
