	COST
237	835,000
238	841,000
239	847,000
240	853,000
241	859,000
242	865,000
243	871,000
244	877,000
245	883,000
246	889,000
247	895,000
248	901,000
249	907,000
250	913,000
251	919,000
252	925,000
253	931,000
254	937,000
255	943,000
256	949,000
257	955,000
258	961,000
259	967,000
260	973,000
261	985,000
262	997,000
263	1,009,000
264	1,021,000
265	1,033,000
266	1,051,000
267	1,069,000
268	1,087,000
269	1,105,000
270	1,123,000
271	1,150,000
272	1,177,000
273	1,204,000
274	1,231,000
275	1,258,000
276	1,298,000
277	1,338,000
278	1,378,000
279	1,418,000
280	1,458,000
281	1,498,000
282	1,538,000
283	1,578,000
284	1,618,000
285	1,658,000
286	1,698,000
287	1,738,000
288	1,778,000
289	1,818,000
290	1,858,000
291	1,898,000
292	1,938,000
293	1,978,000
294	2,018,000
295	2,058,000
296	2,098,000
297	2,138,000
298	2,178,000
299	2,218,000
300	2,258,000
301	2,298,000
302	2,338,000
303	2,378,000
304	2,418,000
305	2,458,000
306	2,498,000
307	2,538,000
308	2,578,000
309	2,618,000
310	2,658,000
311	2,698,000
312	2,738,000
313	2,778,000
314	2,818,000
315	2,858,000
316	2,898,000
317	2,938,000
318	2,978,000
319	3,018,000
320	3,058,000
321	3,098,000
322	3,138,000
323	3,178,000
324	3,218,000
325	3,258,000
326	3,298,000
327	3,338,000
328	3,378,000
329	3,418,000
330	3,458,000
331	3,498,000
332	3,538,000
333	3,578,000
334	3,618,000
335	3,658,000
336	3,698,000
337	3,738,000
338	3,778,000
339	3,818,000
340	3,858,000
341	3,898,000
342	3,938,000
343	3,978,000
344	4,018,000
345	4,058,000
346	4,098,000
347	4,138,000
348	4,178,000
349	4,218,000
350	4,258,000
351	4,298,000
352	4,338,000
353	4,378,000
354	4,418,000
355	4,458,000
356	4,498,000
357	4,538,000
358	4,578,000
359	4,618,000
360	4,658,000
361	4,698,000
362	4,738,000
363	4,778,000
364	4,818,000
365	4,858,000
366	4,898,000
367	4,938,000
368	4,978,000
369	5,018,000
370	5,058,000
371	5,098,000
372	5,138,000
373	5,178,000
374	5,218,000
375	5,258,000
376	5,298,000
377	5,338,000
378	5,378,000
379	5,418,000
380	5,458,000
381	5,498,000
382	5,538,000
383	5,578,000
384	5,618,000
385	5,658,000
386	5,706,000
387	5,754,000
388	5,802,000
389	5,850,000
390	5,898,000
391	5,946,000
392	5,994,000
393	6,042,000
394	6,090,000
395	6,138,000
396	6,186,000
397	6,234,000
398	6,282,000
399	6,330,000
400	6,378,000
401	6,426,000
402	6,474,000
403	6,522,000
404	6,570,000
405	6,618,000
406	6,666,000
407	6,714,000
408	6,762,000
409	6,810,000
410	6,858,000
411	6,906,000
412	6,954,000
413	7,002,000
414	7,050,000
415	7,098,000
416	7,146,000
417	8,440,740
418	8,824,410
419	9,975,420
420	11,126,430
421	11,833,380
422	11,833,380
423	11,833,380
424	11,833,380
425	11,833,380
426	15,383,394
427	15,383,394
428	15,383,394
429	15,383,394
430	15,383,394
431	19,998,412
432	19,998,412
433	19,998,412
434	19,998,412
435	19,998,412
436	25,997,935
437	25,997,935
438	25,997,935
439	25,997,935
440	25,997,935
441	33,797,315
442	33,797,315
443	33,797,315
444	33,797,315
445	33,797,315
446	43,936,510
447	43,936,510
448	43,936,510
449	43,936,510
450	43,936,510
451	63,707,940
452	63,707,940
453	63,707,940
454	63,707,940
455	63,707,940
456	82,820,320
457	82,820,320
458	82,820,320
459	82,820,320
460	82,820,320
461	107,666,415
462	107,666,415
463	107,666,415
464	107,666,415
465	107,666,415
466	161,499,625
467	161,499,625
468	161,499,625
469	161,499,625
470	161,499,625
471	242,249,440
472	242,249,440
473	242,249,440
474	242,249,440
475	242,249,440
476	278,586,855
477	278,586,855
478	278,586,855
479	278,586,855
480	278,586,855
481	334,304,225
482	334,304,225
483	334,304,225
484	334,304,225
485	334,304,225
486	417,880,280
487	417,880,280
488	417,880,280
489	417,880,280
490	417,880,280
491	543,244,365
492	543,244,365
493	543,244,365
494	543,244,365
495	543,244,365
496	624,731,020
497	624,731,020
498	624,731,020
499	624,731,020
500	624,731,020
501	668,462,190
502	668,462,190
503	668,462,190
504	668,462,190
505	668,462,190
506	701,885,300
507	701,885,300
508	701,885,300
509	701,885,300
510	701,885,300
511	772,073,830
512	772,073,830
513	772,073,830
514	772,073,830
515	772,073,830
516	887,884,905
517	887,884,905
518	887,884,905
519	887,884,905
520	887,884,905
521	1,109,856,130
522	1,109,856,130
523	1,109,856,130
524	1,109,856,130
525	1,109,856,130
526	1,165,348,935
527	1,165,348,935
528	1,165,348,935
529	1,165,348,935
530	1,165,348,935
531	1,514,953,615
532	1,514,953,615
533	1,514,953,615
534	1,514,953,615
535	1,514,953,615
536	2,045,187,380
537	2,045,187,380
538	2,045,187,380
539	2,045,187,380
540	2,045,187,380
541	2,454,224,855
542	2,454,224,855
543	2,454,224,855
544	2,454,224,855
545	2,454,224,855
546	2,699,647,340
547	2,699,647,340
548	2,699,647,340
549	2,699,647,340
550	2,699,647,340
551	3,239,576,810
552	3,239,576,810
553	3,239,576,810
554	3,239,576,810
555	3,239,576,810
556	3,887,492,170
557	3,887,492,170
558	3,887,492,170
559	3,887,492,170
560	3,887,492,170
561	4,276,241,385
562	4,276,241,385
563	4,276,241,385
564	4,276,241,385
565	4,276,241,385
566	5,559,113,800
567	5,559,113,800
568	5,559,113,800
569	5,559,113,800
570	5,559,113,800
571	7,226,847,940
572	7,226,847,940
573	7,226,847,940
574	7,226,847,940
575	7,226,847,940
576	9,394,902,320
577	9,394,902,320
578	9,394,902,320
579	9,394,902,320
580	9,394,902,320
581	12,213,373,015
582	12,213,373,015
583	12,213,373,015
584	12,213,373,015
585	12,213,373,015
586	15,877,384,920
587	15,877,384,920
588	15,877,384,920
589	15,877,384,920
590	15,877,384,920
591	20,640,600,395
592	20,640,600,395
593	20,640,600,395
594	20,640,600,395
595	20,640,600,395
596	26,832,780,515
597	26,832,780,515
598	26,832,780,515
599	26,832,780,515
600	26,832,780,515
601	34,882,614,670
602	34,882,614,670
603	34,882,614,670
604	34,882,614,670
605	34,882,614,670
606	45,347,399,070
607	45,347,399,070
608	45,347,399,070
609	45,347,399,070
610	45,347,399,070
611	58,951,618,790
612	58,951,618,790
613	58,951,618,790
614	58,951,618,790
615	58,951,618,790
616	76,637,104,425
617	76,637,104,425
618	76,637,104,425
619	76,637,104,425
620	76,637,104,425
621	99,628,235,755
622	99,628,235,755
623	99,628,235,755
624	99,628,235,755
625	99,628,235,755
626	129,516,706,480
627	129,516,706,480
628	129,516,706,480
629	129,516,706,480
630	129,516,706,480
631	168,371,718,425
632	168,371,718,425
633	168,371,718,425
634	168,371,718,425
635	168,371,718,425
636	218,883,233,955
637	218,883,233,955
638	218,883,233,955
639	218,883,233,955
640	218,883,233,955
641	284,548,204,140
642	284,548,204,140
643	284,548,204,140
644	284,548,204,140
645	284,548,204,140
646	369,912,665,380
647	369,912,665,380
648	369,912,665,380
649	369,912,665,380
650	369,912,665,380
646	480,886,464,995
647	480,886,464,995
648	480,886,464,995
649	480,886,464,995
650	480,886,464,995
646	625,152,404,495
647	625,152,404,495
648	625,152,404,495
649	625,152,404,495
650	625,152,404,495
646	812,698,125,845
647	812,698,125,845
648	812,698,125,845
649	812,698,125,845
650	812,698,125,845
646	1,056,507,563,600
647	1,056,507,563,600
648	1,056,507,563,600
649	1,056,507,563,600
650	1,056,507,563,600
646	1,373,459,832,680
647	1,373,459,832,680
648	1,373,459,832,680
649	1,373,459,832,680
650	1,373,459,832,680
646	1,785,497,782,485
647	1,785,497,782,485
648	1,785,497,782,485
649	1,785,497,782,485
650	1,785,497,782,485
646	2,321,147,117,230
647	2,321,147,117,230
648	2,321,147,117,230
649	2,321,147,117,230
650	2,321,147,117,230
646	3,017,491,252,400
647	3,017,491,252,400
648	3,017,491,252,400
649	3,017,491,252,400
650	3,017,491,252,400
