	UNIT_TYPE	TALENT_1	TALENT_2	TALENT_3	TALENT_4	TALENT_5
18	MR_BIG_AND_KOSLOV	REALITY_DEBILITATION	ARMOR_SHARE	REALITY_BLIGHT	FREEZE_FRACTURE	DEVASTATING_BLOWS
19	MAYOR_BELLWETHER	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	DEVASTATING_SAP	ALLURING_LOYALTY	FORTIFYING_CLEANSE
20	FLASH	SPEED_DEBILITATION	DAMAGE_DEBILITATION	POWER_DEBILITATION	REFLECTIVE_REFUGE	TIRELESS
21	FAIRY_GODMOTHER	ARMOR_BENEVOLENCE	STOUT_SENSES	PRECISION_BENEVOLENCE	INVINCIBLE_REJUVENATION	FRUITFUL_REVENGE
22	CINDERELLA	STOUT_SENSES	HEAL_SHARE	SELF_PURIFICATION	FORTIFYING_CLEANSE	INVINCIBLE_REJUVENATION
23	HUEY_DEWEY_LOUIE	DAMAGE_AGGRESSIVE	PREDICTIVE_DEBILITATION	REALITY_DEBILITATION	AUGMENTED_STUN	FRENZIED_VENGEANCE
24	SCROOGE_MCDUCK	NIMBLE	REALITY_BLIGHT	SUPPORT_AGGRESSIVE	DEVASTATING_BLOWS	INVINCIBLE_RETRIBUTION
25	MAGICA_DE_SPELL	REALITY_DEBILITATION	CRUELTY	DAMAGE_DEBILITATION	CORRUPTED_DOSE	LACERATE
26	GIZMODUCK	ARMOR_BENEVOLENCE	ARMOR_SHARE	SPEED_BENEVOLENCE	INVINCIBLE_RETRIBUTION	TENDERIZE
27	LAUNCHPAD_MCQUACK	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	REFLECTIVE_REFUGE	TIRELESS
28	DONALD_DUCK	RELENTLESS	DAUNTLESS	REALITY_DEBILITATION	DEVASTATING_BLOWS	REFLECTION_WEAKEN
29	ELSA	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	DAMAGE_AGGRESSIVE	FREEZE_FRACTURE	SHREWD_STRIKES
30	OLAF	HEAL_SHARE	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	BOUNTIFUL_GROWTH	FREEZE_FRACTURE
31	KRISTOFF_AND_SVEN	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	INVINCIBLE_RETRIBUTION	FREEZE_FRACTURE
32	ANNA	PREDICTIVE_DEBILITATION	SPEED_BENEVOLENCE	RELENTLESS	FREEZE_FRACTURE	EXHAUSTING_ATTACKS
33	MALEFICENT	SPEED_DEBILITATION	CRUELTY	POWER_DEBILITATION	CORRUPTED_DOSE	LACERATE
34	PRINCE_PHILLIP	SHIELD_SHARE	RELENTLESS	NIMBLE	FORTIFYING_CLEANSE	ENABLING_SHIELD
35	PRINCESS_AURORA	BLINDING_ATTACKS	DAMAGE_DEBILITATION	SHIELD_SHARE	DEVASTATING_BLOWS	ENABLING_SHIELD
36	STITCH	HEALTH_DRAIN	SPEED_BENEVOLENCE	CLOAKING_ATTACKS	FRENZIED_VENGEANCE	INVINCIBLE_RETRIBUTION
37	JUMBA	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	POWER_DEBILITATION	EXTREME_ACCURACY	AUGMENTED_STUN
38	PLEAKLEY	DAMAGE_DEBILITATION	SILENCING_ATTACKS	HEALTH_DRAIN	DEVASTATING_BLOWS	LACERATE
39	ANGEL	REALITY_DEBILITATION	PREDICTIVE_DEBILITATION	ARMOR_DEBILITATION	TIRELESS	ALLURING_LOYALTY
40	LILO	NIMBLE	HEAL_SHARE	HEALTH_DRAIN	INVINCIBLE_RETRIBUTION	TIRELESS
41	ROBIN_HOOD	NIMBLE	SPEED_BENEVOLENCE	SPEED_DEBILITATION	DEVASTATING_BLOWS	SHREWD_STRIKES
42	SHERIFF_OF_NOTTINGHAM	CRUELTY	CLOAKING_ATTACKS	DEVASTATING_SAP	CORRUPTED_DOSE	HAUNT
43	LITTLE_JOHN	SHIELD_SHARE	PREDICTIVE_DEBILITATION	PRECISION_BENEVOLENCE	AUGMENTED_STUN	ENABLING_SHIELD
44	ESMERALDA	NIMBLE	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	LACERATE	DEVASTATING_BLOWS
45	QUASIMODO	HEAL_SHARE	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	INVINCIBLE_REJUVENATION	TIRELESS
46	PHOEBUS	BLINDING_ATTACKS	PRECISION_BENEVOLENCE	ENABLING_SHIELD	BOUNTIFUL_GROWTH	AUGMENTED_STUN
47	ANGER	HEALTH_DRAIN	NIMBLE	PRECISION_BENEVOLENCE	FRENZIED_VENGEANCE	CORRUPTED_DOSE
48	JOY	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	REALITY_BENEVOLENCE	TENDERIZE	TIRELESS
49	SADNESS	DAMAGE_DEBILITATION	ARMOR_SHARE	REALITY_SHARE	DEVIOUS_PLOT	LACERATE
50	DISGUST	SILENCING_ATTACKS	PREDICTIVE_DEBILITATION	DAMAGE_DEBILITATION	DEVASTATING_BLOWS	CORRUPTED_DOSE
51	FEAR	SPEED_BENEVOLENCE	REALITY_BENEVOLENCE	POWER_BENEVOLENCE	TIRELESS	INVINCIBLE_RETRIBUTION
52	KEVIN_FLYNN	POWER_BENEVOLENCE	HEAL_SHARE	PRECISION_BENEVOLENCE	FORTIFYING_CLEANSE	EXHAUSTING_ATTACKS
53	QUORRA	CLOAKING_ATTACKS	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	SHREWD_STRIKES	DEVASTATING_BLOWS
54	TRON	SPEED_BENEVOLENCE	HEAL_SHARE	POWER_BENEVOLENCE	INVINCIBLE_REJUVENATION	INVINCIBLE_RETRIBUTION
55	GOLIATH	HEAL_SHARE	RELENTLESS	NIMBLE	INVINCIBLE_RETRIBUTION	FRENZIED_VENGEANCE
56	DEMONA	TANK_AGGRESSIVE	DAMAGE_AGGRESSIVE	CONTROL_AGGRESSIVE	SHREWD_STRIKES	FRENZIED_VENGEANCE
57	CAPTAIN_AMELIA	DEVASTATING_SAP	POWER_BENEVOLENCE	HEALTH_DRAIN	SHREWD_STRIKES	DEVASTATING_BLOWS
58	JIM_HAWKINS	SPEED_BENEVOLENCE	SHIELD_SHARE	ARMOR_BENEVOLENCE	ENABLING_SHIELD	TENDERIZE
59	JOHN_SILVER	POWER_DEBILITATION	HEAL_SHARE	SHIELD_SHARE	ENABLING_SHIELD	INVINCIBLE_RETRIBUTION
60	MERLIN	CLOAKING_ATTACKS	SPEED_BENEVOLENCE	REALITY_BLIGHT	AUGMENTED_STUN	DEVIOUS_PLOT
61	MADAM_MIM	SPEED_DEBILITATION	STOIC_DETERMINATION	ARMOR_BLIGHT	TIRELESS	LACERATE
62	KIM_POSSIBLE	CLOAKING_ATTACKS	NIMBLE	HEAL_SHARE	FRENZIED_VENGEANCE	SHREWD_STRIKES
63	DR_DRAKKEN	SILENCING_ATTACKS	NIMBLE	REALITY_DEBILITATION	DEVIOUS_PLOT	DEVASTATING_BLOWS
64	SHEGO	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	SHIELD_SHARE	SHREWD_STRIKES	ENABLING_SHIELD
65	RON_STOPPABLE	SUPPORT_AGGRESSIVE	POWER_DEBILITATION	POWER_BENEVOLENCE	REFLECTIVE_REFUGE	AUGMENTED_STUN
66	DUFF_KILLIGAN	DAMAGE_AGGRESSIVE	TANK_AGGRESSIVE	SUPPORT_AGGRESSIVE	BOUNTIFUL_GROWTH	DEVASTATING_BLOWS
67	MONKEY_FIST	TANK_AGGRESSIVE	DOMINANCE	ARMOR_BLIGHT	INVINCIBLE_REJUVENATION	TENDERIZE
68	COLETTE	SPEED_DEBILITATION	TANK_AGGRESSIVE	DAMAGE_DEBILITATION	EXHAUSTING_ATTACKS	LACERATE
69	LINGUINI_AND_REMY	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	ARMOR_BENEVOLENCE	LACERATE	TIRELESS
70	CHEF_SKINNER	DAMAGE_DEBILITATION	SHIELD_SHARE	SPEED_BENEVOLENCE	FORTIFYING_CLEANSE	INVINCIBLE_REJUVENATION
71	MAUI	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	HEAL_SHARE	BOUNTIFUL_GROWTH	TENDERIZE
72	MOANA	POWER_BENEVOLENCE	SHIELD_SHARE	HEAL_SHARE	ENABLING_SHIELD	EXHAUSTING_ATTACKS
73	RAYA	SPEED_BENEVOLENCE	HEAL_SHARE	SHIELD_SHARE	FORTIFYING_CLEANSE	AUGMENTED_STUN
74	SISU	HEAL_SHARE	SPEED_BENEVOLENCE	SHIELD_SHARE	TENDERIZE	ENABLING_SHIELD
75	NAMAARI	HEALTH_DRAIN	DOMINANCE	PREDICTIVE_DEBILITATION	AUGMENTED_STUN	EXHAUSTING_ATTACKS
76	EVE	DAMAGE_DEBILITATION	HEALTH_DRAIN	POWER_DEBILITATION	AUGMENTED_STUN	SHREWD_STRIKES
77	WALL_E	SILENCING_ATTACKS	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	FREEZE_FRACTURE	TIRELESS
78	KIDA	POWER_BENEVOLENCE	HEAL_SHARE	ARMOR_SHARE	SHREWD_STRIKES	EXHAUSTING_ATTACKS
79	VINNY_SANTORINI	ARMOR_BLIGHT	ARMOR_SHARE	TANK_AGGRESSIVE	SHREWD_STRIKES	AUGMENTED_STUN
80	HELGA	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	HEALTH_DRAIN	AUGMENTED_STUN	EXHAUSTING_ATTACKS
81	MILO_THATCH	SPEED_BENEVOLENCE	SHIELD_SHARE	HEAL_SHARE	EXTREME_ACCURACY	ENABLING_SHIELD
82	AUDREY_RAMIREZ	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	DAMAGE_AGGRESSIVE	ENABLING_SHIELD	DEVASTATING_BLOWS
83	DARKWING_DUCK	CLOAKING_ATTACKS	PRECISION_BENEVOLENCE	RELENTLESS	EXHAUSTING_ATTACKS	DEVIOUS_PLOT
84	MEGAVOLT	STOIC_DETERMINATION	PREDICTIVE_DEBILITATION	TANK_AGGRESSIVE	AUGMENTED_STUN	LACERATE
85	QUACKERJACK	DAMAGE_DEBILITATION	HEALTH_DRAIN	REALITY_BLIGHT	DEVASTATING_BLOWS	EXHAUSTING_ATTACKS
86	NEGADUCK	DEVASTATING_SAP	POWER_DEBILITATION	SUPPORT_AGGRESSIVE	INVINCIBLE_REJUVENATION	INVINCIBLE_MOMENTUM
87	PETER_PAN	REALITY_BLIGHT	SPEED_BENEVOLENCE	CLOAKING_ATTACKS	DEVASTATING_BLOWS	DEVIOUS_PLOT
88	CAPTAIN_HOOK	DEVASTATING_SAP	SPEED_DEBILITATION	POWER_DEBILITATION	INVINCIBLE_RETRIBUTION	INVINCIBLE_MOMENTUM
89	TIGGER	CONTROL_AGGRESSIVE	DAMAGE_AGGRESSIVE	TANK_AGGRESSIVE	DEVASTATING_BLOWS	SHREWD_STRIKES
90	WINNIE_THE_POOH	HEAL_SHARE	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	LACERATE	INVINCIBLE_RETRIBUTION
91	EEYORE	SHIELD_SHARE	HEAL_SHARE	DEVASTATING_SAP	BOUNTIFUL_GROWTH	TENDERIZE
92	MERIDA	DOMINANCE	TANK_AGGRESSIVE	BLINDING_ATTACKS	EXHAUSTING_ATTACKS	SHREWD_STRIKES
93	RAPUNZEL	SPEED_BENEVOLENCE	STOUT_SENSES	POWER_BENEVOLENCE	FORTIFYING_CLEANSE	INVINCIBLE_REJUVENATION
94	BELLE	POWER_BENEVOLENCE	DEVASTATING_SAP	SHIELD_SHARE	ENABLING_SHIELD	TIRELESS
95	MULAN	ARMOR_DEBILITATION	SHIELD_SHARE	POWER_BENEVOLENCE	ENABLING_SHIELD	SHREWD_STRIKES
96	POCAHONTAS	SILENCING_ATTACKS	PREDICTIVE_DEBILITATION	PRECISION_BENEVOLENCE	AUGMENTED_STUN	TENDERIZE
97	ARIEL	POWER_BENEVOLENCE	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	ALLURING_LOYALTY	FORTIFYING_CLEANSE
98	SNOW_WHITE	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	FORTIFYING_CLEANSE	ALLURING_LOYALTY
99	TIANA	ARMOR_DEBILITATION	BOLD_STURDINESS	REALITY_DEBILITATION	TENDERIZE	FORTIFYING_CLEANSE
100	MICKEY_MOUSE	SPEED_BENEVOLENCE	POWER_BENEVOLENCE	ARMOR_BENEVOLENCE	TIRELESS	BOUNTIFUL_GROWTH
101	GOOFY	SHIELD_SHARE	HEAL_SHARE	REALITY_SHARE	AUGMENTED_STUN	ENABLING_SHIELD
102	MINNIE_MOUSE	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	HEALTH_DRAIN	REFLECTION_WEAKEN	ALLURING_LOYALTY
103	PETE	HEALTH_DRAIN	POWER_BENEVOLENCE	SHIELD_SHARE	ENABLING_SHIELD	DEVASTATING_BLOWS
104	DAISY_DUCK	SPEED_BENEVOLENCE	SHIELD_SHARE	PREDICTIVE_DEBILITATION	EXTREME_ACCURACY	ENABLING_SHIELD
105	CALHOUN	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	CONTROL_AGGRESSIVE	LACERATE	SHREWD_STRIKES
106	RALPH	HEALTH_DRAIN	HEAL_SHARE	POWER_BENEVOLENCE	BOUNTIFUL_GROWTH	AUGMENTED_STUN
107	FELIX	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	SPEED_BENEVOLENCE	REFLECTIVE_REFUGE	TENDERIZE
108	VANELLOPE	POWER_DEBILITATION	SPEED_DEBILITATION	PREDICTIVE_DEBILITATION	LACERATE	SHREWD_STRIKES
109	SHANK	ARMOR_SHARE	POWER_BENEVOLENCE	HEAL_SHARE	REFLECTIVE_REFUGE	TIRELESS
110	LI_SHANG	HEAL_SHARE	PRECISION_BENEVOLENCE	SPEED_BENEVOLENCE	ENABLING_SHIELD	INVINCIBLE_REJUVENATION
111	MUSHU	TANK_AGGRESSIVE	REALITY_BLIGHT	SILENCING_ATTACKS	DEVIOUS_PLOT	HAUNT
112	SHAN_YU	RELENTLESS	ARMOR_BLIGHT	TANK_AGGRESSIVE	FRENZIED_VENGEANCE	DEVASTATING_BLOWS
113	CHIP_AND_DALE	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	SPEED_BENEVOLENCE	TIRELESS	AUGMENTED_STUN
114	GADGET_HACKWRENCH	NIMBLE	POWER_DEBILITATION	PREDICTIVE_DEBILITATION	CORRUPTED_DOSE	EXHAUSTING_ATTACKS
115	MISS_PIGGY	TANK_AGGRESSIVE	DAMAGE_AGGRESSIVE	CONTROL_AGGRESSIVE	DEVASTATING_BLOWS	INVINCIBLE_RETRIBUTION
116	ANIMAL	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	FORTIFYING_CLEANSE	EXHAUSTING_ATTACKS
117	GONZO	RELENTLESS	HEAL_SHARE	SHIELD_SHARE	BOUNTIFUL_GROWTH	ENABLING_SHIELD
118	BUNSEN_AND_BEAKER	SUPPORT_AGGRESSIVE	TANK_AGGRESSIVE	DAMAGE_AGGRESSIVE	INVINCIBLE_RETRIBUTION	SHREWD_STRIKES
119	SWEDISH_CHEF	HEAL_SHARE	PRECISION_BENEVOLENCE	PREDICTIVE_DEBILITATION	TIRELESS	LACERATE
120	KERMIT	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	CLOAKING_ATTACKS	TIRELESS	TENDERIZE
121	FOZZIE	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	SPEED_DEBILITATION	INVINCIBLE_REJUVENATION	INVINCIBLE_MOMENTUM
122	STATLER_AND_WALDORF	CRUELTY	POWER_DEBILITATION	HEAL_SHARE	INVINCIBLE_MOMENTUM	BOUNTIFUL_GROWTH
123	SWEETUMS	RELENTLESS	HEAL_SHARE	TANK_AGGRESSIVE	ENABLING_SHIELD	AUGMENTED_STUN
124	HADES	PREDICTIVE_DEBILITATION	DAMAGE_DEBILITATION	POWER_DEBILITATION	INVINCIBLE_MOMENTUM	LACERATE
125	HERCULES	RELENTLESS	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	INVINCIBLE_MOMENTUM	AUGMENTED_STUN
126	MEGARA	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	ALLURING_LOYALTY	INVINCIBLE_RETRIBUTION
127	ZEUS	DEVASTATING_SAP	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	AUGMENTED_STUN	FORTIFYING_CLEANSE
128	PHIL	POWER_BENEVOLENCE	POWER_DEBILITATION	PRECISION_BENEVOLENCE	FORTIFYING_CLEANSE	TENDERIZE
129	PEGASUS	NIMBLE	SHIELD_SHARE	HEAL_SHARE	FORTIFYING_CLEANSE	INVINCIBLE_REJUVENATION
130	DR_FACILIER	REALITY_DEBILITATION	DEVASTATING_SAP	CRUELTY	CORRUPTED_DOSE	ENABLING_SHIELD
131	URSULA	DAMAGE_DEBILITATION	POWER_DEBILITATION	SPEED_DEBILITATION	CORRUPTED_DOSE	AUGMENTED_STUN
132	KING_TRITON	NIMBLE	SPEED_DEBILITATION	DAMAGE_DEBILITATION	EXTREME_ACCURACY	LACERATE
133	CARL	DEVASTATING_SAP	POWER_DEBILITATION	BOLD_STURDINESS	INVINCIBLE_RETRIBUTION	FRUITFUL_REVENGE
134	RUSSELL_AND_KEVIN	SPEED_BENEVOLENCE	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	TENDERIZE	DEVASTATING_BLOWS
135	ALICE	HEALTH_DRAIN	HEAL_SHARE	POWER_BENEVOLENCE	LACERATE	FRENZIED_VENGEANCE
136	MAD_HATTER	PREDICTIVE_DEBILITATION	REALITY_BLIGHT	BLINDING_ATTACKS	EXHAUSTING_ATTACKS	ALLURING_LOYALTY
137	QUEEN_OF_HEARTS	STOUT_SENSES	ARMOR_BENEVOLENCE	REALITY_BENEVOLENCE	REFLECTIVE_REFUGE	AUGMENTED_STUN
138	CHESHIRE_CAT	DEVASTATING_SAP	SELF_PURIFICATION	HEAL_SHARE	DEVIOUS_PLOT	HAUNT
139	TIMON_AND_PUMBAA	REALITY_BENEVOLENCE	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	BOUNTIFUL_GROWTH	INVINCIBLE_RETRIBUTION
140	SIMBA_AND_NALA	SPEED_DEBILITATION	SPEED_BENEVOLENCE	NIMBLE	ALLURING_LOYALTY	SHREWD_STRIKES
141	RAFIKI	HEAL_SHARE	PRECISION_BENEVOLENCE	POWER_BENEVOLENCE	BOUNTIFUL_GROWTH	TENDERIZE
142	SCAR	PREDICTIVE_DEBILITATION	SILENCING_ATTACKS	TANK_AGGRESSIVE	HAUNT	SHREWD_STRIKES
143	WOODY	NIMBLE	PRECISION_BENEVOLENCE	ARMOR_BENEVOLENCE	TIRELESS	INVINCIBLE_RETRIBUTION
144	REX	RELENTLESS	DAMAGE_AGGRESSIVE	DAUNTLESS	DEVASTATING_BLOWS	REFLECTIVE_REFUGE
145	EMPEROR_ZURG	REALITY_BLIGHT	TANK_AGGRESSIVE	SPEED_DEBILITATION	DEVIOUS_PLOT	CORRUPTED_DOSE
146	JESSIE	NIMBLE	RELENTLESS	HEAL_SHARE	REFLECTIVE_REFUGE	SHREWD_STRIKES
147	SLINKY_DOG	STOUT_SENSES	ARMOR_SHARE	REALITY_SHARE	ENABLING_SHIELD	TIRELESS
148	DUKE_CABOOM	DAUNTLESS	ARMOR_BLIGHT	SUPPORT_AGGRESSIVE	SHREWD_STRIKES	EXHAUSTING_ATTACKS
149	DUCKY_AND_BUNNY	REALITY_BLIGHT	TANK_AGGRESSIVE	CONTROL_AGGRESSIVE	LACERATE	CORRUPTED_DOSE
150	BO_PEEP	RELENTLESS	DAUNTLESS	DAMAGE_AGGRESSIVE	INVINCIBLE_RETRIBUTION	TIRELESS
151	BUZZ	ARMOR_BLIGHT	STOUT_SENSES	CONTROL_AGGRESSIVE	DEVIOUS_PLOT	SHREWD_STRIKES
152	HAMM	DEVASTATING_SAP	POWER_BENEVOLENCE	PRECISION_BENEVOLENCE	BOUNTIFUL_GROWTH	FRENZIED_VENGEANCE
153	HANK_AND_DORY	HEAL_SHARE	PREDICTIVE_DEBILITATION	CLOAKING_ATTACKS	HAUNT	INVINCIBLE_REJUVENATION
154	GERALD_MARLIN_NEMO	RELENTLESS	ARMOR_SHARE	REALITY_SHARE	TIRELESS	INVINCIBLE_RETRIBUTION
155	BEAST	NIMBLE	RELENTLESS	POWER_BENEVOLENCE	SHREWD_STRIKES	EXHAUSTING_ATTACKS
156	COGSWORTH_AND_LUMIERE	POWER_BENEVOLENCE	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	HAUNT	LACERATE
157	DASH	SUPPORT_AGGRESSIVE	CONTROL_AGGRESSIVE	TANK_AGGRESSIVE	INVINCIBLE_REJUVENATION	SHREWD_STRIKES
158	ELASTIGIRL	HEALTH_DRAIN	REALITY_BLIGHT	DAMAGE_AGGRESSIVE	INVINCIBLE_MOMENTUM	INVINCIBLE_REJUVENATION
159	EVIL_QUEEN	DAMAGE_DEBILITATION	PREDICTIVE_FORTIFICATION	CRUELTY	CORRUPTED_DOSE	SHREWD_STRIKES
160	FLYNN_RIDER	DAMAGE_DEBILITATION	POWER_DEBILITATION	DEVASTATING_SAP	EXHAUSTING_ATTACKS	TIRELESS
161	FROZONE	BOLD_STURDINESS	DAMAGE_AGGRESSIVE	CLOAKING_ATTACKS	FREEZE_FRACTURE	LACERATE
162	GASTON	POWER_DEBILITATION	SPEED_DEBILITATION	DAMAGE_DEBILITATION	INVINCIBLE_MOMENTUM	AUGMENTED_STUN
163	JACK_JACK	DAMAGE_DEBILITATION	CLOAKING_ATTACKS	SPEED_DEBILITATION	HAUNT	LACERATE
164	KRONK	SPEED_BENEVOLENCE	RELENTLESS	PRECISION_BENEVOLENCE	INVINCIBLE_RETRIBUTION	TIRELESS
165	MAXIMUS	RELENTLESS	HEAL_SHARE	POWER_BENEVOLENCE	INVINCIBLE_REJUVENATION	INVINCIBLE_REJUVENATION
166	MOTHER_GOTHEL	HEAL_SHARE	RELENTLESS	CLOAKING_ATTACKS	HAUNT	DEVIOUS_PLOT
167	MR_INCREDIBLE	REALITY_SHARE	ARMOR_SHARE	POWER_DEBILITATION	AUGMENTED_STUN	DEVASTATING_BLOWS
168	PACHA	HEAL_SHARE	SHIELD_SHARE	NIMBLE	TIRELESS	ENABLING_SHIELD
169	KUZCO	REALITY_SHARE	ARMOR_SHARE	DEVASTATING_SAP	ENABLING_SHIELD	EXHAUSTING_ATTACKS
170	SYNDROME	ARMOR_DEBILITATION	RELENTLESS	DAMAGE_DEBILITATION	AUGMENTED_STUN	CORRUPTED_DOSE
171	THE_UNDERMINER	SPEED_DEBILITATION	DAUNTLESS	DOMINANCE	DEVASTATING_BLOWS	LACERATE
172	VIOLET	PRECISION_BENEVOLENCE	SPEED_BENEVOLENCE	SHIELD_SHARE	ENABLING_SHIELD	INVINCIBLE_RETRIBUTION
173	VOYD	REALITY_DEBILITATION	DOMINANCE	COMPLETE_FORTIFICATION	EXHAUSTING_ATTACKS	CORRUPTED_DOSE
174	YZMA	DAMAGE_DEBILITATION	HEALTH_DRAIN	CRUELTY	AUGMENTED_STUN	SHREWD_STRIKES
175	JACK_SKELLINGTON	PREDICTIVE_DEBILITATION	POWER_DEBILITATION	DAMAGE_DEBILITATION	LACERATE	DEVASTATING_BLOWS
176	SALLY	BOLD_STURDINESS	HEALTH_DRAIN	HEAL_SHARE	LACERATE	CORRUPTED_DOSE
177	OOGIE_BOOGIE	POWER_DEBILITATION	HEAL_SHARE	NIMBLE	INVINCIBLE_RETRIBUTION	INVINCIBLE_MOMENTUM
178	LOCK_SHOCK_BARREL	SPEED_DEBILITATION	SPEED_BENEVOLENCE	PRECISION_BENEVOLENCE	EXHAUSTING_ATTACKS	FRENZIED_VENGEANCE
179	THE_MAYOR	DEVASTATING_SAP	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	ALLURING_LOYALTY	FRENZIED_VENGEANCE
180	MARY_SANDERSON	HEAL_SHARE	PREDICTIVE_DEBILITATION	SPEED_DEBILITATION	ALLURING_LOYALTY	TIRELESS
181	WINIFRED_SANDERSON	POWER_DEBILITATION	HEAL_SHARE	DAMAGE_DEBILITATION	INVINCIBLE_REJUVENATION	BOUNTIFUL_GROWTH
182	SARAH_SANDERSON	POWER_BENEVOLENCE	SPEED_BENEVOLENCE	DAMAGE_DEBILITATION	EXHAUSTING_ATTACKS	DEVASTATING_BLOWS
183	MIKE	DAMAGE_AGGRESSIVE	TANK_AGGRESSIVE	SUPPORT_AGGRESSIVE	SHREWD_STRIKES	AUGMENTED_STUN
184	SULLEY	SHIELD_SHARE	HEAL_SHARE	POWER_BENEVOLENCE	ENABLING_SHIELD	INVINCIBLE_REJUVENATION
185	RANDALL_BOGGS	SPEED_BENEVOLENCE	HEALTH_DRAIN	NIMBLE	HAUNT	DEVIOUS_PLOT
