	TIER_1_TAGS	TIER_3_TAGS	TIER_4_TAGS	FRANCHISE	SKILL_1	SKILL_2	SKILL_3	SKILL_4	SKILL_5	PRIME_BADGE	PATCH_TALENT_1	PATCH_TALENT_2	PATCH_TALENT_3	PATCH_TALENT_4	PATCH_TALENT_5
ANNE_BOONCHUY	DPS_ROLE,YELLOW_TEAM,AMPHIBIA,NORMAL_DAMAGE,SHIELD_SELF,DAMAGE_DECREASE,DAMAGE_INCREASE,LIMIT,REMOVE_BUFF,KNOCKBACK,STUN,WEAKNESS,CURSE,PRECISE,DRAIN,IMMUNITY,INVINCIBLE,PIERCE,ATTACK_SPEED_INCREASE,MAX_HP_INCREASE	HARDY,DAMAGE_INCREASE	IMMUNITY,SILENCE,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT,CLEANSE,BERSERK,HEAL_SELF	AMPHIBIA	NORMAL_DAMAGE,SHIELD_SELF,DAMAGE_DECREASE,DAMAGE_INCREASE,LIMIT	NORMAL_DAMAGE,REMOVE_BUFF,KNOCKBACK,STUN	NORMAL_DAMAGE,WEAKNESS,CURSE	NORMAL_DAMAGE,PRECISE,SHIELD_SELF,DRAIN	IMMUNITY,INVINCIBLE,PIERCE,ATTACK_SPEED_INCREASE,NORMAL_DAMAGE,DAMAGE_INCREASE,MAX_HP_INCREASE	HARDY,DAMAGE_INCREASE	IMMUNITY	SILENCE	IMMUNITY	REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	CLEANSE,BERSERK,HEAL_SELF
ANXIETY	SUPPORT_ROLE,YELLOW_TEAM,INSIDE_OUT,FANTASTIC_DAMAGE,DODGE,CONFUSION,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,MAX_HP_INCREASE,ENERGIZE,SHIELD_SELF,IMMUNITY,ARMOR_INCREASE,REALITY_INCREASE,TRUE_DAMAGE	TENACITY_INCREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE	SHIELD_TEAM,ARMOR_INCREASE,REALITY_INCREASE,REMOVE_BUFF,SHIELD_SELF,IMMUNITY	INSIDE_OUT	FANTASTIC_DAMAGE,DODGE,CONFUSION	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,MAX_HP_INCREASE,ENERGIZE	SHIELD_SELF,DODGE,CONFUSION	IMMUNITY,ARMOR_INCREASE,REALITY_INCREASE	TRUE_DAMAGE,MAX_HP_INCREASE,SHIELD_SELF,DODGE,IMMUNITY,ARMOR_INCREASE,REALITY_INCREASE	TENACITY_INCREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE	SHIELD_TEAM	ARMOR_INCREASE	REALITY_INCREASE	REMOVE_BUFF	SHIELD_SELF,IMMUNITY
ARIEL	SUPPORT_ROLE,BLUE_TEAM,THE_LITTLE_MERMAID,PRINCESS,FANTASTIC_DAMAGE,HEAL_OVER_TIME_TEAM,CLEANSE,KNOCKBACK,HEAL_TEAM,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE,MAX_HP_INCREASE,HEAL_SELF,SKILL_POWER_INCREASE,EVASION_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,SKILL_POWER_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,HARDY,REDUCED_DAMAGE_TAKEN	THE_LITTLE_MERMAID,PRINCESS	FANTASTIC_DAMAGE,HEAL_OVER_TIME_TEAM,CLEANSE,KNOCKBACK	HEAL_OVER_TIME_TEAM	HEAL_TEAM,KNOCKBACK,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	MAX_HP_INCREASE	HEAL_TEAM,HEAL_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,SKILL_POWER_INCREASE,MAX_HP_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE	REALITY_INCREASE	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	HARDY,REDUCED_DAMAGE_TAKEN
AUDREY_RAMIREZ	DPS_ROLE,YELLOW_TEAM,ATLANTIS,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,NORMAL_DAMAGE,PIERCE,STUN,FANTASTIC_DAMAGE,SHIELD_SELF,SKILL_POWER_INCREASE	BERSERK,SKILL_POWER_INCREASE,ARMOR_INCREASE	INCREASED_DAMAGE_DEALT,SHIELD_SELF,IMMUNITY,REMOVE_BUFF,SHATTER,PIERCE	ATLANTIS	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE	NORMAL_DAMAGE,PIERCE,STUN	NORMAL_DAMAGE,FANTASTIC_DAMAGE	SHIELD_SELF	PIERCE,STUN,DAMAGE_INCREASE,SKILL_POWER_INCREASE,SHIELD_SELF	BERSERK,SKILL_POWER_INCREASE,ARMOR_INCREASE	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	SHIELD_SELF,IMMUNITY	REMOVE_BUFF,SHATTER,PIERCE
BAGHEERA	SUPPORT_ROLE,BLUE_TEAM,THE_JUNGLE_BOOK,DISTRACT,SCARE,SILENCE,INVISIBLE,REDUCED_DAMAGE_TAKEN,HEAL_SELF,SKILL_POWER_INCREASE,MAX_HP_INCREASE,HEAL_TEAM,FANTASTIC_DAMAGE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,MAX_HP_INCREASE,DAMAGE_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE,SAP,CURSE,INCREASED_DAMAGE_DEALT,REFLECT,HEAL_SELF	THE_JUNGLE_BOOK	DISTRACT,SCARE,SILENCE,INVISIBLE,REDUCED_DAMAGE_TAKEN	INVISIBLE,HEAL_SELF	SKILL_POWER_INCREASE,MAX_HP_INCREASE,REDUCED_DAMAGE_TAKEN	HEAL_SELF,HEAL_TEAM,REDUCED_DAMAGE_TAKEN	FANTASTIC_DAMAGE,HEAL_SELF,HEAL_TEAM,INVISIBLE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,MAX_HP_INCREASE,DAMAGE_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	SAP,CURSE,INCREASED_DAMAGE_DEALT	REFLECT,HEAL_SELF
BALOO	TANK_ROLE,BLUE_TEAM,THE_JUNGLE_BOOK,HEAL_OVER_TIME_SELF,CHARM,HARDY,ARMOR_INCREASE,REALITY_INCREASE,ENERGY_SELF,HEAL_OVER_TIME_TEAM,MAX_HP_INCREASE	REALITY_INCREASE,ARMOR_INCREASE,BERSERK	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,PRECISE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF,CHARM	THE_JUNGLE_BOOK	HEAL_OVER_TIME_SELF,CHARM	HARDY,HEAL_OVER_TIME_SELF,ARMOR_INCREASE,REALITY_INCREASE,ENERGY_SELF	ARMOR_INCREASE,REALITY_INCREASE	HEAL_OVER_TIME_TEAM	CHARM,HARDY,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	REALITY_INCREASE,ARMOR_INCREASE,BERSERK	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	PRECISE	DAMAGE_INCREASE,SKILL_POWER_INCREASE	IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF	CHARM,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE
BAMBI	SUPPORT_ROLE,BLUE_TEAM,NORMAL_DAMAGE,HEAL_TEAM,MAX_HP_INCREASE,DISTRACT,FATIGUE,SHIELD_SELF,SHIELD_TEAM,ENDURANCE,SKILL_POWER_DECREASE,TENACITY_INCREASE,EVASION_INCREASE,INVISIBLE,DAMAGE_DECREASE,MOMENTUM,ARMOR_DECREASE,REALITY_DECREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	HEAL_OVER_TIME_SELF,MAX_HP_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,REMOVE_BUFF,INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE		NORMAL_DAMAGE,HEAL_TEAM,MAX_HP_INCREASE,DISTRACT,FATIGUE	NORMAL_DAMAGE,HEAL_TEAM,SHIELD_SELF,SHIELD_TEAM,ENDURANCE	NORMAL_DAMAGE,SKILL_POWER_DECREASE,MAX_HP_INCREASE,TENACITY_INCREASE,EVASION_INCREASE	INVISIBLE,DAMAGE_DECREASE,HEAL_TEAM,SHIELD_TEAM	MOMENTUM,DISTRACT,ARMOR_DECREASE,REALITY_DECREASE,MAX_HP_INCREASE,SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	HEAL_OVER_TIME_SELF,MAX_HP_INCREASE,SKILL_POWER_INCREASE	ARMOR_INCREASE	REALITY_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	REMOVE_BUFF	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE
BARLEY_LIGHTFOOT	TANK_ROLE,RED_TEAM,ONWARD,DISTRACT,REALITY_INCREASE,DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE,NORMAL_DAMAGE,STUN,HEAL_OVER_TIME_SELF,BERSERK,ATTACK_SPEED_INCREASE,HEAL_TEAM,ARMOR_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,SHIELD_SELF	DAMAGE_INCREASE,SKILL_POWER_INCREASE,HEAL_SELF,HEAL_TEAM,INVINCIBLE,IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF	ONWARD	DISTRACT,REALITY_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE	NORMAL_DAMAGE,STUN	HEAL_OVER_TIME_SELF,BERSERK,ATTACK_SPEED_INCREASE	HEAL_TEAM,SKILL_POWER_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,REALITY_INCREASE,SHIELD_SELF	DAMAGE_INCREASE,SKILL_POWER_INCREASE	HEAL_SELF	HEAL_TEAM	INVINCIBLE,DAMAGE_INCREASE,SKILL_POWER_INCREASE	IMMUNITY,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF
BASIL	CONTROL_ROLE,YELLOW_TEAM,THE_GREAT_MOUSE_DETECTIVE,NORMAL_DAMAGE,STUDY,DAMAGE_OVER_TIME,ENERGY_SELF,ENERGY_REMOVAL,DAMAGE_INCREASE,SKILL_POWER_INCREASE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,HARDY	HEAL_SELF,INCREASED_DAMAGE_DEALT,REMOVE_BUFF,SHATTER,PIERCE,DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	THE_GREAT_MOUSE_DETECTIVE	NORMAL_DAMAGE,STUDY	NORMAL_DAMAGE,DAMAGE_OVER_TIME	STUDY	STUDY,ENERGY_SELF	ENERGY_REMOVAL,NORMAL_DAMAGE,DAMAGE_OVER_TIME,DAMAGE_INCREASE,SKILL_POWER_INCREASE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,HARDY	HEAL_SELF	INCREASED_DAMAGE_DEALT	INCREASED_DAMAGE_DEALT	REMOVE_BUFF,SHATTER,PIERCE	DAMAGE_OVER_TIME,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
BAYMAX	TANK_ROLE,RED_TEAM,BIG_HERO_SIX,SHIELD_SELF,SHIELD_TEAM,NORMAL_DAMAGE,STUDY,REDUCED_DAMAGE_TAKEN,HARDY,ARMOR_INCREASE,MAX_HP_INCREASE	ARMOR_INCREASE,SHIELD_TEAM	ARMOR_INCREASE,ARMOR_DECREASE,SHIELD_SELF,IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF	BIG_HERO_SIX	SHIELD_SELF,SHIELD_TEAM	NORMAL_DAMAGE,SHIELD_SELF,SHIELD_TEAM	STUDY	REDUCED_DAMAGE_TAKEN	HARDY,ARMOR_INCREASE,MAX_HP_INCREASE,SHIELD_TEAM	ARMOR_INCREASE,SHIELD_TEAM	ARMOR_INCREASE	ARMOR_DECREASE	ARMOR_INCREASE	SHIELD_SELF,IMMUNITY	IMMUNITY,INVINCIBLE,HEAL_OVER_TIME_SELF
BEAST	DPS_ROLE,YELLOW_TEAM,BEAUTY_AND_THE_BEAST,BERSERK,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,HEAL_SELF,NORMAL_DAMAGE,KNOCKBACK,CRIT_DAMAGE_INCREASE,ARMOR_DECREASE,SILENCE,DAMAGE_INCREASE,MAX_HP_INCREASE,NORMAL_CRIT_INCREASE	DAMAGE_INCREASE,NORMAL_CRIT_INCREASE	IMMUNITY,DAMAGE_INCREASE,SKILL_POWER_INCREASE,REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT	BEAUTY_AND_THE_BEAST	BERSERK,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,HEAL_SELF	NORMAL_DAMAGE	NORMAL_DAMAGE,KNOCKBACK	CRIT_DAMAGE_INCREASE	ARMOR_DECREASE,SILENCE,DAMAGE_INCREASE,MAX_HP_INCREASE,NORMAL_CRIT_INCREASE	DAMAGE_INCREASE,NORMAL_CRIT_INCREASE	IMMUNITY	IMMUNITY	DAMAGE_INCREASE,SKILL_POWER_INCREASE		REMOVE_BUFF,FATIGUE,REDUCED_DAMAGE_DEALT
