	ENEMY_LEVEL	ENEMY_RARITY	ENEMY_STARS	GEAR_JUICE_REWARD
79.54545455	79	PURPLE_2	5	477
80	80	PURPLE_2	5	480
80.45454545	75	PURPLE_3	5	483
80.90909091	76	PURPLE_3	5	485
81.36363636	77	PURPLE_3	5	488
81.81818182	78	PURPLE_3	5	491
82.27272727	79	PURPLE_3	5	494
82.72727273	80	PURPLE_3	5	496
83.18181818	81	PURPLE_3	5	499
83.63636364	82	PURPLE_3	5	502
84.09090909	83	PURPLE_3	5	505
84.54545455	84	PURPLE_3	5	507
85	85	PURPLE_3	5	510
85.45454545	80	PURPLE_4	5	513
85.90909091	81	PURPLE_4	5	515
86.36363636	82	PURPLE_4	5	518
86.81818182	83	PURPLE_4	5	521
87.27272727	84	PURPLE_4	5	524
87.72727273	85	PURPLE_4	5	526
88.18181818	86	PURPLE_4	5	529
88.63636364	87	PURPLE_4	5	532
89.09090909	88	PURPLE_4	5	535
89.54545455	89	PURPLE_4	5	537
90	90	PURPLE_4	5	540
90.45454545	85	ORANGE	5	543
90.90909091	86	ORANGE	5	545
91.36363636	87	ORANGE	5	548
91.81818182	88	ORANGE	5	551
92.27272727	89	ORANGE	5	554
92.72727273	90	ORANGE	5	556
93.18181818	91	ORANGE	5	559
93.63636364	92	ORANGE	5	562
94.09090909	93	ORANGE	5	565
94.54545455	94	ORANGE	5	567
95	95	ORANGE	5	570
95.45454545	90	ORANGE_1	5	573
95.90909091	91	ORANGE_1	5	575
96.36363636	92	ORANGE_1	5	578
96.81818182	93	ORANGE_1	5	581
97.27272727	94	ORANGE_1	5	584
97.72727273	95	ORANGE_1	5	586
98.18181818	96	ORANGE_1	5	589
98.63636364	97	ORANGE_1	5	592
99.09090909	98	ORANGE_1	5	595
99.54545455	99	ORANGE_1	5	597
100	100	ORANGE_1	5	600
100.4545455	95	ORANGE_2	5	603
100.9090909	96	ORANGE_2	5	605
101.3636364	97	ORANGE_2	5	608
101.8181818	98	ORANGE_2	5	611
102.2727273	99	ORANGE_2	5	614
102.7272727	100	ORANGE_2	5	616
103.1818182	101	ORANGE_2	5	619
103.6363636	102	ORANGE_2	5	622
104.0909091	103	ORANGE_2	5	625
104.5454545	104	ORANGE_2	5	627
105	105	ORANGE_2	5	630
105.4545455	100	ORANGE_3	5	633
105.9090909	101	ORANGE_3	5	635
106.3636364	102	ORANGE_3	5	638
106.8181818	103	ORANGE_3	5	641
107.2727273	104	ORANGE_3	5	644
107.7272727	105	ORANGE_3	5	646
108.1818182	106	ORANGE_3	5	649
108.6363636	107	ORANGE_3	5	652
109.0909091	108	ORANGE_3	5	655
109.5454545	109	ORANGE_3	5	657
110	110	ORANGE_3	5	660
110.4545455	105	ORANGE_4	5	663
110.9090909	106	ORANGE_4	5	665
111.3636364	107	ORANGE_4	5	668
111.8181818	108	ORANGE_4	5	671
112.2727273	109	ORANGE_4	5	674
112.7272727	110	ORANGE_4	5	676
113.1818182	111	ORANGE_4	5	679
113.6363636	112	ORANGE_4	5	682
114.0909091	113	ORANGE_4	5	685
114.5454545	114	ORANGE_4	5	687
115	115	ORANGE_4	5	690
115.4545455	110	ORANGE_5	5	693
115.9090909	111	ORANGE_5	5	695
116.3636364	112	ORANGE_5	5	698
116.8181818	113	ORANGE_5	5	701
117.2727273	114	ORANGE_5	5	704
117.7272727	115	ORANGE_5	5	706
118.1818182	116	ORANGE_5	5	709
118.6363636	117	ORANGE_5	5	712
119.0909091	118	ORANGE_5	5	715
119.5454545	119	ORANGE_5	5	717
120	120	ORANGE_5	5	720
120.4545455	115	ORANGE_6	5	723
120.9090909	116	ORANGE_6	5	725
121.3636364	117	ORANGE_6	5	728
121.8181818	118	ORANGE_6	5	731
122.2727273	119	ORANGE_6	5	734
122.7272727	120	ORANGE_6	5	736
123.1818182	121	ORANGE_6	5	739
123.6363636	122	ORANGE_6	5	742
124.0909091	123	ORANGE_6	5	745
124.5454545	124	ORANGE_6	5	747
125	125	ORANGE_6	5	750
125.4545455	126	ORANGE_7	5	753
125.9090909	127	ORANGE_7	5	755
126.3636364	128	ORANGE_7	5	758
126.8181818	129	ORANGE_7	5	761
127.2727273	130	ORANGE_7	5	764
127.7272727	131	ORANGE_7	5	766
128.1818182	132	ORANGE_7	5	769
128.6363636	133	ORANGE_7	5	772
129.0909091	134	ORANGE_7	5	775
129.5454545	135	ORANGE_7	5	777
130	136	ORANGE_7	6	780
130.4545455	137	ORANGE_8	6	783
130.9090909	138	ORANGE_8	6	785
131.3636364	139	ORANGE_8	6	788
131.8181818	140	ORANGE_8	6	791
132.2727273	141	ORANGE_8	6	794
132.7272727	142	ORANGE_8	6	796
133.1818182	143	ORANGE_8	6	799
133.6363636	144	ORANGE_8	6	802
134.0909091	145	ORANGE_8	6	805
134.5454545	146	ORANGE_8	6	807
135	147	ORANGE_8	6	810
135.4545455	148	ORANGE_8	6	813
135.9090909	149	ORANGE_8	6	815
136.3636364	150	ORANGE_8	6	818
136.8181818	151	ORANGE_8	6	821
137.2727273	152	ORANGE_8	6	824
137.7272727	153	ORANGE_8	6	826
138.1818182	154	ORANGE_8	6	829
138.6363636	155	ORANGE_8	6	832
139.0909091	156	ORANGE_8	6	835
139.5454545	157	ORANGE_8	6	837
140	158	ORANGE_8	6	840
140.4545455	159	ORANGE_8	6	843
140.9090909	160	ORANGE_8	6	845
141.3636364	161	ORANGE_8	6	848
141.8181818	162	ORANGE_8	6	851
142.2727273	163	ORANGE_8	6	854
142.7272727	164	ORANGE_8	6	856
143.1818182	165	ORANGE_8	6	859
143.6363636	166	ORANGE_8	6	862
144.0909091	167	ORANGE_8	6	865
144.5454545	168	ORANGE_8	6	867
145	169	ORANGE_8	6	870
145.4545455	170	RED	6	873
145.9090909	171	RED	6	875
146.3636364	172	RED	6	878
146.8181818	173	RED	6	881
147.2727273	174	RED	6	884
147.7272727	175	RED	6	886
148.1818182	176	RED	6	889
148.6363636	177	RED	6	892
149.0909091	178	RED	6	895
149.5454545	179	RED	6	897
150	180	RED	6	900
150.4545455	181	RED	6	903
150.9090909	182	RED	6	905
151.3636364	183	RED	6	908
151.8181818	184	RED	6	911
152.2727273	185	RED	6	914
152.7272727	186	RED	6	916
153.1818182	187	RED	6	919
153.6363636	188	RED	6	922
154.0909091	189	RED	6	925
154.5454545	190	RED	6	927
155	191	RED	6	930
155.4545455	192	RED	6	933
155.9090909	193	RED	6	935
156.3636364	194	RED	6	938
156.8181818	195	RED	6	941
157.2727273	196	RED	6	944
157.7272727	197	RED	6	946
158.1818182	198	RED	6	949
158.6363636	199	RED	6	952
159.0909091	200	RED	6	955
159.5454545	201	RED	6	957
160	202	RED	6	960
160.4545455	203	RED_1	6	963
160.9090909	204	RED_1	6	965
161.3636364	205	RED_1	6	968
161.8181818	206	RED_1	6	971
162.2727273	207	RED_1	6	974
162.7272727	208	RED_1	6	976
163.1818182	209	RED_1	6	979
163.6363636	210	RED_1	6	982
164.0909091	211	RED_1	6	985
164.5454545	212	RED_1	6	987
165	213	RED_1	6	990
165.4545455	214	RED_1	6	993
165.9090909	215	RED_1	6	995
166.3636364	216	RED_1	6	998
166.8181818	217	RED_1	6	1001
167.2727273	218	RED_1	6	1004
167.7272727	219	RED_1	6	1006
168.1818182	220	RED_1	6	1009
168.6363636	221	RED_1	6	1012
169.0909091	222	RED_1	6	1015
169.5454545	223	RED_1	6	1017
170	224	RED_1	6	1020
170.4545455	225	RED_1	6	1023
170.9090909	226	RED_1	6	1025
171.3636364	227	RED_1	6	1028
171.8181818	228	RED_1	6	1031
172.2727273	229	RED_1	6	1034
172.7272727	230	RED_1	6	1036
173.1818182	231	RED_1	6	1039
173.6363636	232	RED_1	6	1042
174.0909091	233	RED_1	6	1045
174.5454545	234	RED_1	6	1047
175	235	RED_1	6	1050
175.4545455	236	RED_2	6	1053
175.9090909	237	RED_2	6	1055
176.3636364	238	RED_2	6	1058
176.8181818	239	RED_2	6	1061
177.2727273	240	RED_2	6	1064
177.7272727	241	RED_2	6	1066
178.1818182	242	RED_2	6	1069
178.6363636	243	RED_2	6	1072
179.0909091	244	RED_2	6	1075
179.5454545	245	RED_2	6	1077
180	246	RED_2	6	1080
180.4545455	247	RED_2	6	1083
180.9090909	248	RED_2	6	1085
181.3636364	249	RED_2	6	1088
181.8181818	250	RED_2	6	1091
182.2727273	251	RED_2	6	1094
182.7272727	252	RED_2	6	1096
183.1818182	253	RED_2	6	1099
183.6363636	254	RED_2	6	1102
184.0909091	255	RED_2	6	1105
184.5454545	256	RED_2	6	1107
185	257	RED_2	6	1110
185.4545455	258	RED_2	6	1113
185.9090909	259	RED_2	6	1115
186.3636364	260	RED_2	6	1118
186.8181818	261	RED_2	6	1121
187.2727273	262	RED_2	6	1124
187.7272727	263	RED_2	6	1126
188.1818182	264	RED_2	6	1129
188.6363636	265	RED_2	6	1132
189.0909091	266	RED_2	6	1135
189.5454545	267	RED_2	6	1137
190	268	RED_2	6	1140
190.4545455	269	RED_3	6	1143
190.9090909	270	RED_3	6	1145
191.3636364	271	RED_3	6	1148
191.8181818	272	RED_3	6	1151
192.2727273	273	RED_3	6	1154
192.7272727	274	RED_3	6	1156
193.1818182	275	RED_3	6	1159
193.6363636	276	RED_3	6	1162
194.0909091	277	RED_3	6	1165
194.5454545	278	RED_3	6	1167
195	279	RED_3	6	1170
195.4545455	280	RED_3	6	1173
195.9090909	281	RED_3	6	1175
196.3636364	282	RED_3	6	1178
196.8181818	283	RED_3	6	1181
197.2727273	284	RED_3	6	1184
197.7272727	285	RED_3	6	1186
198.1818182	286	RED_3	6	1189
198.6363636	287	RED_3	6	1192
199.0909091	288	RED_3	6	1195
199.5454545	289	RED_3	6	1197
200	290	RED_3	6	1200
200.4545455	291	RED_3	6	1203
200.9090909	292	RED_3	6	1205
201.3636364	293	RED_3	6	1208
201.8181818	294	RED_3	6	1211
202.2727273	295	RED_3	6	1214
202.7272727	296	RED_3	6	1216
203.1818182	297	RED_3	6	1219
203.6363636	298	RED_3	6	1222
204.0909091	299	RED_3	6	1225
204.5454545	300	RED_3	6	1227
205	300	RED_3	6	1230
205.4545455	300	RED_4	6	1233
205.9090909	300	RED_4	6	1235
206.3636364	301	RED_4	6	1238
206.8181818	301	RED_4	6	1241
207.2727273	301	RED_4	6	1244
207.7272727	301	RED_4	6	1246
208.1818182	302	RED_5	6	1249
208.6363636	302	RED_5	6	1252
209.0909091	302	RED_5	6	1255
209.5454545	302	RED_5	6	1257
210	303	RED_5	6	1260
210.4545455	303	RED_5	6	1263
210.9090909	303	RED_6	6	1265
211.3636364	303	RED_6	6	1268
211.8181818	304	RED_6	6	1271
212.2727273	304	RED_6	6	1274
212.7272727	304	RED_6	6	1276
213.1818182	304	RED_6	6	1279
213.6363636	305	RED_7	6	1282
214.0909091	305	RED_7	6	1285
214.5454545	305	RED_7	6	1287
215	305	RED_7	6	1290
215.4545455	306	RED_7	6	1293
215.9090909	306	RED_7	6	1295
216.3636364	306	RED_7	6	1298
216.8181818	306	RED_8	6	1301
217.2727273	307	RED_8	6	1304
217.7272727	307	RED_8	6	1306
218.1818182	307	RED_8	6	1309
218.6363636	307	RED_8	6	1312
219.0909091	308	RED_8	6	1315
219.5454545	308	RED_8	6	1317
220	308	RED_9	6	1320
220.4545455	308	RED_9	6	1323
220.9090909	309	RED_9	6	1325
221.3636364	309	RED_9	6	1328
221.8181818	309	RED_9	6	1331
222.2727273	309	RED_9	6	1334
222.7272727	310	RED_9	6	1336
223.1818182	310	RED_10	6	1339
223.6363636	310	RED_10	6	1342
224.0909091	310	RED_10	6	1345
224.5454545	311	RED_10	6	1347
225	311	RED_10	6	1350
225.4545455	311	RED_10	6	1353
225.9090909	311	RED_10	6	1355
226.3636364	312	RED_11	6	1358
226.8181818	312	RED_11	6	1361
227.2727273	312	RED_11	6	1364
227.7272727	312	RED_11	6	1366
228.1818182	313	RED_11	6	1369
228.6363636	313	RED_11	6	1372
229.0909091	313	RED_11	6	1375
229.5454545	313	RED_12	6	1377
230	314	RED_12	6	1380
230.4545455	314	RED_12	6	1383
230.9090909	314	RED_12	6	1385
231.3636364	314	RED_12	6	1388
231.8181818	315	RED_12	6	1391
232.2727273	315	RED_12	6	1394
232.7272727	315	RED_13	6	1396
233.1818182	315	RED_13	6	1399
233.6363636	316	RED_13	6	1402
234.0909091	316	RED_13	6	1405
234.5454545	316	RED_13	6	1407
235	316	RED_13	6	1410
235.4545455	317	RED_13	6	1413
235.9090909	317	RED_14	6	1415
236.3636364	317	RED_14	6	1418
236.8181818	317	RED_14	6	1421
237.2727273	318	RED_14	6	1424
237.7272727	318	RED_14	6	1426
238.1818182	318	RED_14	6	1429
238.6363636	318	RED_14	6	1432
239.0909091	319	RED_15	6	1435
239.5454545	319	RED_15	6	1437
240	319	RED_15	6	1440
240.4545455	319	RED_15	6	1443
240.9090909	320	RED_15	6	1445
241.3636364	320	RED_15	6	1448
241.8181818	320	RED_15	6	1451
242.2727273	320	RED_16	6	1454
242.7272727	321	RED_16	6	1456
243.1818182	321	RED_16	6	1459
243.6363636	321	RED_16	6	1462
244.0909091	321	RED_16	6	1465
244.5454545	322	RED_16	6	1467
245	322	RED_16	6	1470
245.4545455	322	RED_17	6	1473
245.9090909	322	RED_17	6	1475
246.3636364	323	RED_17	6	1478
246.8181818	323	RED_17	6	1481
247.2727273	323	RED_17	6	1484
247.7272727	323	RED_17	6	1486
248.1818182	324	RED_17	6	1489
248.6363636	324	RED_18	6	1492
249.0909091	324	RED_18	6	1495
249.5454545	324	RED_18	6	1497
250	325	RED_18	6	1500
250.4545455	325	RED_18	6	1503
250.9090909	325	RED_18	6	1505
251.3636364	325	RED_18	6	1508
251.8181818	326	RED_19	6	1511
252.2727273	326	RED_19	6	1514
252.7272727	326	RED_19	6	1516
253.1818182	326	RED_19	6	1519
253.6363636	327	RED_19	6	1522
254.0909091	327	RED_19	6	1525
254.5454545	327	RED_19	6	1527
255	327	RED_20	6	1530
255.4545455	328	RED_20	6	1533
255.9090909	328	RED_20	6	1535
256.3636364	328	RED_20	6	1538
256.8181818	328	RED_20	6	1541
257.2727273	329	RED_20	6	1544
257.7272727	329	RED_20	6	1546
258.1818182	329	RED_21	6	1549
258.6363636	329	RED_21	6	1552
259.0909091	330	RED_21	6	1555
259.5454545	330	RED_21	6	1557
260	330	RED_21	6	1560
260.4545455	330	RED_21	6	1563
260.9090909	331	RED_21	6	1565
261.3636364	331	RED_22	6	1568
261.8181818	331	RED_22	6	1571
262.2727273	331	RED_22	6	1574
262.7272727	332	RED_22	6	1576
263.1818182	332	RED_22	6	1579
263.6363636	332	RED_22	6	1582
264.0909091	332	RED_22	6	1585
264.5454545	333	RED_23	6	1587
265	333	RED_23	6	1590
265.4545455	333	RED_23	6	1593
265.9090909	333	RED_23	6	1595
266.3636364	334	RED_23	6	1598
266.8181818	334	RED_23	6	1601
267.2727273	334	RED_23	6	1604
267.7272727	334	RED_23	6	1606
268.1818182	335	RED_23	6	1609
268.6363636	335	RED_24	6	1612
269.0909091	335	RED_24	6	1615
269.5454545	335	RED_24	6	1617
270	336	RED_24	6	1620
270.4545455	336	RED_24	6	1623
270.9090909	336	RED_24	6	1625
271.3636364	336	RED_24	6	1628
271.8181818	337	RED_24	6	1631
272.2727273	337	RED_24	6	1634
272.7272727	337	RED_25	6	1636
273.1818182	337	RED_25	6	1639
273.6363636	338	RED_25	6	1642
274.0909091	338	RED_25	6	1645
274.5454545	338	RED_25	6	1647
275	338	RED_25	6	1650
275.4545455	339	RED_25	6	1653
275.9090909	339	RED_25	6	1655
276.3636364	339	RED_25	6	1658
276.8181818	339	RED_26	6	1661
277.2727273	340	RED_26	6	1664
277.7272727	340	RED_26	6	1666
278.1818182	340	RED_26	6	1669
278.6363636	340	RED_26	6	1672
279.0909091	341	RED_26	6	1675
279.5454545	341	RED_26	6	1677
280	341	RED_26	6	1680
280.4545455	341	RED_26	6	1683
280.9090909	342	RED_27	6	1685
281.3636364	342	RED_27	6	1688
281.8181818	342	RED_27	6	1691
282.2727273	342	RED_27	6	1694
282.7272727	343	RED_27	6	1696
283.1818182	343	RED_27	6	1699
283.6363636	343	RED_27	6	1702
284.0909091	343	RED_27	6	1705
284.5454545	344	RED_27	6	1707
285	344	RED_28	6	1710
285.4545455	344	RED_28	6	1713
285.9090909	344	RED_28	6	1715
286.3636364	345	RED_28	6	1718
286.8181818	345	RED_28	6	1721
287.2727273	345	RED_28	6	1724
287.7272727	345	RED_28	6	1726
288.1818182	346	RED_28	6	1729
288.6363636	346	RED_29	6	1732
289.0909091	346	RED_29	6	1735
289.5454545	346	RED_29	6	1737
290	347	RED_29	6	1740
290.4545455	347	RED_29	6	1743
290.9090909	347	RED_29	6	1745
291.3636364	347	RED_29	6	1748
291.8181818	348	RED_29	6	1751
292.2727273	348	RED_30	6	1754
292.7272727	348	RED_30	6	1756
293.1818182	348	RED_30	6	1759
293.6363636	349	RED_30	6	1762
294.0909091	349	RED_30	6	1765
294.5454545	349	RED_30	6	1767
295	349	RED_30	6	1770
295.4545455	350	RED_30	6	1773
295.9090909	350	RED_31	6	1775
296.3636364	350	RED_31	6	1778
296.8181818	350	RED_31	6	1781
297.2727273	351	RED_31	6	1784
297.7272727	351	RED_31	6	1786
298.1818182	351	RED_31	6	1789
298.6363636	351	RED_31	6	1792
299.0909091	352	RED_31	6	1795
299.5454545	352	RED_32	6	1797
300	352	RED_32	6	1800
300.4545455	352	RED_32	6	1803
300.9090909	353	RED_32	6	1805
301.3636364	353	RED_32	6	1808
301.8181818	353	RED_32	6	1811
302.2727273	353	RED_32	6	1814
302.7272727	354	RED_32	6	1816
303.1818182	354	RED_33	6	1819
303.6363636	354	RED_33	6	1822
304.0909091	354	RED_33	6	1825
304.5454545	355	RED_33	6	1827
305	355	RED_33	6	1830
