	COMBAT_MODIFIER	HERO_LIST	MAX_LEVEL	HEROES_L1	HEROES_L2	HEROES_L3	HEROES_L4	DIAMONDS	HERO_XP	GOLD	STAMINA	TOKENS	AVATAR_UNLOCK_LEVEL	AVATAR_ITEM
SHIELDS	SHIELDS	CHIEF_BOGO, VIOLET, EVE, KEVIN_FLYNN, MIGUEL, MOANA, BAYMAX, ELSA, GOOFY, JOY, GONZO, GIZMODUCK, EEYORE, LI_SHANG, MULAN, SLINKY_DOG, FEAR, JIM_HAWKINS, JOHN_SILVER, HONEY_LEMON, CLAWHAUSER, MR_BIG_AND_KOSLOV, ESMERALDA, SHEGO, ARIEL, RAYA, SISU, FLIK, PETE, DAISY_DUCK, PACHA, PRINCESS_AURORA, MILO_THATCH, PRINCE_PHILLIP, AUDREY_RAMIREZ, MEILIN_LEE, QUASIMODO, MAYOR_BELLWETHER, CINDERELLA, LUCA_AND_ALBERTO, PHOEBUS, LITTLE_JOHN, CHEF_SKINNER, JAKE_LONG, TIANA, BOWLER_HAT_GUY, KUZCO, EDA_CLAWTHORNE, HEIMLICH, BRUNO_MADRIGAL, JOE_GARDNER, MUFASA, PENNY_PROUD, LUISA_MADRIGAL, ANNE_BOONCHUY, HUNTSMAN, WADE_RIPPLE, SUGA_MAMA, ANXIETY, LILITH_CLAWTHORNE, CANDACE_FLYNN, PHINEAS, YEN_SID, DUCHESS, REUBEN, HECTOR_RIVERA, SIMEA, GISELLE, EMBARRASSMENT, HEADLESS_HORSEMAN, AMITY_BLIGHT, GAZELLE, PIGLET, BAMBI, DARWIN, PINOCCHIO, KING_CANDY, PONGO, HANS, YOKAI, MATER, CAPTAIN_GRIME, DUMBO, MOWGLI	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_SHIELDS
WRECK_IT_RALPH	WRECK_IT_RALPH	CALHOUN, RALPH, FELIX, VANELLOPE, SHANK, KING_CANDY	3	3	4	5		S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_WRECK_IT_RALPH
HEALERS	HEALERS	FELIX, JUDY_HOPPS, YAX, KEVIN_FLYNN, MIGUEL, GENIE, MICKEY_MOUSE, JACK_SKELLINGTON, OLAF, ROBIN_HOOD, JOY, TIMON_AND_PUMBAA, GIZMODUCK, DONALD_DUCK, LAUNCHPAD_MCQUACK, RAPUNZEL, LINGUINI_AND_REMY, TRON, GERALD_MARLIN_NEMO, WINNIE_THE_POOH, KRISTOFF_AND_SVEN, KIM_POSSIBLE, LI_SHANG, BALOO, ANGEL, KRONK, JIM_HAWKINS, KERMIT, CLAWHAUSER, FAIRY_GODMOTHER, POCAHONTAS, RUSSELL_AND_KEVIN, ESMERALDA, ARIEL, PHIL, CHIP_AND_DALE, SISU, KING_TRITON, FLIK, BAGHEERA, THE_HORNED_KING, SNOW_WHITE, PACHA, PRINCESS_AURORA, MILO_THATCH, PRINCE_PHILLIP, MOTHER_GOTHEL, MEILIN_LEE, THE_MAYOR, QUASIMODO, MAYOR_BELLWETHER, CINDERELLA, TIANA, BOWLER_HAT_GUY, DANTE, KUZCO, EDA_CLAWTHORNE, SHERE_KHAN, LUZ_NOCEDA, MIRABEL_MADRIGAL, HEIMLICH, ISABELA_MADRIGAL, LADY_AND_TRAMP, MAMA_ODIE, RATIGAN, JOE_GARDNER, MUFASA, PENNY_PROUD, EMBER_LUMEN, ISABELLA_SHAPIRO, LADY_TREMAINE, YEN_SID, DUCHESS, REUBEN, SIMEA, GISELLE, ABBY_MALLARD, AMITY_BLIGHT, GAZELLE, PIGLET, BAMBI, DUMBO, MOWGLI	3	3	6	9	12	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_HEALER
DUCKTALES	DUCKTALES	HUEY_DEWEY_LOUIE, SCROOGE_MCDUCK, GIZMODUCK, DONALD_DUCK, LAUNCHPAD_MCQUACK, MAGICA_DE_SPELL	3	3	4	6	8	S*C	S*C	S*C	S*C	lookup(level-1, 5, 7, 9, 11)*S*C	8	COLLECTION_AVATAR_DUCKTALES
PRINCESS	PRINCESS	MERIDA, MOANA, JASMINE, RAPUNZEL, BELLE, MULAN, POCAHONTAS, ARIEL, SNOW_WHITE, PRINCESS_AURORA, CINDERELLA, TIANA	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 5, 7, 9, 11)*S*C	8	COLLECTION_AVATAR_PRINCESS
INSIDE_OUT	INSIDE_OUT	ANGER, JOY, SADNESS, DISGUST, FEAR, ANXIETY, ENVY, EMBARRASSMENT, ENNUI	3	3	4	5		S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_INSIDE_OUT
MUPPETS	MUPPETS	MISS_PIGGY, ANIMAL, GONZO, BUNSEN_AND_BEAKER, SWEDISH_CHEF, KERMIT, FOZZIE, STATLER_AND_WALDORF, SWEETUMS	3	3	5	7		S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_MUPPETS
BIG_HERO_SIX	BIG_HERO_SIX	BAYMAX, HIRO, HONEY_LEMON, WASABI, GO_GO, FRED_FREDERICKSON, YOKAI	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_BIG_HERO_SIX
FROZEN	FROZEN	ELSA, OLAF, KRISTOFF_AND_SVEN, ANNA, HANS	2	3	4			S*C	S*C	S*C	S*C	5*S*C	8	COLLECTION_AVATAR_FROZEN
LILO_AND_STITCH	LILO_AND_STITCH	STITCH, JUMBA, PLEAKLEY, ANGEL, LILO, GANTU, REUBEN	3	2	3	4	5	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_LILO_AND_STITCH
MICKEY_AND_FRIENDS	MICKEY_AND_FRIENDS	MICKEY_MOUSE, GOOFY, DONALD_DUCK, MINNIE_MOUSE, PETE, DAISY_DUCK	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_MICKEY_AND_FRIENDS
HERCULES	HERCULES	HADES, HERCULES, MEGARA, ZEUS, PHIL, PEGASUS	3	3	4	5	6	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_HERCULES
ATLANTIS	ATLANTIS	KIDA, VINNY_SANTORINI, HELGA, MILO_THATCH, AUDREY_RAMIREZ	3	3	4	5	5	S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_ATLANTIS
TANGLED	TANGLED	RAPUNZEL, FLYNN_RIDER, MAXIMUS, MOTHER_GOTHEL	2	3	4			S*C	S*C	S*C	S*C	5*S*C	8	COLLECTION_AVATAR_TANGLED
NIGHTMARE_BEFORE_CHRISTMAS	NIGHTMARE_BEFORE_CHRISTMAS	JACK_SKELLINGTON, SALLY, OOGIE_BOOGIE, LOCK_SHOCK_BARREL, THE_MAYOR	3	3	4	5		S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_NIGHTMARE_BEFORE_CHRISTMAS
KIM_POSSIBLE	KIM_POSSIBLE	KIM_POSSIBLE, DR_DRAKKEN, SHEGO, RON_STOPPABLE, DUFF_KILLIGAN, MONKEY_FIST	3	3	4	5		S*C	S*C	S*C	S*C	lookup(level-1, 3, 4, 6, 7)*S*C	8	COLLECTION_AVATAR_KIM_POSSIBLE
MULAN	MULAN	LI_SHANG, MULAN, MUSHU, SHAN_YU	2	3	4			S*C	S*C	S*C	S*C	lookup(level-1, 7, 9)*S*C	8	COLLECTION_AVATAR_MULAN
