	EQUIP_HERO	GIFTING_HERO	COLOR	TAGS	LEVEL_TAGS	STAR_TAGS
VIOLET_SHIELDS	VIOLET	MERIDA	ORANGE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,EVASION_INCREASE,SHIELD_SELF,SHIELD_TEAM	MAX_HP_INCREASE,SKILL_POWER_INCREASE,EVASION_INCREASE	SHIELD_SELF,SHIELD_TEAM
RALPH_LONGER_STUNS	RALPH	VANELLOPE	PINK	MAX_HP_INCREASE,TENACITY_INCREASE,STUN	MAX_HP_INCREASE,TENACITY_INCREASE	STUN
RALPH_HEALING	RALPH	JACK_SPARROW	GOLD	HEAL_SELF,MAX_HP_INCREASE,HEAL_OVER_TIME_SELF	HEAL_SELF,MAX_HP_INCREASE	HEAL_SELF,HEAL_OVER_TIME_SELF
YAX_SLOW	YAX	FINNICK	RED	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_DECREASE	MAX_HP_INCREASE,SKILL_POWER_INCREASE	ATTACK_SPEED_DECREASE
YAX_DAMAGE	YAX	FROZONE	ICE_BLUE	MAX_HP_INCREASE,DAMAGE_INCREASE	MAX_HP_INCREASE,DAMAGE_INCREASE	
CHIEF_BOGO_CHARGE	CHIEF_BOGO	CALHOUN	BLUE	MAX_HP_INCREASE,NORMAL_DAMAGE,KNOCKBACK	MAX_HP_INCREASE	NORMAL_DAMAGE,KNOCKBACK
CHIEF_BOGO_HEALS	CHIEF_BOGO	MR_INCREDIBLE	RED	MAX_HP_INCREASE,SHIELD_SELF,HEAL_SELF	MAX_HP_INCREASE,SHIELD_SELF	HEAL_SELF,SHIELD_SELF
DASH_ENERGY	DASH	FINNICK	GOLD	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,ENERGY_REMOVAL	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	ENERGY_REMOVAL
DASH_SHIELD_COUNTER	DASH	VIOLET	PURPLE	MAX_HP_INCREASE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	MAX_HP_INCREASE,DAMAGE_INCREASE	ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE
ELASTIGIRL_DEBUFF	ELASTIGIRL	JACK_JACK	RED	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE,HARDY	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE	HARDY
ELASTIGIRL_BACKLINE	ELASTIGIRL	VANELLOPE	TEAL	MAX_HP_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE,INCREASED_DAMAGE_DEALT	MAX_HP_INCREASE,SKILL_POWER_INCREASE,REALITY_INCREASE	INCREASED_DAMAGE_DEALT
MR_INCREDIBLE_ARMOR_SHREAD	MR_INCREDIBLE	ELASTIGIRL	RED	MAX_HP_INCREASE,REDUCED_DAMAGE_TAKEN	MAX_HP_INCREASE	REDUCED_DAMAGE_TAKEN
MR_INCREDIBLE_WEAK_ALLIES	MR_INCREDIBLE	DASH	BLUE	MAX_HP_INCREASE,ENERGY_SELF	MAX_HP_INCREASE	ENERGY_SELF
FROZONE_TANKS	FROZONE	MR_INCREDIBLE	GOLD	ARMOR_INCREASE	ARMOR_INCREASE	
FROZONE_HEALS	FROZONE	EVE	TEAL	HEAL_OVER_TIME_TEAM	HEAL_OVER_TIME_TEAM	
JACK_JACK_AOE_STUN	JACK_JACK	CHIEF_BOGO	BLUE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,REALITY_DECREASE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,REALITY_DECREASE	
JACK_JACK_HEALING_COUNTER	JACK_JACK	VIOLET	RED	SKILL_POWER_INCREASE,TENACITY_DECREASE,EVASION_DECREASE,STUN,ENDURANCE	SKILL_POWER_INCREASE,TENACITY_DECREASE,EVASION_DECREASE	STUN,ENDURANCE
WOODY_FAST_ENERGY	WOODY	BUZZ	ORANGE	SKILL_POWER_INCREASE,ENERGY_SELF	SKILL_POWER_INCREASE	ENERGY_SELF
WOODY_LASSO_EARLY	WOODY	JESSIE	GOLD	SKILL_POWER_INCREASE,STUN	SKILL_POWER_INCREASE	STUN
BUZZ_SHIELD_ALLY	BUZZ	KEVIN_FLYNN	BLUE	SKILL_POWER_INCREASE,SHIELD_TEAM	SKILL_POWER_INCREASE,SHIELD_TEAM	
BUZZ_ATTACK_SPEED	BUZZ	EMPEROR_ZURG	PURPLE	DAMAGE_INCREASE,MAX_HP_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,MAX_HP_INCREASE	ATTACK_SPEED_INCREASE
REX_DPS_SYNERGY	REX	MIKE	GREEN	MAX_HP_INCREASE,REDUCED_DAMAGE_TAKEN	MAX_HP_INCREASE	REDUCED_DAMAGE_TAKEN
REX_SHIELD_COUNTER	REX	WOODY	GOLD	ATTACK_SPEED_INCREASE		ATTACK_SPEED_INCREASE
EMPEROR_ZURG_ENERGY_TO_ALLY	EMPEROR_ZURG	HIRO	BLUE	SKILL_POWER_INCREASE,ENERGY_TEAM	SKILL_POWER_INCREASE	ENERGY_TEAM
EMPEROR_ZURG_TANK_COUNTER	EMPEROR_ZURG	REX	GREEN	DAMAGE_INCREASE	DAMAGE_INCREASE	
JESSIE_JUMP_EARLY	JESSIE	BUZZ	PURPLE	DAMAGE_INCREASE,ENERGY_SELF	DAMAGE_INCREASE	ENERGY_SELF
JESSIE_DODGE	JESSIE	JUDY_HOPPS	BLUE	MAX_HP_INCREASE,DODGE	MAX_HP_INCREASE	DODGE
SULLEY_STUN_COUNTER	SULLEY	RALPH	RED	MAX_HP_INCREASE,HEAL_SELF,REALITY_INCREASE,DODGE	MAX_HP_INCREASE,HEAL_SELF,REALITY_INCREASE	DODGE
SULLEY_TEAM_HEAL	SULLEY	WOODY	GOLD	MAX_HP_INCREASE,REALITY_INCREASE,HEAL_TEAM	MAX_HP_INCREASE,REALITY_INCREASE	HEAL_TEAM
EVE_TWO	EVE	WALL_E	GOLD	HEAL_OVER_TIME_TEAM,SHIELD_TEAM	HEAL_OVER_TIME_TEAM	SHIELD_TEAM
EVE_DISABLE_SPREAD	EVE	CALHOUN	RED	SKILL_POWER_INCREASE,STUN	SKILL_POWER_INCREASE	STUN
MIKE_STUNS	MIKE	SULLEY	TEAL	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,ENERGY_SELF,STUN	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE	ENERGY_SELF,STUN
MIKE_FANTASTIC_DAMAGE	MIKE	JACK_JACK	GOLD	DAMAGE_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_CRIT_INCREASE,MAX_HP_INCREASE,FANTASTIC_DAMAGE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,FANTASTIC_CRIT_INCREASE,MAX_HP_INCREASE	FANTASTIC_DAMAGE,ATTACK_SPEED_INCREASE
WALL_E_DISABLES	WALL_E	DASH	RED	SKILL_POWER_INCREASE,REALITY_INCREASE,ENERGY_TEAM	SKILL_POWER_INCREASE,REALITY_INCREASE	ENERGY_TEAM
WALL_E_MAX_ENERGY	WALL_E	KEVIN_FLYNN	TEAL	SKILL_POWER_INCREASE,DAMAGE_INCREASE,REALITY_INCREASE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,REALITY_INCREASE	
JACK_SPARROW_HP	JACK_SPARROW	HECTOR_BARBOSSA	RED	MAX_HP_INCREASE,HEAL_SELF	MAX_HP_INCREASE	HEAL_SELF
JACK_SPARROW_NORMAL_DAMAGE	JACK_SPARROW	NICK_WILDE	ORANGE	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
QUORRA_SHIELD	QUORRA	BUZZ	GREEN	SKILL_POWER_INCREASE,MAX_HP_INCREASE,SHIELD_SELF	SKILL_POWER_INCREASE,MAX_HP_INCREASE	SHIELD_SELF
QUORRA_CRIT	QUORRA	EVE	BLUE	CRIT_DAMAGE_INCREASE,HEAL_SELF,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE	CRIT_DAMAGE_INCREASE,HEAL_SELF	NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE
TIA_DALMA_CHARM	TIA_DALMA	JACK_SPARROW	BLUE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,CHARM	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	CHARM
TIA_DALMA_SILENCE	TIA_DALMA	YAX	ORANGE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,SILENCE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME	SILENCE
HECTOR_BARBOSSA_STUDY	HECTOR_BARBOSSA	TIA_DALMA	RED	DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,STUDY	DAMAGE_INCREASE,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	STUDY
HECTOR_BARBOSSA_SLOW	HECTOR_BARBOSSA	STITCH	BLUE	DAMAGE_INCREASE,NORMAL_CRIT_INCREASE,ATTACK_SPEED_DECREASE	DAMAGE_INCREASE,NORMAL_CRIT_INCREASE	ATTACK_SPEED_DECREASE
KEVIN_FLYNN_SHIELD	KEVIN_FLYNN	QUORRA	TEAL	MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM,DODGE	MAX_HP_INCREASE,SHIELD_SELF	SHIELD_TEAM,DODGE
KEVIN_FLYNN_HEAL	KEVIN_FLYNN	BAYMAX	RED	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,MAX_HP_INCREASE,ENERGY_SELF	HEAL_OVER_TIME_SELF,HEAL_OVER_TIME_TEAM,MAX_HP_INCREASE	ENERGY_SELF
MERIDA_FIRE	MERIDA	CHIEF_BOGO	BLUE	NORMAL_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,CRIT_DAMAGE,NORMAL_CRIT_INCREASE	NORMAL_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,CRIT_DAMAGE	NORMAL_CRIT_INCREASE
MERIDA_ICE	MERIDA	ELASTIGIRL	RED	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,ENERGY_REMOVAL,FREEZE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,ENERGY_REMOVAL	FREEZE
MAUI_HP	MAUI	MOANA	ORANGE	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE
MAUI_BITE	MAUI	GENIE	ICE_BLUE	ENERY_SELF,ENERGY_TEAM,MAX_HP_INCREASE,ENERGY_REMOVAL,ENERGY_SELF	ENERY_SELF,ENERGY_TEAM,MAX_HP_INCREASE	ENERGY_REMOVAL,ENERGY_SELF
STITCH_SLOW	STITCH	MAUI	ORANGE	DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
STITCH_BITE	STITCH	MAD_HATTER	GREEN	SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,TRUE_DAMAGE,STUN,HEAL_SELF,ARMOR_DECREASE	SKILL_POWER_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,TRUE_DAMAGE,STUN,HEAL_SELF,ARMOR_DECREASE	
MOANA_JUMP	MOANA	MERIDA	GREEN	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,CRIT_DAMAGE_INCREASE	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,CRIT_DAMAGE_INCREASE	
MOANA_SHIELD	MOANA	MICKEY_MOUSE	ORANGE	MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM,ATTACK_SPEED_DECREASE	MAX_HP_INCREASE,SHIELD_SELF,SHIELD_TEAM,ATTACK_SPEED_DECREASE	SHIELD_TEAM
ALADDIN_SPEED	ALADDIN	SHANK	RED	DAMAGE_INCREASE,SKILL_POWER_INCREASE,CRIT_DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,CRIT_DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
ALADDIN_REGEN	ALADDIN	GENIE	ICE_BLUE	HEAL_OVER_TIME_SELF,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,INVINCIBLE	HEAL_OVER_TIME_SELF,MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	INVINCIBLE
HIRO_SUMMON	HIRO	BAYMAX	RED	SHIELD_TEAM,ARMOR_INCREASE,REALITY_INCREASE,ENERGY_SELF,ATTACK_SPEED_INCREASE	SHIELD_TEAM,ARMOR_INCREASE,REALITY_INCREASE	ENERGY_SELF,ATTACK_SPEED_INCREASE
HIRO_STUN	HIRO	DARKWING_DUCK	PURPLE	SKILL_POWER_INCREASE,DAMAGE_INCREASE,STUN	SKILL_POWER_INCREASE,DAMAGE_INCREASE	STUN
MIGUEL_FREEZE	MIGUEL	ELSA	ICE_BLUE	ARMOR_DECREASE,REALITY_DECREASE,SHIELD_SELF,SHIELD_TEAM	ARMOR_DECREASE,REALITY_DECREASE	SHIELD_SELF,SHIELD_TEAM
MIGUEL_DAMAGE	MIGUEL	JESSIE	ORANGE	DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	DAMAGE_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE
BAYMAX_FREEZE	BAYMAX	OLAF	BLUE	SKILL_POWER_INCREASE,FREEZE	SKILL_POWER_INCREASE	FREEZE
BAYMAX_SHIELD	BAYMAX	WALL_E	GOLD	ARMOR_INCREASE,SHIELD_SELF,SHIELD_TEAM	ARMOR_INCREASE	SHIELD_SELF,SHIELD_TEAM
GENIE_SHIELD	GENIE	MIKE	GREEN	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,SHIELD_TEAM	SKILL_POWER_INCREASE,MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE	SHIELD_TEAM
GENIE_FREEZE	GENIE	ELSA	TEAL	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,FREEZE	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE	FREEZE
HADES_TANK	HADES	JACK_SPARROW	RED	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE	MAX_HP_INCREASE
HADES_DOT	HADES	MEGARA	BLUE	MAX_HP_INCREASE,ENERGY_SELF,ATTACK_SPEED_INCREASE	MAX_HP_INCREASE,ENERGY_SELF,ATTACK_SPEED_INCREASE	
URSULA_ENERGY	URSULA	HADES	ORANGE	MAX_HP_INCREASE,ENERGY_SELF,ENERGY_TEAM	MAX_HP_INCREASE,ENERGY_SELF,ENERGY_TEAM	ENERGY_TEAM
URSULA_CONTROL	URSULA	TIA_DALMA	TEAL	MAX_HP_INCREASE,REDUCE_DAMAGE_DEALT,ENERGY_SELF	MAX_HP_INCREASE,REDUCE_DAMAGE_DEALT	ENERGY_SELF
MALEFICENT_AOE	MALEFICENT	JACK_SKELLINGTON	ORANGE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,EVASION_DECREASE,REALITY_DECREASE,MAX_HP_INCREASE,CURSE,STUN	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,EVASION_DECREASE,REALITY_DECREASE,MAX_HP_INCREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,CURSE,STUN
MALEFICENT_DRAIN	MALEFICENT	URSULA	PURPLE	MAX_HP_INCREASE,REALITY_DECREASE,EVASION_DECREASE,ENERGY_REMOVAL	MAX_HP_INCREASE,REALITY_DECREASE,EVASION_DECREASE	ENERGY_REMOVAL
SCAR_SPEED	SCAR	QUEEN_OF_HEARTS	GREEN	DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
SCAR_INVIS	SCAR	MALEFICENT	PURPLE	DAMAGE_INCREASE,INVISIBLE	DAMAGE_INCREASE	INVISIBLE
MICKEY_MOUSE_HEALING	MICKEY_MOUSE	SULLEY	TEAL	MAX_HP_INCREASE,EVASION_INCREASE	MAX_HP_INCREASE,EVASION_INCREASE	
MICKEY_MOUSE_DPS	MICKEY_MOUSE	JACK_SKELLINGTON	ORANGE	MAX_HP_INCREASE,HEAL_OVER_TIME_TEAM	MAX_HP_INCREASE	HEAL_OVER_TIME_TEAM
JACK_SKELLINGTON_DOT	JACK_SKELLINGTON	SALLY	RED	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,TENACITY_DECREASE,EVASION_DECREASE,NORMAL_CRIT_DECREASE,FANTASTIC_CRIT_DECREASE,CRIT_DAMAGE_DECREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME,MAX_HP_INCREASE,TENACITY_DECREASE,EVASION_DECREASE,NORMAL_CRIT_DECREASE,FANTASTIC_CRIT_DECREASE,CRIT_DAMAGE_DECREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME
JACK_SKELLINGTON_DUCK	JACK_SKELLINGTON	MAD_HATTER	ORANGE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE,FANTASTIC_DAMAGE,SCARE	MAX_HP_INCREASE,SKILL_POWER_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_INCREASE	FANTASTIC_DAMAGE,SCARE
ELSA_FREEZE	ELSA	FROZONE	BLUE	SKILL_POWER_INCREASE,CRIT_DAMAGE_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,MAX_HP_DECREASE,ARMOR_DECREASE,REALITY_DECREASE,FREEZE	SKILL_POWER_INCREASE,CRIT_DAMAGE_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,MAX_HP_DECREASE,ARMOR_DECREASE,REALITY_DECREASE	FREEZE
ELSA_SHIELD	ELSA	OLAF	TEAL	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,SHIELD_TEAM	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,SHIELD_TEAM	SHIELD_TEAM
SHANK_ENERGY	SHANK	ELASTIGIRL	RED	REDUCED_DAMAGE_TAKEN,MAX_HP_INCREASE,ENERGY_SELF,STUN	REDUCED_DAMAGE_TAKEN,MAX_HP_INCREASE	ENERGY_SELF,STUN
SHANK_ARMOR	SHANK	VANELLOPE	TEAL	MAX_HP_INCREASE,ARMOR_INCREASE	MAX_HP_INCREASE	ARMOR_INCREASE
SALLY_REALITY	SALLY	YAX	ORANGE	ARMOR_INCREASE,MAX_HP_INCREASE,REALITY_INCREASE	ARMOR_INCREASE,MAX_HP_INCREASE	REALITY_INCREASE
SALLY_POISON	SALLY	TIA_DALMA	PURPLE	FANTASTIC_DAMAGE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE.MAX_HP_INCREASE,DAMAGE_OVER_TIME	FANTASTIC_DAMAGE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE.MAX_HP_INCREASE	FANTASTIC_DAMAGE,DAMAGE_OVER_TIME
OLAF_FREEZE	OLAF	MOANA	ORANGE	MAX_HP_INCREASE,FANTASTIC_DAMAGE	MAX_HP_INCREASE,FANTASTIC_DAMAGE	FANTASTIC_DAMAGE
OLAF_ENERGY	OLAF	FELIX	GOLD	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,REDUCE_DAMAGE_DEALT,DODGE,ENERGY_SELF	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,REDUCE_DAMAGE_DEALT	DODGE,ENERGY_SELF
DARKWING_DUCK_SHIELD	DARKWING_DUCK	NICK_WILDE	ORANGE	SKILL_POWER_INCREASE,MAX_HP_INCREASE,ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE	SKILL_POWER_INCREASE,MAX_HP_INCREASE	ATTACK_SPEED_DECREASE,MOVE_SPEED_DECREASE
DARKWING_DUCK_CRIT	DARKWING_DUCK	MR_INCREDIBLE	RED	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,EVASION_DECREASE,STUN	MAX_HP_INCREASE,ARMOR_INCREASE,REALITY_INCREASE,EVASION_DECREASE	STUN
GASTON_DISABLES	GASTON	BELLE	BLUE	DAMAGE_INCREASE,MAX_HP_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,ENERGY_SELF,EVASION_DECREASE,TENACITY_DECREASE	DAMAGE_INCREASE,MAX_HP_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE,ENERGY_SELF,EVASION_DECREASE,TENACITY_DECREASE	
GASTON_DAMAGE	GASTON	CALHOUN	RED	MAX_HP_INCREASE,ENERGY_SELF,EVASION_DECREASE,TENACITY_DECREASE	MAX_HP_INCREASE,ENERGY_SELF,EVASION_DECREASE,TENACITY_DECREASE	
MAD_HATTER_CHARMED	MAD_HATTER	RAFIKI	GREEN	SKILL_POWER_INCREASE,MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE	SKILL_POWER_INCREASE	MOVE_SPEED_INCREASE,ATTACK_SPEED_INCREASE
MAD_HATTER_SPEED	MAD_HATTER	ALICE	BLUE	MAX_HP_INCREASE,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE	MAX_HP_INCREASE,DAMAGE_INCREASE	ATTACK_SPEED_INCREASE,MOVE_SPEED_DECREASE,ATTACK_SPEED_DECREASE
QUEEN_OF_HEARTS_SPEED	QUEEN_OF_HEARTS	ALICE	GREEN	ARMOR_INCREASE,HARDY	ARMOR_INCREASE	HARDY
QUEEN_OF_HEARTS_STUN	QUEEN_OF_HEARTS	REX	RED	SKILL_POWER_INCREASE,TRUE_DAMAGE,STUN	SKILL_POWER_INCREASE,TRUE_DAMAGE	STUN
ALICE_DAMAGE	ALICE	MIGUEL	RED	SKILL_POWER_INCREASE	SKILL_POWER_INCREASE	
ALICE_SHIELD	ALICE	QUORRA	TEAL	MAX_HP_INCREASE,ARMOR_INCREASE,SHIELD_TEAM	MAX_HP_INCREASE,ARMOR_INCREASE	SHIELD_TEAM
HERCULES_CONTROL	HERCULES	MEGARA	RED	MAX_HP_INCREASE,EVASION_DECREASE,STUN,KNOCKBACK	MAX_HP_INCREASE,EVASION_DECREASE	STUN,KNOCKBACK
HERCULES_TANK	HERCULES	MAUI	GOLD	MAX_HP_INCREASE,ENERGY_SELF,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE,INVINCIBLE	MAX_HP_INCREASE,ENERGY_SELF,DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	INVINCIBLE
MEGARA_INVINCIBLE	MEGARA	SHANK	RED	DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE,INVINCIBLE	DAMAGE_INCREASE,SKILL_POWER_INCREASE,MAX_HP_INCREASE,NORMAL_CRIT_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	INVINCIBLE
MEGARA_DISABLE	MEGARA	ALADDIN	BLUE	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,MAX_HP_DECREASE	MAX_HP_INCREASE,EVASION_DECREASE,TENACITY_DECREASE,MAX_HP_DECREASE	
MERLIN_CONTROL	MERLIN	GENIE	ICE_BLUE	MAX_HP_INCREASE,ARMOR_INCREASE,FANTASTIC_DAMAGE,KNOCKBACK	MAX_HP_INCREASE,ARMOR_INCREASE	FANTASTIC_DAMAGE,KNOCKBACK
MERLIN_INVISIBLE	MERLIN	BEAST	RED	MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE,ATTACK_SPEED_INCREASE	MAX_HP_INCREASE,FANTASTIC_CRIT_INCREASE,CRIT_DAMAGE_INCREASE	ATTACK_SPEED_INCREASE
ROBIN_HOOD_CONTROL	ROBIN_HOOD	MERIDA	GREEN	DAMAGE_INCREASE,REALITY_INCREASE,TENACITY_INCREASE,KNOCKBACK,STUN	DAMAGE_INCREASE,REALITY_INCREASE,TENACITY_INCREASE	KNOCKBACK,STUN
