	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
RAID_TEAM_TRIALS					TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
RAID_SPOTLIGHT_TRIAL																					
OPEN_VIDEO_CRATE					TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
DOUBLE_PORT_REWARDS					TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
DAILY_FREE_MERCHANT_RESETS					1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3
POWER_CRAFT					TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
QUICK_PROMOTE						TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
USE_WISH_CHEST						TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
MASS_LEVEL_UP						TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
CRYPT_TOKEN_BONUS_PERCENT							50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%
CRYPT_GOLD_BONUS_PERCENT							50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%
AUTO_ENHANCE_MAX							TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
REMOVE_COLISEUM_ATTACK_COOLDOWN								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
REMOVE_CODEBASE_COOLDOWN								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
REMOVE_SPOTLIGHT_TRIAL_COOLDOWN								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
REMOVE_TRIALS_COOLDOWN								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
REMOVE_PORTS_COOLDOWN								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
RAID_ALL_CHAPTERS									TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
GUILD_CHECK_IN_GOLD_BONUS_PERCENT									100%	100%	100%	200%	200%	200%	300%	300%	300%	300%	300%	300%	300%
GUILD_CHECK_IN_HERO_XP_BONUS_PERCENT										100%	100%	100%	200%	200%	200%	300%	300%	300%	300%	300%	300%
REINFECTION_GEAR_JUICE_BONUS_PERCENT										50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%
MAX_MISSIONS_BONUS										5	5	5	5	5	5	5	5	5	5	5	5
EXPEDITION_TOKEN_BONUS_PERCENT											50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%
EXPEDITION_GOLD_BONUS_PERCENT											50%	50%	50%	50%	50%	50%	50%	50%	50%	50%	50%
USE_SOUL_CHEST												TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
EXPEDITION_GEAR_JUICE_BONUS_PERCENT													50%	50%	50%	50%	50%	50%	50%	50%	50%
MERCENARY_SOCIAL_BUCKS_BONUS_PERCENT													50%	50%	50%	50%	75%	75%	75%	75%	100%
HEIST_TOKEN_BONUS_PERCENT																					
SKIP_FRIEND_EPISODES														1	1	1	1	1	1	1	1
GUILD_CHECK_IN_SOCIAL_BUCKS_BONUS_PERCENT															50%	50%	100%	100%	150%	150%	200%
GUILD_CHECK_IN_STAMINA_BONUS_PERCENT																100%	100%	100%	100%	100%	200%
SKIP_FRIEND_STAGES																1	2	2	3	3	4
FRIENDSHIP_CAMPAIGN_LOOT_MULT																2	3	3	5	5	11
STAMINA_STORAGE																	10%	10%	20%	20%	50%
GOLD_BUY_MIN_MULT																			2	2	2
GUILD_CHECK_IN_DIAMOND_BONUS_PERCENT																				100%	100%
FRIENDSHIP_MISSION_GEAR_JUICE_BONUS_PERCENT																				50%	50%
EXTRA_CHEST_ITEMS																					1
DAILY_PORT_RESETS																					1
DAILY_TEAM_TRIALS_RESETS																					1
DAILY_SPOTLIGHT_TRIAL_RESETS																					
SKILL_POINT_COST_FREE	0	0	0	0	0	30	30	35	35	40	40	50	50	60	60	70	70	80	80	90	100
UNLIMITED_STAMINA_BUYS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
UNLIMITED_GOLD_BUYS	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
