	UNIT_TYPE	DEFAULT_STAT_1	DEFAULT_STAT_2	DEFAULT_STAT_3	DEFAULT_STAT_4	DEFAULT_STAT_5
33	COGSWORTH_AND_LUMIERE	FANTASTIC_CRIT	ARMOR_NEGATION	EVASION	TENACITY	REALITY_NEGATION
34	COLETTE	FANTASTIC_CRIT	REALITY_NEGATION	EVASION	CRIT_DAMAGE	NORMAL_CRIT
35	DAISY_DUCK	FANTASTIC_CRIT	REALITY_NEGATION	TENACITY	ARMOR_NEGATION	EVASION
36	DANTE	ARMOR_NEGATION	REALITY_NEGATION	TENACITY	NORMAL_CRIT	FANTASTIC_CRIT
37	DARKWING_DUCK	CRIT_DAMAGE	ARMOR_NEGATION	EVASION	NORMAL_CRIT	TENACITY
38	DASH	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
39	DAVY_JONES	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION
40	DEMONA	CRIT_DAMAGE	FANTASTIC_CRIT	NORMAL_CRIT	EVASION	ARMOR_NEGATION
41	DISGUST	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	TENACITY	ARMOR_NEGATION
42	DONALD_DUCK	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY
43	DR_DRAKKEN	FANTASTIC_CRIT	REALITY_NEGATION	ARMOR_NEGATION	EVASION	NORMAL_CRIT
44	DR_FACILIER	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	NORMAL_CRIT	ARMOR_NEGATION
45	DUCKY_AND_BUNNY	TENACITY	FANTASTIC_CRIT	CRIT_DAMAGE	NORMAL_CRIT	REALITY_NEGATION
46	DUFF_KILLIGAN	CRIT_DAMAGE	FANTASTIC_CRIT	REALITY_NEGATION	ARMOR_NEGATION	TENACITY
47	DUKE_CABOOM	CRIT_DAMAGE	FANTASTIC_CRIT	EVASION	TENACITY	ARMOR_NEGATION
48	EDA_CLAWTHORNE	TENACITY	EVASION	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE
49	EEYORE	TENACITY	NORMAL_CRIT	EVASION	ARMOR_NEGATION	CRIT_DAMAGE
50	ELASTIGIRL	CRIT_DAMAGE	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION
51	ELSA	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION	EVASION	TENACITY
52	EMPEROR_ZURG	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
53	ESMERALDA	EVASION	REALITY_NEGATION	ARMOR_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT
54	EVE	TENACITY	EVASION	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE
55	EVIL_QUEEN	CRIT_DAMAGE	FANTASTIC_CRIT	NORMAL_CRIT	TENACITY	ARMOR_NEGATION
56	FAIRY_GODMOTHER	FANTASTIC_CRIT	TENACITY	REALITY_NEGATION	EVASION	ARMOR_NEGATION
57	FEAR	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	CRIT_DAMAGE
58	FELIX	EVASION	CRIT_DAMAGE	ARMOR_NEGATION	NORMAL_CRIT	TENACITY
59	FINNICK	CRIT_DAMAGE	FANTASTIC_CRIT	ARMOR_NEGATION	REALITY_NEGATION	EVASION
60	FLASH	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
61	FLIK	EVASION	ARMOR_NEGATION	REALITY_NEGATION	TENACITY	NORMAL_CRIT
62	FLYNN_RIDER	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION
63	FOZZIE	ARMOR_NEGATION	EVASION	TENACITY	CRIT_DAMAGE	NORMAL_CRIT
64	FRED_FREDERICKSON	TENACITY	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	EVASION
65	FROZONE	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION	EVASION
66	GADGET_HACKWRENCH	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION
67	GASTON	NORMAL_CRIT	TENACITY	CRIT_DAMAGE	ARMOR_NEGATION	EVASION
68	GENIE	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION	TENACITY
69	GERALD_MARLIN_NEMO	EVASION	FANTASTIC_CRIT	TENACITY	CRIT_DAMAGE	NORMAL_CRIT
70	GIZMODUCK	NORMAL_CRIT	ARMOR_NEGATION	EVASION	TENACITY	CRIT_DAMAGE
71	GO_GO	NORMAL_CRIT	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
72	GOLIATH	NORMAL_CRIT	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
73	GONZO	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
74	GOOFY	ARMOR_NEGATION	NORMAL_CRIT	EVASION	CRIT_DAMAGE	TENACITY
75	HADES	TENACITY	FANTASTIC_CRIT	EVASION	CRIT_DAMAGE	REALITY_NEGATION
76	HAMM	NORMAL_CRIT	ARMOR_NEGATION	TENACITY	EVASION	CRIT_DAMAGE
77	HANK_AND_DORY	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	NORMAL_CRIT	EVASION
78	HECTOR_BARBOSSA	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION
79	HELGA	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
80	HERCULES	NORMAL_CRIT	EVASION	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY
81	HIRO	NORMAL_CRIT	CRIT_DAMAGE	FANTASTIC_CRIT	ARMOR_NEGATION	REALITY_NEGATION
82	HONEY_LEMON	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	TENACITY	ARMOR_NEGATION
83	HOPPER	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION
84	HUEY_DEWEY_LOUIE	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	EVASION	REALITY_NEGATION
85	IAN_LIGHTFOOT	REALITY_NEGATION	CRIT_DAMAGE	EVASION	ARMOR_NEGATION	TENACITY
86	JACK_JACK	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	TENACITY	EVASION
87	JACK_SKELLINGTON	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	EVASION	TENACITY
88	JACK_SPARROW	EVASION	CRIT_DAMAGE	TENACITY	ARMOR_NEGATION	REALITY_NEGATION
89	JAFAR	REALITY_NEGATION	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION
90	JAKE_LONG	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
91	JASMINE	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	TENACITY
92	JESSIE	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
93	JIM_HAWKINS	ARMOR_NEGATION	TENACITY	CRIT_DAMAGE	EVASION	REALITY_NEGATION
94	JOHN_SILVER	NORMAL_CRIT	TENACITY	ARMOR_NEGATION	EVASION	CRIT_DAMAGE
95	JOY	EVASION	TENACITY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT
96	JUDY_HOPPS	ARMOR_NEGATION	EVASION	CRIT_DAMAGE	TENACITY	REALITY_NEGATION
97	JUMBA	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION
98	KAA	NORMAL_CRIT	EVASION	FANTASTIC_CRIT	ARMOR_NEGATION	REALITY_NEGATION
99	KERMIT	EVASION	TENACITY	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT
100	KEVIN_FLYNN	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE
101	KIDA	NORMAL_CRIT	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY
102	KIM_POSSIBLE	EVASION	TENACITY	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
103	KING_LOUIE	TENACITY	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	NORMAL_CRIT
104	KING_TRITON	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	NORMAL_CRIT
105	KRISTOFF_AND_SVEN	NORMAL_CRIT	ARMOR_NEGATION	EVASION	FANTASTIC_CRIT	REALITY_NEGATION
106	KRONK	NORMAL_CRIT	EVASION	TENACITY	ARMOR_NEGATION	CRIT_DAMAGE
107	KUZCO	TENACITY	EVASION	REALITY_NEGATION	ARMOR_NEGATION	NORMAL_CRIT
108	LAUNCHPAD_MCQUACK	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	EVASION	NORMAL_CRIT
109	LI_SHANG	ARMOR_NEGATION	EVASION	NORMAL_CRIT	CRIT_DAMAGE	TENACITY
110	LILO	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION	TENACITY
111	LINGUINI_AND_REMY	EVASION	REALITY_NEGATION	ARMOR_NEGATION	FANTASTIC_CRIT	TENACITY
112	LITTLE_JOHN	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
113	LOCK_SHOCK_BARREL	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	TENACITY
114	LUCA_AND_ALBERTO	ARMOR_NEGATION	REALITY_NEGATION	TENACITY	FANTASTIC_CRIT	NORMAL_CRIT
115	MAD_HATTER	ARMOR_NEGATION	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	NORMAL_CRIT
116	MADAM_MIM	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION
117	MAGICA_DE_SPELL	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
118	MALEFICENT	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	REALITY_NEGATION
119	MANTICORE	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	CRIT_DAMAGE	ARMOR_NEGATION
120	MARY_SANDERSON	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	NORMAL_CRIT	CRIT_DAMAGE
121	MAUI	TENACITY	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	EVASION
122	MAXIMUS	NORMAL_CRIT	CRIT_DAMAGE	TENACITY	FANTASTIC_CRIT	EVASION
123	MAYOR_BELLWETHER	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	TENACITY
124	MEGARA	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
125	MEGAVOLT	CRIT_DAMAGE	FANTASTIC_CRIT	REALITY_NEGATION	NORMAL_CRIT	TENACITY
126	MEILIN_LEE	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	EVASION	ARMOR_NEGATION
127	MERIDA	ARMOR_NEGATION	CRIT_DAMAGE	NORMAL_CRIT	TENACITY	EVASION
128	MERLIN	FANTASTIC_CRIT	EVASION	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
129	MICKEY_MOUSE	ARMOR_NEGATION	EVASION	NORMAL_CRIT	CRIT_DAMAGE	TENACITY
130	MIGUEL	EVASION	REALITY_NEGATION	TENACITY	ARMOR_NEGATION	NORMAL_CRIT
131	MIKE	NORMAL_CRIT	FANTASTIC_CRIT	REALITY_NEGATION	ARMOR_NEGATION	EVASION
132	MILO_THATCH	TENACITY	ARMOR_NEGATION	EVASION	NORMAL_CRIT	CRIT_DAMAGE
133	MINNIE_MOUSE	REALITY_NEGATION	ARMOR_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
134	MISS_PIGGY	NORMAL_CRIT	CRIT_DAMAGE	TENACITY	EVASION	ARMOR_NEGATION
135	MOANA	NORMAL_CRIT	TENACITY	ARMOR_NEGATION	EVASION	CRIT_DAMAGE
136	MONKEY_FIST	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	ARMOR_NEGATION	REALITY_NEGATION
137	MOTHER_GOTHEL	NORMAL_CRIT	TENACITY	ARMOR_NEGATION	REALITY_NEGATION	EVASION
138	MR_BIG_AND_KOSLOV	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY
139	MR_INCREDIBLE	NORMAL_CRIT	CRIT_DAMAGE	TENACITY	EVASION	ARMOR_NEGATION
140	MULAN	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	EVASION	TENACITY
141	MUSHU	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	EVASION	TENACITY
142	NAMAARI	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	EVASION	TENACITY
143	NEGADUCK	ARMOR_NEGATION	FANTASTIC_CRIT	REALITY_NEGATION	TENACITY	NORMAL_CRIT
144	NICK_WILDE	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	ARMOR_NEGATION	EVASION
145	OLAF	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE
146	OOGIE_BOOGIE	EVASION	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE	TENACITY
147	PACHA	EVASION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
148	PEGASUS	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY
149	PETE	TENACITY	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
150	PETER_PAN	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE	ARMOR_NEGATION	EVASION
151	PHIL	REALITY_NEGATION	ARMOR_NEGATION	EVASION	TENACITY	FANTASTIC_CRIT
152	PHOEBUS	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	EVASION	REALITY_NEGATION
153	PLEAKLEY	CRIT_DAMAGE	NORMAL_CRIT	TENACITY	EVASION	ARMOR_NEGATION
154	POCAHONTAS	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY
155	POWERLINE	FANTASTIC_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION
156	PRINCE_PHILLIP	TENACITY	ARMOR_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE
157	PRINCESS_AURORA	FANTASTIC_CRIT	REALITY_NEGATION	EVASION	NORMAL_CRIT	ARMOR_NEGATION
158	QUACKERJACK	CRIT_DAMAGE	FANTASTIC_CRIT	EVASION	TENACITY	REALITY_NEGATION
159	QUASIMODO	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	EVASION	REALITY_NEGATION
160	QUEEN_OF_HEARTS	TENACITY	ARMOR_NEGATION	NORMAL_CRIT	EVASION	REALITY_NEGATION
161	QUORRA	REALITY_NEGATION	CRIT_DAMAGE	FANTASTIC_CRIT	NORMAL_CRIT	EVASION
162	RAFIKI	REALITY_NEGATION	TENACITY	FANTASTIC_CRIT	CRIT_DAMAGE	EVASION
163	RALPH	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION
164	RANDALL_BOGGS	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION
165	RAPUNZEL	REALITY_NEGATION	EVASION	TENACITY	ARMOR_NEGATION	FANTASTIC_CRIT
166	RAYA	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	TENACITY	EVASION
167	REX	TENACITY	FANTASTIC_CRIT	ARMOR_NEGATION	REALITY_NEGATION	EVASION
168	ROBIN_HOOD	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	EVASION	TENACITY
169	ROCKETEER	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
170	RON_STOPPABLE	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
171	ROSE	TENACITY	ARMOR_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	EVASION
172	RUSSELL_AND_KEVIN	ARMOR_NEGATION	REALITY_NEGATION	TENACITY	CRIT_DAMAGE	EVASION
173	SADNESS	REALITY_NEGATION	TENACITY	FANTASTIC_CRIT	CRIT_DAMAGE	EVASION
174	SALLY	REALITY_NEGATION	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY
175	SARAH_SANDERSON	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	CRIT_DAMAGE	NORMAL_CRIT
176	SCAR	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	TENACITY	EVASION
177	SCROOGE_MCDUCK	TENACITY	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	NORMAL_CRIT
178	SHAN_YU	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	EVASION	TENACITY
179	SHANK	ARMOR_NEGATION	TENACITY	CRIT_DAMAGE	EVASION	NORMAL_CRIT
180	SHEGO	REALITY_NEGATION	NORMAL_CRIT	TENACITY	EVASION	ARMOR_NEGATION
181	SHERIFF_OF_NOTTINGHAM	ARMOR_NEGATION	NORMAL_CRIT	EVASION	CRIT_DAMAGE	TENACITY
182	SIMBA_AND_NALA	CRIT_DAMAGE	FANTASTIC_CRIT	NORMAL_CRIT	EVASION	REALITY_NEGATION
183	SISU	EVASION	REALITY_NEGATION	ARMOR_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT
184	SLINKY_DOG	REALITY_NEGATION	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY
185	SNOW_WHITE	REALITY_NEGATION	ARMOR_NEGATION	EVASION	FANTASTIC_CRIT	NORMAL_CRIT
186	STATLER_AND_WALDORF	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY
187	STITCH	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	ARMOR_NEGATION
188	SULLEY	FANTASTIC_CRIT	REALITY_NEGATION	TENACITY	NORMAL_CRIT	CRIT_DAMAGE
189	SWEDISH_CHEF	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	TENACITY	CRIT_DAMAGE
190	SWEETUMS	TENACITY	ARMOR_NEGATION	REALITY_NEGATION	EVASION	NORMAL_CRIT
191	SYNDROME	ARMOR_NEGATION	NORMAL_CRIT	TENACITY	EVASION	CRIT_DAMAGE
192	THE_HORNED_KING	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	EVASION	ARMOR_NEGATION
193	THE_MAYOR	EVASION	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	ARMOR_NEGATION
194	THE_UNDERMINER	FANTASTIC_CRIT	TENACITY	NORMAL_CRIT	ARMOR_NEGATION	REALITY_NEGATION
195	TIA_DALMA	FANTASTIC_CRIT	REALITY_NEGATION	TENACITY	CRIT_DAMAGE	NORMAL_CRIT
196	TIANA	EVASION	REALITY_NEGATION	ARMOR_NEGATION	TENACITY	NORMAL_CRIT
197	TIGGER	FANTASTIC_CRIT	REALITY_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	EVASION
198	TIMON_AND_PUMBAA	REALITY_NEGATION	EVASION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY
199	TRON	REALITY_NEGATION	TENACITY	FANTASTIC_CRIT	EVASION	ARMOR_NEGATION
200	TWENTY_TWO	ARMOR_NEGATION	REALITY_NEGATION	EVASION	FANTASTIC_CRIT	NORMAL_CRIT
201	URSULA	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	ARMOR_NEGATION	TENACITY
202	VANELLOPE	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	CRIT_DAMAGE	ARMOR_NEGATION
203	VINNY_SANTORINI	ARMOR_NEGATION	NORMAL_CRIT	TENACITY	EVASION	CRIT_DAMAGE
204	VIOLET	EVASION	TENACITY	CRIT_DAMAGE	NORMAL_CRIT	ARMOR_NEGATION
205	VOYD	ARMOR_NEGATION	REALITY_NEGATION	FANTASTIC_CRIT	NORMAL_CRIT	CRIT_DAMAGE
206	WALL_E	EVASION	ARMOR_NEGATION	NORMAL_CRIT	CRIT_DAMAGE	TENACITY
207	WASABI	NORMAL_CRIT	CRIT_DAMAGE	EVASION	TENACITY	ARMOR_NEGATION
208	WINIFRED_SANDERSON	REALITY_NEGATION	FANTASTIC_CRIT	EVASION	TENACITY	ARMOR_NEGATION
209	WINNIE_THE_POOH	REALITY_NEGATION	EVASION	FANTASTIC_CRIT	TENACITY	CRIT_DAMAGE
210	WOODY	NORMAL_CRIT	ARMOR_NEGATION	TENACITY	EVASION	CRIT_DAMAGE
211	YAX	REALITY_NEGATION	TENACITY	FANTASTIC_CRIT	EVASION	CRIT_DAMAGE
212	YZMA	TENACITY	FANTASTIC_CRIT	CRIT_DAMAGE	NORMAL_CRIT	ARMOR_NEGATION
213	ZEUS	NORMAL_CRIT	FANTASTIC_CRIT	TENACITY	REALITY_NEGATION	ARMOR_NEGATION
214	SHERE_KHAN	ARMOR_NEGATION	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	EVASION
215	LUZ_NOCEDA	NORMAL_CRIT	ARMOR_NEGATION	REALITY_NEGATION	FANTASTIC_CRIT	EVASION
216	DR_DOOFENSHMIRTZ	REALITY_NEGATION	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION
217	MAX_GOOF	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	ARMOR_NEGATION	EVASION
218	MCLEACH	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY	EVASION
219	CRUELLA	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	TENACITY	ARMOR_NEGATION
220	MIRABEL_MADRIGAL	REALITY_NEGATION	FANTASTIC_CRIT	TENACITY	EVASION	CRIT_DAMAGE
221	HEIMLICH	EVASION	TENACITY	CRIT_DAMAGE	ARMOR_NEGATION	REALITY_NEGATION
222	BRUNO_MADRIGAL	ARMOR_NEGATION	REALITY_NEGATION	TENACITY	EVASION	FANTASTIC_CRIT
223	ISABELA_MADRIGAL	FANTASTIC_CRIT	CRIT_DAMAGE	REALITY_NEGATION	ARMOR_NEGATION	TENACITY
224	LADY_AND_TRAMP	TENACITY	EVASION	CRIT_DAMAGE	REALITY_NEGATION	ARMOR_NEGATION
225	FRANNY_ROBINSON	FANTASTIC_CRIT	REALITY_NEGATION	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY
226	CHICKEN_LITTLE	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	REALITY_NEGATION	ARMOR_NEGATION
227	MAMA_ODIE	TENACITY	CRIT_DAMAGE	REALITY_NEGATION	ARMOR_NEGATION	EVASION
228	RATIGAN	NORMAL_CRIT	CRIT_DAMAGE	ARMOR_NEGATION	TENACITY	EVASION
229	JOE_GARDNER	EVASION	NORMAL_CRIT	ARMOR_NEGATION	CRIT_DAMAGE	TENACITY
230	ELIZABETH_SWANN	EVASION	NORMAL_CRIT	ARMOR_NEGATION	REALITY_NEGATION	CRIT_DAMAGE
