	05/12/2020	11/01/2019	10/29/2019	10/23/2019	10/02/2019	10/01/2019	08/21/2019
SECOND_GOLD_CHEST$2	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE
SECOND_GOLD_CHEST$3	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY
SECOND_GOLD_CHEST$4	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO
EXPEDITION$0	GOOFY	VIOLET	VIOLET	VIOLET	VIOLET	VIOLET	VIOLET
EXPEDITION$1	DR_FACILIER	QUEEN_OF_HEARTS	MIKE	MIKE	MIKE	MIKE	MIKE
EXPEDITION$2	SYNDROME	SALLY	SALLY	SALLY	SALLY	REX	REX
CRYPT$0	YZMA	TIA_DALMA	WALL_E	WALL_E	WALL_E	WALL_E	WALL_E
CRYPT$1	OOGIE_BOOGIE	WALL_E	STITCH	STITCH	STITCH	SULLEY	SULLEY
CRYPT$2	KIDA	STITCH	JUDY_HOPPS	JUDY_HOPPS	JUDY_HOPPS	JUDY_HOPPS	JUDY_HOPPS
FIGHT_PIT$0	SCROOGE_MCDUCK	ELSA	ELSA	ELSA	ELSA	ELSA	ELSA
FIGHT_PIT$1	TIMON_AND_PUMBAA	URSULA	JESSIE	JESSIE	JESSIE	JESSIE	JESSIE
FIGHT_PIT$2	GIZMODUCK	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE	MR_INCREDIBLE	JACK_JACK	JACK_JACK
COLISEUM$0	GASTON	CALHOUN	CALHOUN	CALHOUN	CALHOUN	CALHOUN	CALHOUN
COLISEUM$1	QUEEN_OF_HEARTS	JACK_SKELLINGTON	OLAF	OLAF	OLAF	OLAF	OLAF
COLISEUM$2	JAFAR	HADES	HADES	HADES	HADES	TIA_DALMA	TIA_DALMA
FIGHT_PIT_WEEKLY	TRON						
COLISEUM_WEEKLY	TRON						
HEIST$0	SHANK	MICKEY_MOUSE	MICKEY_MOUSE	MICKEY_MOUSE	MICKEY_MOUSE	MERIDA	MERIDA
HEIST$1	FLYNN_RIDER	QUORRA	EVE	EVE	EVE	EVE	EVE
HEIST$2	SIMBA_AND_NALA	EMPEROR_ZURG	EMPEROR_ZURG	EMPEROR_ZURG	EMPEROR_ZURG	EMPEROR_ZURG	EMPEROR_ZURG
WAR$0	GONZO	JUDY_HOPPS	JUDY_HOPPS	JUDY_HOPPS	JUDY_HOPPS	QUORRA	QUORRA
WAR$1	TIGGER	MERIDA	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN	KEVIN_FLYNN
WAR$2	PETER_PAN	SCAR	SCAR	SCAR	SCAR	SCAR	SCAR
CH_1_NODE_1							
CH_1_NODE_2	DASH	DASH	DASH	DASH	DASH	DASH	DASH
CH_1_NODE_3	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE
CH_1_NODE_4	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE
CH_1_NODE_5	DASH	DASH	DASH	DASH	DASH	DASH	DASH
CH_1_NODE_6	YAX	YAX	YAX	YAX	YAX	YAX	YAX
CH_1_NODE_7	BO_PEEP	DASH	DASH	DASH	DASH	DASH	DASH
CH_2_NODE_1	RALPH	RALPH	RALPH	RALPH	RALPH	RALPH	RALPH
CH_2_NODE_2	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK
CH_2_NODE_3	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE
CH_2_NODE_4	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE
CH_2_NODE_5	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK
CH_2_NODE_6	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL
CH_2_NODE_7	EMPEROR_ZURG	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK	FINNICK
CH_3_NODE_1	YAX	YAX	YAX	YAX	YAX	YAX	YAX
CH_3_NODE_2	JACK_JACK	JACK_JACK	JACK_JACK	JACK_JACK	JACK_JACK	MR_INCREDIBLE	MR_INCREDIBLE
CH_3_NODE_3	STITCH	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE	FROZONE
CH_3_NODE_4	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL
CH_3_NODE_5	JACK_JACK	JACK_JACK	JACK_JACK	JACK_JACK	JACK_JACK	MR_INCREDIBLE	MR_INCREDIBLE
CH_3_NODE_6	RALPH	RALPH	RALPH	RALPH	RALPH	RALPH	RALPH
CH_3_NODE_7	STITCH	JACK_JACK	JACK_JACK	JACK_JACK	JACK_JACK	MR_INCREDIBLE	MR_INCREDIBLE
CH_4_NODE_1	JUDY_HOPPS	RALPH	RALPH	RALPH	RALPH	RALPH	RALPH
CH_4_NODE_2	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE
CH_4_NODE_3	TIA_DALMA	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE	VANELLOPE
CH_4_NODE_4	EEYORE	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL
CH_4_NODE_5	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE
CH_4_NODE_6	BEAST	YAX	YAX	YAX	YAX	YAX	YAX
CH_4_NODE_7	BAYMAX	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE	NICK_WILDE
CH_5_NODE_1	ALADDIN	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL	ELASTIGIRL
CH_5_NODE_2	EMPEROR_ZURG	FELIX	FELIX	FELIX	FELIX	FELIX	FELIX
CH_5_NODE_3	OLAF	OLAF	JACK_SKELLINGTON	JACK_SKELLINGTON	FROZONE	FROZONE	FROZONE
CH_5_NODE_4	HERCULES	GASTON	GASTON	GASTON	YAX	YAX	YAX
CH_5_NODE_5	VIOLET	FELIX	FELIX	FELIX	FELIX	FELIX	FELIX
CH_5_NODE_6	OLAF	OLAF	JACK_SKELLINGTON	JACK_SKELLINGTON	VANELLOPE	VANELLOPE	VANELLOPE
CH_5_NODE_7	VIOLET	FELIX	FELIX	FELIX	FELIX	FELIX	FELIX
CH_6_NODE_1	ALADDIN	DASH	DASH	DASH	DASH	DASH	DASH
CH_6_NODE_2	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO
CH_6_NODE_3	HERCULES	GASTON	GASTON	GASTON	RALPH	RALPH	RALPH
CH_6_NODE_4	SULLEY	SULLEY	SULLEY	SULLEY	SULLEY	STITCH	STITCH
CH_6_NODE_5	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO
CH_6_NODE_6	SULLEY	SULLEY	SULLEY	SULLEY	SULLEY	MR_INCREDIBLE	MR_INCREDIBLE
CH_6_NODE_7	RAFIKI	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO	CHIEF_BOGO
CH_7_NODE_1	CALHOUN	OLAF	JACK_SKELLINGTON	JACK_SKELLINGTON	NICK_WILDE	NICK_WILDE	NICK_WILDE
CH_7_NODE_2	BAYMAX	SULLEY	SULLEY	SULLEY	SULLEY	STITCH	STITCH
CH_7_NODE_3	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY
CH_7_NODE_4	REX	REX	REX	REX	REX	STITCH	STITCH
CH_7_NODE_5	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY
CH_7_NODE_6	CALHOUN	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK
CH_7_NODE_7	MAD_HATTER	WOODY	WOODY	WOODY	WOODY	WOODY	WOODY
CH_8_NODE_1	WALL_E	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK
CH_8_NODE_2	REX	REX	REX	REX	REX	MICKEY_MOUSE	MICKEY_MOUSE
CH_8_NODE_3	MAD_HATTER	GASTON	GASTON	GASTON	MALEFICENT	MALEFICENT	MALEFICENT
CH_8_NODE_4	MOANA	MOANA	MOANA	MOANA	MOANA	MOANA	MOANA
CH_8_NODE_5	GENIE	GENIE	GENIE	GENIE	GENIE	MICKEY_MOUSE	MICKEY_MOUSE
CH_8_NODE_6	FELIX	SHANK	SHANK	SHANK	SHANK	SHANK	SHANK
CH_8_NODE_7	GENIE	GENIE	GENIE	GENIE	GENIE	MICKEY_MOUSE	MICKEY_MOUSE
CH_9_NODE_1	MOANA	MOANA	MOANA	MOANA	MOANA	MOANA	MOANA
CH_9_NODE_2	WALL_E	MIGUEL	MIGUEL	MIGUEL	MIGUEL	MIGUEL	MIGUEL
CH_9_NODE_3	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ
CH_9_NODE_4	FELIX	MOANA	MOANA	MOANA	MOANA	MOANA	MOANA
CH_9_NODE_5	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ
CH_9_NODE_6	TIA_DALMA	MIGUEL	MIGUEL	MIGUEL	MIGUEL	MIGUEL	MIGUEL
CH_9_NODE_7	RAFIKI	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ	BUZZ
CH_10_NODE_1	MIKE	MIKE	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS
CH_10_NODE_2	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT
CH_10_NODE_3	MAUI	MIGUEL	MIGUEL	MIGUEL	MIGUEL	MIGUEL	MIGUEL
CH_10_NODE_4	MIKE	MIKE	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS
CH_10_NODE_5	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT
CH_10_NODE_6	URSULA	MIKE	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS	QUEEN_OF_HEARTS
CH_10_NODE_7	MAUI	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT	MALEFICENT
CH_11_NODE_1	EVE	EVE	QUORRA	QUORRA	QUORRA		
CH_11_NODE_2	JESSIE	JESSIE	TIA_DALMA	TIA_DALMA	TIA_DALMA		
CH_11_NODE_3	EVE	EVE	QUORRA	QUORRA	QUORRA		
CH_11_NODE_4	KEVIN_FLYNN	KEVIN_FLYNN	MERIDA	MERIDA	MERIDA		
CH_11_NODE_5	JESSIE	JESSIE	TIA_DALMA	TIA_DALMA	TIA_DALMA		
CH_11_NODE_6	KEVIN_FLYNN	KEVIN_FLYNN	MERIDA	MERIDA	MERIDA		
CH_11_NODE_7	MR_INCREDIBLE	JESSIE	TIA_DALMA	TIA_DALMA	TIA_DALMA		
CH_12_NODE_1	HADES	JACK_SPARROW	JACK_SPARROW				
CH_12_NODE_2	MICKEY_MOUSE	HECTOR_BARBOSSA	HECTOR_BARBOSSA				
CH_12_NODE_3	MR_INCREDIBLE	KEVIN_FLYNN	MERIDA				
CH_12_NODE_4	SCAR	JACK_SPARROW	JACK_SPARROW				
CH_12_NODE_5	MICKEY_MOUSE	HECTOR_BARBOSSA	HECTOR_BARBOSSA				
CH_12_NODE_6	HADES	JACK_SPARROW	JACK_SPARROW				
CH_12_NODE_7	SCAR	HECTOR_BARBOSSA	HECTOR_BARBOSSA				
CH_13_NODE_1	JACK_SKELLINGTON						
CH_13_NODE_2	URSULA						
CH_13_NODE_3	JACK_SKELLINGTON						
CH_13_NODE_4	DUKE_CABOOM						
CH_13_NODE_5	SALLY						
CH_13_NODE_6	DUKE_CABOOM						
CH_13_NODE_7	SALLY						
CH_14_NODE_1	QUORRA						
CH_14_NODE_2	ANGER						
CH_14_NODE_3	QUORRA						
CH_14_NODE_4	MERIDA						
CH_14_NODE_5	MIGUEL						
CH_14_NODE_6	MERIDA						
CH_14_NODE_7	MIGUEL						
CH_15_NODE_1	ALICE						
CH_15_NODE_2	JACK_SPARROW						
CH_15_NODE_3	ROBIN_HOOD						
CH_15_NODE_4	DARKWING_DUCK						
CH_15_NODE_5	JACK_SPARROW						
CH_15_NODE_6	ROBIN_HOOD						
CH_15_NODE_7	HIRO						
CH_16_NODE_1	ALICE						
CH_16_NODE_2	HIRO						
CH_16_NODE_3	MEGAVOLT						
CH_16_NODE_4	DUCKY_AND_BUNNY						
CH_16_NODE_5	HECTOR_BARBOSSA						
CH_16_NODE_6	MEGARA						
CH_16_NODE_7	JOY						
CH_17_NODE_1	HECTOR_BARBOSSA						
CH_17_NODE_2	MEGARA						
CH_17_NODE_3	POWERLINE						
CH_17_NODE_4	RAPUNZEL						
CH_17_NODE_5	DARKWING_DUCK						
CH_17_NODE_6	HUEY_DEWEY_LOUIE						
CH_17_NODE_7	MAGICA_DE_SPELL						
CH_18_NODE_1	RAPUNZEL						
CH_18_NODE_2	HUEY_DEWEY_LOUIE						
CH_18_NODE_3	DONALD_DUCK						
CH_18_NODE_4	COLETTE						
CH_18_NODE_5	GERALD_MARLIN_NEMO						
CH_18_NODE_6	KRISTOFF_AND_SVEN						
CH_18_NODE_7	ELSA						
