	SLOTS_1	SLOTS_2	SLOTS_3	SLOTS_4
BOLT	SP	HP,SP	SP,BD,BD	HP,HP,SP,BD
ARIEL	SP	HP,SP	HP,SP,BD	HP,SP,SP,BD
ZEUS	SP	SP,BD	HP,SP,SP	SP,SP,BD,BD
PHIL	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
MARY_SANDERSON	BD	HP,BD	SP,BD,BD	HP,HP,HP,BD
WINIFRED_SANDERSON	HP	HP,BD	SP,BD,BD	HP,SP,SP,BD
SARAH_SANDERSON	SP	SP,BD	HP,HP,SP	HP,HP,HP,BD
RAYA	SP	HP,BD	HP,HP,SP	HP,HP,SP,BD
KING_TRITON	SP	HP,HP	HP,SP,SP	SP,SP,BD,BD
SISU	HP	HP,SP	HP,SP,BD	HP,HP,SP,BD
ANNA	BD	BD,BD	HP,SP,BD	HP,HP,SP,SP
KAA	BD	HP,BD	HP,SP,BD	HP,SP,SP,BD
HOPPER	BD	HP,HP	HP,HP,BD	HP,HP,SP,BD
FLIK	SP	HP,SP	HP,SP,BD	HP,HP,SP,BD
PETE	BD	SP,BD	HP,BD,BD	SP,SP,SP,BD
BAGHEERA	SP	HP,HP	HP,SP,BD	HP,SP,BD,BD
NAMAARI	SP	HP,SP	HP,SP,BD	HP,HP,SP,BD
THE_UNDERMINER	BD	SP,BD	HP,SP,BD	HP,HP,SP,BD
SNOW_WHITE	HP	HP,BD	HP,SP,SP	HP,SP,BD,BD
VOYD	HP	BD,BD	HP,SP,SP	HP,SP,SP,BD
THE_HORNED_KING	SP	HP,BD	HP,HP,SP	HP,HP,SP,BD
PRINCESS_AURORA	BD	HP,SP	HP,SP,BD	HP,SP,SP,BD
DAISY_DUCK	SP	HP,SP	HP,HP,SP	SP,SP,BD,BD
PACHA	HP	HP,HP	HP,HP,BD	HP,HP,SP,BD
DUFF_KILLIGAN	BD	SP,BD	HP,SP,BD	HP,HP,SP,BD
PRINCE_PHILLIP	SP	HP,HP	HP,HP,BD	HP,HP,SP,BD
MILO_THATCH	HP	HP,BD	HP,HP,SP	HP,HP,SP,BD
AGENT_P	HP	HP,SP	HP,HP,BD	HP,HP,BD,BD
AUDREY_RAMIREZ	HP	HP,SP	HP,SP,BD	HP,HP,HP,HP
TWENTY_TWO	HP	HP,BD	HP,SP,BD	HP,SP,SP,BD
MOTHER_GOTHEL	SP	SP,BD	HP,HP,SP	HP,HP,HP,SP
MEILIN_LEE	BD	BD,BD	HP,SP,BD	HP,SP,BD,BD
THE_MAYOR	BD	BD,BD	HP,BD,BD	HP,SP,BD,BD
QUASIMODO	BD	SP,BD	HP,SP,BD	HP,SP,BD,BD
MAYOR_BELLWETHER	HP	HP,SP	HP,SP,BD	HP,HP,SP,BD
CINDERELLA	SP	SP,BD	HP,SP,BD	HP,HP,SP,BD
LUCA_AND_ALBERTO	HP	SP,BD	HP,HP,SP	HP,SP,SP,BD
PHOEBUS	SP	HP,SP	HP,SP,BD	HP,SP,SP,SP
LITTLE_JOHN	BD	HP,SP	HP,SP,BD	HP,HP,SP,BD
STATLER_AND_WALDORF	BD	HP,SP	HP,SP,BD	HP,SP,SP,BD
FLASH	SP	SP,BD	HP,HP,BD	HP,SP,SP,BD
CHEF_SKINNER	SP	SP,SP	HP,SP,BD	HP,SP,SP,BD
SWEETUMS	BD	SP,BD	HP,SP,BD	HP,SP,BD,BD
ABU	SP	SP,SP	HP,SP,SP	HP,SP,BD,BD
JAKE_LONG	SP	SP,BD	HP,SP,BD	HP,HP,SP,BD
MONKEY_FIST	SP	SP,BD	HP,SP,SP	HP,SP,SP,SP
COGSWORTH_AND_LUMIERE	SP	SP,BD	HP,SP,BD	HP,SP,SP,SP
TIANA	HP	SP,BD	HP,SP,BD	HP,SP,BD,BD
NEGADUCK	BD	HP,SP	HP,SP,BD	HP,SP,BD,BD
PEGASUS	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
BOWLER_HAT_GUY	HP	HP,SP	HP,HP,SP	HP,SP,BD,BD
ROSE	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
KUZCO	HP	HP,SP	HP,SP,BD	HP,HP,SP,BD
DANTE	BD	HP,SP	HP,SP,BD	HP,SP,BD,BD
EDA_CLAWTHORNE	HP	HP,BD	HP,SP,BD	HP,HP,SP,BD
SHERE_KHAN	SP	HP,SP	HP,SP,BD	HP,BD,BD,BD
LUZ_NOCEDA	BD	HP,BD	HP,SP,BD	HP,HP,SP,BD
DR_DOOFENSHMIRTZ	SP	HP,SP	HP,HP,SP	HP,SP,SP,SP
MAX_GOOF	SP	SP,SP	HP,SP,SP	HP,SP,SP,SP
MCLEACH	BD	HP,SP	HP,BD,BD	HP,HP,BD,BD
CRUELLA	SP	SP,SP	HP,SP,SP	HP,SP,SP,SP
HEIMLICH	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
MIRABEL_MADRIGAL	SP	SP,SP	HP,SP,SP	HP,HP,SP,SP
BRUNO_MADRIGAL	BD	HP,BD	HP,BD,BD	HP,BD,BD,SP
ISABELA_MADRIGAL	BD	BD,BD	BD,BD,SP	BD,BD,BD,SP
LADY_AND_TRAMP	BD	BD,BD	HP,BD,BD	HP,BD,BD,SP
FRANNY_ROBINSON	BD	BD,SP	BD,BD,SP	BD,BD,SP,SP
CHICKEN_LITTLE	BD	BD,BD	BD,BD,BD	BD,BD,BD,HP
MAMA_ODIE	BD	BD,SP	BD,BD,SP	HP,BD,BD,SP
RATIGAN	HP	HP,HP	HP,HP,BD	HP,HP,BD,BD
JOE_GARDNER	SP	SP,SP	HP,SP,SP	HP,HP,SP,SP
ELIZABETH_SWANN	BD	BD,BD	BD,BD,BD	BD,BD,BD,HP
CHERNABOG	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
MUFASA	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
PENNY_PROUD	HP	HP,SP	HP,SP,SP	HP,HP,SP,SP
FERB	HP	HP,HP	HP,HP,HP	HP,HP,HP,BD
EMBER_LUMEN	SP	SP,SP	HP,SP,SP	HP,HP,SP,SP
ANNE_BOONCHUY	BD	BD,BD	BD,BD,BD	BD,BD,BD,HP
LUISA_MADRIGAL	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
HUNTSMAN	HP	HP,SP	HP,HP,SP	HP,HP,SP,SP
WADE_RIPPLE	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
SUGA_MAMA	HP	HP,SP	HP,HP,SP	HP,HP,SP,SP
ANXIETY	HP	HP,HP	HP,HP,SP	HP,HP,SP,SP
THOMAS_O_MALLEY	SP	SP,SP	SP,SP,SP	SP,SP,SP,SP
ISABELLA_SHAPIRO	HP	HP,HP	HP,HP,SP	HP,HP,SP,SP
REPTILLUS_MAXIMUS	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
LILITH_CLAWTHORNE	HP	HP,HP	HP,HP,SP	HP,HP,SP,SP
EDNA_MODE	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
LADY_TREMAINE	HP	HP,HP	HP,HP,HP	HP,HP,HP,BD
GANTU	SP	SP,SP	HP,SP,SP	HP,HP,SP,SP
PHINEAS	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
CANDACE_FLYNN	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
CARL_THE_ROBOT	BD	BD,BD	BD,BD,BD	BD,BD,BD,BD
YEN_SID	HP	HP,SP	HP,HP,SP	HP,HP,SP,SP
DR_CALICO	HP	HP,HP	HP,HP,HP	HP,HP,HP,BD
DUCHESS	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
REUBEN	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
HECTOR_RIVERA	HP	HP,HP	HP,HP,BD	HP,HP,BD,BD
ENVY	SP	SP,SP	HP,SP,SP	HP,SP,SP,SP
SIMEA	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
GISELLE	SP	SP,SP	HP,SP,SP	HP,HP,SP,SP
SCAT_CAT	SP	SP,SP	SP,SP,SP	HP,SP,SP,SP
EMBARRASSMENT	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
ABBY_MALLARD	SP	HP,SP	HP,SP,SP	HP,HP,SP,SP
HEADLESS_HORSEMAN	BD	BD,BD	BD,BD,BD	BD,BD,BD,HP
ENNUI	HP	HP,HP	HP,HP,SP	HP,HP,SP,BD
AMITY_BLIGHT	SP	SP,HP	SP,HP,SP	SP,HP,SP,HP
MARIE	HP	HP,SP	HP,SP,HP	HP,SP,HP,SP
ERNESTO_DE_LA_CRUZ	HP	HP,SP	HP,SP,HP	HP,SP,HP,SP
GAZELLE	HP	HP,SP	HP,SP,HP	HP,SP,HP,SP
PIGLET	HP	HP,SP	HP,SP,HP	HP,SP,HP,SP
LIGHTNING_MCQUEEN	HP	HP,HP	HP,HP,BD	HP,HP,BD,BD
DARWIN	BD	BD,BD	BD,BD,BD	BD,BD,BD,BD
BAMBI	HP	HP,SP	HP,SP,HP	HP,SP,HP,SP
PINOCCHIO	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
KING_CANDY	HP	HP,HP	HP,HP,SP	HP,HP,SP,SP
HANS	HP	HP,HP	HP,HP,BD	HP,HP,BD,BD
PONGO	HP	HP,HP	HP,HP,BD	HP,HP,BD,BD
BENJAMIN_FRANKLIN_GATES	HP	HP,BD	HP,BD,HP	HP,BD,HP,BD
LOTSO	HP	HP,HP	HP,HP,BD	HP,HP,BD,BD
DUMBO	HP	HP,HP	HP,HP,BD	HP,HP,BD,SP
YOKAI	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
MOLLY_MCGEE	BD	BD,HP	BD,HP,BD	BD,HP,BD,HP
MATER	HP	HP,HP	HP,HP,BD	HP,HP,BD,SP
CAPTAIN_GRIME	HP	HP,BD	HP,BD,HP	HP,BD,HP,BD
SCUTTLE	HP	HP,HP	HP,HP,SP	HP,HP,SP,BD
MOWGLI	HP	HP,HP	HP,HP,HP	HP,HP,HP,HP
