	PAGE	PREREQ_PERK_1	PREREQ_PERK_2	SNAPSHOT_BYTE	SNAPSHOT_SHIFT	SNAPSHOT_BITS
GL5	GUILD_LEVEL_5	INVASION_BOSS_QUICK_FIGHT		0	4	1
GL5_GUILD_CRATE_GOLD	GUILD_LEVEL_5	GL5		46	0	8
GL5_GUILD_CRATE_XP	GUILD_LEVEL_5	GL5_GUILD_CRATE_GOLD		29	0	4
GL5_EXTRA_ELITE_CHANCES	GUILD_LEVEL_5	GL5_DOUBLE_DROP_ELITE	GL5_SOCIAL_BUCKS_STORAGE	29	4	2
GL5_DOUBLE_DROP_ELITE	GUILD_LEVEL_5	GL5_INFLUENCE_STORAGE		44	0	8
GL5_INFLUENCE_STORAGE	GUILD_LEVEL_5	GL5		45	0	8
GL5_SOCIAL_BUCKS_STORAGE	GUILD_LEVEL_5	GL5_GUILD_CRATE_GOLD		6	4	2
TIMED_BADGE_BOOSTER_CRATE	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		4	2	1
TIMED_SKILL_POINT_ITEM	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		4	3	1
TIMED_ULTRA_SD_CARD	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		4	5	1
TIMED_TRIALS_RESET_ITEM	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		4	6	1
TIMED_2X_CAMPAIGN_TEAM_XP_ITEM	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		4	7	1
TIMED_PORT_RESET_ITEM	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		5	0	1
TIMED_GUILD_CRATE	CONSUMABLES	GL5_EXTRA_ELITE_CHANCES		5	1	1
GL6	GUILD_LEVEL_6	GL5_INFLUENCE_STORAGE		0	5	1
NO_COST_HERO_XP	GUILD_LEVEL_6	GL6		59	0	5
BADGE_LEVEL_DISCOUNT	GUILD_LEVEL_6	NO_COST_HERO_XP		59	5	3
CHAPTER_STAMINA_DISCOUNT	GUILD_LEVEL_6	NO_COST_HERO_XP		61	0	8
EXTRA_MISSIONS_SLOT	GUILD_LEVEL_6	STAMINA_AID_BOOST		60	0	3
STAMINA_AID_BOOST	GUILD_LEVEL_6	CHAPTER_STAMINA_DISCOUNT		60	3	5
TIMED_STAMINA_RECHARGE_X4	CONSUMABLES_2	GL6		62	0	1
TIMED_VIP5_FOR_DAY	CONSUMABLES_2	GL6		62	1	1
TIMED_STAMINA_RESET_GIFT	CONSUMABLES_2	GL6		62	2	1
TIMED_PORT_REWARD_BOOST				62	3	1
TIMED_SURGE_GOLD_BONUS				62	4	1
TIMED_FREE_RAID_PASS				62	5	1
TIMED_DOUBLE_CAMPAIGN_GOLD	CONSUMABLES_2	GL6		62	6	1
TIMED_DOUBLE_NORMAL_DROPS	CONSUMABLES_2	GL6		62	7	1
TIMED_DOUBLE_ELITE_DROPS	CONSUMABLES_2	GL6		63	0	1
TIMED_ALL_SHOP_DISCOUNT				63	1	1
TIMED_GUILD_STORAGE_TEMP_BOOST				63	2	1
MERC_HIRE_ABOVE_LEVEL_2	GUILD_LEVEL_6	GL6	MERC_HIRE_ABOVE_LEVEL	63	3	3
CONTEST_INVASION_BREAKERS_2	GUILD_CONTESTS	GL6	CONTEST_INVASION_BREAKERS	64	0	4
CONTEST_INVASION_REVIVES_2	GUILD_CONTESTS	GL6	CONTEST_INVASION_REVIVES	64	4	4
GL6_EXTRA_ELITE_CHANCES_2	GUILD_LEVEL_6	GL6	GL5_EXTRA_ELITE_CHANCES	63	6	2
WAR_SPARS	WAR	WAR_BONUS_TOKENS		65	0	4
