	EXTRA_MEGABIT_COST	EXTRA_XP_COST
242	220,557	1,123,400,000,000
243	221,458	1,130,120,000,000
244	222,359	1,136,840,000,000
245	223,259	1,143,560,000,000
246	224,160	1,150,280,000,000
247	225,060	1,157,000,000,000
248	225,961	1,163,720,000,000
249	226,861	1,170,440,000,000
250	227,762	1,177,160,000,000
251	228,662	1,183,880,000,000
252	229,563	1,190,600,000,000
253	230,463	1,197,320,000,000
254	231,364	1,204,040,000,000
255	232,264	1,210,760,000,000
256	233,165	1,217,480,000,000
257	234,065	1,224,200,000,000
258	234,966	1,230,920,000,000
259	235,866	1,237,640,000,000
260	236,767	1,244,360,000,000
261	237,668	1,251,080,000,000
262	238,568	1,257,800,000,000
263	239,469	1,264,520,000,000
264	240,369	1,271,240,000,000
265	241,270	1,277,960,000,000
266	242,170	1,284,680,000,000
267	243,071	1,291,400,000,000
268	243,971	1,298,120,000,000
269	244,872	1,304,840,000,000
270	245,772	1,311,560,000,000
271	246,673	1,318,280,000,000
272	247,573	1,325,000,000,000
273	248,474	1,331,720,000,000
274	249,374	1,338,440,000,000
275	250,275	1,345,160,000,000
276	251,175	1,351,880,000,000
277	252,076	1,358,600,000,000
278	252,977	1,365,320,000,000
279	253,877	1,372,040,000,000
280	254,778	1,378,760,000,000
281	255,678	1,385,480,000,000
282	256,579	1,392,200,000,000
283	257,479	1,398,920,000,000
284	258,380	1,405,640,000,000
285	259,280	1,412,360,000,000
286	260,181	1,419,080,000,000
287	261,081	1,425,800,000,000
288	261,982	1,432,520,000,000
289	262,882	1,439,240,000,000
290	263,783	1,445,960,000,000
291	264,683	1,452,680,000,000
292	265,584	1,459,400,000,000
293	266,485	1,466,120,000,000
294	267,385	1,472,840,000,000
295	268,286	1,479,560,000,000
296	269,186	1,486,280,000,000
297	270,087	1,493,000,000,000
298	270,987	1,499,720,000,000
299	271,888	1,506,440,000,000
300	272,788	1,513,160,000,000
301	273,689	1,519,880,000,000
302	274,589	1,526,600,000,000
