	UNIT_TYPE	STAT_TIER	ARMOR_NEGATION	REALITY_NEGATION	NORMAL_CRIT	FANTASTIC_CRIT	CRIT_DAMAGE	TENACITY	EVASION	IMPROVED_HEALING
37	DARKWING_DUCK	THREE	390	390	390	390	390	390	390	0
38	DASH	THREE	390	390	390	390	390	390	390	0
39	DAVY_JONES	THREE	390	390	390	390	390	390	390	0
40	DEMONA	THREE	390	390	390	390	390	390	390	0
41	DISGUST	THREE	390	390	390	390	390	390	390	0
42	DONALD_DUCK	THREE	390	390	390	390	390	390	390	0
43	DR_DRAKKEN	THREE	390	390	390	390	390	390	390	0
44	DR_FACILIER	THREE	390	390	390	390	390	390	390	0
45	DUCKY_AND_BUNNY	THREE	390	390	390	390	390	390	390	0
46	DUFF_KILLIGAN	THREE	390	390	390	390	390	390	390	0
47	DUKE_CABOOM	THREE	390	390	390	390	390	390	390	0
48	EDA_CLAWTHORNE	THREE	390	390	390	390	390	390	390	0
49	EEYORE	THREE	390	390	390	390	390	390	390	0
50	ELASTIGIRL	THREE	390	390	390	390	390	390	390	0
51	ELSA	THREE	390	390	390	390	390	390	390	0
52	EMPEROR_ZURG	THREE	390	390	390	390	390	390	390	0
53	ESMERALDA	THREE	390	390	390	390	390	390	390	0
54	EVE	THREE	390	390	390	390	390	390	390	0
55	EVIL_QUEEN	THREE	390	390	390	390	390	390	390	0
56	FAIRY_GODMOTHER	THREE	390	390	390	390	390	390	390	0
57	FEAR	THREE	390	390	390	390	390	390	390	0
58	FELIX	THREE	390	390	390	390	390	390	390	0
59	FINNICK	THREE	390	390	390	390	390	390	390	0
60	FLASH	THREE	390	390	390	390	390	390	390	0
61	FLIK	THREE	390	390	390	390	390	390	390	0
62	FLYNN_RIDER	THREE	390	390	390	390	390	390	390	0
63	FOZZIE	THREE	390	390	390	390	390	390	390	0
64	FRED_FREDERICKSON	THREE	390	390	390	390	390	390	390	0
65	FROZONE	THREE	390	390	390	390	390	390	390	0
66	GADGET_HACKWRENCH	THREE	390	390	390	390	390	390	390	0
67	GASTON	THREE	390	390	390	390	390	390	390	0
68	GENIE	THREE	390	390	390	390	390	390	390	0
69	GERALD_MARLIN_NEMO	THREE	390	390	390	390	390	390	390	0
70	GIZMODUCK	THREE	390	390	390	390	390	390	390	0
71	GO_GO	THREE	390	390	390	390	390	390	390	0
72	GOLIATH	THREE	390	390	390	390	390	390	390	0
73	GONZO	THREE	390	390	390	390	390	390	390	0
74	GOOFY	THREE	390	390	390	390	390	390	390	0
75	HADES	THREE	390	390	390	390	390	390	390	0
76	HAMM	THREE	390	390	390	390	390	390	390	0
77	HANK_AND_DORY	THREE	390	390	390	390	390	390	390	0
78	HECTOR_BARBOSSA	THREE	390	390	390	390	390	390	390	0
79	HELGA	THREE	390	390	390	390	390	390	390	0
80	HERCULES	THREE	390	390	390	390	390	390	390	0
81	HIRO	THREE	390	390	390	390	390	390	390	0
82	HONEY_LEMON	THREE	390	390	390	390	390	390	390	0
83	HOPPER	THREE	390	390	390	390	390	390	390	0
84	HUEY_DEWEY_LOUIE	THREE	390	390	390	390	390	390	390	0
85	IAN_LIGHTFOOT	THREE	390	390	390	390	390	390	390	0
86	JACK_JACK	THREE	390	390	390	390	390	390	390	0
87	JACK_SKELLINGTON	THREE	390	390	390	390	390	390	390	0
88	JACK_SPARROW	THREE	390	390	390	390	390	390	390	0
89	JAFAR	THREE	390	390	390	390	390	390	390	0
90	JAKE_LONG	THREE	390	390	390	390	390	390	390	0
91	JASMINE	THREE	390	390	390	390	390	390	390	0
92	JESSIE	THREE	390	390	390	390	390	390	390	0
93	JIM_HAWKINS	THREE	390	390	390	390	390	390	390	0
94	JOHN_SILVER	THREE	390	390	390	390	390	390	390	0
95	JOY	THREE	390	390	390	390	390	390	390	0
96	JUDY_HOPPS	THREE	390	390	390	390	390	390	390	0
97	JUMBA	THREE	390	390	390	390	390	390	390	0
98	KAA	THREE	390	390	390	390	390	390	390	0
99	KERMIT	THREE	390	390	390	390	390	390	390	0
100	KEVIN_FLYNN	THREE	390	390	390	390	390	390	390	0
101	KIDA	THREE	390	390	390	390	390	390	390	0
102	KIM_POSSIBLE	THREE	390	390	390	390	390	390	390	0
103	KING_LOUIE	THREE	390	390	390	390	390	390	390	0
104	KING_TRITON	THREE	390	390	390	390	390	390	390	0
105	KRISTOFF_AND_SVEN	THREE	390	390	390	390	390	390	390	0
106	KRONK	THREE	390	390	390	390	390	390	390	0
107	KUZCO	THREE	390	390	390	390	390	390	390	0
108	LAUNCHPAD_MCQUACK	THREE	390	390	390	390	390	390	390	0
109	LI_SHANG	THREE	390	390	390	390	390	390	390	0
110	LILO	THREE	390	390	390	390	390	390	390	0
111	LINGUINI_AND_REMY	THREE	390	390	390	390	390	390	390	0
112	LITTLE_JOHN	THREE	390	390	390	390	390	390	390	0
113	LOCK_SHOCK_BARREL	THREE	390	390	390	390	390	390	390	0
114	LUCA_AND_ALBERTO	THREE	390	390	390	390	390	390	390	0
115	MAD_HATTER	THREE	390	390	390	390	390	390	390	0
116	MADAM_MIM	THREE	390	390	390	390	390	390	390	0
117	MAGICA_DE_SPELL	THREE	390	390	390	390	390	390	390	0
118	MALEFICENT	THREE	390	390	390	390	390	390	390	0
119	MANTICORE	THREE	390	390	390	390	390	390	390	0
120	MARY_SANDERSON	THREE	390	390	390	390	390	390	390	0
121	MAUI	THREE	390	390	390	390	390	390	390	0
122	MAXIMUS	THREE	390	390	390	390	390	390	390	0
123	MAYOR_BELLWETHER	THREE	390	390	390	390	390	390	390	0
124	MEGARA	THREE	390	390	390	390	390	390	390	0
125	MEGAVOLT	THREE	390	390	390	390	390	390	390	0
126	MEILIN_LEE	THREE	390	390	390	390	390	390	390	0
127	MERIDA	THREE	390	390	390	390	390	390	390	0
128	MERLIN	THREE	390	390	390	390	390	390	390	0
129	MICKEY_MOUSE	THREE	390	390	390	390	390	390	390	0
130	MIGUEL	THREE	390	390	390	390	390	390	390	0
131	MIKE	THREE	390	390	390	390	390	390	390	0
132	MILO_THATCH	THREE	390	390	390	390	390	390	390	0
133	MINNIE_MOUSE	THREE	390	390	390	390	390	390	390	0
134	MISS_PIGGY	THREE	390	390	390	390	390	390	390	0
135	MOANA	THREE	390	390	390	390	390	390	390	0
136	MONKEY_FIST	THREE	390	390	390	390	390	390	390	0
137	MOTHER_GOTHEL	THREE	390	390	390	390	390	390	390	0
138	MR_BIG_AND_KOSLOV	THREE	390	390	390	390	390	390	390	0
139	MR_INCREDIBLE	THREE	390	390	390	390	390	390	390	0
140	MULAN	THREE	390	390	390	390	390	390	390	0
141	MUSHU	THREE	390	390	390	390	390	390	390	0
142	NAMAARI	THREE	390	390	390	390	390	390	390	0
143	NEGADUCK	THREE	390	390	390	390	390	390	390	0
144	NICK_WILDE	THREE	390	390	390	390	390	390	390	0
145	OLAF	THREE	390	390	390	390	390	390	390	0
146	OOGIE_BOOGIE	THREE	390	390	390	390	390	390	390	0
147	PACHA	THREE	390	390	390	390	390	390	390	0
148	PEGASUS	THREE	390	390	390	390	390	390	390	0
149	PETE	THREE	390	390	390	390	390	390	390	0
150	PETER_PAN	THREE	390	390	390	390	390	390	390	0
151	PHIL	THREE	390	390	390	390	390	390	390	0
152	PHOEBUS	THREE	390	390	390	390	390	390	390	0
153	PLEAKLEY	THREE	390	390	390	390	390	390	390	0
154	POCAHONTAS	THREE	390	390	390	390	390	390	390	0
155	POWERLINE	THREE	390	390	390	390	390	390	390	0
156	PRINCE_PHILLIP	THREE	390	390	390	390	390	390	390	0
157	PRINCESS_AURORA	THREE	390	390	390	390	390	390	390	0
158	QUACKERJACK	THREE	390	390	390	390	390	390	390	0
159	QUASIMODO	THREE	390	390	390	390	390	390	390	0
160	QUEEN_OF_HEARTS	THREE	390	390	390	390	390	390	390	0
161	QUORRA	THREE	390	390	390	390	390	390	390	0
162	RAFIKI	THREE	390	390	390	390	390	390	390	0
163	RALPH	THREE	390	390	390	390	390	390	390	0
164	RANDALL_BOGGS	THREE	390	390	390	390	390	390	390	0
165	RAPUNZEL	THREE	390	390	390	390	390	390	390	0
166	RAYA	THREE	390	390	390	390	390	390	390	0
167	REX	THREE	390	390	390	390	390	390	390	0
168	ROBIN_HOOD	THREE	390	390	390	390	390	390	390	0
169	ROCKETEER	THREE	390	390	390	390	390	390	390	0
170	RON_STOPPABLE	THREE	390	390	390	390	390	390	390	0
171	ROSE	THREE	390	390	390	390	390	390	390	0
172	RUSSELL_AND_KEVIN	THREE	390	390	390	390	390	390	390	0
173	SADNESS	THREE	390	390	390	390	390	390	390	0
174	SALLY	THREE	390	390	390	390	390	390	390	0
175	SARAH_SANDERSON	THREE	390	390	390	390	390	390	390	0
176	SCAR	THREE	390	390	390	390	390	390	390	0
177	SCROOGE_MCDUCK	THREE	390	390	390	390	390	390	390	0
178	SHAN_YU	THREE	390	390	390	390	390	390	390	0
179	SHANK	THREE	390	390	390	390	390	390	390	0
180	SHEGO	THREE	390	390	390	390	390	390	390	0
181	SHERIFF_OF_NOTTINGHAM	THREE	390	390	390	390	390	390	390	0
182	SIMBA_AND_NALA	THREE	390	390	390	390	390	390	390	0
183	SISU	THREE	390	390	390	390	390	390	390	0
184	SLINKY_DOG	THREE	390	390	390	390	390	390	390	0
185	SNOW_WHITE	THREE	390	390	390	390	390	390	390	0
186	STATLER_AND_WALDORF	THREE	390	390	390	390	390	390	390	0
187	STITCH	THREE	390	390	390	390	390	390	390	0
188	SULLEY	THREE	390	390	390	390	390	390	390	0
189	SWEDISH_CHEF	THREE	390	390	390	390	390	390	390	0
190	SWEETUMS	THREE	390	390	390	390	390	390	390	0
191	SYNDROME	THREE	390	390	390	390	390	390	390	0
192	THE_HORNED_KING	THREE	390	390	390	390	390	390	390	0
193	THE_MAYOR	THREE	390	390	390	390	390	390	390	0
194	THE_UNDERMINER	THREE	390	390	390	390	390	390	390	0
195	TIA_DALMA	THREE	390	390	390	390	390	390	390	0
196	TIANA	THREE	390	390	390	390	390	390	390	0
197	TIGGER	THREE	390	390	390	390	390	390	390	0
198	TIMON_AND_PUMBAA	THREE	390	390	390	390	390	390	390	0
199	TRON	THREE	390	390	390	390	390	390	390	0
200	TWENTY_TWO	THREE	390	390	390	390	390	390	390	0
201	URSULA	THREE	390	390	390	390	390	390	390	0
202	VANELLOPE	THREE	390	390	390	390	390	390	390	0
203	VINNY_SANTORINI	THREE	390	390	390	390	390	390	390	0
204	VIOLET	THREE	390	390	390	390	390	390	390	0
205	VOYD	THREE	390	390	390	390	390	390	390	0
206	WALL_E	THREE	390	390	390	390	390	390	390	0
207	WASABI	THREE	390	390	390	390	390	390	390	0
208	WINIFRED_SANDERSON	THREE	390	390	390	390	390	390	390	0
209	WINNIE_THE_POOH	THREE	390	390	390	390	390	390	390	0
210	WOODY	THREE	390	390	390	390	390	390	390	0
211	YAX	THREE	390	390	390	390	390	390	390	0
212	YZMA	THREE	390	390	390	390	390	390	390	0
213	ZEUS	THREE	390	390	390	390	390	390	390	0
214	SHERE_KHAN	THREE	390	390	390	390	390	390	390	0
215	LUZ_NOCEDA	THREE	390	390	390	390	390	390	390	0
216	DR_DOOFENSHMIRTZ	THREE	390	390	390	390	390	390	390	0
217	MAX_GOOF	THREE	390	390	390	390	390	390	390	0
218	MCLEACH	THREE	390	390	390	390	390	390	390	0
219	CRUELLA	THREE	390	390	390	390	390	390	390	0
220	MIRABEL_MADRIGAL	THREE	390	390	390	390	390	390	390	0
221	HEIMLICH	THREE	390	390	390	390	390	390	390	0
222	BRUNO_MADRIGAL	THREE	390	390	390	390	390	390	390	0
223	ISABELA_MADRIGAL	THREE	390	390	390	390	390	390	390	0
224	LADY_AND_TRAMP	THREE	390	390	390	390	390	390	390	0
225	FRANNY_ROBINSON	THREE	390	390	390	390	390	390	390	0
226	CHICKEN_LITTLE	THREE	390	390	390	390	390	390	390	0
227	MAMA_ODIE	THREE	390	390	390	390	390	390	390	0
228	RATIGAN	THREE	390	390	390	390	390	390	390	0
229	JOE_GARDNER	THREE	390	390	390	390	390	390	390	0
230	ELIZABETH_SWANN	THREE	390	390	390	390	390	390	390	0
231	MUFASA	THREE	390	390	390	390	390	390	390	0
232	PENNY_PROUD	THREE	390	390	390	390	390	390	390	0
233	FERB	THREE	390	390	390	390	390	390	390	0
234	LUISA_MADRIGAL	THREE	390	390	390	390	390	390	390	0
235	EMBER_LUMEN	THREE	390	390	390	390	390	390	390	0
236	ANNE_BOONCHUY	THREE	390	390	390	390	390	390	390	0
237	CHERNABOG	THREE	390	390	390	390	390	390	390	0
238	HUNTSMAN	THREE	390	390	390	390	390	390	390	0
239	WADE_RIPPLE	THREE	390	390	390	390	390	390	390	0
240	SUGA_MAMA	THREE	390	390	390	390	390	390	390	0
241	ANXIETY	THREE	390	390	390	390	390	390	390	0
242	REPTILLUS_MAXIMUS	THREE	390	390	390	390	390	390	390	0
243	THOMAS_O_MALLEY	THREE	390	390	390	390	390	390	390	0
244	ISABELLA_SHAPIRO	THREE	390	390	390	390	390	390	390	0
245	LILITH_CLAWTHORNE	THREE	390	390	390	390	390	390	390	0
246	LADY_TREMAINE	THREE	390	390	390	390	390	390	390	0
247	EDNA_MODE	THREE	390	390	390	390	390	390	390	0
248	GANTU	THREE	390	390	390	390	390	390	390	0
249	CANDACE_FLYNN	THREE	390	390	390	390	390	390	390	0
250	DR_CALICO	THREE	390	390	390	390	390	390	390	0
251	PHINEAS	THREE	390	390	390	390	390	390	390	0
252	CARL_THE_ROBOT	THREE	390	390	390	390	390	390	390	0
253	YEN_SID	THREE	390	390	390	390	390	390	390	0
254	DUCHESS	THREE	390	390	390	390	390	390	390	0
255	REUBEN	THREE	390	390	390	390	390	390	390	0
256	ENVY	THREE	390	390	390	390	390	390	390	0
257	HECTOR_RIVERA	THREE	390	390	390	390	390	390	390	0
258	SIMEA	THREE	390	390	390	390	390	390	390	0
259	GISELLE	THREE	390	390	390	390	390	390	390	0
260	EMBARRASSMENT	THREE	390	390	390	390	390	390	390	0
261	SCAT_CAT	THREE	390	390	390	390	390	390	390	0
262	ABBY_MALLARD	THREE	390	390	390	390	390	390	390	0
263	HEADLESS_HORSEMAN	THREE	390	390	390	390	390	390	390	0
264	ENNUI	THREE	390	390	390	390	390	390	390	0
265	AMITY_BLIGHT	THREE	390	390	390	390	390	390	390	0
266	MARIE	THREE	390	390	390	390	390	390	390	0
267	ERNESTO_DE_LA_CRUZ	THREE	390	390	390	390	390	390	390	0
268	GAZELLE	THREE	390	390	390	390	390	390	390	0
269	PIGLET	THREE	390	390	390	390	390	390	390	0
270	LIGHTNING_MCQUEEN	THREE	390	390	390	390	390	390	390	0
271	BAMBI	THREE	390	390	390	390	390	390	390	0
272	DARWIN	THREE	390	390	390	390	390	390	390	0
273	PINOCCHIO	THREE	390	390	390	390	390	390	390	0
274	KING_CANDY	THREE	390	390	390	390	390	390	390	0
275	PONGO	THREE	390	390	390	390	390	390	390	0
276	HANS	THREE	390	390	390	390	390	390	390	0
277	LOTSO	THREE	390	390	390	390	390	390	390	0
278	YOKAI	THREE	390	390	390	390	390	390	390	0
279	MATER	THREE	390	390	390	390	390	390	390	0
280	MOLLY_MCGEE	THREE	390	390	390	390	390	390	390	0
281	CAPTAIN_GRIME	THREE	390	390	390	390	390	390	390	0
282	DUMBO	THREE	390	390	390	390	390	390	390	0
283	BENJAMIN_FRANKLIN_GATES	THREE	390	390	390	390	390	390	390	0
284	SCUTTLE	THREE	390	390	390	390	390	390	390	0
285	MOWGLI	THREE	390	390	390	390	390	390	390	0
