	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	GOLD_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT	ONE_TIME_REWARD
4-16	35	3	GREEN_1	16		1	HACKER_ENCLAVE_14	SOULLESS_BRUTE,SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_MAGE_F	DASH,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_BRUTE,SOULLESS_CANNON,SOULLESS_MAGE_N,NICK_WILDE,[boss]YAX			
4-19	36	3	GREEN_1	16		1	HACKER_ENCLAVE_17	SOULLESS_SWORD_N,SOULLESS_SWORD_N,SOULLESS_CANNON,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_BRUTE,SOULLESS_MAGE_N	CHIEF_BOGO,VANELLOPE,SOULLESS_CANNON,SOULLESS_MAGE_F,SOULLESS_CANNON,[boss]NICK_WILDE			1 GOLD_CHEST_ROLL_X1
5-1	37	3	GREEN_1	16		1	SUBWAY_5	RALPH,SOULLESS_SPLASH_N,SOULLESS_SPLASH_N,DASH	SOULLESS_SWORD_F,SOULLESS_CANNON,SOULLESS_MAGE_N,MAX_GOOF	MR_INCREDIBLE,SOULLESS_MAGE_F,JACK_JACK,VANELLOPE,FINNICK,[boss]ELASTIGIRL			
5-4	38	3	BLUE	16		1	CITY_ROOFTOPS_12	SOULLESS_SWORD_N,SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,NICK_WILDE,SOULLESS_SPLASH_N,SOULLESS_MAGE_F,SOULLESS_CANNON	SOULLESS_BRUTE,SOULLESS_SPLASH_N,VANELLOPE,DASH,SOULLESS_SPLASH_N,[boss]FROZONE			
5-7	39	3	BLUE	16		1	CITY_ROOFTOPS_15	SOULLESS_SWORD_N,VANELLOPE,MAX_GOOF	RALPH,ELASTIGIRL,SOULLESS_CANNON,SOULLESS_SPLASH_N	CHIEF_BOGO,MR_INCREDIBLE,SOULLESS_SPLASH_N,YAX,[boss]FELIX			
5-10	40	3	BLUE	16		1	CITY_ROOFTOPS_13	NICK_WILDE,DASH,FINNICK,SOULLESS_SWORD_F	MR_INCREDIBLE,VANELLOPE,SOULLESS_CANNON,MAX_GOOF	RALPH,CHIEF_BOGO,ELASTIGIRL,JACK_JACK,[boss]YAX			1 GOLD_CHEST_ROLL_X1
5-13	41	3	BLUE	16		1	CITY_ROOFTOPS_6	SOULLESS_BRUTE,SOULLESS_BRUTE,FINNICK	CHIEF_BOGO,SOULLESS_CANNON,SOULLESS_MAGE_N,SOULLESS_MAGE_F	[boss]FELIX,RALPH,DASH,JUDY_HOPPS,SOULLESS_CANNON,SOULLESS_CANNON			
5-16	42	3	BLUE	16		1	CITY_ROOFTOPS_4	SOULLESS_SWORD_F,DASH,SOULLESS_SPLASH_F	SOULLESS_BRUTE,SOULLESS_SPLASH_F,FINNICK,NICK_WILDE,JUDY_HOPPS	MR_INCREDIBLE,SOULLESS_SPLASH_F,JACK_JACK,[boss]VANELLOPE,YAX			
5-19	43	3	BLUE	16		1	SUBWAY_3	SOULLESS_BRUTE,SOULLESS_SPLASH_F,JUDY_HOPPS	SOULLESS_SWORD_N,SOULLESS_BRUTE,CHIEF_BOGO,SOULLESS_CANNON,SOULLESS_MAGE_F	RALPH,SOULLESS_SPLASH_F,VANELLOPE,MAX_GOOF,FROZONE,[boss]FELIX			1 GOLD_CHEST_ROLL_X1
6-1	44	3	BLUE	16		1	PORT_1	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_SPLASH_N	SOULLESS_BRUTE,SOULLESS_CANNON,SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_CANNON	CHIEF_BOGO,FELIX,NICK_WILDE,FROZONE,SOULLESS_TURRET,[boss]DASH			
6-4	45	3	BLUE_1	16		1	PORT_3	SOULLESS_BRUTE,DASH,ELASTIGIRL,FINNICK	SOULLESS_SWORD_F,VANELLOPE,SOULLESS_MAGE_F,SOULLESS_MAGE_F	MR_INCREDIBLE,FELIX,JACK_JACK,SOULLESS_SPLASH_N,FROZONE,[boss]CHIEF_BOGO			
6-7	46	3	BLUE_1	16		1	PORT_7	SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_BRUTE,VANELLOPE,SOULLESS_SPLASH_F,SOULLESS_CANNON,SOULLESS_SPLASH_F	FELIX,CALHOUN,SOULLESS_SPLASH_N,SOULLESS_SPLASH_F,MAX_GOOF,[boss]RALPH			
6-10	47	3	BLUE_1	16		1	PORT_10	SOULLESS_BRUTE,VANELLOPE,SOULLESS_TURRET	CHIEF_BOGO,SOULLESS_MAGE_N,NICK_WILDE,SOULLESS_MAGE_N	FELIX,RALPH,SOULLESS_SPLASH_N,[boss]FINNICK,MAX_GOOF			1 GOLD_CHEST_ROLL_X1
6-13	48	4	BLUE_1	16		1	PORT_13	SOULLESS_SWORD_F,FELIX,SOULLESS_SPLASH_F	SOULLESS_BRUTE,SOULLESS_SWORD_N,SOULLESS_SPLASH_F,ELASTIGIRL	MR_INCREDIBLE,RALPH,VANELLOPE,FROZONE,MAX_GOOF,[boss]CHIEF_BOGO			
6-16	49	4	BLUE_1	16		1	PORT_4	SOULLESS_SWORD_N,SOULLESS_SWORD_F,SOULLESS_SPLASH_F,SOULLESS_SWORD_F	SOULLESS_BRUTE,VANELLOPE,JACK_JACK,SOULLESS_MAGE_N,SOULLESS_MAGE_N	FELIX,RALPH,SOULLESS_SPLASH_F,FINNICK,FROZONE,[boss]MR_INCREDIBLE			
6-19	50	4	BLUE_1	16		1	SUBWAY_3	SOULLESS_BRUTE,SOULLESS_SPLASH_F,SOULLESS_TURRET,SOULLESS_TURRET	RALPH,VANELLOPE,SOULLESS_SPLASH_F,SOULLESS_SWORD_N,SOULLESS_SPLASH_F	MR_INCREDIBLE,CALHOUN,ELASTIGIRL,SOULLESS_SPLASH_F,YAX,[boss]CHIEF_BOGO			1 GOLD_CHEST_ROLL_X1
7-1	51	4	BLUE_2	22		1	UPTOWN_SUBWAY_1	SOULLESS_SWORD_F,SOULLESS_SWORD_F,VANELLOPE	FELIX,CHIEF_BOGO,SOULLESS_MAGE_F,SOULLESS_MAGE_N,SOULLESS_SPLASH_N	[boss]SOULLESS_SKELETON,CALHOUN,SOULLESS_MAGE_N,SOULLESS_SPLASH_F,SOULLESS_SWORD_N			
7-4	52	4	BLUE_2	22		1	CITY_CENTER_3	RALPH,FELIX,SOULLESS_TURRET,SOULLESS_MAGE_F	SOULLESS_SWORD_F,SOULLESS_MAGE_F,NICK_WILDE,SOULLESS_CANNON,ELASTIGIRL	[boss]SOULLESS_SWORD_F,SOULLESS_SPLASH_N,SOULLESS_MAGE_N,SOULLESS_MAGE_F,SOULLESS_TURRET,FROZONE			
7-7	54	4	BLUE_2	22		1	CITY_CENTER_6	SOULLESS_SWORD_F,SOULLESS_CANNON,JACK_JACK	MR_INCREDIBLE,SOULLESS_SKELETON,BUZZ,SOULLESS_SPLASH_N,FINNICK	[boss]CHIEF_BOGO,SOULLESS_CANNON,VANELLOPE,ELASTIGIRL,SOULLESS_TURRET,YAX			
7-10	55	4	BLUE_2	22		1	CITY_CENTER_9	SOULLESS_SKELETON,SOULLESS_SWORD_F,SOULLESS_MAGE_F,SOULLESS_MAGE_F	MR_INCREDIBLE,FELIX,DASH,SOULLESS_CANNON,ELASTIGIRL	[boss]SOULLESS_SKELETON,SOULLESS_CANNON,JACK_JACK,WOODY,JUDY_HOPPS			1 GOLD_CHEST_ROLL_X1
7-13	57	5	BLUE_2	22		1	CITY_CENTER_12	FELIX,SOULLESS_SPLASH_F,YAX,FINNICK	SOULLESS_SWORD_F,SOULLESS_SWORD_F,SOULLESS_CANNON,CALHOUN,BUZZ	[boss]SOULLESS_SKELETON,SOULLESS_SWORD_F,VANELLOPE,SOULLESS_CANNON,ELASTIGIRL			
7-16	58	5	BLUE_2	22		1	CITY_CENTER_12	FELIX,BUZZ,MAX_GOOF,SOULLESS_MAGE_F	MR_INCREDIBLE,SOULLESS_SPLASH_F,JACK_JACK,FINNICK	[boss]CHIEF_BOGO,SOULLESS_TURRET,CALHOUN,VANELLOPE,ELASTIGIRL,SOULLESS_SWORD_F			
7-19	60	5	BLUE_2	22		1	CITY_CENTER_6	RALPH,SOULLESS_MAGE_N,WOODY	CHIEF_BOGO,SOULLESS_SWORD_N,SOULLESS_MAGE_F,FROZONE	[boss]FELIX,CALHOUN,JACK_JACK,SOULLESS_TURRET,VANELLOPE			1 GOLD_CHEST_ROLL_X1
8-1	61	5	PURPLE	22		1	UPTOWN_SUBWAY_2	SOULLESS_GHOUL_F,SOULLESS_SWORD_N,NICK_WILDE	SOULLESS_GHOUL_N,SOULLESS_GHOUL_F,SOULLESS_SPLASH_N,SOULLESS_SWORD_N	[boss]SOULLESS_GHOUL_F,CALHOUN,SOULLESS_MAGE_F,VANELLOPE,DASH,YAX			
8-4	62	5	PURPLE	22		1	THEATRE_DISTRICT_3	MR_INCREDIBLE,SOULLESS_SWORD_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N	SOULLESS_GHOUL_N,SOULLESS_TURRET,SOULLESS_MAGE_N,CALHOUN,SOULLESS_MAGE_F	[boss]RALPH,SOULLESS_GHOUL_N,REX,SOULLESS_TURRET,VANELLOPE,SOULLESS_MAGE_F			
8-7	63	5	PURPLE	22		1	THEATRE_DISTRICT_6	RALPH,SOULLESS_SPLASH_F,JACK_JACK,FROZONE	SOULLESS_GHOUL_F,VANELLOPE,SOULLESS_SPLASH_N,YAX	[boss]SOULLESS_GHOUL_N,REX,DASH,ELASTIGIRL,NICK_WILDE,MAX_GOOF			
8-10	64	5	PURPLE	22		1	THEATRE_DISTRICT_9	SOULLESS_GHOUL_N,SOULLESS_SWORD_F,BUZZ	CHIEF_BOGO,SOULLESS_SPLASH_F,SOULLESS_MAGE_N,MAX_GOOF	[boss]SOULLESS_GHOUL_N,SOULLESS_GHOUL_F,CALHOUN,DASH,ELASTIGIRL			
8-13	65	5	PURPLE	22		1	THEATRE_DISTRICT_6	SOULLESS_GHOUL_N,SOULLESS_GHOUL_F,SOULLESS_SPLASH_N,SOULLESS_SPLASH_F	REX,RALPH,SOULLESS_SPLASH_F,CALHOUN,SOULLESS_SPLASH_N	[boss]MR_INCREDIBLE,DASH,NICK_WILDE,SOULLESS_SPLASH_F,JACK_JACK,FROZONE			
8-16	66	5	PURPLE	22		1	FASHION_DISTRICT_13	SOULLESS_GHOUL_N,DASH,SOULLESS_TURRET,NICK_WILDE	FELIX,BUZZ,SOULLESS_CANNON,SOULLESS_SWORD_N,YAX	[boss]SOULLESS_GHOUL_N,SOULLESS_MAGE_F,SOULLESS_MAGE_N,VANELLOPE,SOULLESS_TURRET,SOULLESS_SPLASH_N			
8-19	67	5	PURPLE	22		1	UPTOWN_SUBWAY_5	SOULLESS_SWORD_F,DASH,SOULLESS_MAGE_N,SOULLESS_CANNON	RALPH,SOULLESS_GHOUL_N,SOULLESS_MAGE_F,SOULLESS_SPLASH_N,FINNICK	[boss]SOULLESS_GHOUL_N,ELASTIGIRL,SOULLESS_SPLASH_N,NICK_WILDE,VANELLOPE			
9-1	67	5	PURPLE_1	27		1	SUBWAY_1	REX,CHIEF_BOGO,SOULLESS_BUG_F,SOULLESS_SPLASH_N	SOULLESS_SWORD_N,BUZZ,JACK_JACK,MAX_GOOF	[boss]FELIX,MR_INCREDIBLE,VANELLOPE,CALHOUN,SOULLESS_TURRET,YAX			
9-4	68	5	PURPLE_1	27		1	COVERED_MARKET_5	SULLEY,SOULLESS_SWORD_N,MIKE	SOULLESS_SWORD_F,SOULLESS_GHOUL_N,SOULLESS_MAGE_N,SOULLESS_MAGE_N,YAX	[boss]SOULLESS_BRUTE,NICK_WILDE,BUZZ,JACK_JACK,ELASTIGIRL,SOULLESS_MAGE_F			
9-7	68	5	PURPLE_1	27		1	COVERED_MARKET_11	SOULLESS_GHOUL_F,BUZZ,SOULLESS_BUG_F,JACK_JACK	SOULLESS_BRUTE,MR_INCREDIBLE,SOULLESS_CANNON,SOULLESS_MAGE_N,SOULLESS_SWORD_F	[boss]FELIX,NICK_WILDE,MIKE,DASH,EVE,FINNICK			
9-10	69	5	PURPLE_1	27		1	COVERED_MARKET_17	SOULLESS_GHOUL_F,SOULLESS_BRUTE,SOULLESS_SPLASH_F,SOULLESS_SPLASH_N	SOULLESS_SWORD_N,SOULLESS_BUG_N,FROZONE,SOULLESS_MAGE_F	[boss]SULLEY,SOULLESS_BRUTE,EVE,SOULLESS_SPLASH_F,CALHOUN,FINNICK			
9-13	69	5	PURPLE_1	27		1	SUBWAY_1	SOULLESS_BUG_F,SOULLESS_BRUTE,ELASTIGIRL,WOODY	SOULLESS_BRUTE,MR_INCREDIBLE,SOULLESS_TURRET,SOULLESS_MAGE_F,SOULLESS_BUG_F	[boss]SOULLESS_BUG_F,CHIEF_BOGO,SOULLESS_SPLASH_N,NICK_WILDE,FINNICK,SOULLESS_SWORD_N			
9-16	70	5	PURPLE_1	27		1	SUBWAY_5	RALPH,REX,SOULLESS_SWORD_F	SOULLESS_BUG_N,SOULLESS_GHOUL_N,SOULLESS_CANNON,WOODY,SOULLESS_SWORD_N	[boss]SOULLESS_SWORD_F,MR_INCREDIBLE,SULLEY,NICK_WILDE,EVE,FINNICK			
9-19	70	5	PURPLE_1	27		1	SUBWAY_1	SOULLESS_BRUTE,SOULLESS_BUG_N,SOULLESS_BUG_N,WOODY	REX,SOULLESS_GHOUL_N,SOULLESS_SWORD_N,VANELLOPE,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,SOULLESS_BUG_F,SOULLESS_MAGE_F,SOULLESS_BUG_N,JESSIE			
10-1	71	5	PURPLE_2	27		1	UPTOWN_SUBWAY_4	SOULLESS_SWORD_F,SOULLESS_MAGE_N,MIKE,FINNICK	SOULLESS_GHOUL_N,SOULLESS_MAGE_N,MAX_GOOF	[boss]SULLEY,FELIX,RALPH,JACK_SPARROW,VANELLOPE			
10-4	72	5	PURPLE_2	27		1	PARK_MIDWAY_3	REX,SOULLESS_CANNON,SOULLESS_SWORD_N	SULLEY,SOULLESS_SKELETON,MIKE,FINNICK	[boss]CHIEF_BOGO,MR_INCREDIBLE,DASH,NICK_WILDE,SOULLESS_MAGE_F			
10-7	73	5	PURPLE_2	27		1	PARK_MIDWAY_6	SOULLESS_SWORD_F,JACK_JACK	MR_INCREDIBLE,SOULLESS_MAGE_F,SOULLESS_MAGE_F,WOODY	[boss]FELIX,MIKE,ELASTIGIRL,EVE,DASH			
10-10	74	5	PURPLE_2	27		1	PARK_MIDWAY_9	SOULLESS_BRUTE,WOODY,SOULLESS_MAGE_F	REX,SOULLESS_CANNON,SOULLESS_SPLASH_N,FINNICK	[boss]SULLEY,FELIX,JACK_SPARROW,VANELLOPE,JUDY_HOPPS			
10-13	74	5	PURPLE_2	27		1	PARK_MIDWAY_6	SOULLESS_SKELETON,VANELLOPE,SOULLESS_MAGE_N	SOULLESS_SWORD_F,SOULLESS_SWORD_N,SOULLESS_MAGE_F,SOULLESS_SPLASH_F	[boss]CHIEF_BOGO,MR_INCREDIBLE,JACK_SPARROW,ELASTIGIRL,JESSIE,SOULLESS_MAGE_F			
10-16	75	5	PURPLE_2	27		1	PARK_MIDWAY_13	SOULLESS_SKELETON,SOULLESS_SKELETON,JACK_SPARROW	SOULLESS_SKELETON,SOULLESS_CANNON,ELASTIGIRL,SOULLESS_SPLASH_N,SOULLESS_SPLASH_N	[boss]RALPH,SOULLESS_SKELETON,JACK_JACK,BUZZ,KEVIN_FLYNN,SOULLESS_MAGE_F			
10-19	75	5	PURPLE_2	28		1	PARK_MIDWAY_14	MR_INCREDIBLE,JACK_SPARROW,SOULLESS_SWORD_F,YAX	SOULLESS_GHOUL_F,SOULLESS_TURRET,SOULLESS_TURRET,SOULLESS_MAGE_N,ELASTIGIRL	[boss]REX,VANELLOPE,CALHOUN,JESSIE			
11-1	76	5	PURPLE_3	33		1	HACKER_ENCLAVE_1	SOULLESS_SWORD_N,SOULLESS_CANNON,WOODY	MR_INCREDIBLE,MIKE,VANELLOPE,SOULLESS_MAGE_N	[boss]SOULLESS_BRUTE,DASH,SOULLESS_CANNON,CALHOUN,SOULLESS_MAGE_F			
11-4	77	5	PURPLE_3	33		1	HACKER_ENCLAVE_4	SOULLESS_BRUTE,SOULLESS_MAGE_N,SOULLESS_TURRET,SOULLESS_MAGE_N	FELIX,SOULLESS_BUG_N,ELASTIGIRL,MAX_GOOF	[boss]REX,SOULLESS_MAGE_N,SOULLESS_BUG_N,JUDY_HOPPS,SOULLESS_SWORD_N,CAT_BURGLAR			
11-7	78	5	PURPLE_3	33		1	HACKER_ENCLAVE_7	SOULLESS_SWORD_F,ELASTIGIRL	SOULLESS_SKELETON,DASH,SOULLESS_CANNON,BUZZ,CAT_BURGLAR	[boss]FELIX,SOULLESS_GHOUL_N,REX,SOULLESS_CANNON,YAX			
11-10	79	5	PURPLE_3	33		1	HACKER_ENCLAVE_10	SOULLESS_GHOUL_F,SOULLESS_BUG_N,SOULLESS_BUG_F	SOULLESS_BRUTE,ELASTIGIRL,KEVIN_FLYNN,YAX	[boss]RALPH,FELIX,SOULLESS_SKELETON,CAT_BURGLAR,SOULLESS_CANNON,MAX_GOOF			
11-13	79	5	PURPLE_3	33		1	HACKER_ENCLAVE_13	SOULLESS_GHOUL_F,MR_INCREDIBLE,SOULLESS_MAGE_N	SOULLESS_SKELETON,SOULLESS_SPLASH_F,MIKE,CAT_BURGLAR,MAX_GOOF	[boss]FELIX,SULLEY,VANELLOPE,SOULLESS_CANNON,SOULLESS_MAGE_F,TIA_DALMA			
11-16	80	5	PURPLE_3	33		1	HACKER_ENCLAVE_16	SOULLESS_SWORD_F,NICK_WILDE,CAT_BURGLAR,SOULLESS_SWORD_N	SOULLESS_GHOUL_F,SOULLESS_BUG_F,SOULLESS_SPLASH_N,SOULLESS_MAGE_F,SOULLESS_SWORD_F	[boss]MR_INCREDIBLE,SOULLESS_SPLASH_F,SOULLESS_MAGE_N,TIA_DALMA,ELASTIGIRL			
11-19	80	5	PURPLE_3	33		1	HACKER_ENCLAVE_15	CHIEF_BOGO,TIA_DALMA,CAT_BURGLAR,MIKE	SOULLESS_BRUTE,SOULLESS_SKELETON,SOULLESS_MAGE_N,EVE,JACK_SPARROW	[boss]FELIX,JACK_JACK,SOULLESS_BUG_N,SOULLESS_MAGE_F,FINNICK,FROZONE			
12-1	81	5	PURPLE_4	33		1	HACKER_ENCLAVE_NEW_1	CHIEF_BOGO,SOULLESS_SPLASH_F,EMPEROR_ZURG,MAX_GOOF	MR_INCREDIBLE,VANELLOPE,SOULLESS_SPLASH_F,CALHOUN,SOULLESS_SPLASH_F	[boss]SULLEY,MERIDA,JACK_JACK,JACK_SPARROW,SOULLESS_SPLASH_F,SOULLESS_MAGE_F			
