	04/21/2026 11:45:00	03/17/2026 11:45:00	02/17/2026 11:45:00	01/20/2026 11:45:00	12/17/2025 11:45:00	12/16/2025 11:45:00	11/18/2025 11:45:00	10/21/2025 11:45:00	09/23/2025 11:45:00	09/09/2025 11:45:00	08/19/2025 11:45:00	07/22/2025 11:45:00	07/01/2025 11:45:00	06/24/2025 11:45:00	05/27/2025 11:45:00	04/29/2025 11:45:00	04/01/2025 11:45:00	03/04/2025 11:45:00	02/04/2025 11:45:00	01/07/2025 11:45:00	12/10/2024 11:45:00	11/25/2024 11:45:00	11/12/2024 11:45:00	10/15/2024 11:45:00	09/03/2024 11:45:00	08/06/2024 11:45:00	07/09/2024 11:45:00	06/11/2024 11:45:00	05/14/2024 11:45:00	04/16/2024 11:45:00	03/19/2024 11:45:00	02/20/2024 11:45:00	12/26/2023 11:45:00	11/28/2023 11:45:00	10/30/2023 11:45:00	10/02/2023 11:45:00	09/05/2023 11:45:00	08/08/2023 11:45:00	07/11/2023 11:45:00	06/20/2023 11:45:00	05/16/2023 11:45:00	04/18/2023 11:45:00	03/09/2023 11:30:00	02/21/2023 11:30:00	01/24/2023 11:30:00	12/16/2022 11:30:00	11/15/2022 00:00:00
TRIAL$1_FRANCHISE_2																																															
TRIAL$1_FRANCHISE_3																																															
TRIAL$1_FRANCHISE_4																																															
TRIAL$2_ACTIVE_DAYS	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY	WEDNESDAY,SATURDAY,SUNDAY
TRIAL$2_FRANCHISE_0	THE_LITTLE_MERMAID	THE_GREAT_MOUSE_DETECTIVE	WINNIE_THE_POOH	FINDING_NEMO	INSIDE_OUT	INSIDE_OUT	HERCULES	THE_NIGHTMARE_BEFORE_CHRISTMAS	CHICKEN_LITTLE	MOANA	MOANA	ALADDIN	DARKWING_DUCK	DARKWING_DUCK	MICKEY_AND_FRIENDS	DUCKTALES	BIG_HERO_SIX	ELEMENTAL	WILDCARD	CHIP_AND_DALE_RESCUE_RANGERS	THE_OWL_HOUSE	THE_PRINCESS_AND_THE_FROG	THE_PRINCESS_AND_THE_FROG	MUPPETS	ENCANTO	WILDCARD	WILDCARD	GARGOYLES	THE_OWL_HOUSE	HOCUS_POCUS	COCO	A_BUGS_LIFE	HERCULES	DUCKTALES	A_BUGS_LIFE	PIRATES_OF_THE_CARIBBEAN	THE_EMPERORS_NEW_GROOVE	TOY_STORY	THE_LITTLE_MERMAID	WRECK_IT_RALPH	WRECK_IT_RALPH	PETER_PAN	RAYA_AND_THE_LAST_DRAGON	THE_SWORD_IN_THE_STONE	THE_HUNCHBACK_OF_NOTRE_DAME	CINDERELLA	ZOOTOPIA
TRIAL$2_FRANCHISE_1	MOANA	CHIP_AND_DALE_RESCUE_RANGERS	ONWARD	THE_LITTLE_MERMAID					THE_EMPERORS_NEW_GROOVE	COCO	COCO							SNOW_WHITE_AND_THE_SEVEN_DWARFS		PHINEAS_AND_FERB	AMERICAN_DRAGON_JAKE_LONG	HOCUS_POCUS	HOCUS_POCUS		A_BUGS_LIFE			THE_HUNCHBACK_OF_NOTRE_DAME	HOCUS_POCUS	THE_OWL_HOUSE	PIRATES_OF_THE_CARIBBEAN	MONSTERS_INC	THE_OWL_HOUSE		THE_JUNGLE_BOOK	COCO	TANGLED	UP		CHIP_AND_DALE_RESCUE_RANGERS			WALLE				
TRIAL$2_FRANCHISE_2		AMPHIBIA																THE_PROUD_FAMILY			SOUL																										
TRIAL$2_FRANCHISE_3																																															
TRIAL$2_FRANCHISE_4																																															
PATCHABLE_FRANCHISE$0	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN	ALADDIN
PATCHABLE_FRANCHISE$1	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX	BIG_HERO_SIX
PATCHABLE_FRANCHISE$2	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA	ZOOTOPIA
PATCHABLE_FRANCHISE$3	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	DUCKTALES	
PATCHABLE_FRANCHISE$4	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	FROZEN	
PATCHABLE_FRANCHISE$5	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	SLEEPING_BEAUTY	
PATCHABLE_FRANCHISE$6	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	CINDERELLA	
PATCHABLE_FRANCHISE$7	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH	LILO_AND_STITCH		
PATCHABLE_FRANCHISE$8	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD	ROBIN_HOOD		
PATCHABLE_FRANCHISE$9	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME	THE_HUNCHBACK_OF_NOTRE_DAME		
PATCHABLE_FRANCHISE$10	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT	INSIDE_OUT			
PATCHABLE_FRANCHISE$11	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY	TRON_LEGACY			
PATCHABLE_FRANCHISE$12	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES	GARGOYLES			
