	UPGRADE_COST	CONTENT_GL	CONTENT_TL	VALUE
GDC_STAMINA_B:16	74,100,000	3	475	1,950,000
GDC_STAMINA_B:17	81,500,000	3	480	2,150,000
GDC_STAMINA_B:18	89,700,000	3	485	2,370,000
GDC_STAMINA_B:19	98,700,000	3	490	2,610,000
GDC_STAMINA_B:20	108,600,000	3	495	2,870,000
GDC_STAMINA_B:21	119,500,000	3	500	3,160,000
GDC_STAMINA_B:22	131,500,000	3	505	3,480,000
GDC_STAMINA_B:23	144,700,000	3	510	3,830,000
GDC_STAMINA_B:24	159,200,000	3	515	4,210,000
GDC_STAMINA_B:25	175,100,000	3	520	4,630,000
GDC_STAMINA_B:26	192,600,000	3	525	5,090,000
GDC_STAMINA_B:27	211,900,000	3	530	5,600,000
GDC_STAMINA_B:28	233,100,000	3	535	6,160,000
GDC_STAMINA_B:29	256,400,000	3	540	6,780,000
GDC_STAMINA_B:30	282,000,000	3	545	7,460,000
GDC_STAMINA_B:31	310,200,000	3	550	8,210,000
GDC_STAMINA_B:32	341,200,000	3	555	9,030,000
GDC_STAMINA_B:33	375,300,000	3	560	9,930,000
GDC_STAMINA_B:34	412,800,000	3	565	10,920,000
GDC_STAMINA_B:35	454,100,000	3	570	12,010,000
GDC_STAMINA_B:36	499,500,000	3	575	13,210,000
GDC_STAMINA_B:37	549,500,000	3	580	14,530,000
GDC_STAMINA_B:38	604,500,000	3	585	15,980,000
GDC_STAMINA_B:39	665,000,000	3	590	17,580,000
GDC_STAMINA_B:40	731,500,000	3	595	19,340,000
GDC_STAMINA_B:41	804,700,000	3	600	21,270,000
GDC_STAMINA_B:42	885,200,000	3	605	23,400,000
GDC_STAMINA_B:43	973,700,000	3	610	25,740,000
GDC_STAMINA_B:44	1,071,100,000	3	615	28,310,000
GDC_STAMINA_B:45	1,178,200,000	3	620	31,140,000
GDC_STAMINA_B:46	1,296,000,000	3	625	34,250,000
GDC_DIAMONDS_A:1	400,000	0	1	10
GDC_DIAMONDS_A:2	700,000	3	1	20
GDC_DIAMONDS_A:3	1,000,000	3	1	30
GDC_DIAMONDS_B:1	300,000	0	1	20
GDC_DIAMONDS_B:2	600,000	0	1	40
GDC_DIAMONDS_B:3	900,000	3	1	60
CRYPT_DIFFICULTY_A:1	35,000	0	1	2
CRYPT_DIFFICULTY_B:1	50,000	0	1	3
CRYPT_DIFFICULTY_C:1	200,000	0	1	4
CRYPT_DIFFICULTY_D:1	500,000	0	1	5
CRYPT_DIFFICULTY_E:1	800,000	3	1	6
CRYPT_DIFFICULTY_F:1	1,000,000	5	1	7
CRYPT_ATTACK_BONUS:1	400,000	0	1	5
CRYPT_ATTACK_BONUS:2	500,000	0	1	10
CRYPT_ATTACK_BONUS:3	700,000	3	1	15
CRYPT_ATTACK_BONUS:4	900,000	3	1	20
CRYPT_ATTACK_BONUS:5	1,000,000	3	1	25
CRYPT_SKILL_POWER_BONUS:1	200,000	0	1	5
CRYPT_SKILL_POWER_BONUS:2	450,000	0	1	10
CRYPT_SKILL_POWER_BONUS:3	650,000	3	1	15
CRYPT_SKILL_POWER_BONUS:4	850,000	3	1	20
CRYPT_SKILL_POWER_BONUS:5	1,100,000	5	1	25
CRYPT_MAX_HP_BONUS:1	75,000	0	1	5
CRYPT_MAX_HP_BONUS:2	150,000	0	1	10
CRYPT_MAX_HP_BONUS:3	300,000	0	1	15
CRYPT_MAX_HP_BONUS:4	800,000	3	1	20
CRYPT_MAX_HP_BONUS:5	1,000,000	5	1	25
CRYPT_MAX_RAIDS_BONUS:1	200,000	0	1	1
CRYPT_MAX_RAIDS_BONUS:2	400,000	0	1	2
CRYPT_MAX_RAIDS_BONUS:3	600,000	0	1	3
CRYPT_MAX_RAIDS_BONUS:4	800,000	3	1	4
CRYPT_MAX_RAIDS_BONUS:5	1,000,000	3	1	5
GL2:1	40,000	0	1	2
GL2_SOCIAL_BUCKS_STORAGE:1	75,000	0	1	2,000
GL2_SOCIAL_BUCKS_STORAGE:2	100,000	0	1	4,000
GL2_SOCIAL_BUCKS_STORAGE:3	200,000	0	1	6,000
GL2_SOCIAL_BUCKS_STORAGE:4	500,000	0	1	8,000
GL2_FRIEND_STAMINA_STORAGE:1	85,000	0	1	10
GL2_FRIEND_STAMINA_STORAGE:2	120,000	0	1	20
GL2_FRIEND_STAMINA_STORAGE:3	240,000	0	1	30
GL2_FRIEND_STAMINA_STORAGE:4	650,000	3	1	40
GL2_FRIEND_STAMINA_GENERATION:1	85,000	0	1	10
GL2_FRIEND_STAMINA_GENERATION:2	120,000	0	1	20
GL2_FRIEND_STAMINA_GENERATION:3	240,000	0	1	30
GL2_FRIEND_STAMINA_GENERATION:4	650,000	0	1	40
GL2_SKILL_POINT_GENERATION:1	75,000	0	1	25
GL2_SKILL_POINT_GENERATION:2	100,000	0	1	50
GL2_SKILL_POINT_GENERATION:3	200,000	0	1	75
GL2_SKILL_POINT_GENERATION:4	500,000	0	1	100
MERC_SLOTS_A:1	100,000	0	1	2
MERC_SLOTS_B:1	250,000	0	1	3
MERC_SLOTS_C:1	400,000	0	1	4
MERC_SLOTS_D:1	500,000	0	1	5
MERC_SLOTS_E:1	600,000	0	1	6
MERC_MAX_HP_BONUS:1	50,000	0	1	5
MERC_MAX_HP_BONUS:2	100,000	0	1	10
MERC_MAX_HP_BONUS:3	200,000	0	1	15
MERC_MAX_HP_BONUS:4	400,000	0	1	20
MERC_ATTACK_BONUS:1	300,000	0	1	5
MERC_ATTACK_BONUS:2	500,000	0	1	10
MERC_ATTACK_BONUS:3	700,000	3	1	15
MERC_ATTACK_BONUS:4	900,000	3	1	20
MERC_SKILL_POWER_BONUS:1	200,000	0	1	5
MERC_SKILL_POWER_BONUS:2	400,000	0	1	10
MERC_SKILL_POWER_BONUS:3	600,000	3	1	15
MERC_SKILL_POWER_BONUS:4	800,000	3	1	20
SHOP_SLOTS_NORMAL:1	100,000	0	1	1
SHOP_SLOTS_NORMAL:2	200,000	0	1	2
SHOP_DISCOUNT_NORMAL:1	150,000	0	1	2
SHOP_DISCOUNT_NORMAL:2	200,000	0	1	4
SHOP_DISCOUNT_NORMAL:3	300,000	0	1	6
SHOP_SLOTS_BLACK_MARKET:1	250,000	0	1	1
SHOP_SLOTS_BLACK_MARKET:2	500,000	0	1	2
SHOP_DISCOUNT_BLACK_MARKET:1	300,000	0	1	2
SHOP_DISCOUNT_BLACK_MARKET:2	350,000	0	1	4
SHOP_DISCOUNT_BLACK_MARKET:3	450,000	0	1	6
SHOP_SLOTS_MEGA_MART:1	300,000	0	1	1
SHOP_SLOTS_MEGA_MART:2	600,000	0	1	2
SHOP_DISCOUNT_MEGA_MART:1	350,000	0	1	2
SHOP_DISCOUNT_MEGA_MART:2	400,000	0	1	4
SHOP_DISCOUNT_MEGA_MART:3	500,000	0	1	6
SHOP_SLOTS_COLISEUM:1	250,000	0	1	1
SHOP_SLOTS_COLISEUM:2	500,000	0	1	2
SHOP_DISCOUNT_COLISEUM:1	300,000	0	1	2
SHOP_DISCOUNT_COLISEUM:2	350,000	0	1	4
SHOP_DISCOUNT_COLISEUM:3	450,000	0	1	6
SHOP_DISCOUNT_COLISEUM:4	750,000	0	1	8
SHOP_DISCOUNT_COLISEUM:5	1,250,000	0	1	10
SHOP_SLOTS_FIGHT_PIT:1	150,000	0	1	1
SHOP_SLOTS_FIGHT_PIT:2	300,000	0	1	2
SHOP_DISCOUNT_FIGHT_PIT:1	200,000	0	1	2
SHOP_DISCOUNT_FIGHT_PIT:2	250,000	0	1	4
SHOP_DISCOUNT_FIGHT_PIT:3	350,000	0	1	6
SHOP_DISCOUNT_FIGHT_PIT:4	750,000	0	1	8
SHOP_DISCOUNT_FIGHT_PIT:5	1,250,000	0	1	10
SHOP_SLOTS_EXPEDITION:1	150,000	0	1	1
SHOP_SLOTS_EXPEDITION:2	300,000	0	1	2
SHOP_DISCOUNT_EXPEDITION:1	200,000	0	1	2
SHOP_DISCOUNT_EXPEDITION:2	250,000	0	1	4
SHOP_DISCOUNT_EXPEDITION:3	350,000	0	1	6
SHOP_DISCOUNT_EXPEDITION:4	750,000	0	1	8
SHOP_DISCOUNT_EXPEDITION:5	1,250,000	0	1	10
SHOP_SLOTS_CRYPT:1	200,000	0	1	1
SHOP_SLOTS_CRYPT:2	400,000	0	1	2
SHOP_DISCOUNT_CRYPT:1	250,000	0	1	2
SHOP_DISCOUNT_CRYPT:2	300,000	0	1	4
SHOP_DISCOUNT_CRYPT:3	400,000	0	1	6
SHOP_DISCOUNT_CRYPT:4	750,000	0	1	8
SHOP_DISCOUNT_CRYPT:5	1,250,000	0	1	10
SHOP_SLOTS_CHALLENGES:1	400,000	0	1	1
SHOP_SLOTS_CHALLENGES:2	450,000	0	1	2
SHOP_DISCOUNT_CHALLENGES:1	450,000	0	1	2
SHOP_DISCOUNT_CHALLENGES:2	500,000	0	1	4
SHOP_DISCOUNT_CHALLENGES:3	550,000	0	1	6
SHOP_SLOTS_GEAR:1	450,000	0	1	1
SHOP_SLOTS_GEAR:2	500,000	0	1	2
SHOP_DISCOUNT_GEAR:1	500,000	0	1	2
SHOP_DISCOUNT_GEAR:2	550,000	0	1	4
SHOP_DISCOUNT_GEAR:3	600,000	0	1	6
SHOP_SLOTS_MEMORY:1	400,000	0	1	1
SHOP_SLOTS_MEMORY:2	800,000	0	1	2
SHOP_DISCOUNT_MEMORY:1	450,000	0	1	2
SHOP_DISCOUNT_MEMORY:2	500,000	0	1	4
SHOP_DISCOUNT_MEMORY:3	600,000	0	1	6
SHOP_SLOTS_WAR:1	500,000	0	1	1
SHOP_SLOTS_WAR:2	550,000	0	1	2
SHOP_DISCOUNT_WAR:1	550,000	0	1	2
SHOP_DISCOUNT_WAR:2	600,000	0	1	4
SHOP_DISCOUNT_WAR:3	650,000	3	1	6
SHOP_DISCOUNT_WAR:4	750,000	0	1	8
SHOP_DISCOUNT_WAR:5	1,250,000	0	1	10
SHOP_SLOTS_HEIST:1	500,000	0	9,999	1
SHOP_SLOTS_HEIST:2	550,000	0	9,999	2
SHOP_DISCOUNT_HEIST:1	550,000	0	9,999	2
SHOP_DISCOUNT_HEIST:2	600,000	0	9,999	4
SHOP_DISCOUNT_HEIST:3	650,000	3	9,999	6
SHOP_DISCOUNT_HEIST:4	750,000	0	9,999	8
SHOP_DISCOUNT_HEIST:5	1,250,000	0	9,999	10
SHOP_DISCOUNT_INVASION:1	650,000	3	1	2
SHOP_DISCOUNT_INVASION:2	700,000	3	1	4
SHOP_DISCOUNT_INVASION:3	750,000	3	1	6
GL3:1	200,000	3	1	3
GL3_SKILL_UPGRADE_DISCOUNT:1	450,000	3	1	1
GL3_SKILL_UPGRADE_DISCOUNT:2	650,000	3	1	2
GL3_SKILL_UPGRADE_DISCOUNT:3	850,000	3	1	3
GL3_SKILL_UPGRADE_DISCOUNT:4	1,000,000	3	1	4
GL3_SKILL_UPGRADE_DISCOUNT:5	1,200,000	3	1	5
GL3_SKILL_UPGRADE_DISCOUNT:6	250,000,000	6	500	6
GL3_SKILL_UPGRADE_DISCOUNT:7	500,000,000	6	500	7
GL3_SKILL_UPGRADE_DISCOUNT:8	1,000,000,000	6	500	8
GL3_FIGHT_PIT_CHANCES:1	425,000	3	1	1
GL3_FIGHT_PIT_CHANCES:2	625,000	3	1	2
GL3_FIGHT_PIT_CHANCES:3	825,000	3	1	3
GL2_INFLUENCE_STORAGE:1	50,000	0	1	100,000
GL2_INFLUENCE_STORAGE:2	100,000	0	1	200,000
GL2_INFLUENCE_STORAGE:3	200,000	0	1	300,000
GL2_INFLUENCE_STORAGE:4	350,000	0	1	400,000
GL2_INFLUENCE_STORAGE:5	500,000	0	1	500,000
GL2_INFLUENCE_STORAGE:6	600,000	2	1	10,000,000
GL3_INFLUENCE_STORAGE:1	250,000	3	1	100,000
GL3_INFLUENCE_STORAGE:2	450,000	3	1	200,000
GL3_INFLUENCE_STORAGE:3	550,000	3	1	300,000
GL3_INFLUENCE_STORAGE:4	750,000	3	1	400,000
GL3_INFLUENCE_STORAGE:5	850,000	3	1	500,000
GL3_INFLUENCE_STORAGE:6	900,000	3	1	50,000,000
GL2_IMPROVED_CHEST:1	100,000	0	1	1
MERC_SLOTS_F:1	700,000	3	1	7
MERC_SLOTS_G:1	1,000,000	3	1	8
MERC_REDUCE_HIRE_COST:1	550,000	3	1	2
MERC_REDUCE_HIRE_COST:2	750,000	3	1	4
MERC_REDUCE_HIRE_COST:3	950,000	3	1	6
MERC_REDUCE_HIRE_COST:4	1,000,000	3	1	8
MERC_REDUCE_HIRE_COST:5	1,150,000	3	1	10
MERC_REDUCE_HIRE_COST:6	1,300,000	3	1	12
MERC_REDUCE_HIRE_COST:7	1,450,000	3	1	15
MERC_REDUCE_HIRE_COST:8	1,600,000	3	1	18
MERC_HIRE_ABOVE_LEVEL:1	400,000	3	1	1
MERC_HIRE_ABOVE_LEVEL:2	600,000	3	1	2
MERC_HIRE_ABOVE_LEVEL:3	800,000	3	1	3
MERC_HIRE_ABOVE_LEVEL_2:1	100,000,000	6	480	1
MERC_HIRE_ABOVE_LEVEL_2:2	150,000,000	6	490	2
MERC_HIRE_ABOVE_LEVEL_2:3	200,000,000	6	500	3
MERC_HIRE_ABOVE_LEVEL_2:4	250,000,000	6	510	4
MERC_HIRE_ABOVE_LEVEL_2:5	300,000,000	6	520	5
MERC_HIRE_ABOVE_LEVEL_2:6	350,000,000	6	530	6
MERC_HIRE_ABOVE_LEVEL_2:7	400,000,000	6	540	7
EXPEDITION_MAX_HP_BONUS:1	350,000	3	1	5
EXPEDITION_MAX_HP_BONUS:2	700,000	3	1	10
EXPEDITION_ATTACK_BONUS:1	400,000	3	1	5
EXPEDITION_ATTACK_BONUS:2	650,000	3	1	10
EXPEDITION_SKILL_POWER_BONUS:1	350,000	3	1	5
EXPEDITION_SKILL_POWER_BONUS:2	450,000	3	1	10
EXPEDITION_REPLACEMENT_MERC:1	950,000	3	1	1
EXPEDITION_REPLACEMENT_MERC:2	1,000,000	3	1	2
EXPEDITION_REPLACEMENT_MERC:3	1,050,000	3	1	3
EXPEDITION_BANK_RESETS:1	850,000	3	1	1
GL3_DIAMOND_CRATE_GOLD:1	250,000	3	1	1
GL3_DIAMOND_CRATE_GOLD:2	500,000	3	1	2
GL3_DIAMOND_CRATE_GOLD:3	800,000	3	1	3
GL3_DIAMOND_CRATE_GOLD:4	1,000,000	3	1	4
GL3_DIAMOND_CRATE_GOLD:5	1,200,000	3	1	5
GL3_TEAM_XP_CATCH_UP:1	350,000	3	40	40
GL3_TEAM_XP_CATCH_UP:2	450,000	3	50	50
GL3_TEAM_XP_CATCH_UP:3	550,000	3	60	60
GL3_TEAM_XP_CATCH_UP:4	650,000	3	90	70
GL3_TEAM_XP_CATCH_UP:5	750,000	3	100	80
GL3_TEAM_XP_CATCH_UP:6	850,000	3	110	90
GL3_TEAM_XP_CATCH_UP:7	950,000	3	120	100
GL3_TEAM_XP_CATCH_UP:8	1,100,000	3	200	150
GL3_TEAM_XP_CATCH_UP:9	1,450,000	3	300	230
GL3_TEAM_XP_CATCH_UP:10	1,800,000	3	400	300
GL3_TEAM_XP_CATCH_UP:11	2,150,000	3	500	350
GL3_TEAM_XP_CATCH_UP:12	100,000,000	6	500	355
GL3_TEAM_XP_CATCH_UP:13	125,000,000	6	500	360
GL3_TEAM_XP_CATCH_UP:14	150,000,000	6	500	365
GL3_TEAM_XP_CATCH_UP:15	175,000,000	6	500	370
GL3_TEAM_XP_CATCH_UP:16	200,000,000	6	500	375
GL3_TEAM_XP_CATCH_UP:17	225,000,000	6	500	380
GL3_TEAM_XP_CATCH_UP:18	250,000,000	6	500	385
GL3_TEAM_XP_CATCH_UP:19	275,000,000	6	500	390
GL3_TEAM_XP_CATCH_UP:20	300,000,000	6	500	395
GL3_TEAM_XP_CATCH_UP:21	325,000,000	6	500	400
GL3_TEAM_XP_CATCH_UP:22	350,000,000	6	505	405
GL3_TEAM_XP_CATCH_UP:23	375,000,000	6	510	410
GL3_TEAM_XP_CATCH_UP:24	400,000,000	6	515	415
GL3_TEAM_XP_CATCH_UP:25	425,000,000	6	520	420
GL3_TEAM_XP_CATCH_UP:26	450,000,000	6	525	425
GL3_TEAM_XP_CATCH_UP:27	475,000,000	6	530	430
GL3_TEAM_XP_CATCH_UP:28	500,000,000	6	535	435
GL3_TEAM_XP_CATCH_UP:29	525,000,000	6	540	440
GL3_TEAM_XP_CATCH_UP:30	550,000,000	6	545	445
GL3_TEAM_XP_CATCH_UP:31	575,000,000	6	550	450
GL3_TEAM_XP_CATCH_UP:32	600,000,000	6	555	455
GL3_TEAM_XP_CATCH_UP:33	625,000,000	6	560	460
GL3_TEAM_XP_CATCH_UP:34	650,000,000	6	565	465
GL3_TEAM_XP_CATCH_UP:35	675,000,000	6	570	470
GL3_TEAM_XP_CATCH_UP:36	700,000,000	6	575	475
GL3_TEAM_XP_CATCH_UP:37	725,000,000	6	580	480
GL3_TEAM_XP_CATCH_UP:38	750,000,000	6	585	485
GL3_TEAM_XP_CATCH_UP:39	775,000,000	6	590	490
GL3_TEAM_XP_CATCH_UP:40	800,000,000	6	595	495
GL3_TEAM_XP_CATCH_UP:41	900,000,000	6	600	500
GL3_TEAM_XP_CATCH_UP:42	1,000,000,000	6	605	505
GL3_TEAM_XP_CATCH_UP:43	1,100,000,000	6	610	510
GL3_TEAM_XP_CATCH_UP:44	1,200,000,000	6	615	515
GL3_TEAM_XP_CATCH_UP:45	1,300,000,000	6	620	520
GL3_TEAM_XP_CATCH_UP:46	1,400,000,000	6	625	525
GL3_TEAM_XP_CATCH_UP:47	1,500,000,000	6	630	530
GL3_TEAM_XP_CATCH_UP:48	1,600,000,000	6	635	535
GL3_TEAM_XP_CATCH_UP:49	1,700,000,000	6	640	540
GL3_TEAM_XP_CATCH_UP:50	1,800,000,000	6	645	545
NO_COST_HERO_XP:1	100,000,000	6	500	5
NO_COST_HERO_XP:2	150,000,000	6	500	10
NO_COST_HERO_XP:3	200,000,000	6	500	15
NO_COST_HERO_XP:4	250,000,000	6	500	20
NO_COST_HERO_XP:5	300,000,000	6	500	25
NO_COST_HERO_XP:6	350,000,000	6	500	30
NO_COST_HERO_XP:7	400,000,000	6	500	35
NO_COST_HERO_XP:8	450,000,000	6	500	40
NO_COST_HERO_XP:9	500,000,000	6	500	45
NO_COST_HERO_XP:10	600,000,000	6	500	50
NO_COST_HERO_XP:11	700,000,000	6	510	55
NO_COST_HERO_XP:12	800,000,000	6	520	60
NO_COST_HERO_XP:13	900,000,000	6	530	65
NO_COST_HERO_XP:14	1,000,000,000	6	540	70
NO_COST_HERO_XP:15	1,100,000,000	6	550	75
NO_COST_HERO_XP:16	1,200,000,000	6	560	80
NO_COST_HERO_XP:17	1,300,000,000	6	570	85
NO_COST_HERO_XP:18	1,400,000,000	6	580	90
NO_COST_HERO_XP:19	1,500,000,000	6	590	95
NO_COST_HERO_XP:20	1,600,000,000	6	600	100
WAR_EXTRA_ATTACKS_A:1	150,000	0	1	1
WAR_EXTRA_ATTACKS_A:2	350,000	0	1	2
WAR_EXTRA_ATTACKS_A:3	550,000	0	1	3
WAR_EXTRA_ATTACKS_B:1	300,000	0	1	1
WAR_EXTRA_ATTACKS_B:2	600,000	0	1	2
WAR_EXTRA_ATTACKS_B:3	1,000,000	3	1	3
WAR_EXTRA_ATTACKS_C:1	300,000	0	1	1
WAR_EXTRA_ATTACKS_C:2	600,000	0	1	2
WAR_EXTRA_ATTACKS_C:3	1,000,000	3	1	3
WAR_BONUS_GOLD:1	120,000	0	1	10
WAR_BONUS_GOLD:2	350,000	0	1	20
WAR_BONUS_GOLD:3	750,000	3	1	30
WAR_BONUS_TOKENS:1	150,000	0	1	10
WAR_BONUS_TOKENS:2	400,000	0	1	20
WAR_BONUS_TOKENS:3	800,000	3	1	30
WAR_BONUS_DISK_POWER:1	120,000	0	1	10
WAR_BONUS_DISK_POWER:2	350,000	0	1	20
WAR_BONUS_DISK_POWER:3	750,000	3	1	30
WAR_CAR_SIZE_1:1	150,000	0	1	1
WAR_CAR_SIZE_1:2	300,000	0	1	2
WAR_CAR_SIZE_1:3	500,000	0	1	3
WAR_CAR_SIZE_1:4	700,000	3	1	4
WAR_CAR_SIZE_2:1	150,000	0	1	1
WAR_CAR_SIZE_2:2	300,000	0	1	2
WAR_CAR_SIZE_2:3	500,000	0	1	3
WAR_CAR_SIZE_2:4	700,000	3	1	4
WAR_CAR_SIZE_3:1	150,000	0	1	1
WAR_CAR_SIZE_3:2	300,000	0	1	2
WAR_CAR_SIZE_3:3	500,000	0	1	3
WAR_CAR_SIZE_3:4	700,000	3	1	4
WAR_CAR_SIZE_4:1	200,000	0	1	1
WAR_CAR_SIZE_4:2	350,000	0	1	2
WAR_CAR_SIZE_4:3	550,000	0	1	3
WAR_CAR_SIZE_4:4	750,000	3	1	4
