	HERO_SHARDS	ABILITY_SHARDS	GOLD
464	71	470	14,893,269,625
465	72	475	19,361,250,515
466	72	475	19,361,250,515
467	72	475	19,361,250,515
468	72	475	19,361,250,515
469	72	475	19,361,250,515
470	73	480	25,169,625,670
471	73	480	25,169,625,670
472	73	480	25,169,625,670
473	73	480	25,169,625,670
474	73	480	25,169,625,670
475	74	485	32,720,513,370
476	74	485	32,720,513,370
477	74	485	32,720,513,370
478	74	485	32,720,513,370
479	74	485	32,720,513,370
480	75	490	42,536,667,380
481	75	490	42,536,667,380
482	75	490	42,536,667,380
483	75	490	42,536,667,380
484	75	490	42,536,667,380
485	76	495	55,297,667,595
486	76	495	55,297,667,595
487	76	495	55,297,667,595
488	76	495	55,297,667,595
489	76	495	55,297,667,595
490	77	500	71,886,967,875
491	77	500	71,886,967,875
492	77	500	71,886,967,875
493	77	500	71,886,967,875
494	77	500	71,886,967,875
495	78	505	93,453,058,240
496	78	505	93,453,058,240
497	78	505	93,453,058,240
498	78	505	93,453,058,240
499	78	505	93,453,058,240
500	79	510	121,488,975,710
501	79	510	121,488,975,710
502	79	510	121,488,975,710
503	79	510	121,488,975,710
504	79	510	121,488,975,710
505	80	515	157,935,668,425
506	80	515	157,935,668,425
507	80	515	157,935,668,425
508	80	515	157,935,668,425
509	80	515	157,935,668,425
510	81	520	205,316,368,955
511	81	520	205,316,368,955
512	81	520	205,316,368,955
513	81	520	205,316,368,955
514	81	520	205,316,368,955
515	82	525	266,911,279,640
516	82	525	266,911,279,640
517	82	525	266,911,279,640
518	82	525	266,911,279,640
519	82	525	266,911,279,640
520	83	530	346,984,663,530
521	83	530	346,984,663,530
522	83	530	346,984,663,530
523	83	530	346,984,663,530
524	83	530	346,984,663,530
525	84	535	451,080,062,590
526	84	535	451,080,062,590
527	84	535	451,080,062,590
528	84	535	451,080,062,590
529	84	535	451,080,062,590
530	85	540	586,404,081,365
531	85	540	586,404,081,365
532	85	540	586,404,081,365
533	85	540	586,404,081,365
534	85	540	586,404,081,365
535	86	545	762,325,305,775
536	86	545	762,325,305,775
537	86	545	762,325,305,775
538	86	545	762,325,305,775
539	86	545	762,325,305,775
540	87	550	991,022,897,510
541	87	550	991,022,897,510
542	87	550	991,022,897,510
543	87	550	991,022,897,510
544	87	550	991,022,897,510
545	88	555	1,288,329,766,765
546	88	555	1,288,329,766,765
547	88	555	1,288,329,766,765
548	88	555	1,288,329,766,765
549	88	555	1,288,329,766,765
550	89	560	1,674,828,696,795
551	89	560	1,674,828,696,795
552	89	560	1,674,828,696,795
553	89	560	1,674,828,696,795
554	89	560	1,674,828,696,795
555	90	565	2,177,277,305,835
556	90	565	2,177,277,305,835
557	90	565	2,177,277,305,835
558	90	565	2,177,277,305,835
559	90	565	2,177,277,305,835
560	91	570	2,830,460,497,585
561	91	570	2,830,460,497,585
562	91	570	2,830,460,497,585
563	91	570	2,830,460,497,585
564	91	570	2,830,460,497,585
565	92	575	3,679,598,646,860
566	92	575	3,679,598,646,860
567	92	575	3,679,598,646,860
568	92	575	3,679,598,646,860
569	92	575	3,679,598,646,860
