	EXP_TO_NEXT_LEVEL	MAX_HERO_LEVEL	MAX_STAMINA	STAMINA_GAIN_ON_LEVEL	POOL_EXP_PER_STAMINA
82	8,500	82	698	150	17
83	9,000	83	698	150	17
84	9,500	84	698	150	17
85	10,000	85	698	150	17
86	10,000	86	885	160	18
87	10,000	87	885	160	18
88	10,000	88	885	160	18
89	10,000	89	885	160	18
90	10,000	90	885	160	18
91	10,000	91	1,110	170	19
92	10,000	92	1,110	170	19
93	10,000	93	1,110	170	19
94	10,000	94	1,110	170	19
95	10,000	95	1,110	170	19
96	10,000	96	1,335	180	20
97	10,000	97	1,335	180	20
98	10,000	98	1,335	180	20
99	10,000	99	1,335	180	20
100	11,000	100	1,335	180	20
101	12,000	101	1,560	190	21
102	13,000	102	1,560	190	21
103	14,000	103	1,560	190	21
104	15,000	104	1,560	190	21
105	15,000	105	1,560	190	21
106	15,000	106	1,896	200	22
107	15,000	107	1,896	200	22
108	15,000	108	1,896	200	22
109	15,000	109	1,896	200	22
110	15,000	110	1,896	200	22
111	15,000	111	2,010	210	23
112	15,000	112	2,010	210	23
113	15,000	113	2,010	210	23
114	15,000	114	2,010	210	23
115	15,000	115	2,010	210	23
116	15,000	116	2,235	220	24
117	15,000	117	2,235	220	24
118	15,000	118	2,235	220	24
119	15,000	119	2,235	220	24
120	15,000	120	2,235	220	24
121	15,000	121	2,460	230	25
122	15,000	122	2,460	230	25
123	15,000	123	2,460	230	25
124	15,000	124	2,460	230	25
125	15,000	125	2,460	230	25
126	15,000	126	2,685	240	26
127	15,000	127	2,685	240	26
128	15,000	128	2,685	240	26
129	15,000	129	2,685	240	26
130	15,000	130	2,685	240	26
131	15,000	131	2,910	250	27
132	15,000	132	2,910	250	27
133	15,000	133	2,910	250	27
134	15,000	134	2,910	250	27
135	19,000	135	2,910	250	27
136	23,000	136	3,135	260	28
137	27,000	137	3,135	260	28
138	31,000	138	3,135	260	28
139	35,000	139	3,135	260	28
140	39,000	140	3,135	260	28
141	43,000	141	3,360	270	29
142	47,000	142	3,360	270	29
143	51,000	143	3,360	270	29
144	55,000	144	3,360	270	29
145	59,000	145	3,360	270	29
146	63,000	146	3,585	280	30
147	67,000	147	3,585	280	30
148	71,000	148	3,585	280	30
149	75,000	149	3,585	280	30
150	79,000	150	3,585	280	30
151	83,000	151	3,810	290	31
152	87,000	152	3,810	290	31
153	92,000	153	3,810	290	31
154	97,000	154	3,810	290	31
155	102,000	155	3,810	290	31
156	107,000	156	4,035	300	32
157	112,000	157	4,035	300	32
158	117,000	158	4,035	300	32
159	122,000	159	4,035	300	32
160	127,000	160	4,035	300	32
161	132,000	161	4,260	310	33
162	137,000	162	4,260	310	33
163	142,000	163	4,260	310	33
164	147,000	164	4,260	310	33
165	152,000	165	4,260	310	33
166	157,000	166	4,855	320	34
167	162,000	167	4,855	320	34
168	167,000	168	4,855	320	34
169	172,000	169	4,855	320	34
170	177,000	170	4,855	320	34
171	182,000	171	5,533	330	35
172	187,000	172	5,533	330	35
173	193,000	173	5,533	330	35
174	199,000	174	5,533	330	35
175	205,000	175	5,533	330	35
176	211,000	176	5,884	340	36
177	217,000	177	5,884	340	36
178	223,000	178	5,884	340	36
179	229,000	179	5,884	340	36
180	235,000	180	5,884	340	36
181	241,000	181	6,039	350	37
182	247,000	182	6,039	350	37
183	253,000	183	6,039	350	37
184	259,000	184	6,039	350	37
185	265,000	185	6,039	350	37
186	271,000	186	6,582	360	38
187	277,000	187	6,582	360	38
188	283,000	188	6,582	360	38
189	289,000	189	6,582	360	38
190	296,000	190	6,582	360	38
191	303,000	191	7,210	370	39
192	310,000	192	7,210	370	39
193	317,000	193	7,210	370	39
194	324,000	194	7,210	370	39
195	331,000	195	7,210	370	39
196	338,000	196	7,935	380	40
197	345,000	197	7,935	380	40
198	352,000	198	7,935	380	40
199	359,000	199	7,935	380	40
200	366,000	200	7,935	380	40
201	373,000	201	8,660	390	41
202	380,000	202	8,660	390	41
203	387,000	203	8,660	390	41
204	394,000	204	8,660	390	41
205	401,000	205	8,660	390	41
206	408,000	206	9,385	400	42
207	416,000	207	9,385	400	42
208	424,000	208	9,385	400	42
209	432,000	209	9,385	400	42
210	440,000	210	9,385	400	42
211	448,000	211	10,110	410	43
212	456,000	212	10,110	410	43
213	464,000	213	10,110	410	43
214	472,000	214	10,110	410	43
215	480,000	215	10,110	410	43
216	488,000	216	10,835	420	44
217	496,000	217	10,835	420	44
218	504,000	218	10,835	420	44
219	512,000	219	10,835	420	44
220	520,000	220	10,835	420	44
221	528,000	221	11,560	430	45
222	536,000	222	11,560	430	45
223	545,000	223	11,560	430	45
224	554,000	224	11,560	430	45
225	563,000	225	11,560	430	45
226	572,000	226	12,290	440	46
227	581,000	227	12,290	440	46
228	590,000	228	12,290	440	46
229	599,000	229	12,290	440	46
230	608,000	230	12,290	440	46
231	617,000	231	13,040	450	47
232	626,000	232	13,040	450	47
233	635,000	233	13,040	450	47
234	644,000	234	13,040	450	47
235	653,000	235	13,040	450	47
236	662,000	236	13,840	460	48
237	671,000	237	13,840	460	48
238	680,000	238	13,840	460	48
239	690,000	239	13,840	460	48
240	700,000	240	13,840	460	48
241	710,000	241	14,690	470	49
242	720,000	242	14,690	470	49
243	730,000	243	14,690	470	49
244	740,000	244	14,690	470	49
245	750,000	245	14,690	470	49
246	760,000	246	15,590	480	50
247	770,000	247	15,590	480	50
248	780,000	248	15,590	480	50
249	790,000	249	15,590	480	50
250	800,000	250	15,590	480	50
251	810,000	251	16,550	490	51
252	820,000	252	16,550	490	51
253	831,000	253	16,550	490	51
254	842,000	254	16,550	490	51
255	853,000	255	16,550	490	51
256	864,000	256	17,570	500	52
257	875,000	257	17,570	500	52
258	886,000	258	17,570	500	52
259	897,000	259	17,570	500	52
260	908,000	260	17,570	500	52
261	919,000	261	18,650	510	53
262	930,000	262	18,650	510	53
263	941,000	263	18,650	510	53
264	952,000	264	18,650	510	53
265	963,000	265	18,650	510	53
266	974,000	266	19,790	520	54
267	986,000	267	19,790	520	54
268	998,000	268	19,790	520	54
269	1,010,000	269	19,790	520	54
270	1,022,000	270	19,790	520	54
271	1,034,000	271	21,010	530	55
272	1,046,000	272	21,010	530	55
273	1,058,000	273	21,010	530	55
274	1,070,000	274	21,010	530	55
275	1,082,000	275	21,010	530	55
276	1,094,000	276	22,300	540	56
277	1,106,000	277	22,300	540	56
278	1,118,000	278	22,300	540	56
279	1,130,000	279	22,300	540	56
280	1,142,000	280	22,300	540	56
281	1,155,000	281	23,670	550	57
282	1,168,000	282	23,670	550	57
283	1,181,000	283	23,670	550	57
284	1,194,000	284	23,670	550	57
285	1,207,000	285	23,670	550	57
286	1,220,000	286	25,120	560	58
287	1,233,000	287	25,120	560	58
288	1,246,000	288	25,120	560	58
289	1,259,000	289	25,120	560	58
290	1,272,000	290	25,120	560	58
291	1,285,000	291	27,444	570	59
292	1,298,000	292	27,444	570	59
293	1,311,000	293	27,444	570	59
294	1,325,000	294	27,444	570	59
295	1,339,000	295	27,444	570	59
296	1,353,000	296	30,572	580	60
297	1,367,000	297	30,572	580	60
298	1,381,000	298	30,572	580	60
299	1,395,000	299	30,572	580	60
300	1,409,000	300	30,572	580	60
301	1,423,000	301	31,422	590	61
302	1,437,000	302	31,422	590	61
303	1,451,000	303	31,422	590	61
304	1,465,000	304	31,422	590	61
305	1,479,000	305	31,422	590	61
306	1,493,000	306	35,708	600	62
307	1,508,000	307	35,708	600	62
308	1,523,000	308	35,708	600	62
309	1,538,000	309	35,708	600	62
310	1,553,000	310	35,708	600	62
311	1,568,000	311	43,046	610	63
312	1,583,000	312	43,046	610	63
313	1,598,000	313	43,046	610	63
314	1,613,000	314	43,046	610	63
315	1,628,000	315	43,046	610	63
316	1,643,000	316	46,954	620	64
317	1,658,000	317	46,954	620	64
318	1,673,000	318	46,954	620	64
319	1,689,000	319	46,954	620	64
320	1,705,000	320	46,954	620	64
321	1,721,000	321	48,262	630	65
322	1,737,000	322	48,262	630	65
323	1,753,000	323	48,262	630	65
324	1,769,000	324	48,262	630	65
325	1,785,000	325	48,262	630	65
326	1,801,000	326	56,203	640	66
327	1,817,000	327	56,203	640	66
328	1,833,000	328	56,203	640	66
329	1,849,000	329	56,203	640	66
330	1,865,000	330	56,203	640	66
331	1,882,000	331	72,609	650	67
332	1,899,000	332	72,609	650	67
333	1,916,000	333	72,609	650	67
334	1,933,000	334	72,609	650	67
335	1,950,000	335	72,609	650	67
336	1,967,000	336	86,743	660	68
337	1,984,000	337	86,743	660	68
338	2,001,000	338	86,743	660	68
339	2,018,000	339	86,743	660	68
340	2,035,000	340	86,743	660	68
341	2,052,000	341	92,663	670	69
342	2,069,000	342	92,663	670	69
343	2,087,000	343	92,663	670	69
344	2,105,000	344	92,663	670	69
345	2,123,000	345	92,663	670	69
346	2,141,000	346	98,108	680	70
347	2,159,000	347	98,108	680	70
348	2,177,000	348	98,108	680	70
349	2,195,000	349	98,108	680	70
350	2,213,000	350	98,108	680	70
351	2,231,000	351	135,941	690	71
352	2,249,000	352	135,941	690	71
353	2,267,000	353	135,941	690	71
354	2,286,000	354	135,941	690	71
355	2,305,000	355	135,941	690	71
356	2,324,000	356	163,260	700	72
357	2,343,000	357	163,260	700	72
358	2,362,000	358	163,260	700	72
359	2,381,000	359	163,260	700	72
360	2,400,000	360	163,260	700	72
361	2,419,000	361	164,842	710	73
362	2,438,000	362	164,842	710	73
363	2,457,000	363	164,842	710	73
364	2,476,000	364	164,842	710	73
365	2,495,000	365	164,842	710	73
366	2,515,000	366	172,503	720	74
367	2,535,000	367	172,503	720	74
368	2,555,000	368	172,503	720	74
369	2,575,000	369	172,503	720	74
370	2,595,000	370	172,503	720	74
371	2,615,000	371	198,017	730	75
372	2,635,000	372	198,017	730	75
373	2,655,000	373	198,017	730	75
374	2,675,000	374	198,017	730	75
375	2,695,000	375	198,017	730	75
376	2,715,000	376	282,673	740	76
377	2,736,000	377	282,673	740	76
378	2,757,000	378	282,673	740	76
379	2,778,000	379	282,673	740	76
380	2,799,000	380	282,673	740	76
381	2,820,000	381	327,882	750	77
382	2,841,000	382	327,882	750	77
383	2,862,000	383	327,882	750	77
384	2,883,000	384	327,882	750	77
385	2,904,000	385	327,882	750	77
386	2,925,000	386	3,865,200	3,630	78
387	2,947,000	387	3,865,200	3,630	78
388	2,969,000	388	3,865,200	3,630	78
389	2,991,000	389	3,865,200	3,630	78
390	3,013,000	390	3,865,200	3,630	78
391	3,035,000	391	4,252,800	3,995	79
392	3,057,000	392	4,252,800	3,995	79
393	3,079,000	393	4,252,800	3,995	79
394	3,101,000	394	4,252,800	3,995	79
395	3,123,000	395	4,252,800	3,995	79
396	3,145,000	396	4,677,600	4,395	80
397	3,167,000	397	4,677,600	4,395	80
398	3,190,000	398	4,677,600	4,395	80
399	3,213,000	399	4,677,600	4,395	80
400	3,236,000	400	4,677,600	4,395	80
401	3,259,000	401	5,145,600	4,830	81
402	3,282,000	402	5,145,600	4,830	81
403	3,305,000	403	5,145,600	4,830	81
404	3,328,000	404	5,145,600	4,830	81
405	3,351,000	405	5,145,600	4,830	81
406	3,374,000	406	5,659,200	5,315	82
407	3,397,000	407	5,659,200	5,315	82
408	3,421,000	408	5,659,200	5,315	82
409	3,445,000	409	5,659,200	5,315	82
410	3,469,000	410	5,659,200	5,315	82
411	3,493,000	411	6,225,600	5,845	83
412	3,517,000	412	6,225,600	5,845	83
413	3,541,000	413	6,225,600	5,845	83
414	3,565,000	414	6,225,600	5,845	83
415	3,589,000	415	6,225,600	5,845	83
416	3,613,000	416	6,848,400	6,430	84
417	3,637,000	417	6,848,400	6,430	84
418	3,661,000	418	6,848,400	6,430	84
419	3,686,000	419	6,848,400	6,430	84
420	3,711,000	420	6,848,400	6,430	84
421	3,736,000	421	7,533,600	7,075	85
422	3,761,000	422	7,533,600	7,075	85
423	3,786,000	423	7,533,600	7,075	85
424	3,811,000	424	7,533,600	7,075	85
425	3,836,000	425	7,533,600	7,075	85
426	3,861,000	426	8,286,000	7,780	86
427	3,886,000	427	8,286,000	7,780	86
428	3,911,000	428	8,286,000	7,780	86
429	3,937,000	429	8,286,000	7,780	86
430	3,963,000	430	8,286,000	7,780	86
431	3,989,000	431	9,115,200	8,560	87
432	4,015,000	432	9,115,200	8,560	87
433	4,041,000	433	9,115,200	8,560	87
434	4,067,000	434	9,115,200	8,560	87
435	4,093,000	435	9,115,200	8,560	87
436	4,119,000	436	10,026,000	9,415	88
437	4,145,000	437	10,026,000	9,415	88
438	4,171,000	438	10,026,000	9,415	88
439	4,198,000	439	10,026,000	9,415	88
440	4,225,000	440	10,026,000	9,415	88
441	4,252,000	441	11,029,200	10,355	89
442	4,279,000	442	11,029,200	10,355	89
443	4,306,000	443	11,029,200	10,355	89
444	4,333,000	444	11,029,200	10,355	89
445	4,360,000	445	11,029,200	10,355	89
446	4,387,000	446	12,132,000	11,390	90
447	4,414,000	447	12,132,000	11,390	90
448	4,441,000	448	12,132,000	11,390	90
449	4,469,000	449	12,132,000	11,390	90
450	4,497,000	450	12,132,000	11,390	90
451	4,525,000	451	13,345,200	12,530	91
452	4,553,000	452	13,345,200	12,530	91
453	4,581,000	453	13,345,200	12,530	91
454	4,609,000	454	13,345,200	12,530	91
455	4,637,000	455	13,345,200	12,530	91
456	4,665,000	456	14,679,600	13,780	92
457	4,693,000	457	14,679,600	13,780	92
458	4,722,000	458	14,679,600	13,780	92
459	4,751,000	459	14,679,600	13,780	92
460	4,780,000	460	14,679,600	13,780	92
461	4,809,000	461	22,020,000	15,160	93
462	4,838,000	462	22,020,000	15,160	93
463	4,867,000	463	22,020,000	15,160	93
464	4,896,000	464	22,020,000	15,160	93
465	4,925,000	465	22,020,000	15,160	93
466	4,954,000	466	24,222,000	16,675	94
467	4,983,000	467	24,222,000	16,675	94
468	5,013,000	468	24,222,000	16,675	94
469	5,043,000	469	24,222,000	16,675	94
470	5,073,000	470	24,222,000	16,675	94
471	5,103,000	471	39,966,000	18,345	95
472	5,133,000	472	39,966,000	18,345	95
473	5,163,000	473	39,966,000	18,345	95
474	5,193,000	474	39,966,000	18,345	95
475	5,223,000	475	39,966,000	18,345	95
476	5,253,000	476	45,961,200	21,095	96
477	5,284,000	477	45,961,200	21,095	96
478	5,315,000	478	45,961,200	21,095	96
479	5,346,000	479	45,961,200	21,095	96
480	5,377,000	480	45,961,200	21,095	96
481	5,408,000	481	52,855,200	24,260	97
482	5,439,000	482	52,855,200	24,260	97
483	5,470,000	483	52,855,200	24,260	97
484	5,501,000	484	52,855,200	24,260	97
485	5,532,000	485	52,855,200	24,260	97
486	5,564,000	486	60,782,400	27,895	98
487	5,596,000	487	60,782,400	27,895	98
488	5,628,000	488	60,782,400	27,895	98
489	5,660,000	489	60,782,400	27,895	98
490	5,692,000	490	60,782,400	27,895	98
491	5,724,000	491	69,900,000	32,080	99
492	5,756,000	492	69,900,000	32,080	99
493	5,788,000	493	69,900,000	32,080	99
494	5,820,000	494	69,900,000	32,080	99
495	5,853,000	495	69,900,000	32,080	99
496	5,886,000	496	80,385,600	36,890	100
497	5,919,000	497	80,385,600	36,890	100
498	5,952,000	498	80,385,600	36,890	100
499	5,985,000	499	80,385,600	36,890	100
500	6,018,000	500	80,385,600	36,890	100
501	6,051,000	501	90,031,200	41,320	101
502	6,084,000	502	90,031,200	41,320	101
503	6,117,000	503	90,031,200	41,320	101
504	6,151,000	504	90,031,200	41,320	101
505	6,185,000	505	90,031,200	41,320	101
506	6,219,000	506	101,736,000	46,690	102
507	6,253,000	507	101,736,000	46,690	102
508	6,287,000	508	101,736,000	46,690	102
509	6,321,000	509	101,736,000	46,690	102
510	6,355,000	510	101,736,000	46,690	102
511	6,389,000	511	116,996,400	53,690	103
512	6,423,000	512	116,996,400	53,690	103
513	6,458,000	513	116,996,400	53,690	103
514	6,493,000	514	116,996,400	53,690	103
515	6,528,000	515	116,996,400	53,690	103
516	6,563,000	516	134,545,200	61,745	104
517	6,598,000	517	134,545,200	61,745	104
518	6,633,000	518	134,545,200	61,745	104
519	6,668,000	519	134,545,200	61,745	104
520	6,703,000	520	134,545,200	61,745	104
521	6,738,000	521	154,726,800	71,005	105
522	6,774,000	522	154,726,800	71,005	105
523	6,810,000	523	154,726,800	71,005	105
524	6,846,000	524	154,726,800	71,005	105
525	6,882,000	525	154,726,800	71,005	105
526	6,918,000	526	170,199,600	78,105	106
527	6,954,000	527	170,199,600	78,105	106
528	6,990,000	528	170,199,600	78,105	106
529	7,026,000	529	170,199,600	78,105	106
530	7,062,000	530	170,199,600	78,105	106
531	7,099,000	531	195,729,600	89,825	107
532	7,136,000	532	195,729,600	89,825	107
533	7,173,000	533	195,729,600	89,825	107
534	7,210,000	534	195,729,600	89,825	107
535	7,247,000	535	195,729,600	89,825	107
536	7,284,000	536	244,663,200	112,280	108
537	7,321,000	537	244,663,200	112,280	108
538	7,358,000	538	244,663,200	112,280	108
539	7,396,000	539	244,663,200	112,280	108
540	7,434,000	540	244,663,200	112,280	108
541	7,472,000	541	330,295,200	151,575	109
542	7,510,000	542	330,295,200	151,575	109
543	7,548,000	543	330,295,200	151,575	109
544	7,586,000	544	330,295,200	151,575	109
545	7,624,000	545	330,295,200	151,575	109
546	7,662,000	546	6,605,893,200	166,730	110
547	7,700,000	547	6,605,893,200	166,730	110
548	7,739,000	548	6,605,893,200	166,730	110
549	7,778,000	549	6,605,893,200	166,730	110
550	7,817,000	550	6,605,893,200	166,730	110
551	7,856,000	551	7,266,482,400	183,405	111
552	7,895,000	552	7,266,482,400	183,405	111
553	7,934,000	553	7,266,482,400	183,405	111
554	7,973,000	554	7,266,482,400	183,405	111
555	8,012,000	555	7,266,482,400	183,405	111
556	8,052,000	556	8,719,778,400	220,085	112
557	8,092,000	557	8,719,778,400	220,085	112
558	8,132,000	558	8,719,778,400	220,085	112
559	8,172,000	559	8,719,778,400	220,085	112
560	8,212,000	560	8,719,778,400	220,085	112
561	8,252,000	561	9,591,756,000	242,095	113
562	8,292,000	562	9,591,756,000	242,095	113
563	8,332,000	563	9,591,756,000	242,095	113
564	8,372,000	564	9,591,756,000	242,095	113
565	8,413,000	565	9,591,756,000	242,095	113
566	8,454,000	566	9,706,857,070	242,105	114
567	8,495,000	567	9,823,339,350	242,105	114
568	8,536,000	568	9,941,219,420	242,105	114
569	8,577,000	569	10,060,514,050	242,105	114
570	8,618,000	570	10,181,240,220	242,105	114
571	8,659,000	571	10,303,415,100	242,115	115
572	8,700,000	572	10,427,056,080	242,115	115
573	8,742,000	573	10,552,180,750	242,115	115
574	8,784,000	574	10,678,806,920	242,115	115
575	8,826,000	575	10,806,952,600	242,115	115
576	8,868,000	576	10,936,636,030	242,125	116
577	8,910,000	577	11,067,875,660	242,125	116
578	8,952,000	578	11,200,690,170	242,125	116
579	8,994,000	579	11,335,098,450	242,125	116
580	9,036,000	580	11,471,119,630	242,125	116
581	9,079,000	581	11,608,773,070	242,135	117
582	9,122,000	582	11,748,078,350	242,135	117
583	9,165,000	583	11,889,055,290	242,135	117
584	9,208,000	584	12,031,723,950	242,135	117
585	9,251,000	585	12,176,104,640	242,135	117
586	9,294,000	586	12,322,217,900	242,145	118
587	9,337,000	587	12,470,084,510	242,145	118
588	9,380,000	588	12,619,725,520	242,145	118
589	9,424,000	589	12,771,162,230	242,145	118
590	9,468,000	590	12,924,416,180	242,145	118
591	9,512,000	591	13,079,509,170	242,155	119
592	9,556,000	592	13,236,463,280	242,155	119
593	9,600,000	593	13,395,300,840	242,155	119
594	9,644,000	594	13,556,044,450	242,155	119
595	9,688,000	595	13,718,716,980	242,155	119
596	9,732,000	596	13,883,341,580	242,165	120
597	9,777,000	597	14,049,941,680	242,165	120
598	9,822,000	598	14,218,540,980	242,165	120
599	9,867,000	599	14,389,163,470	242,165	120
600	9,912,000	600	14,561,833,430	242,165	120
601	9,957,000	601	14,736,575,430	242,175	121
602	10,002,000	602	14,913,414,340	242,175	121
603	10,047,000	603	15,092,375,310	242,175	121
604	10,092,000	604	15,273,483,810	242,175	121
605	10,138,000	605	15,456,765,620	242,175	121
606	10,184,000	606	15,642,246,810	242,185	122
607	10,230,000	607	15,829,953,770	242,185	122
608	10,276,000	608	16,019,913,220	242,185	122
609	10,322,000	609	16,212,152,180	242,185	122
610	10,368,000	610	16,406,698,010	242,185	122
611	10,414,000	611	16,603,578,390	242,195	123
612	10,460,000	612	16,802,821,330	242,195	123
613	10,507,000	613	17,004,455,190	242,195	123
614	10,554,000	614	17,208,508,650	242,195	123
615	10,601,000	615	17,415,010,750	242,195	123
616	10,648,000	616	17,623,990,880	242,205	124
617	10,695,000	617	17,835,478,770	242,205	124
618	10,742,000	618	18,049,504,520	242,205	124
619	10,789,000	619	18,266,098,570	242,205	124
620	10,836,000	620	18,485,291,750	242,205	124
621	10,884,000	621	18,707,115,250	242,215	125
622	10,932,000	622	18,931,600,630	242,215	125
623	10,980,000	623	19,158,779,840	242,215	125
624	11,028,000	624	19,388,685,200	242,215	125
625	11,076,000	625	19,621,349,420	242,215	125
626	11,124,000	626	19,856,805,610	242,225	126
627	11,172,000	627	20,095,087,280	242,225	126
628	11,220,000	628	20,336,228,330	242,225	126
629	11,269,000	629	20,580,263,070	242,225	126
630	11,318,000	630	20,827,226,230	242,225	126
631	11,367,000	631	21,077,152,940	242,235	127
632	11,416,000	632	21,330,078,780	242,235	127
633	11,465,000	633	21,586,039,730	242,235	127
634	11,514,000	634	21,845,072,210	242,235	127
635	11,563,000	635	22,107,213,080	242,235	127
636	11,613,000	636	22,372,499,640	242,245	128
637	11,663,000	637	22,640,969,640	242,245	128
638	11,713,000	638	22,912,661,280	242,245	128
639	11,763,000	639	23,187,613,220	242,245	128
640	11,813,000	640	23,465,864,580	242,245	128
641	11,863,000	641	23,747,454,950	242,255	129
642	11,913,000	642	24,032,424,410	242,255	129
643	11,963,000	643	24,320,813,500	242,255	129
644	12,014,000	644	24,612,663,260	242,255	129
645	12,065,000	645	24,908,015,220	242,255	129
646	12,116,000	646	25,206,911,400	242,265	130
647	12,167,000	647	25,509,394,340	242,265	130
648	12,218,000	648	25,815,507,070	242,265	130
649	12,269,000	649	26,125,293,150	242,265	130
650	12,320,000	650	26,438,796,670	242,265	130
651	12,371,000	651	26,756,062,230	242,275	131
652	12,423,000	652	27,077,134,980	242,275	131
653	12,475,000	653	27,402,060,600	242,275	131
654	12,527,000	654	27,730,885,330	242,275	131
655	12,579,000	655	28,063,655,950	242,275	131
656	12,631,000	656	28,400,419,820	242,285	132
657	12,683,000	657	28,741,224,860	242,285	132
658	12,735,000	658	29,086,119,560	242,285	132
659	12,788,000	659	29,435,152,990	242,285	132
660	12,841,000	660	29,788,374,830	242,285	132
661	12,894,000	661	30,145,835,330	242,295	133
662	12,947,000	662	30,507,585,350	242,295	133
663	13,000,000	663	30,873,676,370	242,295	133
664	13,053,000	664	31,244,160,490	242,295	133
665	13,106,000	665	31,619,090,420	242,295	133
666	13,159,000	666	31,998,519,510	242,305	134
667	13,213,000	667	32,382,501,740	242,305	134
668	13,267,000	668	32,771,091,760	242,305	134
669	13,321,000	669	33,164,344,860	242,305	134
670	13,375,000	670	33,562,317,000	242,305	134
671	13,429,000	671	33,965,064,800	242,315	135
672	13,483,000	672	34,372,645,580	242,315	135
673	13,537,000	673	34,785,117,330	242,315	135
674	13,592,000	674	35,202,538,740	242,315	135
675	13,647,000	675	35,624,969,200	242,315	135
676	13,702,000	676	36,052,468,830	242,325	136
677	13,757,000	677	36,485,098,460	242,325	136
678	13,812,000	678	36,922,919,640	242,325	136
679	13,867,000	679	37,365,994,680	242,325	136
680	13,922,000	680	37,814,386,620	242,325	136
681	13,978,000	681	38,268,159,260	242,335	137
682	14,034,000	682	38,727,377,170	242,335	137
683	14,090,000	683	39,192,105,700	242,335	137
684	14,146,000	684	39,662,410,970	242,335	137
685	14,202,000	685	40,138,359,900	242,335	137
686	14,258,000	686	40,620,020,220	242,345	138
687	14,314,000	687	41,107,460,460	242,345	138
688	14,370,000	688	41,600,749,990	242,345	138
689	14,427,000	689	42,099,958,990	242,345	138
690	14,484,000	690	42,605,158,500	242,345	138
691	14,541,000	691	43,116,420,400	242,355	139
692	14,598,000	692	43,633,817,440	242,355	139
693	14,655,000	693	44,157,423,250	242,355	139
694	14,712,000	694	44,687,312,330	242,355	139
695	14,769,000	695	45,223,560,080	242,355	139
696	14,827,000	696	45,766,242,800	242,365	140
697	14,885,000	697	46,315,437,710	242,365	140
698	14,943,000	698	46,871,222,960	242,365	140
699	15,001,000	699	47,433,677,640	242,365	140
700	15,059,000	700	48,002,881,770	242,365	140
701	15,117,000	701	48,578,916,350	242,375	141
702	15,175,000	702	49,161,863,350	242,375	141
703	15,234,000	703	49,751,805,710	242,375	141
704	15,293,000	704	50,348,827,380	242,375	141
705	15,352,000	705	50,953,013,310	242,375	141
706	15,411,000	706	51,564,449,470	242,385	142
707	15,470,000	707	52,183,222,860	242,385	142
708	15,529,000	708	52,809,421,530	242,385	142
709	15,588,000	709	53,443,134,590	242,385	142
710	15,648,000	710	54,084,452,210	242,385	142
711	15,708,000	711	54,733,465,640	242,395	143
712	15,768,000	712	55,390,267,230	242,395	143
713	15,828,000	713	56,054,950,440	242,395	143
714	15,888,000	714	56,727,609,850	242,395	143
715	15,948,000	715	57,408,341,170	242,395	143
716	16,008,000	716	58,097,241,260	242,405	144
717	16,069,000	717	58,794,408,160	242,405	144
718	16,130,000	718	59,499,941,060	242,405	144
719	16,191,000	719	60,213,940,350	242,405	144
