	CATEGORY	UNLOCK_REQS	POINTS	REWARDS
VANELLOPE_EMOJIS	HERO_EMOJIS	VANELLOPE_SMILE, VANELLOPE_EXCITE, VANELLOPE_GROSS, VANELLOPE_LOVE, VANELLOPE_POWER, VANELLOPE_SCARED, VANELLOPE_SURPRISE, VANELLOPE_SLEEP	5450	10 STONE_VANELLOPE
RALPH_EMOJIS	HERO_EMOJIS	RALPH_SMILE, RALPH_EXCITE, RALPH_GROSS, RALPH_LOVE, RALPH_POWER, RALPH_SCARED, RALPH_SURPRISE, RALPH_SLEEP	5450	10 STONE_RALPH
FELIX_EMOJIS	HERO_EMOJIS	FELIX_SMILE, FELIX_EXCITE, FELIX_GROSS, FELIX_LOVE, FELIX_POWER, FELIX_SCARED, FELIX_SURPRISE, FELIX_SLEEP	5450	10 STONE_FELIX
CALHOUN_EMOJIS	HERO_EMOJIS	CALHOUN_SMILE, CALHOUN_EXCITE, CALHOUN_GROSS, CALHOUN_LOVE, CALHOUN_POWER, CALHOUN_SCARED, CALHOUN_SURPRISE, CALHOUN_SLEEP	5450	10 STONE_CALHOUN
TIA_DALMA_EMOJIS	HERO_EMOJIS	TIA_DALMA_SMILE, TIA_DALMA_EXCITE, TIA_DALMA_GROSS, TIA_DALMA_LOVE, TIA_DALMA_POWER, TIA_DALMA_SCARED, TIA_DALMA_SURPRISE, TIA_DALMA_SLEEP	5450	10 STONE_TIA_DALMA
HECTOR_BARBOSSA_EMOJIS	HERO_EMOJIS	HECTOR_BARBOSSA_SMILE, HECTOR_BARBOSSA_EXCITE, HECTOR_BARBOSSA_GROSS, HECTOR_BARBOSSA_LOVE, HECTOR_BARBOSSA_POWER, HECTOR_BARBOSSA_SCARED, HECTOR_BARBOSSA_SURPRISE, HECTOR_BARBOSSA_SLEEP	5450	10 STONE_HECTOR_BARBOSSA
MOANA_EMOJIS	HERO_EMOJIS	MOANA_SMILE, MOANA_EXCITE, MOANA_GROSS, MOANA_LOVE, MOANA_POWER, MOANA_SCARED, MOANA_SURPRISE, MOANA_SLEEP	5450	10 STONE_MOANA
ROBIN_HOOD_EMOJIS	HERO_EMOJIS	ROBIN_HOOD_SMILE, ROBIN_HOOD_EXCITE, ROBIN_HOOD_GROSS, ROBIN_HOOD_LOVE, ROBIN_HOOD_POWER, ROBIN_HOOD_SCARED, ROBIN_HOOD_SURPRISE, ROBIN_HOOD_SLEEP	5450	10 STONE_ROBIN_HOOD
BO_PEEP_EMOJIS	HERO_EMOJIS	BO_PEEP_SMILE, BO_PEEP_EXCITE, BO_PEEP_GROSS, BO_PEEP_LOVE, BO_PEEP_POWER, BO_PEEP_SCARED, BO_PEEP_SURPRISE, BO_PEEP_SLEEP	5450	10 STONE_BO_PEEP
JOY_EMOJIS	HERO_EMOJIS	JOY_SMILE, JOY_EXCITE, JOY_GROSS, JOY_LOVE, JOY_POWER, JOY_SCARED, JOY_SURPRISE, JOY_SLEEP	5450	10 STONE_JOY
ANGER_EMOJIS	HERO_EMOJIS	ANGER_SMILE, ANGER_EXCITE, ANGER_GROSS, ANGER_LOVE, ANGER_POWER, ANGER_SCARED, ANGER_SURPRISE, ANGER_SLEEP	5450	10 STONE_ANGER
ALADDIN_EMOJIS	HERO_EMOJIS	ALADDIN_SMILE, ALADDIN_EXCITE, ALADDIN_GROSS, ALADDIN_LOVE, ALADDIN_POWER, ALADDIN_SCARED, ALADDIN_SURPRISE, ALADDIN_SLEEP	5450	10 STONE_ALADDIN
GENIE_EMOJIS	HERO_EMOJIS	GENIE_SMILE, GENIE_EXCITE, GENIE_GROSS, GENIE_LOVE, GENIE_POWER, GENIE_SCARED, GENIE_SURPRISE, GENIE_SLEEP	5450	10 STONE_GENIE
HERCULES_EMOJIS	HERO_EMOJIS	HERCULES_SMILE, HERCULES_EXCITE, HERCULES_GROSS, HERCULES_LOVE, HERCULES_POWER, HERCULES_SCARED, HERCULES_SURPRISE, HERCULES_SLEEP	5450	10 STONE_HERCULES
JACK_SKELLINGTON_EMOJIS	HERO_EMOJIS	JACK_SKELLINGTON_SMILE, JACK_SKELLINGTON_EXCITE, JACK_SKELLINGTON_GROSS, JACK_SKELLINGTON_LOVE, JACK_SKELLINGTON_POWER, JACK_SKELLINGTON_SCARED, JACK_SKELLINGTON_SURPRISE, JACK_SKELLINGTON_SLEEP	5450	10 STONE_JACK_SKELLINGTON
SALLY_EMOJIS	HERO_EMOJIS	SALLY_SMILE, SALLY_EXCITE, SALLY_GROSS, SALLY_LOVE, SALLY_POWER, SALLY_SCARED, SALLY_SURPRISE, SALLY_SLEEP	5450	10 STONE_SALLY
HADES_EMOJIS	HERO_EMOJIS	HADES_SMILE, HADES_EXCITE, HADES_GROSS, HADES_LOVE, HADES_POWER, HADES_SCARED, HADES_SURPRISE, HADES_SLEEP	5450	10 STONE_HADES
MEGARA_EMOJIS	HERO_EMOJIS	MEGARA_SMILE, MEGARA_EXCITE, MEGARA_GROSS, MEGARA_LOVE, MEGARA_POWER, MEGARA_SCARED, MEGARA_SURPRISE, MEGARA_SLEEP	5450	10 STONE_MEGARA
ALICE_EMOJIS	HERO_EMOJIS	ALICE_SMILE, ALICE_EXCITE, ALICE_GROSS, ALICE_LOVE, ALICE_POWER, ALICE_SCARED, ALICE_SURPRISE, ALICE_SLEEP	5450	10 STONE_ALICE
BAYMAX_EMOJIS	HERO_EMOJIS	BAYMAX_SMILE, BAYMAX_EXCITE, BAYMAX_GROSS, BAYMAX_LOVE, BAYMAX_POWER, BAYMAX_SCARED, BAYMAX_SURPRISE, BAYMAX_SLEEP	5450	10 STONE_BAYMAX
GASTON_EMOJIS	HERO_EMOJIS	GASTON_SMILE, GASTON_EXCITE, GASTON_GROSS, GASTON_LOVE, GASTON_POWER, GASTON_SCARED, GASTON_SURPRISE, GASTON_SLEEP	5450	10 STONE_GASTON
HIRO_EMOJIS	HERO_EMOJIS	HIRO_SMILE, HIRO_EXCITE, HIRO_GROSS, HIRO_LOVE, HIRO_POWER, HIRO_SCARED, HIRO_SURPRISE, HIRO_SLEEP	5450	10 STONE_HIRO
MAD_HATTER_EMOJIS	HERO_EMOJIS	MAD_HATTER_SMILE, MAD_HATTER_EXCITE, MAD_HATTER_GROSS, MAD_HATTER_LOVE, MAD_HATTER_POWER, MAD_HATTER_SCARED, MAD_HATTER_SURPRISE, MAD_HATTER_SLEEP	5450	10 STONE_MAD_HATTER
MALEFICENT_EMOJIS	HERO_EMOJIS	MALEFICENT_SMILE, MALEFICENT_EXCITE, MALEFICENT_GROSS, MALEFICENT_LOVE, MALEFICENT_POWER, MALEFICENT_SCARED, MALEFICENT_SURPRISE, MALEFICENT_SLEEP	5450	10 STONE_MALEFICENT
MIGUEL_EMOJIS	HERO_EMOJIS	MIGUEL_SMILE, MIGUEL_EXCITE, MIGUEL_GROSS, MIGUEL_LOVE, MIGUEL_POWER, MIGUEL_SCARED, MIGUEL_SURPRISE, MIGUEL_SLEEP	5450	10 STONE_MIGUEL
SCAR_EMOJIS	HERO_EMOJIS	SCAR_SMILE, SCAR_EXCITE, SCAR_GROSS, SCAR_LOVE, SCAR_POWER, SCAR_SCARED, SCAR_SURPRISE, SCAR_SLEEP	5450	10 STONE_SCAR
RANDALL_BOGGS_EMOJIS	HERO_EMOJIS	RANDALL_BOGGS_SMILE, RANDALL_BOGGS_EXCITE, RANDALL_BOGGS_GROSS, RANDALL_BOGGS_LOVE, RANDALL_BOGGS_POWER, RANDALL_BOGGS_SCARED, RANDALL_BOGGS_SURPRISE, RANDALL_BOGGS_SLEEP	5450	10 STONE_RANDALL_BOGGS
ELSA_EMOJIS	HERO_EMOJIS	ELSA_SMILE, ELSA_EXCITE, ELSA_POWER, ELSA_SCARED, ELSA_SURPRISE, ELSA_SLEEP	4200	10 STONE_ELSA
SCROOGE_MCDUCK_EMOJIS	HERO_EMOJIS	SCROOGE_MCDUCK_SMILE, SCROOGE_MCDUCK_EXCITE, SCROOGE_MCDUCK_GROSS, SCROOGE_MCDUCK_LOVE, SCROOGE_MCDUCK_POWER, SCROOGE_MCDUCK_SCARED, SCROOGE_MCDUCK_SURPRISE, SCROOGE_MCDUCK_SLEEP	5450	10 STONE_SCROOGE_MCDUCK
DARKWING_DUCK_EMOJIS	HERO_EMOJIS	DARKWING_DUCK_SMILE, DARKWING_DUCK_EXCITE, DARKWING_DUCK_GROSS, DARKWING_DUCK_LOVE, DARKWING_DUCK_POWER, DARKWING_DUCK_SCARED, DARKWING_DUCK_SURPRISE, DARKWING_DUCK_SLEEP	5450	10 STONE_DARKWING_DUCK
OOGIE_BOOGIE_EMOJIS	HERO_EMOJIS	OOGIE_BOOGIE_SMILE, OOGIE_BOOGIE_EXCITE, OOGIE_BOOGIE_GROSS, OOGIE_BOOGIE_LOVE, OOGIE_BOOGIE_POWER, OOGIE_BOOGIE_SCARED, OOGIE_BOOGIE_SURPRISE, OOGIE_BOOGIE_SLEEP	5450	10 STONE_OOGIE_BOOGIE
PETER_PAN_EMOJIS	HERO_EMOJIS	PETER_PAN_SMILE, PETER_PAN_EXCITE, PETER_PAN_GROSS, PETER_PAN_LOVE, PETER_PAN_POWER, PETER_PAN_SCARED, PETER_PAN_SURPRISE, PETER_PAN_SLEEP	5450	10 STONE_PETER_PAN
CAPTAIN_HOOK_EMOJIS	HERO_EMOJIS	CAPTAIN_HOOK_SMILE, CAPTAIN_HOOK_EXCITE, CAPTAIN_HOOK_GROSS, CAPTAIN_HOOK_LOVE, CAPTAIN_HOOK_POWER, CAPTAIN_HOOK_SCARED, CAPTAIN_HOOK_SURPRISE, CAPTAIN_HOOK_SLEEP	5450	10 STONE_CAPTAIN_HOOK
QUORRA_EMOJIS	HERO_EMOJIS	QUORRA_SMILE, QUORRA_EXCITE, QUORRA_GROSS, QUORRA_LOVE, QUORRA_POWER, QUORRA_SCARED, QUORRA_SURPRISE, QUORRA_SLEEP	5450	10 STONE_QUORRA
JASMINE_EMOJIS	HERO_EMOJIS	JASMINE_SMILE, JASMINE_EXCITE, JASMINE_GROSS, JASMINE_LOVE, JASMINE_POWER, JASMINE_SCARED, JASMINE_SURPRISE, JASMINE_SLEEP	5450	10 STONE_JASMINE
OLAF_EMOJIS	HERO_EMOJIS	OLAF_SMILE, OLAF_EXCITE, OLAF_GROSS, OLAF_LOVE, OLAF_POWER, OLAF_SCARED, OLAF_SURPRISE, OLAF_SLEEP	5450	10 STONE_OLAF
JAFAR_EMOJIS	HERO_EMOJIS	JAFAR_SMILE, JAFAR_EXCITE, JAFAR_GROSS, JAFAR_LOVE, JAFAR_POWER, JAFAR_SCARED, JAFAR_SURPRISE, JAFAR_SLEEP	5450	10 STONE_JAFAR
QUEEN_OF_HEARTS_EMOJIS	HERO_EMOJIS	QUEEN_OF_HEARTS_SMILE, QUEEN_OF_HEARTS_EXCITE, QUEEN_OF_HEARTS_GROSS, QUEEN_OF_HEARTS_LOVE, QUEEN_OF_HEARTS_POWER, QUEEN_OF_HEARTS_SCARED, QUEEN_OF_HEARTS_SURPRISE, QUEEN_OF_HEARTS_SLEEP	5450	10 STONE_QUEEN_OF_HEARTS
BEAST_EMOJIS	HERO_EMOJIS	BEAST_SMILE, BEAST_EXCITE, BEAST_GROSS, BEAST_LOVE, BEAST_POWER, BEAST_SCARED, BEAST_SURPRISE, BEAST_SLEEP	5450	10 STONE_BEAST
LAUNCHPAD_MCQUACK_EMOJIS	HERO_EMOJIS	LAUNCHPAD_MCQUACK_SMILE, LAUNCHPAD_MCQUACK_EXCITE, LAUNCHPAD_MCQUACK_GROSS, LAUNCHPAD_MCQUACK_LOVE, LAUNCHPAD_MCQUACK_POWER, LAUNCHPAD_MCQUACK_SCARED, LAUNCHPAD_MCQUACK_SURPRISE, LAUNCHPAD_MCQUACK_SLEEP	5450	10 STONE_LAUNCHPAD_MCQUACK
GIZMODUCK_EMOJIS	HERO_EMOJIS	GIZMODUCK_SMILE, GIZMODUCK_EXCITE, GIZMODUCK_GROSS, GIZMODUCK_LOVE, GIZMODUCK_POWER, GIZMODUCK_SCARED, GIZMODUCK_SURPRISE, GIZMODUCK_SLEEP	5450	10 STONE_GIZMODUCK
RAPUNZEL_EMOJIS	HERO_EMOJIS	RAPUNZEL_SMILE, RAPUNZEL_EXCITE, RAPUNZEL_GROSS, RAPUNZEL_LOVE, RAPUNZEL_POWER, RAPUNZEL_SCARED, RAPUNZEL_SURPRISE, RAPUNZEL_SLEEP	5450	10 STONE_RAPUNZEL
FLYNN_RIDER_EMOJIS	HERO_EMOJIS	FLYNN_RIDER_SMILE, FLYNN_RIDER_EXCITE, FLYNN_RIDER_GROSS, FLYNN_RIDER_LOVE, FLYNN_RIDER_POWER, FLYNN_RIDER_SCARED, FLYNN_RIDER_SURPRISE, FLYNN_RIDER_SLEEP	5450	10 STONE_FLYNN_RIDER
RAFIKI_EMOJIS	HERO_EMOJIS	RAFIKI_SMILE, RAFIKI_EXCITE, RAFIKI_GROSS, RAFIKI_LOVE, RAFIKI_POWER, RAFIKI_SCARED, RAFIKI_SURPRISE, RAFIKI_SLEEP	5450	10 STONE_RAFIKI
KEVIN_FLYNN_EMOJIS	HERO_EMOJIS	KEVIN_FLYNN_SMILE, KEVIN_FLYNN_EXCITE, KEVIN_FLYNN_GROSS, KEVIN_FLYNN_LOVE, KEVIN_FLYNN_POWER, KEVIN_FLYNN_SCARED, KEVIN_FLYNN_SURPRISE, KEVIN_FLYNN_SLEEP	5450	10 STONE_KEVIN_FLYNN
WINNIE_THE_POOH_EMOJIS	HERO_EMOJIS	WINNIE_THE_POOH_SMILE, WINNIE_THE_POOH_EXCITE, WINNIE_THE_POOH_GROSS, WINNIE_THE_POOH_LOVE, WINNIE_THE_POOH_POWER, WINNIE_THE_POOH_SCARED, WINNIE_THE_POOH_SURPRISE, WINNIE_THE_POOH_SLEEP	5450	10 STONE_WINNIE_THE_POOH
TIGGER_EMOJIS	HERO_EMOJIS	TIGGER_SMILE, TIGGER_EXCITE, TIGGER_GROSS, TIGGER_LOVE, TIGGER_POWER, TIGGER_SCARED, TIGGER_SURPRISE, TIGGER_SLEEP	5450	10 STONE_TIGGER
EEYORE_EMOJIS	HERO_EMOJIS	EEYORE_SMILE, EEYORE_EXCITE, EEYORE_GROSS, EEYORE_LOVE, EEYORE_POWER, EEYORE_SCARED, EEYORE_SURPRISE, EEYORE_SLEEP	5450	10 STONE_EEYORE
MAGICA_DE_SPELL_EMOJIS	HERO_EMOJIS	MAGICA_DE_SPELL_SMILE, MAGICA_DE_SPELL_EXCITE, MAGICA_DE_SPELL_GROSS, MAGICA_DE_SPELL_LOVE, MAGICA_DE_SPELL_POWER, MAGICA_DE_SPELL_SCARED, MAGICA_DE_SPELL_SURPRISE, MAGICA_DE_SPELL_SLEEP	5450	10 STONE_MAGICA_DE_SPELL
RAJAH_EMOJIS	HERO_EMOJIS	RAJAH_SMILE, RAJAH_EXCITE, RAJAH_GROSS, RAJAH_LOVE, RAJAH_POWER, RAJAH_SCARED, RAJAH_SURPRISE, RAJAH_SLEEP	5450	10 STONE_JASMINE
KRISTOFF_AND_SVEN_EMOJIS	HERO_EMOJIS	KRISTOFF_AND_SVEN_SMILE, KRISTOFF_AND_SVEN_EXCITE, KRISTOFF_AND_SVEN_GROSS, KRISTOFF_AND_SVEN_LOVE, KRISTOFF_AND_SVEN_POWER, KRISTOFF_AND_SVEN_SCARED, KRISTOFF_AND_SVEN_SURPRISE, KRISTOFF_AND_SVEN_SLEEP	5450	10 STONE_KRISTOFF_AND_SVEN
SVEN_EMOJIS	HERO_EMOJIS	SVEN_SMILE, SVEN_EXCITE, SVEN_GROSS, SVEN_LOVE, SVEN_POWER, SVEN_SCARED, SVEN_SURPRISE, SVEN_SLEEP	5450	10 STONE_KRISTOFF_AND_SVEN
GERALD_EMOJIS	HERO_EMOJIS	GERALD_SMILE, GERALD_EXCITE, GERALD_GROSS, GERALD_LOVE, GERALD_SCARED, GERALD_SURPRISE	1950	10 STONE_GERALD_MARLIN_NEMO
MARLIN_EMOJIS	HERO_EMOJIS	MARLIN_SMILE, MARLIN_EXCITE, MARLIN_GROSS, MARLIN_LOVE, MARLIN_SCARED, MARLIN_SURPRISE	1950	10 STONE_GERALD_MARLIN_NEMO
NEMO_EMOJIS	HERO_EMOJIS	NEMO_SMILE, NEMO_EXCITE, NEMO_GROSS, NEMO_LOVE, NEMO_POWER, NEMO_SCARED, NEMO_SURPRISE, NEMO_SLEEP	5450	10 STONE_GERALD_MARLIN_NEMO
TIMON_EMOJIS	HERO_EMOJIS	TIMON_SMILE, TIMON_EXCITE, TIMON_GROSS, TIMON_LOVE, TIMON_POWER, TIMON_SCARED, TIMON_SURPRISE, TIMON_SLEEP	5450	10 STONE_TIMON_AND_PUMBAA
PUMBAA_EMOJIS	HERO_EMOJIS	PUMBAA_SMILE, PUMBAA_EXCITE, PUMBAA_GROSS, PUMBAA_LOVE, PUMBAA_POWER, PUMBAA_SCARED, PUMBAA_SURPRISE, PUMBAA_SLEEP	5450	10 STONE_TIMON_AND_PUMBAA
SIMBA_EMOJIS	HERO_EMOJIS	SIMBA_SMILE, SIMBA_EXCITE, SIMBA_GROSS, SIMBA_LOVE, SIMBA_POWER, SIMBA_SCARED, SIMBA_SURPRISE, SIMBA_SLEEP	5450	10 STONE_SIMBA_AND_NALA
NALA_EMOJIS	HERO_EMOJIS	NALA_SMILE, NALA_EXCITE, NALA_GROSS, NALA_LOVE, NALA_SCARED, NALA_SURPRISE	1950	10 STONE_SIMBA_AND_NALA
HANK_EMOJIS	HERO_EMOJIS	HANK_SMILE, HANK_EXCITE, HANK_GROSS, HANK_LOVE, HANK_POWER, HANK_SCARED, HANK_SURPRISE, HANK_SLEEP	5450	10 STONE_HANK_AND_DORY
DORY_EMOJIS	HERO_EMOJIS	DORY_SMILE, DORY_EXCITE, DORY_GROSS, DORY_LOVE, DORY_POWER, DORY_SCARED, DORY_SURPRISE, DORY_SLEEP	5450	10 STONE_HANK_AND_DORY
DAVY_JONES_EMOJIS	HERO_EMOJIS	DAVY_JONES_SMILE, DAVY_JONES_EXCITE, DAVY_JONES_GROSS, DAVY_JONES_LOVE, DAVY_JONES_POWER, DAVY_JONES_SCARED, DAVY_JONES_SURPRISE, DAVY_JONES_SLEEP	5450	10 STONE_DAVY_JONES
BELLE_EMOJIS	HERO_EMOJIS	BELLE_SMILE, BELLE_EXCITE, BELLE_GROSS, BELLE_LOVE, BELLE_POWER, BELLE_SCARED, BELLE_SURPRISE, BELLE_SLEEP	5450	10 STONE_BELLE
CHESHIRE_CAT_EMOJIS	HERO_EMOJIS	CHESHIRE_CAT_SMILE, CHESHIRE_CAT_EXCITE, CHESHIRE_CAT_GROSS, CHESHIRE_CAT_LOVE, CHESHIRE_CAT_POWER, CHESHIRE_CAT_SCARED, CHESHIRE_CAT_SURPRISE, CHESHIRE_CAT_SLEEP	5450	10 STONE_CHESHIRE_CAT
MAXIMUS_EMOJIS	HERO_EMOJIS	MAXIMUS_SMILE, MAXIMUS_EXCITE, MAXIMUS_GROSS, MAXIMUS_LOVE, MAXIMUS_POWER, MAXIMUS_SCARED, MAXIMUS_SURPRISE, MAXIMUS_SLEEP	5450	10 STONE_MAXIMUS
ANGEL_EMOJIS	HERO_EMOJIS	ANGEL_SMILE, ANGEL_EXCITE, ANGEL_GROSS, ANGEL_LOVE, ANGEL_POWER, ANGEL_SCARED, ANGEL_SURPRISE, ANGEL_SLEEP	5450	10 STONE_ANGEL
SADNESS_EMOJIS	HERO_EMOJIS	SADNESS_SMILE, SADNESS_EXCITE, SADNESS_GROSS, SADNESS_LOVE, SADNESS_POWER, SADNESS_SCARED, SADNESS_SURPRISE, SADNESS_SLEEP	5450	10 STONE_SADNESS
DISGUST_EMOJIS	HERO_EMOJIS	DISGUST_SMILE, DISGUST_EXCITE, DISGUST_GROSS, DISGUST_LOVE, DISGUST_POWER, DISGUST_SCARED, DISGUST_SURPRISE, DISGUST_SLEEP	5450	10 STONE_DISGUST
FEAR_EMOJIS	HERO_EMOJIS	FEAR_SMILE, FEAR_EXCITE, FEAR_GROSS, FEAR_LOVE, FEAR_POWER, FEAR_SCARED, FEAR_SURPRISE, FEAR_SLEEP	5450	10 STONE_FEAR
CLAWHAUSER_EMOJIS	HERO_EMOJIS	CLAWHAUSER_SMILE, CLAWHAUSER_EXCITE, CLAWHAUSER_GROSS, CLAWHAUSER_LOVE, CLAWHAUSER_SCARED, CLAWHAUSER_SURPRISE	1950	10 STONE_CLAWHAUSER
MR_BIG_AND_KOSLOV_EMOJIS	HERO_EMOJIS	MR_BIG_AND_KOSLOV_SMILE, MR_BIG_AND_KOSLOV_EXCITE, MR_BIG_AND_KOSLOV_GROSS, MR_BIG_AND_KOSLOV_SCARED, MR_BIG_AND_KOSLOV_SURPRISE	1700	10 STONE_MR_BIG_AND_KOSLOV
KOSLOV_EMOJIS	HERO_EMOJIS	KOSLOV_SMILE, KOSLOV_EXCITE, KOSLOV_GROSS, KOSLOV_LOVE, KOSLOV_SCARED, KOSLOV_SURPRISE	1950	10 STONE_MR_BIG_AND_KOSLOV
