	BOOK_ID	CONTENT_RELEASE	CATEGORY	DIFFICULTY	COST	DURATION	MAX_PROGRESS	IMPLEMENTATION_CLASS	IMPLEMENTATION_EXTRA	STARTER	TOKEN_REWARD
THE_COLOR_OF_PURPLE	THE_ULTIMATE_CHALLENGE	R1	campaign	Hard	200	1 d	100	EarnItemsChallenge	category=SHARD, rarity=PURPLE		1000
THE_NAMES_NICK	STARTER_CHALLENGES	R1	campaign	Medium	100	7 d	20	EarnItemsChallenge	"gameMode=""ELITE_CAMPAIGN"", item=STONE_NICK_WILDE"	2	500
TOYS_TO_THE_RESCUE	CITY_PATROL	R1	city watch	Medium	200	1 d	15	SingleExpeditionChallenge	withHeroCategory=TOY_STORY		1000
WHO_NEEDS_TANKS	SURGE_OF_POWER	R1	creep surge 	Hard	200	3 d	20	WinFightsChallenge	gameMode=SURGE, withoutHeroRole=TANK		1000
YOURE_NUMBER_ONE	STARTER_CHALLENGES	R1	arena	Medium	100	1 d	5	WinFightsChallenge	"gameMode=""FIGHT_PIT"""	5	500
ONE_HUNDRED_PERCENT_FREE	WEEKLY_CHALLENGES_SUMMER_2018	R2	crates	Easy	200	7 d	3	OpenChestsChallenge	chestType=GOLD, onlyFree=true		500
A_SHORT_INTERMISSION	WEEKLY_CHALLENGES_SUMMER_2018	R2	daily quests	Medium	200	7 d	7	VideoAdChallenge	requiredType=DAILY, oncePerDay=true		500
BADGE_OF_HONOR	WEEKLY_CHALLENGES_SUMMER_2018	R2	heroes	Easy	200	7 d	7	EquipItemChallenge	oncePerDay=true		500
CALLING_FOR_BACKUP	WEEKLY_CHALLENGES_SUMMER_2018	R2	city watch	Easy	200	7 d	5	HireMercenariesChallenge	gameMode=EXPEDITION		500
CELEBRITY_OF_THE_WEEK	WEEKLY_CHALLENGES_SUMMER_2018	R2	campaign	Medium	200	7 d	25	EarnItemsChallenge	"gameMode=""ELITE_CAMPAIGN"", category=STONE, trackOneItem=true"		500
CHACHING	WEEKLY_CHALLENGES_SUMMER_2018	R2	shops	Medium	200	7 d	7	MerchantPurchaseChallenge	merchant=CRYPT, spendResource=CRYPT_TOKENS, threshold=500, triggersPerDay=1, progressOnSpend=true		500
GIANT_SLAYER	WEEKLY_CHALLENGES_SUMMER_2018	R2	arena	Medium	200	7 d	7	FightPitPowerChallenge	minPowerDifference=1000		500
LOYAL_GUILDIE	WEEKLY_CHALLENGES_SUMMER_2018	R2	guild	Easy	200	7 d	7	GuildCheckInChallenge			500
MAXIMUM_PRODUCTIVITY	WEEKLY_CHALLENGES_SUMMER_2018	R2	daily quests	Medium	200	7 d	5	CompleteQuestsChallenge	progressOnDailyCompletion=true, requiredType=DAILY_QUEST		500
MEDIC_MEDIC	WEEKLY_CHALLENGES_SUMMER_2018	R2	city watch	Hard	200	7 d	15	SingleExpeditionChallenge	withoutUnitType=YAX, minDifficulty=2		500
ON_THE_CASE	WEEKLY_CHALLENGES_SUMMER_2018	R2	city watch	Easy	200	7 d	5	MultiExpeditionChallenge			500
OVERTIME_PAY	WEEKLY_CHALLENGES_SUMMER_2018	R2	shops	Medium	200	7 d	7	MerchantPurchaseChallenge	merchant=EXPEDITIONS, spendResource=EXPEDITION_TOKENS, threshold=500, triggersPerDay=1, progressOnSpend=true		500
PICK_A_WINNER	WEEKLY_CHALLENGES_SUMMER_2018	R2	challenges	Hard	200	7 d	1	CompleteChallengesChallenge	requiredType=PICK_EM		500
PROMOTIONAL_MATERIALS	WEEKLY_CHALLENGES_SUMMER_2018	R2	heroes	Easy	200	7 d	7	PromoteHeroesChallenge	oncePerDay=true		500
SHAPE_SHIFTER	WEEKLY_CHALLENGES_SUMMER_2018	R2	chat	Easy	200	7 d	7	AvatarChangeChallenge	oncePerDay=true		500
SPARRING_PARTNER	WEEKLY_CHALLENGES_SUMMER_2018	R2	chat	Easy	200	7 d	7	WinFightsChallenge	oncePerDay=true, gameMode=CHAT_SPAR		500
TAKING_THE_CAKE	WEEKLY_CHALLENGES_SUMMER_2018	R2	heroes	Hard	200	7 d	10	RankChangeChallenge	changeNeeded=10, type=TOTAL_POWER		500
TANKS_FOR_THE_RIDE	WEEKLY_CHALLENGES_SUMMER_2018	R2	campaign	Hard	200	7 d	7	CampaignStarsChallenge	minStars=3, chapter=MAX, withoutHeroRole=TANK, campaignType=NORMAL, majorOnly=true		500
TRUE_FRIEND	WEEKLY_CHALLENGES_SUMMER_2018	R2	missions	Easy	200	7 d	25	EarnItemsChallenge	category=GEAR_BIT		500
A_LITTLE_BIT_OF_MAGIC	WEEKLY_CHALLENGES_SUMMER_2018	R3	enhancement	Easy	200	7 d	6	EnchantItemsDailyChallenge	minItemRarity=PURPLE, maxItemRarity=PURPLE, oncePerDay=false		500
AWESOME_POWER	WEEKLY_CHALLENGES_SUMMER_2018	R3	missions	Medium	200	7 d	2000	MissionDiskPowerChallenge			500
COLOSSUS_SLAYER	WEEKLY_CHALLENGES_SUMMER_2018	R3	arena	Medium	200	7 d	5	WinFightsChallenge	gameMode=COLISEUM, underPowered=3000, uniqueDefenders=true		500
CRAFTY	WEEKLY_CHALLENGES_SUMMER_2018	R3	campaign	Hard	200	7 d	100	EarnItemsChallenge	"gameMode=""CAMPAIGN"", rarity=PURPLE, trackOneItem=true, category=SHARD"		500
DISK_BUILDER	WEEKLY_CHALLENGES_SUMMER_2018	R3	memory disks	Hard	200	7 d	2	EvolveRealGearChallenge			500
FRUITS_OF_THE_GUILD	WEEKLY_CHALLENGES_SUMMER_2018	R3	crates	Medium	200	7 d	7	OpenChestsChallenge	chestType=SOCIAL, oncePerDay=true		500
GIFT_FROM_A_FRIEND	WEEKLY_CHALLENGES_SUMMER_2018	R3	memory disks	Medium	200	7 d	1	EarnRealGearChallenge			500
GLADIATORS_SHARE	WEEKLY_CHALLENGES_SUMMER_2018	R3	shops	Easy	200	7 d	7	MerchantPurchaseChallenge	merchant=COLISEUM, spendResource=COLISEUM_TOKENS, threshold=500, triggersPerDay=1, progressOnSpend=true		500
GUILD_MAGNET	WEEKLY_CHALLENGES_SUMMER_2018	R3	guild	Medium	200	7 d	20000	GuildInfluenceChallenge			500
HIRED_GUNS	WEEKLY_CHALLENGES_SUMMER_2018	R3	creep surge 	Easy	200	7 d	5	HireMercenariesChallenge	gameMode=SURGE		500
IMPERIAL_SMACKDOWN	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	75	DefeatEnemiesInExpeditionChallenge	includeLostBattles=true, requiredAttacker=EMPEROR_ZURG		500
LACK_OF_SUPPORT	WEEKLY_CHALLENGES_SUMMER_2018	R3	creep surge 	Medium	200	7 d	20	WinFightsChallenge	gameMode=SURGE, withoutHeroRole=SUPPORT		500
MAXIMUM_MERCS	WEEKLY_CHALLENGES_SUMMER_2018	R3	daily quests	Easy	200	7 d	7	CompleteQuestsChallenge	specificType=DAILY_MERCENARY		500
MISSION_ACCOMPLISHED	WEEKLY_CHALLENGES_SUMMER_2018	R3	missions	Easy	200	7 d	50	CompleteMissionsChallenge			500
OUT_OF_CONTROL	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	SingleExpeditionChallenge	withoutHeroRole=CONTROL		500
PURPLE_PUZZLE	WEEKLY_CHALLENGES_SUMMER_2018	R3	campaign	Easy	200	7 d	50	EarnItemsChallenge	"gameMode=""CAMPAIGN"", rarity=PURPLE, trackOneItem=true, category=""SHARD"""		500
STOCKING_UP	WEEKLY_CHALLENGES_SUMMER_2018	R3	shops	Hard	200	7 d	7	MerchantPurchaseChallenge	triggersPerDay=1, gainCategory_0=GEAR, mustSpendToken=true, minRarity=BLUE		500
TAKE_MY_MONEY	WEEKLY_CHALLENGES_SUMMER_2018	R3	shops	Medium	200	7 d	20000	SpendResourceChallenge	mustSpendToken=true		500
TANKLESS	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Hard	200	7 d	15	SingleExpeditionChallenge	withoutHeroRole=TANK		500
THANKS_FOR_THE_MEMORIES	WEEKLY_CHALLENGES_SUMMER_2018	R3	friends	Easy	200	7 d	10	MissionMemoriesChallenge			500
THE_POWER_OF_FRIENDSHIP	WEEKLY_CHALLENGES_SUMMER_2018	R3	campaign	Medium	200	7 d	50	WinFightsChallenge	gameMode=FRIEND_CAMPAIGN		500
TOTAL_CHAOS	WEEKLY_CHALLENGES_SUMMER_2018	R3	creep surge 	Medium	200	7 d	20	WinFightsChallenge	gameMode=SURGE, withoutHeroRole=CONTROL		500
TRIALS_AND_TRIBULATIONS	WEEKLY_CHALLENGES_SUMMER_2018	R3	daily quests	Easy	200	7 d	7	CompleteQuestsChallenge	specificType=DAILY_TEAM_TRIALS		500
WARRIORS_WINNINGS	WEEKLY_CHALLENGES_SUMMER_2018	R3	shops	Easy	200	7 d	7	MerchantPurchaseChallenge	merchant=FIGHT_PIT, spendResource=FIGHT_TOKENS, threshold=500, triggersPerDay=1, progressOnSpend=true		500
ADVANCED_TRAINING	WEEKLY_CHALLENGES_SUMMER_2018	R4	heroes	Medium	200	7 d	2000000	UpgradeSkillsChallenge	countCost=true		500
AMBUSH	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Medium	200	7 d	15	HeistCombatChallenge	battleType=AMBUSH_FIGHT, requiredSubtype=NORMAL		500
BRING_OUT_THE_BROOMS	WEEKLY_CHALLENGES_SUMMER_2018	R7	guild war	Medium	200	7 d	1	WinFightsChallenge	gameMode=WAR, cleanSweep=true		500
DOCKSIDE_DUEL	WEEKLY_CHALLENGES_SUMMER_2018	R4	port	Medium	200	7 d	2	DifficultyModeChallenge	minDifficulty=7, minStars=3, oncePerMode=true, requirePort=true, withoutHeroRole=TANK		500
HIGHER_LEVEL	WEEKLY_CHALLENGES_SUMMER_2018	R4	heroes	Medium	200	7 d	500000	UseXPDrinkChallenge	countXP=true		500
LONG_TERM_RELATIONSHIPS	WEEKLY_CHALLENGES_SUMMER_2018	R4	missions	Medium	200	7 d	1	EvolveRealGearChallenge			500
MASTER_DETECTIVE	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Medium	200	7 d	7	WinHeistChallenge			500
NO_CONTROL_NO_PROBLEM	WEEKLY_CHALLENGES_SUMMER_2018	R4	trials	Medium	200	7 d	3	DifficultyModeChallenge	minDifficulty=7, minStars=3, oncePerMode=true, requireTeamTrials=true, withoutHeroRole=CONTROL		500
NOT_TODAY_THIEF	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Hard	200	7 d	1	WinHeistChallenge	minDifficultyLevel=70, minValuables=7		500
SABOTAGE	WEEKLY_CHALLENGES_SUMMER_2018	R7	guild war	Medium	200	7 d	20	WarSabotageChallenge			500
SEASIDE_SHOWDOWN	WEEKLY_CHALLENGES_SUMMER_2018	R4	port	Medium	200	7 d	2	DifficultyModeChallenge	minDifficulty=7, minStars=3, oncePerMode=true, requirePort=true, withoutHeroRole=DPS		500
SEND_IN_THE_TROOPS	WEEKLY_CHALLENGES_SUMMER_2018	R4	guild	Medium	200	7 d	30	PostMercenariesChallenge			500
SO_NOT_CLUELESS	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Hard	200	7 d	200	HeistClueChallenge	source=INVESTIGATE		500
SUPPORT_IS_FOR_THE_WEAK	WEEKLY_CHALLENGES_SUMMER_2018	R4	trials	Medium	200	7 d	3	DifficultyModeChallenge	minDifficulty=7, minStars=3, oncePerMode=true, requireTeamTrials=true, withoutHeroRole=SUPPORT		500
ULTIMATE_WARRIOR	WEEKLY_CHALLENGES_SUMMER_2018	R7	guild war	Medium	200	7 d	5	WinFightsChallenge	gameMode=WAR, countEachWave=true, checkLosses=true		500
POWER_RUN	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	SingleExpeditionChallenge	withoutHeroRole=SUPPORT		500
SLOW_AND_STEADY	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Hard	200	7 d	15	SingleExpeditionChallenge	withoutHeroRole=DPS		500
GET_YOUR_HANDS_DIRTY	WEEKLY_CHALLENGES_SUMMER_2018	R3	creep surge 	Hard	200	7 d	10	WinFightsChallenge	gameMode=SURGE, withoutHeroRole=DPS		500
POWERFUL_MEMORIES	WEEKLY_CHALLENGES_SUMMER_2018	R3	daily quests	Easy	200	7 d	7	CompleteQuestsChallenge	specificType=DAILY_REAL_GEAR		500
LOYAL_COMPANION	WEEKLY_CHALLENGES_SUMMER_2018	R3	daily quests	Easy	200	7 d	7	CompleteQuestsChallenge	specificType=DAILY_FRIEND_CAMPAIGN		500
QUALITY_TIME	WEEKLY_CHALLENGES_SUMMER_2018	R3	missions	Hard	200	7 d	2	EarnRealGearChallenge			500
JUST_THE_TWO_OF_US	WEEKLY_CHALLENGES_SUMMER_2018	R3	friends	Hard	200	7 d	10000	MissionDiskPowerChallenge			500
SLEEPOVER	WEEKLY_CHALLENGES_SUMMER_2018	R3	missions	Hard	200	7 d	40	MissionMemoriesChallenge			500
BAZAAR_BINGE	WEEKLY_CHALLENGES_SUMMER_2018	R4	shops	Medium	200	7 d	7	MerchantPurchaseChallenge	merchant=GEAR, spendResource=GEAR_TOKENS, threshold=500, triggersPerDay=1, progressOnSpend=true		500
MEGA_MEMORIES	WEEKLY_CHALLENGES_SUMMER_2018	R4	shops	Medium	200	7 d	7	MerchantPurchaseChallenge	merchant=MEMORY, spendResource=MEMORY_TOKENS, threshold=500, triggersPerDay=1, progressOnSpend=true		500
BREAKER_BREAKER	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	20	WinFightsChallenge	gameMode=INVASION_BREAKER		500
ACTIVE_PARTICIPANT	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	20	InvasionBossRewardChallenge	rewardType=PARTICIPANT		500
ROBOT_DETECTIVE	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	10	InvasionBossRewardChallenge	rewardType=FINDER		500
POWER_SURGE	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	50	EmpowerHeroChallenge	singleHero=true		500
EXOTIC_TECHNOLOGY	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	2500	MerchantPurchaseChallenge	merchant=INVASION, spendResource=BOSS_TECH, progressOnSpend=true		500
STAYIN_ALIVE	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	25	ReviveHeroChallenge	countAuto=false		500
MODDED_OUT	WEEKLY_CHALLENGES_SUMMER_2018	R3	mods	Medium	200	7 d	10	ModChallenge	countLevels=true		500
BE_THE_BREAKER	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	40	WinFightsChallenge	gameMode=INVASION_BREAKER		500
DEFENDER_OF_THE_GUILD	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	40	InvasionBossRewardChallenge	rewardType=PARTICIPANT		500
ROBOT_HUNTER	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	20	InvasionBossRewardChallenge	rewardType=FINDER		500
ULTIMATE_POWER	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	100	EmpowerHeroChallenge	singleHero=true		500
ALIEN_TECHNOLOGY	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	2500	MerchantPurchaseChallenge	merchant=INVASION, spendResource=BOSS_TECH, progressOnSpend=true		500
REVIVAL_OF_THE_FITTEST	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	50	ReviveHeroChallenge	countAuto=false		500
FULLY_MODDED	WEEKLY_CHALLENGES_SUMMER_2018	R5	mods	Hard	200	7 d	20000	SpendResourceChallenge	resourceType=MOD_POWER		500
ZOOTOPIANS_ON_PATROL	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Medium	200	7 d	15	WinFightsChallenge	gameMode=EXPEDITION, neededCollection=ZOOTOPIA		500
AVID_COLLECTOR	WEEKLY_CHALLENGES_SUMMER_2018	R9000	collections	Easy	200	7 d	50	EarnMasteryChallenge			500
TAKE_IT_EASY	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Hard	200	7 d	25	WinFightsChallenge	maxWhiteSkills=0		500
BACK_IN_ACTION	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	50	UseSkillsChallenge	countAuto=false		500
MERCENARY_ARMY	WEEKLY_CHALLENGES_SUMMER_2018	R2	creep surge	Medium	200	7 d	20	MercenaryMultiFightChallenge	gameMode=SURGE, resetOnMiss=true		500
CRIME_STOPPER	WEEKLY_CHALLENGES_SUMMER_2018	R9000	heist	Medium	200	7 d	10	HeistCombatChallenge	battleType=THIEF_FIGHT, requiredSubtype=NORMAL		500
WARD_WIPER	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Hard	200	7 d	20	WinFightsChallenge	gameMode=INVASION_WARD		500
QUITE_A_SHOCK	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	10	WinFightsChallenge	gameMode=INVASION_BOSS, neededMultiplier=5		500
BE_THE_BACKUP	WEEKLY_CHALLENGES_SUMMER_2018	R3	invasion	Medium	200	7 d	5	InvasionBossAttackChallenge	requireOtherFinder=true		500
MODDED_UP	WEEKLY_CHALLENGES_SUMMER_2018	R5	mods	Medium	200	7 d	3	ModChallenge	countAdvance=true		500
PORT_PATROL	WEEKLY_CHALLENGES_SUMMER_2018	R1	port	Easy	200	7 d	14	DifficultyModeChallenge	requirePort=true		500
TRIAL_MASTER	WEEKLY_CHALLENGES_SUMMER_2018	R1	trials	Hard	200	7 d	45	DifficultyModeChallenge	requireTeamTrials=true		500
BEDAZZLED	WEEKLY_CHALLENGES_SUMMER_2018	R1	enhancement	Hard	200	7 d	10	EnchantItemsDailyChallenge	oncePerDay=false, minItemRarity=ORANGE, maxItemRarity=ORANGE		500
UNSTOPPABLE_JUSTICE	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Easy	200	7 d	15	SingleExpeditionChallenge	deathless=true		500
GIVE_ME_A_BOOST	WEEKLY_CHALLENGES_SUMMER_2018	R1	quests	Medium	200	7 d	15	CompleteQuestsChallenge	requiredType=FREE_STAMINA		500
CAREER_QUESTER	WEEKLY_CHALLENGES_SUMMER_2018	R1	quests	Medium	200	7 d	5	WeeklyQuestChallenge			500
DISINFECTANT	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Easy	200	7 d	30	WinFightsChallenge	gameMode=CAMPAIGN, chapter=-1		500
BIT_BLITZ	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Easy	200	7 d	100	EarnItemsChallenge	category=SHARD, rarity=ORANGE, gameMode=CAMPAIGN		500
YOURE_REHIRED	WEEKLY_CHALLENGES_SUMMER_2018	R2	mercenaries	Medium	200	7 d	5	HireMercenariesChallenge	sameHero=true		500
TANK_IT_AWAY	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=-1, exclusiveRole=TANK		500
CALL_A_MEDIC	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Hard	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=-1, exclusiveRole=SUPPORT		500
INCREDIBLE_POWER	WEEKLY_CHALLENGES_SUMMER_2018	R3	city watch	Hard	200	7 d	15	SingleExpeditionChallenge	withHeroCategory=INCREDIBLES		500
TEAM_PLAYER	WEEKLY_CHALLENGES_SUMMER_2018	R5	invasion	Easy	200	7 d	5	CompleteQuestsChallenge	specificType=DAILY_INVASION_BREAKER		500
FEELING_ENERGIZED	WEEKLY_CHALLENGES_SUMMER_2018	R3	campaign	Medium	200	7 d	5000	SpendResourceChallenge	resourceType_1=STAMINA, resourceType_2=FRIEND_STAMINA, resourceType_3=INVASION_STAMINA		500
ONE_HAND_TIED	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	15	WinFightsChallenge	maxAttackers=4, withoutGameMode=HEIST		500
FILL_THE_VAULT	WEEKLY_CHALLENGES_SUMMER_2018	R1	shops	Medium	200	7 d	15000000	EarnResourceChallenge	resource=GOLD		500
IN_A_JIFFY	WEEKLY_CHALLENGES_SUMMER_2018	R5	friends	Easy	200	7 d	10	WinFightsChallenge	requireFast=true		500
SOMEBODY_CALL_A_DOCTOR	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	1000000	CombatStatsChallenge	stat=HEALING_DONE, countAttackers=true, allowQuickFights=false		500
CRIT_CRAZY	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	5000	CombatStatsChallenge	stat=CRITS_DONE, countAttackers=true, allowQuickFights=false		500
QUITE_THE_CHARMER	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	100	CombatStatsChallenge	stat=TIMES_CHARMED, countDefenders=true, allowQuickFights=false		500
GOLDEN_GLOW	WEEKLY_CHALLENGES_SUMMER_2018	R1	crates	Hard	200	7 d	100	OpenChestsChallenge	chestType=SILVER		500
DIAMOND_DELVE	WEEKLY_CHALLENGES_SUMMER_2018	R1	crates	Medium	200	7 d	30	OpenChestsChallenge	chestType=GOLD		500
GUILD_GLAMOUR	WEEKLY_CHALLENGES_SUMMER_2018	R1	crates	Hard	200	7 d	20	OpenChestsChallenge	chestType=SOCIAL		500
TOP_SCARER	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	100	CombatStatsChallenge	stat=TIMES_SCARED, countDefenders=true, allowQuickFights=false		500
A_QUICK_STUDY	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Medium	200	7 d	100	CombatStatsChallenge	stat=TIMES_STUDIED, countDefenders=true, allowQuickFights=false		500
CREEP_CRUSHER	WEEKLY_CHALLENGES_SUMMER_2018	R1	combat	Easy	200	7 d	1000	DefeatEnemiesChallenge	requiredCategory=NPC, withoutGameMode=INVASION_BOSS		500
GET_WRECKED	WEEKLY_CHALLENGES_SUMMER_2018	R3	creep surge	Medium	200	7 d	5	WinFightsChallenge	gameMode=SURGE, neededCollection=WRECK_IT_RALPH		500
IS_THIS_A_GAME_TO_YOU	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=22, neededCollection=WRECK_IT_RALPH		500
SUPER_CLEAN	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=22, neededCollection=INCREDIBLES		500
HERD_IMMUNITY	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=22, neededCollection=ZOOTOPIA		500
DONT_TOY_WITH_US	WEEKLY_CHALLENGES_SUMMER_2018	R1	campaign	Medium	200	7 d	10	WinFightsChallenge	gameMode=CAMPAIGN, chapter=22, neededCollection=TOY_STORY		500
