	CATEGORY	RARITY
ELASTIGIRL_LOVE	DISNEY_EMOJI	UNCOMMON
ELASTIGIRL_POWER	DISNEY_EMOJI	LEGENDARY
ELASTIGIRL_SURPRISE	DISNEY_EMOJI	UNCOMMON
ELASTIGIRL_SCARED	DISNEY_EMOJI	UNCOMMON
ELASTIGIRL_SLEEP	DISNEY_EMOJI	RARE
DASH_SMILE	DISNEY_EMOJI	COMMON
DASH_EXCITE	DISNEY_EMOJI	COMMON
DASH_GROSS	DISNEY_EMOJI	RARE
DASH_LOVE	DISNEY_EMOJI	UNCOMMON
DASH_POWER	DISNEY_EMOJI	LEGENDARY
DASH_SURPRISE	DISNEY_EMOJI	UNCOMMON
DASH_SCARED	DISNEY_EMOJI	UNCOMMON
DASH_SLEEP	DISNEY_EMOJI	RARE
FROZONE_SMILE	DISNEY_EMOJI	COMMON
FROZONE_EXCITE	DISNEY_EMOJI	COMMON
FROZONE_GROSS	DISNEY_EMOJI	RARE
FROZONE_LOVE	DISNEY_EMOJI	UNCOMMON
FROZONE_POWER	DISNEY_EMOJI	LEGENDARY
FROZONE_SURPRISE	DISNEY_EMOJI	UNCOMMON
FROZONE_SCARED	DISNEY_EMOJI	UNCOMMON
FROZONE_SLEEP	DISNEY_EMOJI	RARE
JACK_JACK_SMILE	DISNEY_EMOJI	COMMON
JACK_JACK_EXCITE	DISNEY_EMOJI	COMMON
JACK_JACK_GROSS	DISNEY_EMOJI	RARE
JACK_JACK_LOVE	DISNEY_EMOJI	UNCOMMON
JACK_JACK_POWER	DISNEY_EMOJI	LEGENDARY
JACK_JACK_SURPRISE	DISNEY_EMOJI	UNCOMMON
JACK_JACK_SCARED	DISNEY_EMOJI	UNCOMMON
JACK_JACK_SLEEP	DISNEY_EMOJI	RARE
VIOLET_SMILE	DISNEY_EMOJI	COMMON
VIOLET_EXCITE	DISNEY_EMOJI	COMMON
VIOLET_GROSS	DISNEY_EMOJI	RARE
VIOLET_LOVE	DISNEY_EMOJI	UNCOMMON
VIOLET_POWER	DISNEY_EMOJI	LEGENDARY
VIOLET_SURPRISE	DISNEY_EMOJI	UNCOMMON
VIOLET_SCARED	DISNEY_EMOJI	UNCOMMON
VIOLET_SLEEP	DISNEY_EMOJI	RARE
MIKE_SMILE	DISNEY_EMOJI	COMMON
MIKE_EXCITE	DISNEY_EMOJI	COMMON
MIKE_GROSS	DISNEY_EMOJI	RARE
MIKE_LOVE	DISNEY_EMOJI	UNCOMMON
MIKE_POWER	DISNEY_EMOJI	LEGENDARY
MIKE_SURPRISE	DISNEY_EMOJI	UNCOMMON
MIKE_SCARED	DISNEY_EMOJI	UNCOMMON
MIKE_SLEEP	DISNEY_EMOJI	RARE
SULLEY_SMILE	DISNEY_EMOJI	COMMON
SULLEY_EXCITE	DISNEY_EMOJI	COMMON
SULLEY_GROSS	DISNEY_EMOJI	RARE
SULLEY_LOVE	DISNEY_EMOJI	UNCOMMON
SULLEY_POWER	DISNEY_EMOJI	LEGENDARY
SULLEY_SURPRISE	DISNEY_EMOJI	UNCOMMON
SULLEY_SCARED	DISNEY_EMOJI	UNCOMMON
SULLEY_SLEEP	DISNEY_EMOJI	RARE
JACK_SPARROW_SMILE	DISNEY_EMOJI	COMMON
JACK_SPARROW_EXCITE	DISNEY_EMOJI	COMMON
JACK_SPARROW_GROSS	DISNEY_EMOJI	RARE
JACK_SPARROW_LOVE	DISNEY_EMOJI	UNCOMMON
JACK_SPARROW_POWER	DISNEY_EMOJI	LEGENDARY
JACK_SPARROW_SURPRISE	DISNEY_EMOJI	UNCOMMON
JACK_SPARROW_SCARED	DISNEY_EMOJI	UNCOMMON
JACK_SPARROW_SLEEP	DISNEY_EMOJI	RARE
EVE_SMILE	DISNEY_EMOJI	COMMON
EVE_EXCITE	DISNEY_EMOJI	COMMON
EVE_GROSS	DISNEY_EMOJI	RARE
EVE_LOVE	DISNEY_EMOJI	UNCOMMON
EVE_POWER	DISNEY_EMOJI	LEGENDARY
EVE_SURPRISE	DISNEY_EMOJI	UNCOMMON
EVE_SCARED	DISNEY_EMOJI	UNCOMMON
EVE_SLEEP	DISNEY_EMOJI	RARE
WALL_E_SMILE	DISNEY_EMOJI	COMMON
WALL_E_EXCITE	DISNEY_EMOJI	COMMON
WALL_E_GROSS	DISNEY_EMOJI	RARE
WALL_E_LOVE	DISNEY_EMOJI	UNCOMMON
WALL_E_POWER	DISNEY_EMOJI	LEGENDARY
WALL_E_SURPRISE	DISNEY_EMOJI	UNCOMMON
WALL_E_SCARED	DISNEY_EMOJI	UNCOMMON
WALL_E_SLEEP	DISNEY_EMOJI	RARE
JESSIE_SMILE	DISNEY_EMOJI	COMMON
JESSIE_EXCITE	DISNEY_EMOJI	COMMON
JESSIE_GROSS	DISNEY_EMOJI	RARE
JESSIE_LOVE	DISNEY_EMOJI	UNCOMMON
JESSIE_POWER	DISNEY_EMOJI	LEGENDARY
JESSIE_SURPRISE	DISNEY_EMOJI	UNCOMMON
JESSIE_SCARED	DISNEY_EMOJI	UNCOMMON
JESSIE_SLEEP	DISNEY_EMOJI	RARE
EMPEROR_ZURG_SMILE	DISNEY_EMOJI	COMMON
EMPEROR_ZURG_EXCITE	DISNEY_EMOJI	COMMON
EMPEROR_ZURG_GROSS	DISNEY_EMOJI	RARE
EMPEROR_ZURG_LOVE	DISNEY_EMOJI	UNCOMMON
EMPEROR_ZURG_POWER	DISNEY_EMOJI	LEGENDARY
EMPEROR_ZURG_SURPRISE	DISNEY_EMOJI	UNCOMMON
EMPEROR_ZURG_SCARED	DISNEY_EMOJI	UNCOMMON
EMPEROR_ZURG_SLEEP	DISNEY_EMOJI	RARE
REX_SMILE	DISNEY_EMOJI	COMMON
REX_EXCITE	DISNEY_EMOJI	COMMON
REX_GROSS	DISNEY_EMOJI	RARE
REX_LOVE	DISNEY_EMOJI	UNCOMMON
REX_POWER	DISNEY_EMOJI	LEGENDARY
REX_SURPRISE	DISNEY_EMOJI	UNCOMMON
REX_SCARED	DISNEY_EMOJI	UNCOMMON
REX_SLEEP	DISNEY_EMOJI	RARE
WOODY_SMILE	DISNEY_EMOJI	COMMON
WOODY_EXCITE	DISNEY_EMOJI	COMMON
WOODY_GROSS	DISNEY_EMOJI	RARE
WOODY_LOVE	DISNEY_EMOJI	UNCOMMON
WOODY_POWER	DISNEY_EMOJI	LEGENDARY
WOODY_SURPRISE	DISNEY_EMOJI	UNCOMMON
WOODY_SCARED	DISNEY_EMOJI	UNCOMMON
WOODY_SLEEP	DISNEY_EMOJI	RARE
BUZZ_SMILE	DISNEY_EMOJI	COMMON
BUZZ_EXCITE	DISNEY_EMOJI	COMMON
BUZZ_GROSS	DISNEY_EMOJI	RARE
BUZZ_LOVE	DISNEY_EMOJI	UNCOMMON
BUZZ_POWER	DISNEY_EMOJI	LEGENDARY
BUZZ_SURPRISE	DISNEY_EMOJI	UNCOMMON
BUZZ_SCARED	DISNEY_EMOJI	UNCOMMON
BUZZ_SLEEP	DISNEY_EMOJI	RARE
YAX_SMILE	DISNEY_EMOJI	COMMON
YAX_EXCITE	DISNEY_EMOJI	COMMON
YAX_GROSS	DISNEY_EMOJI	RARE
YAX_LOVE	DISNEY_EMOJI	UNCOMMON
YAX_POWER	DISNEY_EMOJI	LEGENDARY
YAX_SURPRISE	DISNEY_EMOJI	UNCOMMON
YAX_SCARED	DISNEY_EMOJI	UNCOMMON
YAX_SLEEP	DISNEY_EMOJI	RARE
CHIEF_BOGO_SMILE	DISNEY_EMOJI	COMMON
CHIEF_BOGO_EXCITE	DISNEY_EMOJI	COMMON
CHIEF_BOGO_GROSS	DISNEY_EMOJI	RARE
CHIEF_BOGO_LOVE	DISNEY_EMOJI	UNCOMMON
CHIEF_BOGO_POWER	DISNEY_EMOJI	LEGENDARY
CHIEF_BOGO_SURPRISE	DISNEY_EMOJI	UNCOMMON
CHIEF_BOGO_SCARED	DISNEY_EMOJI	UNCOMMON
CHIEF_BOGO_SLEEP	DISNEY_EMOJI	RARE
FINNICK_SMILE	DISNEY_EMOJI	COMMON
FINNICK_EXCITE	DISNEY_EMOJI	COMMON
FINNICK_GROSS	DISNEY_EMOJI	RARE
FINNICK_LOVE	DISNEY_EMOJI	UNCOMMON
FINNICK_POWER	DISNEY_EMOJI	LEGENDARY
FINNICK_SURPRISE	DISNEY_EMOJI	UNCOMMON
FINNICK_SCARED	DISNEY_EMOJI	UNCOMMON
FINNICK_SLEEP	DISNEY_EMOJI	RARE
NICK_WILDE_SMILE	DISNEY_EMOJI	COMMON
NICK_WILDE_EXCITE	DISNEY_EMOJI	COMMON
NICK_WILDE_GROSS	DISNEY_EMOJI	RARE
NICK_WILDE_LOVE	DISNEY_EMOJI	UNCOMMON
NICK_WILDE_POWER	DISNEY_EMOJI	LEGENDARY
NICK_WILDE_SURPRISE	DISNEY_EMOJI	UNCOMMON
NICK_WILDE_SCARED	DISNEY_EMOJI	UNCOMMON
NICK_WILDE_SLEEP	DISNEY_EMOJI	RARE
JUDY_HOPPS_SMILE	DISNEY_EMOJI	COMMON
JUDY_HOPPS_EXCITE	DISNEY_EMOJI	COMMON
JUDY_HOPPS_GROSS	DISNEY_EMOJI	RARE
JUDY_HOPPS_LOVE	DISNEY_EMOJI	UNCOMMON
JUDY_HOPPS_POWER	DISNEY_EMOJI	LEGENDARY
JUDY_HOPPS_SURPRISE	DISNEY_EMOJI	UNCOMMON
JUDY_HOPPS_SCARED	DISNEY_EMOJI	UNCOMMON
JUDY_HOPPS_SLEEP	DISNEY_EMOJI	RARE
MERIDA_SMILE	DISNEY_EMOJI	COMMON
MERIDA_EXCITE	DISNEY_EMOJI	COMMON
MERIDA_GROSS	DISNEY_EMOJI	RARE
MERIDA_LOVE	DISNEY_EMOJI	UNCOMMON
MERIDA_POWER	DISNEY_EMOJI	LEGENDARY
MERIDA_SURPRISE	DISNEY_EMOJI	UNCOMMON
MERIDA_SCARED	DISNEY_EMOJI	UNCOMMON
MERIDA_SLEEP	DISNEY_EMOJI	RARE
STITCH_SMILE	DISNEY_EMOJI	COMMON
STITCH_EXCITE	DISNEY_EMOJI	COMMON
STITCH_GROSS	DISNEY_EMOJI	RARE
STITCH_LOVE	DISNEY_EMOJI	UNCOMMON
STITCH_POWER	DISNEY_EMOJI	LEGENDARY
STITCH_SURPRISE	DISNEY_EMOJI	UNCOMMON
STITCH_SCARED	DISNEY_EMOJI	UNCOMMON
STITCH_SLEEP	DISNEY_EMOJI	RARE
MAUI_SMILE	DISNEY_EMOJI	COMMON
MAUI_EXCITE	DISNEY_EMOJI	COMMON
MAUI_GROSS	DISNEY_EMOJI	RARE
MAUI_LOVE	DISNEY_EMOJI	UNCOMMON
MAUI_POWER	DISNEY_EMOJI	LEGENDARY
MAUI_SURPRISE	DISNEY_EMOJI	UNCOMMON
MAUI_SCARED	DISNEY_EMOJI	UNCOMMON
MAUI_SLEEP	DISNEY_EMOJI	RARE
VANELLOPE_SMILE	DISNEY_EMOJI	COMMON
VANELLOPE_EXCITE	DISNEY_EMOJI	COMMON
VANELLOPE_GROSS	DISNEY_EMOJI	RARE
VANELLOPE_LOVE	DISNEY_EMOJI	UNCOMMON
VANELLOPE_POWER	DISNEY_EMOJI	LEGENDARY
VANELLOPE_SURPRISE	DISNEY_EMOJI	UNCOMMON
VANELLOPE_SCARED	DISNEY_EMOJI	UNCOMMON
VANELLOPE_SLEEP	DISNEY_EMOJI	RARE
RALPH_SMILE	DISNEY_EMOJI	COMMON
RALPH_EXCITE	DISNEY_EMOJI	COMMON
RALPH_GROSS	DISNEY_EMOJI	RARE
RALPH_LOVE	DISNEY_EMOJI	UNCOMMON
RALPH_POWER	DISNEY_EMOJI	LEGENDARY
RALPH_SURPRISE	DISNEY_EMOJI	UNCOMMON
RALPH_SCARED	DISNEY_EMOJI	UNCOMMON
RALPH_SLEEP	DISNEY_EMOJI	RARE
FELIX_SMILE	DISNEY_EMOJI	COMMON
FELIX_EXCITE	DISNEY_EMOJI	COMMON
FELIX_GROSS	DISNEY_EMOJI	RARE
FELIX_LOVE	DISNEY_EMOJI	UNCOMMON
FELIX_POWER	DISNEY_EMOJI	LEGENDARY
FELIX_SURPRISE	DISNEY_EMOJI	UNCOMMON
FELIX_SCARED	DISNEY_EMOJI	UNCOMMON
FELIX_SLEEP	DISNEY_EMOJI	RARE
CALHOUN_SMILE	DISNEY_EMOJI	COMMON
CALHOUN_EXCITE	DISNEY_EMOJI	COMMON
CALHOUN_GROSS	DISNEY_EMOJI	RARE
CALHOUN_LOVE	DISNEY_EMOJI	UNCOMMON
CALHOUN_POWER	DISNEY_EMOJI	LEGENDARY
CALHOUN_SURPRISE	DISNEY_EMOJI	UNCOMMON
CALHOUN_SCARED	DISNEY_EMOJI	UNCOMMON
CALHOUN_SLEEP	DISNEY_EMOJI	RARE
TIA_DALMA_SMILE	DISNEY_EMOJI	COMMON
TIA_DALMA_EXCITE	DISNEY_EMOJI	COMMON
TIA_DALMA_GROSS	DISNEY_EMOJI	RARE
TIA_DALMA_LOVE	DISNEY_EMOJI	UNCOMMON
TIA_DALMA_POWER	DISNEY_EMOJI	LEGENDARY
TIA_DALMA_SURPRISE	DISNEY_EMOJI	UNCOMMON
TIA_DALMA_SCARED	DISNEY_EMOJI	UNCOMMON
TIA_DALMA_SLEEP	DISNEY_EMOJI	RARE
HECTOR_BARBOSSA_SMILE	DISNEY_EMOJI	COMMON
HECTOR_BARBOSSA_EXCITE	DISNEY_EMOJI	COMMON
HECTOR_BARBOSSA_GROSS	DISNEY_EMOJI	RARE
HECTOR_BARBOSSA_LOVE	DISNEY_EMOJI	UNCOMMON
HECTOR_BARBOSSA_POWER	DISNEY_EMOJI	LEGENDARY
HECTOR_BARBOSSA_SURPRISE	DISNEY_EMOJI	UNCOMMON
HECTOR_BARBOSSA_SCARED	DISNEY_EMOJI	UNCOMMON
HECTOR_BARBOSSA_SLEEP	DISNEY_EMOJI	RARE
MOANA_SMILE	DISNEY_EMOJI	COMMON
MOANA_EXCITE	DISNEY_EMOJI	COMMON
MOANA_GROSS	DISNEY_EMOJI	RARE
MOANA_LOVE	DISNEY_EMOJI	UNCOMMON
MOANA_POWER	DISNEY_EMOJI	LEGENDARY
MOANA_SURPRISE	DISNEY_EMOJI	UNCOMMON
MOANA_SCARED	DISNEY_EMOJI	UNCOMMON
MOANA_SLEEP	DISNEY_EMOJI	RARE
ROBIN_HOOD_SMILE	DISNEY_EMOJI	COMMON
ROBIN_HOOD_EXCITE	DISNEY_EMOJI	COMMON
ROBIN_HOOD_GROSS	DISNEY_EMOJI	RARE
ROBIN_HOOD_LOVE	DISNEY_EMOJI	UNCOMMON
ROBIN_HOOD_POWER	DISNEY_EMOJI	LEGENDARY
ROBIN_HOOD_SURPRISE	DISNEY_EMOJI	UNCOMMON
ROBIN_HOOD_SCARED	DISNEY_EMOJI	UNCOMMON
ROBIN_HOOD_SLEEP	DISNEY_EMOJI	RARE
BO_PEEP_SMILE	DISNEY_EMOJI	COMMON
BO_PEEP_EXCITE	DISNEY_EMOJI	COMMON
BO_PEEP_GROSS	DISNEY_EMOJI	RARE
BO_PEEP_LOVE	DISNEY_EMOJI	UNCOMMON
BO_PEEP_POWER	DISNEY_EMOJI	LEGENDARY
BO_PEEP_SCARED	DISNEY_EMOJI	UNCOMMON
BO_PEEP_SLEEP	DISNEY_EMOJI	RARE
BO_PEEP_SURPRISE	DISNEY_EMOJI	UNCOMMON
JOY_SMILE	DISNEY_EMOJI	COMMON
JOY_EXCITE	DISNEY_EMOJI	COMMON
JOY_GROSS	DISNEY_EMOJI	RARE
JOY_LOVE	DISNEY_EMOJI	UNCOMMON
JOY_POWER	DISNEY_EMOJI	LEGENDARY
JOY_SCARED	DISNEY_EMOJI	UNCOMMON
JOY_SLEEP	DISNEY_EMOJI	RARE
JOY_SURPRISE	DISNEY_EMOJI	UNCOMMON
ANGER_SMILE	DISNEY_EMOJI	COMMON
ANGER_EXCITE	DISNEY_EMOJI	COMMON
ANGER_GROSS	DISNEY_EMOJI	RARE
ANGER_LOVE	DISNEY_EMOJI	UNCOMMON
ANGER_POWER	DISNEY_EMOJI	LEGENDARY
ANGER_SCARED	DISNEY_EMOJI	UNCOMMON
ANGER_SLEEP	DISNEY_EMOJI	RARE
ANGER_SURPRISE	DISNEY_EMOJI	UNCOMMON
ALADDIN_SMILE	DISNEY_EMOJI	COMMON
ALADDIN_EXCITE	DISNEY_EMOJI	COMMON
ALADDIN_GROSS	DISNEY_EMOJI	RARE
ALADDIN_LOVE	DISNEY_EMOJI	UNCOMMON
ALADDIN_POWER	DISNEY_EMOJI	LEGENDARY
ALADDIN_SCARED	DISNEY_EMOJI	UNCOMMON
ALADDIN_SLEEP	DISNEY_EMOJI	RARE
ALADDIN_SURPRISE	DISNEY_EMOJI	UNCOMMON
GENIE_SMILE	DISNEY_EMOJI	COMMON
GENIE_EXCITE	DISNEY_EMOJI	COMMON
GENIE_GROSS	DISNEY_EMOJI	RARE
GENIE_LOVE	DISNEY_EMOJI	UNCOMMON
GENIE_POWER	DISNEY_EMOJI	LEGENDARY
GENIE_SCARED	DISNEY_EMOJI	UNCOMMON
GENIE_SLEEP	DISNEY_EMOJI	RARE
GENIE_SURPRISE	DISNEY_EMOJI	UNCOMMON
HERCULES_SMILE	DISNEY_EMOJI	COMMON
HERCULES_EXCITE	DISNEY_EMOJI	COMMON
HERCULES_GROSS	DISNEY_EMOJI	RARE
HERCULES_LOVE	DISNEY_EMOJI	UNCOMMON
HERCULES_POWER	DISNEY_EMOJI	LEGENDARY
HERCULES_SCARED	DISNEY_EMOJI	UNCOMMON
HERCULES_SLEEP	DISNEY_EMOJI	RARE
HERCULES_SURPRISE	DISNEY_EMOJI	UNCOMMON
JACK_SKELLINGTON_SMILE	DISNEY_EMOJI	COMMON
JACK_SKELLINGTON_EXCITE	DISNEY_EMOJI	COMMON
JACK_SKELLINGTON_GROSS	DISNEY_EMOJI	RARE
JACK_SKELLINGTON_LOVE	DISNEY_EMOJI	UNCOMMON
JACK_SKELLINGTON_POWER	DISNEY_EMOJI	LEGENDARY
JACK_SKELLINGTON_SCARED	DISNEY_EMOJI	UNCOMMON
JACK_SKELLINGTON_SLEEP	DISNEY_EMOJI	RARE
JACK_SKELLINGTON_SURPRISE	DISNEY_EMOJI	UNCOMMON
SALLY_SMILE	DISNEY_EMOJI	COMMON
SALLY_EXCITE	DISNEY_EMOJI	COMMON
SALLY_GROSS	DISNEY_EMOJI	RARE
SALLY_LOVE	DISNEY_EMOJI	UNCOMMON
SALLY_POWER	DISNEY_EMOJI	LEGENDARY
SALLY_SCARED	DISNEY_EMOJI	UNCOMMON
SALLY_SLEEP	DISNEY_EMOJI	RARE
SALLY_SURPRISE	DISNEY_EMOJI	UNCOMMON
HADES_SMILE	DISNEY_EMOJI	COMMON
HADES_EXCITE	DISNEY_EMOJI	COMMON
HADES_GROSS	DISNEY_EMOJI	RARE
HADES_LOVE	DISNEY_EMOJI	UNCOMMON
HADES_POWER	DISNEY_EMOJI	LEGENDARY
HADES_SCARED	DISNEY_EMOJI	UNCOMMON
HADES_SLEEP	DISNEY_EMOJI	RARE
HADES_SURPRISE	DISNEY_EMOJI	UNCOMMON
MEGARA_SMILE	DISNEY_EMOJI	COMMON
MEGARA_EXCITE	DISNEY_EMOJI	COMMON
MEGARA_GROSS	DISNEY_EMOJI	RARE
MEGARA_LOVE	DISNEY_EMOJI	UNCOMMON
MEGARA_POWER	DISNEY_EMOJI	LEGENDARY
MEGARA_SCARED	DISNEY_EMOJI	UNCOMMON
MEGARA_SLEEP	DISNEY_EMOJI	RARE
MEGARA_SURPRISE	DISNEY_EMOJI	UNCOMMON
ALICE_SMILE	DISNEY_EMOJI	COMMON
ALICE_EXCITE	DISNEY_EMOJI	COMMON
ALICE_GROSS	DISNEY_EMOJI	RARE
ALICE_LOVE	DISNEY_EMOJI	UNCOMMON
ALICE_POWER	DISNEY_EMOJI	LEGENDARY
ALICE_SCARED	DISNEY_EMOJI	UNCOMMON
ALICE_SLEEP	DISNEY_EMOJI	RARE
ALICE_SURPRISE	DISNEY_EMOJI	UNCOMMON
BAYMAX_SMILE	DISNEY_EMOJI	COMMON
BAYMAX_EXCITE	DISNEY_EMOJI	COMMON
BAYMAX_GROSS	DISNEY_EMOJI	RARE
BAYMAX_LOVE	DISNEY_EMOJI	UNCOMMON
BAYMAX_POWER	DISNEY_EMOJI	LEGENDARY
BAYMAX_SCARED	DISNEY_EMOJI	UNCOMMON
BAYMAX_SLEEP	DISNEY_EMOJI	RARE
BAYMAX_SURPRISE	DISNEY_EMOJI	UNCOMMON
GASTON_SMILE	DISNEY_EMOJI	COMMON
GASTON_EXCITE	DISNEY_EMOJI	COMMON
GASTON_GROSS	DISNEY_EMOJI	RARE
GASTON_LOVE	DISNEY_EMOJI	UNCOMMON
GASTON_POWER	DISNEY_EMOJI	LEGENDARY
GASTON_SCARED	DISNEY_EMOJI	UNCOMMON
GASTON_SLEEP	DISNEY_EMOJI	RARE
GASTON_SURPRISE	DISNEY_EMOJI	UNCOMMON
HIRO_SMILE	DISNEY_EMOJI	COMMON
HIRO_EXCITE	DISNEY_EMOJI	COMMON
HIRO_GROSS	DISNEY_EMOJI	RARE
HIRO_LOVE	DISNEY_EMOJI	UNCOMMON
HIRO_POWER	DISNEY_EMOJI	LEGENDARY
HIRO_SCARED	DISNEY_EMOJI	UNCOMMON
HIRO_SLEEP	DISNEY_EMOJI	RARE
HIRO_SURPRISE	DISNEY_EMOJI	UNCOMMON
MAD_HATTER_SMILE	DISNEY_EMOJI	COMMON
MAD_HATTER_EXCITE	DISNEY_EMOJI	COMMON
MAD_HATTER_GROSS	DISNEY_EMOJI	RARE
MAD_HATTER_LOVE	DISNEY_EMOJI	UNCOMMON
MAD_HATTER_POWER	DISNEY_EMOJI	LEGENDARY
MAD_HATTER_SCARED	DISNEY_EMOJI	UNCOMMON
MAD_HATTER_SLEEP	DISNEY_EMOJI	RARE
MAD_HATTER_SURPRISE	DISNEY_EMOJI	UNCOMMON
MALEFICENT_SMILE	DISNEY_EMOJI	COMMON
MALEFICENT_EXCITE	DISNEY_EMOJI	COMMON
MALEFICENT_GROSS	DISNEY_EMOJI	RARE
MALEFICENT_LOVE	DISNEY_EMOJI	UNCOMMON
MALEFICENT_POWER	DISNEY_EMOJI	LEGENDARY
MALEFICENT_SCARED	DISNEY_EMOJI	UNCOMMON
MALEFICENT_SLEEP	DISNEY_EMOJI	RARE
MALEFICENT_SURPRISE	DISNEY_EMOJI	UNCOMMON
MIGUEL_SMILE	DISNEY_EMOJI	COMMON
MIGUEL_EXCITE	DISNEY_EMOJI	COMMON
MIGUEL_GROSS	DISNEY_EMOJI	RARE
MIGUEL_LOVE	DISNEY_EMOJI	UNCOMMON
MIGUEL_POWER	DISNEY_EMOJI	LEGENDARY
MIGUEL_SCARED	DISNEY_EMOJI	UNCOMMON
MIGUEL_SLEEP	DISNEY_EMOJI	RARE
MIGUEL_SURPRISE	DISNEY_EMOJI	UNCOMMON
SCAR_SMILE	DISNEY_EMOJI	COMMON
SCAR_EXCITE	DISNEY_EMOJI	COMMON
SCAR_GROSS	DISNEY_EMOJI	RARE
SCAR_LOVE	DISNEY_EMOJI	UNCOMMON
SCAR_POWER	DISNEY_EMOJI	LEGENDARY
SCAR_SCARED	DISNEY_EMOJI	UNCOMMON
SCAR_SLEEP	DISNEY_EMOJI	RARE
SCAR_SURPRISE	DISNEY_EMOJI	UNCOMMON
RANDALL_BOGGS_SMILE	DISNEY_EMOJI	COMMON
RANDALL_BOGGS_EXCITE	DISNEY_EMOJI	COMMON
