	POINTS_REQ	HP_BONUS	ARMOR_BONUS	REALITY_BONUS	BASIC_ATTACK_BONUS	SKILL_POWER	IMPROVED_HEALING	ENERGY_GAIN	ATTACK_SPEED
50	120500	1.05	1.05	1.05	1.05	1.045	1.025	1.025	1
51	123000	1.05	1.05	1.05	1.05	1.05	1.025	1.025	1
52	125500	1.055	1.05	1.05	1.05	1.05	1.025	1.025	1
53	128000	1.055	1.055	1.05	1.05	1.05	1.025	1.025	1
54	130500	1.055	1.055	1.055	1.05	1.05	1.025	1.025	1
55	133000	1.055	1.055	1.055	1.055	1.05	1.025	1.025	1
56	135500	1.055	1.055	1.055	1.055	1.055	1.025	1.025	1
57	138000	1.06	1.055	1.055	1.055	1.055	1.025	1.025	1
58	140500	1.06	1.06	1.055	1.055	1.055	1.025	1.025	1
59	143000	1.06	1.06	1.06	1.055	1.055	1.025	1.025	1
60	145500	1.06	1.06	1.06	1.06	1.055	1.05	1.025	1
61	148000	1.06	1.06	1.06	1.06	1.06	1.05	1.025	1
62	150500	1.065	1.06	1.06	1.06	1.06	1.05	1.025	1
63	153000	1.065	1.065	1.06	1.06	1.06	1.05	1.025	1
64	155500	1.065	1.065	1.065	1.06	1.06	1.05	1.025	1
65	158000	1.065	1.065	1.065	1.065	1.06	1.05	1.025	1
66	160500	1.065	1.065	1.065	1.065	1.065	1.05	1.025	1
67	163000	1.07	1.065	1.065	1.065	1.065	1.05	1.025	1
68	165500	1.07	1.07	1.065	1.065	1.065	1.05	1.025	1
69	168000	1.07	1.07	1.07	1.065	1.065	1.05	1.025	1
70	170500	1.07	1.07	1.07	1.07	1.065	1.05	1.025	1
71	173000	1.07	1.07	1.07	1.07	1.07	1.05	1.025	1
72	175500	1.075	1.07	1.07	1.07	1.07	1.05	1.025	1
73	178000	1.075	1.075	1.07	1.07	1.07	1.05	1.025	1
74	180500	1.075	1.075	1.075	1.07	1.07	1.05	1.025	1
75	183000	1.075	1.075	1.075	1.075	1.07	1.05	1.025	1
76	185500	1.075	1.075	1.075	1.075	1.075	1.05	1.025	1
77	188000	1.08	1.075	1.075	1.075	1.075	1.05	1.025	1
78	190500	1.08	1.08	1.075	1.075	1.075	1.05	1.025	1
79	193000	1.08	1.08	1.08	1.075	1.075	1.05	1.025	1
80	195500	1.08	1.08	1.08	1.08	1.075	1.05	1.05	1
81	198000	1.08	1.08	1.08	1.08	1.08	1.05	1.05	1
82	200500	1.085	1.08	1.08	1.08	1.08	1.05	1.05	1
83	203000	1.085	1.085	1.08	1.08	1.08	1.05	1.05	1
84	205500	1.085	1.085	1.085	1.08	1.08	1.05	1.05	1
85	208000	1.085	1.085	1.085	1.085	1.08	1.05	1.05	1
86	210500	1.085	1.085	1.085	1.085	1.085	1.05	1.05	1
87	213000	1.09	1.085	1.085	1.085	1.085	1.05	1.05	1
88	215500	1.09	1.09	1.085	1.085	1.085	1.05	1.05	1
89	218000	1.09	1.09	1.09	1.085	1.085	1.05	1.05	1
90	220500	1.09	1.09	1.09	1.09	1.085	1.05	1.05	1
91	223000	1.09	1.09	1.09	1.09	1.09	1.05	1.05	1
92	225500	1.095	1.09	1.09	1.09	1.09	1.05	1.05	1
93	228000	1.095	1.095	1.09	1.09	1.09	1.05	1.05	1
94	230500	1.095	1.095	1.095	1.09	1.09	1.05	1.05	1
95	233000	1.095	1.095	1.095	1.095	1.09	1.05	1.05	1
96	235500	1.095	1.095	1.095	1.095	1.095	1.05	1.05	1
97	238000	1.1	1.095	1.095	1.095	1.095	1.05	1.05	1
98	240500	1.1	1.1	1.095	1.095	1.095	1.05	1.05	1
99	243000	1.1	1.1	1.1	1.095	1.095	1.05	1.05	1
100	245500	1.1	1.1	1.1	1.1	1.095	1.05	1.05	1.025
101	248000	1.1	1.1	1.1	1.1	1.1	1.05	1.05	1.025
102	250500	1.105	1.1	1.1	1.1	1.1	1.05	1.05	1.025
103	253000	1.105	1.105	1.1	1.1	1.1	1.05	1.05	1.025
104	255500	1.105	1.105	1.105	1.1	1.1	1.05	1.05	1.025
105	258000	1.105	1.105	1.105	1.105	1.1	1.05	1.05	1.025
106	260500	1.105	1.105	1.105	1.105	1.105	1.05	1.05	1.025
107	263000	1.11	1.105	1.105	1.105	1.105	1.05	1.05	1.025
108	265500	1.11	1.11	1.105	1.105	1.105	1.05	1.05	1.025
109	268000	1.11	1.11	1.11	1.105	1.105	1.05	1.05	1.025
110	270500	1.11	1.11	1.11	1.11	1.105	1.05	1.05	1.025
111	273000	1.11	1.11	1.11	1.11	1.11	1.05	1.05	1.025
112	275500	1.115	1.11	1.11	1.11	1.11	1.05	1.05	1.025
113	278000	1.115	1.115	1.11	1.11	1.11	1.05	1.05	1.025
114	280500	1.115	1.115	1.115	1.11	1.11	1.05	1.05	1.025
115	283000	1.115	1.115	1.115	1.115	1.11	1.05	1.05	1.025
116	285500	1.115	1.115	1.115	1.115	1.115	1.05	1.05	1.025
117	288000	1.12	1.115	1.115	1.115	1.115	1.05	1.05	1.025
118	290500	1.12	1.12	1.115	1.115	1.115	1.05	1.05	1.025
119	293000	1.12	1.12	1.12	1.115	1.115	1.05	1.05	1.025
120	295500	1.12	1.12	1.12	1.12	1.115	1.075	1.05	1.025
121	298000	1.12	1.12	1.12	1.12	1.12	1.075	1.05	1.025
122	300500	1.125	1.12	1.12	1.12	1.12	1.075	1.05	1.025
123	303000	1.125	1.125	1.12	1.12	1.12	1.075	1.05	1.025
124	305500	1.125	1.125	1.125	1.12	1.12	1.075	1.05	1.025
125	308000	1.125	1.125	1.125	1.125	1.12	1.075	1.05	1.025
126	310500	1.125	1.125	1.125	1.125	1.125	1.075	1.05	1.025
127	313000	1.13	1.125	1.125	1.125	1.125	1.075	1.05	1.025
128	315500	1.13	1.13	1.125	1.125	1.125	1.075	1.05	1.025
129	318000	1.13	1.13	1.13	1.125	1.125	1.075	1.05	1.025
130	320500	1.13	1.13	1.13	1.13	1.125	1.075	1.05	1.025
131	323000	1.13	1.13	1.13	1.13	1.13	1.075	1.05	1.025
132	325500	1.135	1.13	1.13	1.13	1.13	1.075	1.05	1.025
133	328000	1.135	1.135	1.13	1.13	1.13	1.075	1.05	1.025
134	330500	1.135	1.135	1.135	1.13	1.13	1.075	1.05	1.025
135	333000	1.135	1.135	1.135	1.135	1.13	1.075	1.05	1.025
136	335500	1.135	1.135	1.135	1.135	1.135	1.075	1.05	1.025
137	338000	1.14	1.135	1.135	1.135	1.135	1.075	1.05	1.025
138	340500	1.14	1.14	1.135	1.135	1.135	1.075	1.05	1.025
139	343000	1.14	1.14	1.14	1.135	1.135	1.075	1.05	1.025
140	345500	1.14	1.14	1.14	1.14	1.135	1.075	1.075	1.025
141	348000	1.14	1.14	1.14	1.14	1.14	1.075	1.075	1.025
142	350500	1.145	1.14	1.14	1.14	1.14	1.075	1.075	1.025
143	353000	1.145	1.145	1.14	1.14	1.14	1.075	1.075	1.025
144	355500	1.145	1.145	1.145	1.14	1.14	1.075	1.075	1.025
145	358000	1.145	1.145	1.145	1.145	1.14	1.075	1.075	1.025
146	360500	1.145	1.145	1.145	1.145	1.145	1.075	1.075	1.025
147	363000	1.15	1.145	1.145	1.145	1.145	1.075	1.075	1.025
148	365500	1.15	1.15	1.145	1.145	1.145	1.075	1.075	1.025
149	368000	1.15	1.15	1.15	1.145	1.145	1.075	1.075	1.025
150	370500	1.15	1.15	1.15	1.15	1.145	1.075	1.075	1.025
151	373000	1.15	1.15	1.15	1.15	1.15	1.075	1.075	1.025
152	375500	1.155	1.15	1.15	1.15	1.15	1.075	1.075	1.025
153	378000	1.155	1.155	1.15	1.15	1.15	1.075	1.075	1.025
154	380500	1.155	1.155	1.155	1.15	1.15	1.075	1.075	1.025
155	383000	1.155	1.155	1.155	1.155	1.15	1.075	1.075	1.025
156	385500	1.155	1.155	1.155	1.155	1.155	1.075	1.075	1.025
157	388000	1.16	1.155	1.155	1.155	1.155	1.075	1.075	1.025
158	390500	1.16	1.16	1.155	1.155	1.155	1.075	1.075	1.025
159	393000	1.16	1.16	1.16	1.155	1.155	1.075	1.075	1.025
160	395500	1.16	1.16	1.16	1.16	1.155	1.1	1.075	1.025
161	398000	1.16	1.16	1.16	1.16	1.16	1.1	1.075	1.025
162	400500	1.165	1.16	1.16	1.16	1.16	1.1	1.075	1.025
163	403000	1.165	1.165	1.16	1.16	1.16	1.1	1.075	1.025
164	405500	1.165	1.165	1.165	1.16	1.16	1.1	1.075	1.025
165	408000	1.165	1.165	1.165	1.165	1.16	1.1	1.075	1.025
166	410500	1.165	1.165	1.165	1.165	1.165	1.1	1.075	1.025
167	413000	1.17	1.165	1.165	1.165	1.165	1.1	1.075	1.025
168	415500	1.17	1.17	1.165	1.165	1.165	1.1	1.075	1.025
169	418000	1.17	1.17	1.17	1.165	1.165	1.1	1.075	1.025
170	420500	1.17	1.17	1.17	1.17	1.165	1.1	1.075	1.025
171	423000	1.17	1.17	1.17	1.17	1.17	1.1	1.075	1.025
172	425500	1.175	1.17	1.17	1.17	1.17	1.1	1.075	1.025
173	428000	1.175	1.175	1.17	1.17	1.17	1.1	1.075	1.025
174	430500	1.175	1.175	1.175	1.17	1.17	1.1	1.075	1.025
175	433000	1.175	1.175	1.175	1.175	1.17	1.1	1.075	1.025
176	435500	1.175	1.175	1.175	1.175	1.175	1.1	1.075	1.025
177	438000	1.18	1.175	1.175	1.175	1.175	1.1	1.075	1.025
178	440500	1.18	1.18	1.175	1.175	1.175	1.1	1.075	1.025
179	443000	1.18	1.18	1.18	1.175	1.175	1.1	1.075	1.025
180	445500	1.18	1.18	1.18	1.18	1.175	1.1	1.1	1.025
181	448000	1.18	1.18	1.18	1.18	1.18	1.1	1.1	1.025
182	450500	1.185	1.18	1.18	1.18	1.18	1.1	1.1	1.025
183	453000	1.185	1.185	1.18	1.18	1.18	1.1	1.1	1.025
184	455500	1.185	1.185	1.185	1.18	1.18	1.1	1.1	1.025
185	458000	1.185	1.185	1.185	1.185	1.18	1.1	1.1	1.025
186	460500	1.185	1.185	1.185	1.185	1.185	1.1	1.1	1.025
187	463000	1.19	1.185	1.185	1.185	1.185	1.1	1.1	1.025
188	465500	1.19	1.19	1.185	1.185	1.185	1.1	1.1	1.025
189	468000	1.19	1.19	1.19	1.185	1.185	1.1	1.1	1.025
190	470500	1.19	1.19	1.19	1.19	1.185	1.1	1.1	1.025
191	473000	1.19	1.19	1.19	1.19	1.19	1.1	1.1	1.025
192	475500	1.195	1.19	1.19	1.19	1.19	1.1	1.1	1.025
193	478000	1.195	1.195	1.19	1.19	1.19	1.1	1.1	1.025
194	480500	1.195	1.195	1.195	1.19	1.19	1.1	1.1	1.025
195	483000	1.195	1.195	1.195	1.195	1.19	1.1	1.1	1.025
196	485500	1.195	1.195	1.195	1.195	1.195	1.1	1.1	1.025
197	488000	1.2	1.195	1.195	1.195	1.195	1.1	1.1	1.025
198	490500	1.2	1.2	1.195	1.195	1.195	1.1	1.1	1.025
199	493000	1.2	1.2	1.2	1.195	1.195	1.1	1.1	1.025
200	495500	1.2	1.2	1.2	1.2	1.195	1.1	1.1	1.05
201	498000	1.2	1.2	1.2	1.2	1.2	1.1	1.1	1.05
202	500500	1.205	1.2	1.2	1.2	1.2	1.1	1.1	1.05
203	503000	1.205	1.205	1.2	1.2	1.2	1.1	1.1	1.05
204	505500	1.205	1.205	1.205	1.2	1.2	1.1	1.1	1.05
205	508000	1.205	1.205	1.205	1.205	1.2	1.1	1.1	1.05
206	510500	1.205	1.205	1.205	1.205	1.205	1.1	1.1	1.05
207	513000	1.21	1.205	1.205	1.205	1.205	1.1	1.1	1.05
208	515500	1.21	1.21	1.205	1.205	1.205	1.1	1.1	1.05
209	518000	1.21	1.21	1.21	1.205	1.205	1.1	1.1	1.05
210	520500	1.21	1.21	1.21	1.21	1.205	1.1	1.1	1.05
211	523000	1.21	1.21	1.21	1.21	1.21	1.1	1.1	1.05
212	525500	1.215	1.21	1.21	1.21	1.21	1.1	1.1	1.05
213	528000	1.215	1.215	1.21	1.21	1.21	1.1	1.1	1.05
214	530500	1.215	1.215	1.215	1.21	1.21	1.1	1.1	1.05
215	533000	1.215	1.215	1.215	1.215	1.21	1.1	1.1	1.05
216	535500	1.215	1.215	1.215	1.215	1.215	1.1	1.1	1.05
217	538000	1.22	1.215	1.215	1.215	1.215	1.1	1.1	1.05
218	540500	1.22	1.22	1.215	1.215	1.215	1.1	1.1	1.05
219	543000	1.22	1.22	1.22	1.215	1.215	1.1	1.1	1.05
220	545500	1.22	1.22	1.22	1.22	1.215	1.125	1.1	1.05
221	548000	1.22	1.22	1.22	1.22	1.22	1.125	1.1	1.05
222	550500	1.225	1.22	1.22	1.22	1.22	1.125	1.1	1.05
223	553000	1.225	1.225	1.22	1.22	1.22	1.125	1.1	1.05
224	555500	1.225	1.225	1.225	1.22	1.22	1.125	1.1	1.05
225	558000	1.225	1.225	1.225	1.225	1.22	1.125	1.1	1.05
226	560500	1.225	1.225	1.225	1.225	1.225	1.125	1.1	1.05
227	563000	1.23	1.225	1.225	1.225	1.225	1.125	1.1	1.05
228	565500	1.23	1.23	1.225	1.225	1.225	1.125	1.1	1.05
229	568000	1.23	1.23	1.23	1.225	1.225	1.125	1.1	1.05
230	570500	1.23	1.23	1.23	1.23	1.225	1.125	1.1	1.05
231	573000	1.23	1.23	1.23	1.23	1.23	1.125	1.1	1.05
232	575500	1.235	1.23	1.23	1.23	1.23	1.125	1.1	1.05
233	578000	1.235	1.235	1.23	1.23	1.23	1.125	1.1	1.05
234	580500	1.235	1.235	1.235	1.23	1.23	1.125	1.1	1.05
235	583000	1.235	1.235	1.235	1.235	1.23	1.125	1.1	1.05
236	585500	1.235	1.235	1.235	1.235	1.235	1.125	1.1	1.05
237	588000	1.24	1.235	1.235	1.235	1.235	1.125	1.1	1.05
238	590500	1.24	1.24	1.235	1.235	1.235	1.125	1.1	1.05
239	593000	1.24	1.24	1.24	1.235	1.235	1.125	1.1	1.05
240	595500	1.24	1.24	1.24	1.24	1.235	1.125	1.125	1.05
241	598000	1.24	1.24	1.24	1.24	1.24	1.125	1.125	1.05
242	600500	1.245	1.24	1.24	1.24	1.24	1.125	1.125	1.05
243	603000	1.245	1.245	1.24	1.24	1.24	1.125	1.125	1.05
244	605500	1.245	1.245	1.245	1.24	1.24	1.125	1.125	1.05
245	608000	1.245	1.245	1.245	1.245	1.24	1.125	1.125	1.05
246	610500	1.245	1.245	1.245	1.245	1.245	1.125	1.125	1.05
247	613000	1.25	1.245	1.245	1.245	1.245	1.125	1.125	1.05
248	615500	1.25	1.25	1.245	1.245	1.245	1.125	1.125	1.05
249	618000	1.25	1.25	1.25	1.245	1.245	1.125	1.125	1.05
250	620500	1.25	1.25	1.25	1.25	1.245	1.125	1.125	1.05
251	623000	1.25	1.25	1.25	1.25	1.25	1.125	1.125	1.05
252	625500	1.255	1.25	1.25	1.25	1.25	1.125	1.125	1.05
253	628000	1.255	1.255	1.25	1.25	1.25	1.125	1.125	1.05
254	630500	1.255	1.255	1.255	1.25	1.25	1.125	1.125	1.05
255	633000	1.255	1.255	1.255	1.255	1.25	1.125	1.125	1.05
256	635500	1.255	1.255	1.255	1.255	1.255	1.125	1.125	1.05
257	638000	1.26	1.255	1.255	1.255	1.255	1.125	1.125	1.05
258	640500	1.26	1.26	1.255	1.255	1.255	1.125	1.125	1.05
259	643000	1.26	1.26	1.26	1.255	1.255	1.125	1.125	1.05
260	645500	1.26	1.26	1.26	1.26	1.255	1.15	1.125	1.05
261	648000	1.26	1.26	1.26	1.26	1.26	1.15	1.125	1.05
262	650500	1.265	1.26	1.26	1.26	1.26	1.15	1.125	1.05
263	653000	1.265	1.265	1.26	1.26	1.26	1.15	1.125	1.05
264	655500	1.265	1.265	1.265	1.26	1.26	1.15	1.125	1.05
265	658000	1.265	1.265	1.265	1.265	1.26	1.15	1.125	1.05
266	660500	1.265	1.265	1.265	1.265	1.265	1.15	1.125	1.05
267	663000	1.27	1.265	1.265	1.265	1.265	1.15	1.125	1.05
268	665500	1.27	1.27	1.265	1.265	1.265	1.15	1.125	1.05
269	668000	1.27	1.27	1.27	1.265	1.265	1.15	1.125	1.05
270	670500	1.27	1.27	1.27	1.27	1.265	1.15	1.125	1.05
271	673000	1.27	1.27	1.27	1.27	1.27	1.15	1.125	1.05
272	675500	1.275	1.27	1.27	1.27	1.27	1.15	1.125	1.05
273	678000	1.275	1.275	1.27	1.27	1.27	1.15	1.125	1.05
274	680500	1.275	1.275	1.275	1.27	1.27	1.15	1.125	1.05
275	683000	1.275	1.275	1.275	1.275	1.27	1.15	1.125	1.05
276	685500	1.275	1.275	1.275	1.275	1.275	1.15	1.125	1.05
277	688000	1.28	1.275	1.275	1.275	1.275	1.15	1.125	1.05
278	690500	1.28	1.28	1.275	1.275	1.275	1.15	1.125	1.05
279	693000	1.28	1.28	1.28	1.275	1.275	1.15	1.125	1.05
280	695500	1.28	1.28	1.28	1.28	1.275	1.15	1.15	1.05
281	698000	1.28	1.28	1.28	1.28	1.28	1.15	1.15	1.05
282	700500	1.285	1.28	1.28	1.28	1.28	1.15	1.15	1.05
283	703000	1.285	1.285	1.28	1.28	1.28	1.15	1.15	1.05
284	705500	1.285	1.285	1.285	1.28	1.28	1.15	1.15	1.05
285	708000	1.285	1.285	1.285	1.285	1.28	1.15	1.15	1.05
286	710500	1.285	1.285	1.285	1.285	1.285	1.15	1.15	1.05
287	713000	1.29	1.285	1.285	1.285	1.285	1.15	1.15	1.05
288	715500	1.29	1.29	1.285	1.285	1.285	1.15	1.15	1.05
289	718000	1.29	1.29	1.29	1.285	1.285	1.15	1.15	1.05
290	720500	1.29	1.29	1.29	1.29	1.285	1.15	1.15	1.05
291	723000	1.29	1.29	1.29	1.29	1.29	1.15	1.15	1.05
292	725500	1.295	1.29	1.29	1.29	1.29	1.15	1.15	1.05
293	728000	1.295	1.295	1.29	1.29	1.29	1.15	1.15	1.05
294	730500	1.295	1.295	1.295	1.29	1.29	1.15	1.15	1.05
295	733000	1.295	1.295	1.295	1.295	1.29	1.15	1.15	1.05
296	735500	1.295	1.295	1.295	1.295	1.295	1.15	1.15	1.05
297	738000	1.3	1.295	1.295	1.295	1.295	1.15	1.15	1.05
298	740500	1.3	1.3	1.295	1.295	1.295	1.15	1.15	1.05
299	743000	1.3	1.3	1.3	1.295	1.295	1.15	1.15	1.05
300	745500	1.3	1.3	1.3	1.3	1.295	1.15	1.15	1.075
301	748000	1.3	1.3	1.3	1.3	1.3	1.15	1.15	1.075
302	750500	1.305	1.3	1.3	1.3	1.3	1.15	1.15	1.075
303	753000	1.305	1.305	1.3	1.3	1.3	1.15	1.15	1.075
304	755500	1.305	1.305	1.305	1.3	1.3	1.15	1.15	1.075
305	758000	1.305	1.305	1.305	1.305	1.3	1.15	1.15	1.075
306	760500	1.305	1.305	1.305	1.305	1.305	1.15	1.15	1.075
307	763000	1.31	1.305	1.305	1.305	1.305	1.15	1.15	1.075
308	765500	1.31	1.31	1.305	1.305	1.305	1.15	1.15	1.075
309	768000	1.31	1.31	1.31	1.305	1.305	1.15	1.15	1.075
310	770500	1.31	1.31	1.31	1.31	1.305	1.15	1.15	1.075
311	773000	1.31	1.31	1.31	1.31	1.31	1.15	1.15	1.075
312	775500	1.315	1.31	1.31	1.31	1.31	1.15	1.15	1.075
313	778000	1.315	1.315	1.31	1.31	1.31	1.15	1.15	1.075
314	780500	1.315	1.315	1.315	1.31	1.31	1.15	1.15	1.075
315	783000	1.315	1.315	1.315	1.315	1.31	1.15	1.15	1.075
316	785500	1.315	1.315	1.315	1.315	1.315	1.15	1.15	1.075
317	788000	1.32	1.315	1.315	1.315	1.315	1.15	1.15	1.075
318	790500	1.32	1.32	1.315	1.315	1.315	1.15	1.15	1.075
319	793000	1.32	1.32	1.32	1.315	1.315	1.15	1.15	1.075
320	795500	1.32	1.32	1.32	1.32	1.315	1.175	1.15	1.075
321	798000	1.32	1.32	1.32	1.32	1.32	1.175	1.15	1.075
322	800500	1.325	1.32	1.32	1.32	1.32	1.175	1.15	1.075
323	803000	1.325	1.325	1.32	1.32	1.32	1.175	1.15	1.075
324	805500	1.325	1.325	1.325	1.32	1.32	1.175	1.15	1.075
325	808000	1.325	1.325	1.325	1.325	1.32	1.175	1.15	1.075
326	810500	1.325	1.325	1.325	1.325	1.325	1.175	1.15	1.075
327	813000	1.33	1.325	1.325	1.325	1.325	1.175	1.15	1.075
328	815500	1.33	1.33	1.325	1.325	1.325	1.175	1.15	1.075
329	818000	1.33	1.33	1.33	1.325	1.325	1.175	1.15	1.075
330	820500	1.33	1.33	1.33	1.33	1.325	1.175	1.15	1.075
331	823000	1.33	1.33	1.33	1.33	1.33	1.175	1.15	1.075
332	825500	1.335	1.33	1.33	1.33	1.33	1.175	1.15	1.075
333	828000	1.335	1.335	1.33	1.33	1.33	1.175	1.15	1.075
334	830500	1.335	1.335	1.335	1.33	1.33	1.175	1.15	1.075
335	833000	1.335	1.335	1.335	1.335	1.33	1.175	1.15	1.075
336	835500	1.335	1.335	1.335	1.335	1.335	1.175	1.15	1.075
337	838000	1.34	1.335	1.335	1.335	1.335	1.175	1.15	1.075
338	840500	1.34	1.34	1.335	1.335	1.335	1.175	1.15	1.075
339	843000	1.34	1.34	1.34	1.335	1.335	1.175	1.15	1.075
340	845500	1.34	1.34	1.34	1.34	1.335	1.175	1.175	1.075
341	848000	1.34	1.34	1.34	1.34	1.34	1.175	1.175	1.075
342	850500	1.345	1.34	1.34	1.34	1.34	1.175	1.175	1.075
343	853000	1.345	1.345	1.34	1.34	1.34	1.175	1.175	1.075
344	855500	1.345	1.345	1.345	1.34	1.34	1.175	1.175	1.075
345	858000	1.345	1.345	1.345	1.345	1.34	1.175	1.175	1.075
346	860500	1.345	1.345	1.345	1.345	1.345	1.175	1.175	1.075
347	863000	1.35	1.345	1.345	1.345	1.345	1.175	1.175	1.075
348	865500	1.35	1.35	1.345	1.345	1.345	1.175	1.175	1.075
349	868000	1.35	1.35	1.35	1.345	1.345	1.175	1.175	1.075
350	870500	1.35	1.35	1.35	1.35	1.345	1.175	1.175	1.075
351	873000	1.35	1.35	1.35	1.35	1.35	1.175	1.175	1.075
352	875500	1.355	1.35	1.35	1.35	1.35	1.175	1.175	1.075
353	878000	1.355	1.355	1.35	1.35	1.35	1.175	1.175	1.075
354	880500	1.355	1.355	1.355	1.35	1.35	1.175	1.175	1.075
355	883000	1.355	1.355	1.355	1.355	1.35	1.175	1.175	1.075
356	885500	1.355	1.355	1.355	1.355	1.355	1.175	1.175	1.075
357	888000	1.36	1.355	1.355	1.355	1.355	1.175	1.175	1.075
358	890500	1.36	1.36	1.355	1.355	1.355	1.175	1.175	1.075
359	893000	1.36	1.36	1.36	1.355	1.355	1.175	1.175	1.075
360	895500	1.36	1.36	1.36	1.36	1.355	1.2	1.175	1.075
361	898000	1.36	1.36	1.36	1.36	1.36	1.2	1.175	1.075
362	900500	1.365	1.36	1.36	1.36	1.36	1.2	1.175	1.075
363	903000	1.365	1.365	1.36	1.36	1.36	1.2	1.175	1.075
364	905500	1.365	1.365	1.365	1.36	1.36	1.2	1.175	1.075
365	908000	1.365	1.365	1.365	1.365	1.36	1.2	1.175	1.075
366	910500	1.365	1.365	1.365	1.365	1.365	1.2	1.175	1.075
367	913000	1.37	1.365	1.365	1.365	1.365	1.2	1.175	1.075
368	915500	1.37	1.37	1.365	1.365	1.365	1.2	1.175	1.075
369	918000	1.37	1.37	1.37	1.365	1.365	1.2	1.175	1.075
370	920500	1.37	1.37	1.37	1.37	1.365	1.2	1.175	1.075
371	923000	1.37	1.37	1.37	1.37	1.37	1.2	1.175	1.075
372	925500	1.375	1.37	1.37	1.37	1.37	1.2	1.175	1.075
373	928000	1.375	1.375	1.37	1.37	1.37	1.2	1.175	1.075
374	930500	1.375	1.375	1.375	1.37	1.37	1.2	1.175	1.075
375	933000	1.375	1.375	1.375	1.375	1.37	1.2	1.175	1.075
376	935500	1.375	1.375	1.375	1.375	1.375	1.2	1.175	1.075
377	938000	1.38	1.375	1.375	1.375	1.375	1.2	1.175	1.075
378	940500	1.38	1.38	1.375	1.375	1.375	1.2	1.175	1.075
379	943000	1.38	1.38	1.38	1.375	1.375	1.2	1.175	1.075
380	945500	1.38	1.38	1.38	1.38	1.375	1.2	1.2	1.075
381	948000	1.38	1.38	1.38	1.38	1.38	1.2	1.2	1.075
