	DAYS	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
2	6	190	6	RED_11	710	PARK_MIDWAY_10	MADAM_MIM::FALSE,ALICE::FALSE,BUZZ::FALSE	SWEDISH_CHEF::FALSE,KERMIT::FALSE,WASABI::FALSE	ROCKETEER::FALSE,MR_BIG_AND_KOSLOV::FALSE,DR_DRAKKEN::FALSE
2	7	190	6	RED_11	710	PARK_MIDWAY_10	QUORRA::FALSE,BARLEY_LIGHTFOOT::FALSE,JAFAR::FALSE	FLYNN_RIDER::FALSE,DEMONA::FALSE,FAIRY_GODMOTHER::FALSE	POCAHONTAS::FALSE,GONZO::FALSE,LI_SHANG::FALSE
3	1	205	6	RED_14	755	PARK_MIDWAY_10	EEYORE::FALSE,STITCH::FALSE,CALHOUN::FALSE	MINNIE_MOUSE::FALSE,MUSHU::FALSE,BELLE::FALSE	GOLIATH::FALSE,EVIL_QUEEN::FALSE,DAVY_JONES::FALSE
3	2	205	6	RED_14	755	PARK_MIDWAY_10	OLAF::FALSE,DARKWING_DUCK::FALSE,FINNICK::FALSE	BALOO::FALSE,KING_LOUIE::FALSE,JUMBA::FALSE	PLEAKLEY::FALSE,CHESHIRE_CAT::FALSE,BASIL::FALSE
3	3	205	6	RED_14	755	PARK_MIDWAY_10	OOGIE_BOOGIE::FALSE,SIMBA_AND_NALA::FALSE,TIMON_AND_PUMBAA::FALSE	MAXIMUS::FALSE,ANGEL::FALSE,CAPTAIN_AMELIA::FALSE	SLINKY_DOG::FALSE,IAN_LIGHTFOOT::FALSE,SADNESS::FALSE
3	4	205	6	RED_14	755	PARK_MIDWAY_10	WINNIE_THE_POOH::FALSE,MR_INCREDIBLE::FALSE,ANGER::FALSE	KIM_POSSIBLE::FALSE,LOCK_SHOCK_BARREL::FALSE,DISGUST::FALSE	MANTICORE::FALSE,BUNSEN_AND_BEAKER::FALSE,FEAR::FALSE
3	5	205	6	RED_14	755	PARK_MIDWAY_10	ELSA::FALSE,EMPEROR_ZURG::FALSE,JESSIE::FALSE	JIM_HAWKINS::FALSE,JOHN_SILVER::FALSE,KRONK::FALSE	HONEY_LEMON::FALSE,CLAWHAUSER::FALSE,HAMM::FALSE
3	6	205	6	RED_14	755	PARK_MIDWAY_10	MADAM_MIM::FALSE,ALICE::FALSE,BUZZ::FALSE	SWEDISH_CHEF::FALSE,KERMIT::FALSE,WASABI::FALSE	ROCKETEER::FALSE,MR_BIG_AND_KOSLOV::FALSE,DR_DRAKKEN::FALSE
3	7	205	6	RED_14	755	PARK_MIDWAY_10	QUORRA::FALSE,BARLEY_LIGHTFOOT::FALSE,JAFAR::FALSE	FLYNN_RIDER::FALSE,DEMONA::FALSE,FAIRY_GODMOTHER::FALSE	POCAHONTAS::FALSE,GONZO::FALSE,LI_SHANG::FALSE
4	1	220	6	RED_17	800	PARK_MIDWAY_10	EEYORE::FALSE,STITCH::FALSE,CALHOUN::FALSE	MINNIE_MOUSE::FALSE,MUSHU::FALSE,BELLE::FALSE	GOLIATH::FALSE,EVIL_QUEEN::FALSE,DAVY_JONES::FALSE
4	2	220	6	RED_17	800	PARK_MIDWAY_10	OLAF::FALSE,DARKWING_DUCK::FALSE,FINNICK::FALSE	BALOO::FALSE,KING_LOUIE::FALSE,JUMBA::FALSE	PLEAKLEY::FALSE,CHESHIRE_CAT::FALSE,BASIL::FALSE
4	3	220	6	RED_17	800	PARK_MIDWAY_10	OOGIE_BOOGIE::FALSE,SIMBA_AND_NALA::FALSE,TIMON_AND_PUMBAA::FALSE	MAXIMUS::FALSE,ANGEL::FALSE,CAPTAIN_AMELIA::FALSE	SLINKY_DOG::FALSE,IAN_LIGHTFOOT::FALSE,SADNESS::FALSE
4	4	220	6	RED_17	800	PARK_MIDWAY_10	WINNIE_THE_POOH::FALSE,MR_INCREDIBLE::FALSE,ANGER::FALSE	KIM_POSSIBLE::FALSE,LOCK_SHOCK_BARREL::FALSE,DISGUST::FALSE	MANTICORE::FALSE,BUNSEN_AND_BEAKER::FALSE,FEAR::FALSE
4	5	220	6	RED_17	800	PARK_MIDWAY_10	ELSA::FALSE,EMPEROR_ZURG::FALSE,JESSIE::FALSE	JIM_HAWKINS::FALSE,JOHN_SILVER::FALSE,KRONK::FALSE	HONEY_LEMON::FALSE,CLAWHAUSER::FALSE,HAMM::FALSE
4	6	220	6	RED_17	800	PARK_MIDWAY_10	MADAM_MIM::FALSE,ALICE::FALSE,BUZZ::FALSE	SWEDISH_CHEF::FALSE,KERMIT::FALSE,WASABI::FALSE	ROCKETEER::FALSE,MR_BIG_AND_KOSLOV::FALSE,DR_DRAKKEN::FALSE
4	7	220	6	RED_17	800	PARK_MIDWAY_10	QUORRA::FALSE,BARLEY_LIGHTFOOT::FALSE,JAFAR::FALSE	FLYNN_RIDER::FALSE,DEMONA::FALSE,FAIRY_GODMOTHER::FALSE	POCAHONTAS::FALSE,GONZO::FALSE,LI_SHANG::FALSE
5	1	235	6	YELLOW	845	PARK_MIDWAY_10	EEYORE::FALSE,STITCH::FALSE,CALHOUN::FALSE	MINNIE_MOUSE::FALSE,MUSHU::FALSE,BELLE::FALSE	GOLIATH::FALSE,EVIL_QUEEN::FALSE,DAVY_JONES::FALSE
5	2	235	6	YELLOW	845	PARK_MIDWAY_10	OLAF::FALSE,DARKWING_DUCK::FALSE,FINNICK::FALSE	BALOO::FALSE,KING_LOUIE::FALSE,JUMBA::FALSE	PLEAKLEY::FALSE,CHESHIRE_CAT::FALSE,BASIL::FALSE
5	3	235	6	YELLOW	845	PARK_MIDWAY_10	OOGIE_BOOGIE::FALSE,SIMBA_AND_NALA::FALSE,TIMON_AND_PUMBAA::FALSE	MAXIMUS::FALSE,ANGEL::FALSE,CAPTAIN_AMELIA::FALSE	SLINKY_DOG::FALSE,IAN_LIGHTFOOT::FALSE,SADNESS::FALSE
5	4	235	6	YELLOW	845	PARK_MIDWAY_10	WINNIE_THE_POOH::FALSE,MR_INCREDIBLE::FALSE,ANGER::FALSE	KIM_POSSIBLE::FALSE,LOCK_SHOCK_BARREL::FALSE,DISGUST::FALSE	MANTICORE::FALSE,BUNSEN_AND_BEAKER::FALSE,FEAR::FALSE
5	5	235	6	YELLOW	845	PARK_MIDWAY_10	ELSA::FALSE,EMPEROR_ZURG::FALSE,JESSIE::FALSE	JIM_HAWKINS::FALSE,JOHN_SILVER::FALSE,KRONK::FALSE	HONEY_LEMON::FALSE,CLAWHAUSER::FALSE,HAMM::FALSE
5	6	235	6	YELLOW	845	PARK_MIDWAY_10	MADAM_MIM::FALSE,ALICE::FALSE,BUZZ::FALSE	SWEDISH_CHEF::FALSE,KERMIT::FALSE,WASABI::FALSE	ROCKETEER::FALSE,MR_BIG_AND_KOSLOV::FALSE,DR_DRAKKEN::FALSE
5	7	235	6	YELLOW	845	PARK_MIDWAY_10	QUORRA::FALSE,BARLEY_LIGHTFOOT::FALSE,JAFAR::FALSE	FLYNN_RIDER::FALSE,DEMONA::FALSE,FAIRY_GODMOTHER::FALSE	POCAHONTAS::FALSE,GONZO::FALSE,LI_SHANG::FALSE
6	1	240	6	YELLOW_1	860	PARK_MIDWAY_10	EEYORE::FALSE,STITCH::FALSE,CALHOUN::FALSE	MINNIE_MOUSE::FALSE,MUSHU::FALSE,BELLE::FALSE	GOLIATH::FALSE,EVIL_QUEEN::FALSE,DAVY_JONES::FALSE
6	2	240	6	YELLOW_1	860	PARK_MIDWAY_10	OLAF::FALSE,DARKWING_DUCK::FALSE,FINNICK::FALSE	BALOO::FALSE,KING_LOUIE::FALSE,JUMBA::FALSE	PLEAKLEY::FALSE,CHESHIRE_CAT::FALSE,BASIL::FALSE
6	3	240	6	YELLOW_1	860	PARK_MIDWAY_10	OOGIE_BOOGIE::FALSE,SIMBA_AND_NALA::FALSE,TIMON_AND_PUMBAA::FALSE	MAXIMUS::FALSE,ANGEL::FALSE,CAPTAIN_AMELIA::FALSE	SLINKY_DOG::FALSE,IAN_LIGHTFOOT::FALSE,SADNESS::FALSE
6	4	240	6	YELLOW_1	860	PARK_MIDWAY_10	WINNIE_THE_POOH::FALSE,MR_INCREDIBLE::FALSE,ANGER::FALSE	KIM_POSSIBLE::FALSE,LOCK_SHOCK_BARREL::FALSE,DISGUST::FALSE	MANTICORE::FALSE,BUNSEN_AND_BEAKER::FALSE,FEAR::FALSE
6	5	240	6	YELLOW_1	860	PARK_MIDWAY_10	ELSA::FALSE,EMPEROR_ZURG::FALSE,JESSIE::FALSE	JIM_HAWKINS::FALSE,JOHN_SILVER::FALSE,KRONK::FALSE	HONEY_LEMON::FALSE,CLAWHAUSER::FALSE,HAMM::FALSE
6	6	240	6	YELLOW_1	860	PARK_MIDWAY_10	MADAM_MIM::FALSE,ALICE::FALSE,BUZZ::FALSE	SWEDISH_CHEF::FALSE,KERMIT::FALSE,WASABI::FALSE	ROCKETEER::FALSE,MR_BIG_AND_KOSLOV::FALSE,DR_DRAKKEN::FALSE
6	7	240	6	YELLOW_1	860	PARK_MIDWAY_10	QUORRA::FALSE,BARLEY_LIGHTFOOT::FALSE,JAFAR::FALSE	FLYNN_RIDER::FALSE,DEMONA::FALSE,FAIRY_GODMOTHER::FALSE	POCAHONTAS::FALSE,GONZO::FALSE,LI_SHANG::FALSE
